date_obj,Keg%20of%20beer price
2019-04-10,1335
2019-04-11,1312
2019-04-12,1284
2019-04-13,1284
2019-04-14,1264
2019-04-15,1264
2019-04-16,1251
2019-04-17,1251
2019-04-18,1250
2019-04-19,1250
2019-04-20,1244
2019-04-21,1244
2019-04-22,1183
2019-04-23,1183
2019-04-24,1152
2019-04-25,1152
2019-04-26,1135
2019-04-27,1135
2019-04-28,1155
2019-04-29,1155
2019-04-30,1157
2019-05-01,1157
2019-05-02,1102
2019-05-03,1146
2019-05-04,1146
2019-05-05,1187
2019-05-06,1187
2019-05-07,1186
2019-05-08,1186
2019-05-09,1158
2019-05-10,1158
2019-05-11,1177
2019-05-12,1177
2019-05-13,1210
2019-05-14,1210
2019-05-15,1224
2019-05-16,1224
2019-05-17,1227
2019-05-18,1227
2019-05-19,1275
2019-05-20,1275
2019-05-21,1281
2019-05-22,1281
2019-05-23,1294
2019-05-24,1294
2019-05-25,1259
2019-05-26,1259
2019-05-27,1211
2019-05-28,1211
2019-05-29,1192
2019-05-30,1192
2019-05-31,1153
2019-06-01,1153
2019-06-02,1173
2019-06-03,1173
2019-06-04,1137
2019-06-05,1137
2019-06-06,1130
2019-06-07,1130
2019-06-08,1149
2019-06-09,1149
2019-06-10,1189
2019-06-11,1189
2019-06-12,1199
2019-06-13,1199
2019-06-14,1190
2019-06-15,1190
2019-06-16,1219
2019-06-17,1219
2019-06-18,1234
2019-06-19,1234
2019-06-20,1229
2019-06-21,1229
2019-06-22,1229
2019-06-23,1189
2019-06-24,1189
2019-06-25,1189
2019-06-26,1189
2019-06-27,1163
2019-06-28,1163
2019-06-29,1133
2019-06-30,1135
2019-07-01,1135
2019-07-02,1120
2019-07-03,1120
2019-07-04,1099
2019-07-05,1099
2019-07-06,1074
2019-07-07,1074
2019-07-08,1066
2019-07-09,1066
2019-07-10,1080
2019-07-11,1080
2019-07-12,1117
2019-07-13,1117
2019-07-14,1127
2019-07-15,1127
2019-07-16,1139
2019-07-17,1139
2019-07-18,1140
2019-07-19,1140
2019-07-20,1155
2019-07-21,1155
2019-07-22,1142
2019-07-23,1142
2019-07-24,1143
2019-07-25,1143
2019-07-26,1143
2019-07-27,1113
2019-07-28,1113
2019-07-29,1081
2019-07-30,1081
2019-07-31,1048
2019-08-01,1048
2019-08-02,1096
2019-08-03,1096
2019-08-04,1151
2019-08-05,1151
2019-08-06,1207
2019-08-07,1207
2019-08-08,1268
2019-08-09,1268
2019-08-10,1332
2019-08-11,1332
2019-08-12,1332
2019-08-13,1399
2019-08-14,1399
2019-08-15,1464
2019-08-16,1464
2019-08-17,1498
2019-08-18,1498
2019-08-19,1526
2019-08-20,1526
2019-08-21,1498
2019-08-22,1498
2019-08-23,1485
2019-08-24,1485
2019-08-24,1485
2019-08-25,1443
2019-08-25,1443
2019-08-26,1443
2019-08-26,1443
2019-08-27,1381
2019-08-27,1381
2019-08-28,1381
2019-08-29,1384
2019-08-30,1384
2019-08-31,1357
2019-09-01,1357
2019-09-02,1332
2019-09-03,1332
2019-09-04,1338
2019-09-05,1338
2019-09-06,1338
2019-09-07,1342
2019-09-08,1342
2019-09-09,1328
2019-09-10,1328
2019-09-11,1277
2019-09-12,1277
2019-09-13,1277
2019-09-14,1258
2019-09-15,1258
2019-09-16,1195
2019-09-17,1195
2019-09-18,1145
2019-09-19,1145
2019-09-20,1090
2019-09-21,1053
2019-09-22,1053
2019-09-23,1095
2019-09-24,1095
2019-09-25,1095
2019-09-26,1143
2019-09-27,1126
2019-09-28,1069
2019-09-29,1015
2019-09-30,964
2019-10-01,915
2019-10-02,869
2019-10-03,846
2019-10-04,862
2019-10-05,901
2019-10-06,920
2019-10-07,940
2019-10-08,962
2019-10-09,962
2019-10-10,958
2019-10-11,986
2019-10-12,964
2019-10-13,964
2019-10-14,954
2019-10-15,954
2019-10-16,939
2019-10-17,939
2019-10-18,931
2019-10-19,934
2019-10-20,910
2019-10-21,909
2019-10-22,905
2019-10-23,905
2019-10-24,904
2019-10-25,944
2019-10-26,978
2019-10-27,1000
2019-10-28,1011
2019-10-29,1011
2019-10-30,1008
2019-10-31,1035
2019-11-01,1019
2019-11-02,1003
2019-11-03,995
2019-11-04,945
2019-11-05,945
2019-11-06,928
2019-11-07,940
2019-11-08,947
2019-11-09,956
2019-11-10,912
2019-11-11,866
2019-11-12,895
2019-11-13,905
2019-11-14,905
2019-11-15,897
2019-11-16,918
2019-11-17,918
2019-11-18,872
2019-11-19,872
2019-11-20,828
2019-11-21,828
2019-11-22,831
2019-11-23,852
2019-11-24,839
2019-11-25,839
2019-11-26,797
2019-11-27,797
2019-11-28,823
2019-11-29,823
2019-11-30,851
2019-12-01,851
2019-12-02,884
2019-12-03,881
2019-12-04,881
2019-12-05,890
2019-12-06,859
2019-12-07,816
2019-12-08,777
2019-12-09,749
2019-12-10,736
2019-12-11,700
2019-12-12,700
2019-12-13,697
2019-12-14,721
2019-12-15,745
2019-12-16,745
2019-12-17,733
2019-12-18,733
2019-12-19,713
2019-12-20,713
2019-12-21,704
2019-12-22,704
2019-12-23,669
2019-12-24,661
2019-12-25,684
2019-12-26,684
2019-12-27,667
2019-12-28,634
2019-12-29,634
2019-12-30,611
2019-12-31,620
2020-01-01,615
2020-01-02,586
2020-01-03,586
2020-01-04,589
2020-01-05,575
2020-01-06,575
2020-01-07,591
2020-01-08,591
2020-01-09,561
2020-01-10,536
2020-01-11,523
2020-01-12,525
2020-01-13,525
2020-01-14,512
2020-01-15,534
2020-01-16,510
2020-01-17,484
2020-01-18,484
2020-01-19,465
2020-01-20,465
2020-01-21,474
2020-01-22,475
2020-01-23,491
2020-01-24,508
2020-01-25,508
2020-01-26,482
2020-01-27,457
2020-01-28,457
2020-01-29,434
2020-01-30,412
2020-01-31,395
2020-02-01,392
2020-02-02,374
2020-02-03,375
2020-02-04,373
2020-02-05,356
2020-02-06,341
2020-02-07,323
2020-02-08,306
2020-02-09,291
2020-02-10,276
2020-02-11,276
2020-02-12,264
2020-02-13,264
2020-02-14,263
2020-02-15,264
2020-02-16,266
2020-02-17,280
2020-02-18,293
2020-02-19,293
2020-02-20,308
2020-02-21,308
2020-02-22,323
2020-02-23,340
2020-02-24,357
2020-02-25,375
2020-02-26,393
2020-02-27,393
2020-02-28,413
2020-02-29,413
2020-03-01,427
2020-03-02,423
2020-03-03,445
2020-03-04,445
2020-03-05,444
2020-03-06,422
2020-03-07,400
2020-03-08,381
2020-03-09,396
2020-03-10,392
2020-03-11,392
2020-03-12,405
2020-03-13,405
2020-03-14,424
2020-03-15,446
2020-03-16,454
2020-03-17,476
2020-03-18,494
2020-03-19,513
2020-03-20,526
2020-03-21,531
2020-03-22,517
2020-03-23,512
2020-03-24,508
2020-03-25,502
2020-03-26,505
2020-03-27,494
2020-03-28,473
2020-03-29,485
2020-03-30,495
2020-03-31,470
2020-04-01,460
2020-04-02,479
2020-04-03,479
2020-04-04,489
2020-04-05,495
2020-04-06,515
2020-04-07,533
2020-04-08,545
2020-04-09,559
2020-04-10,580
2020-04-11,582
2020-04-12,600
2020-04-13,629
2020-04-14,650
2020-04-15,631
2020-04-16,599
2020-04-17,572
2020-04-18,580
2020-04-19,572
2020-04-20,586
2020-04-21,577
2020-04-22,592
2020-04-23,618
2020-04-24,645
2020-04-25,659
2020-04-26,689
2020-04-27,705
2020-04-28,734
2020-04-29,752
2020-04-30,737
2020-05-01,701
2020-05-02,696
2020-05-03,668
2020-05-04,638
2020-05-05,636
2020-05-06,623
2020-05-07,606
2020-05-08,582
2020-05-09,552
2020-05-10,542
2020-05-11,542
2020-05-12,548
2020-05-13,547
