date_obj,Rune%20dart price
2017-08-19,1147
2017-08-20,1181
2017-08-21,1166
2017-08-22,1127
2017-08-23,1096
2017-08-24,1073
2017-08-25,1063
2017-08-26,1048
2017-08-27,1040
2017-08-28,1027
2017-08-29,1024
2017-08-30,1007
2017-08-31,1000
2017-09-01,990
2017-09-02,988
2017-09-03,992
2017-09-04,1005
2017-09-05,1019
2017-09-06,1017
2017-09-07,993
2017-09-08,982
2017-09-09,983
2017-09-10,1005
2017-09-11,1038
2017-09-12,1053
2017-09-13,1084
2017-09-14,1076
2017-09-15,1095
2017-09-16,1065
2017-09-17,1025
2017-09-19,1018
2017-09-20,1010
2017-09-21,1013
2017-09-22,1014
2017-09-23,1024
2017-09-24,1022
2017-09-25,1023
2017-09-26,1036
2017-09-27,1023
2017-09-28,1042
2017-09-29,1034
2017-09-30,1028
2017-10-01,1027
2017-10-02,1024
2017-10-03,1019
2017-10-04,1001
2017-10-05,996
2017-10-06,993
2017-10-07,1000
2017-10-08,985
2017-10-09,987
2017-10-10,991
2017-10-11,994
2017-10-12,985
2017-10-13,983
2017-10-14,989
2017-10-15,991
2017-10-16,1003
2017-10-17,997
2017-10-18,997
2017-10-19,1009
2017-10-20,1017
2017-10-21,1044
2017-10-22,1085
2017-10-23,1064
2017-10-24,1020
2017-10-25,1003
2017-10-26,1052
2017-10-27,1101
2017-10-28,1157
2017-10-29,1199
2017-10-30,1143
2017-10-31,1122
2017-11-01,1144
2017-11-02,1151
2017-11-03,1109
2017-11-04,1146
2017-11-05,1102
2017-11-06,1059
2017-11-07,1051
2017-11-08,1040
2017-11-09,1036
2017-11-10,1036
2017-11-11,1057
2017-11-12,1042
2017-11-13,1039
2017-11-14,1033
2017-11-15,1026
2017-11-16,1021
2017-11-17,1020
2017-11-18,1029
2017-11-19,1020
2017-11-20,1043
2017-11-21,1038
2017-11-22,1074
2017-11-23,1124
2017-11-24,1180
2017-11-25,1206
2017-11-26,1155
2017-11-27,1153
2017-11-28,1107
2017-11-29,1065
2017-11-30,1040
2017-12-01,1026
2017-12-02,1032
2017-12-03,1024
2017-12-04,1002
2017-12-05,1004
2017-12-06,1029
2017-12-07,1018
2017-12-08,1012
2017-12-09,1005
2017-12-10,1004
2017-12-11,1002
2017-12-12,1003
2017-12-13,984
2017-12-14,976
2017-12-15,994
2017-12-16,1005
2017-12-17,1015
2017-12-18,992
2017-12-19,997
2017-12-20,1008
2017-12-21,1022
2017-12-22,1058
2017-12-23,1101
2017-12-24,1113
2017-12-25,1064
2017-12-26,1038
2017-12-27,1035
2017-12-28,1065
2017-12-29,1055
2017-12-30,1048
2017-12-31,1032
2018-01-01,1011
2018-01-02,1030
2018-01-03,1056
2018-01-04,1107
2018-01-05,1163
2018-01-06,1191
2018-01-07,1179
2018-01-08,1235
2018-01-09,1212
2018-01-10,1156
2018-01-11,1131
2018-01-12,1153
2018-01-13,1145
2018-01-14,1152
2018-01-15,1120
2018-01-16,1073
2018-01-17,1068
2018-01-18,1078
2018-01-19,1071
2018-01-20,1065
2018-01-21,1075
2018-01-22,1093
2018-01-23,1084
2018-01-24,1061
2018-01-25,1028
2018-01-26,1025
2018-01-27,1040
2018-01-28,1047
2018-01-29,1047
2018-01-30,1040
2018-01-31,1036
2018-02-01,1040
2018-02-02,1040
2018-02-03,1021
2018-02-04,1008
2018-02-05,989
2018-02-06,996
2018-02-07,1001
2018-02-08,1045
2018-02-09,1094
2018-02-10,1149
2018-02-11,1202
2018-02-12,1228
2018-02-13,1199
2018-02-14,1168
2018-02-15,1142
2018-02-16,1129
2018-02-17,1167
2018-02-18,1163
2018-02-19,1142
2018-02-20,1163
2018-02-21,1110
2018-02-22,1054
2018-02-23,1014
2018-02-24,985
2018-02-25,985
2018-02-26,997
2018-02-27,1014
2018-02-28,1058
2018-03-01,1101
2018-03-02,1138
2018-03-03,1135
2018-03-04,1121
2018-03-05,1097
2018-03-06,1083
2018-03-07,1084
2018-03-08,1119
2018-03-09,1099
2018-03-10,1079
2018-03-11,1072
2018-03-12,1076
2018-03-13,1086
2018-03-14,1088
2018-03-15,1076
2018-03-16,1079
2018-03-17,1074
2018-03-18,1073
2018-03-19,1068
2018-03-20,1096
2018-03-21,1088
2018-03-23,1075
2018-03-24,1069
2018-03-26,1057
2018-03-27,1066
2018-03-28,1085
2018-03-29,1068
2018-03-30,1050
2018-03-31,1056
2018-04-01,1056
2018-04-02,1044
2018-04-03,1047
2018-04-04,1075
2018-04-05,1061
2018-04-06,1037
2018-04-08,1047
2018-04-09,1050
2018-04-10,1055
2018-04-11,1053
2018-04-12,1046
2018-04-13,1050
2018-04-14,1062
2018-04-15,1072
2018-04-16,1114
2018-04-17,1132
2018-04-18,1122
2018-04-19,1171
2018-04-20,1159
2018-04-21,1139
2018-04-22,1087
2018-04-23,1061
2018-04-24,1051
2018-04-25,1040
2018-04-26,1043
2018-04-27,1050
2018-04-28,1077
2018-04-29,1070
2018-04-30,1062
2018-05-01,1056
2018-05-02,1079
2018-05-03,1076
2018-05-04,1116
2018-05-05,1128
2018-05-06,1128
2018-05-07,1107
2018-05-08,1099
2018-05-09,1089
2018-05-10,1050
2018-05-11,1062
2018-05-12,1080
2018-05-13,1073
2018-05-14,1057
2018-05-15,1045
2018-05-16,1045
2018-05-17,1054
2018-05-18,1060
2018-05-19,1068
2018-05-20,1074
2018-05-21,1100
2018-05-22,1125
2018-05-23,1151
2018-05-24,1142
2018-05-25,1138
2018-05-26,1157
2018-05-27,1118
2018-05-28,1113
2018-05-29,1084
2018-05-30,1062
2018-05-31,1072
2018-06-01,1086
2018-06-02,1097
2018-06-03,1119
2018-06-04,1123
2018-06-05,1133
2018-06-06,1111
2018-06-07,1066
2018-06-08,1056
2018-06-09,1090
2018-06-10,1099
2018-06-11,1100
2018-06-12,1108
2018-06-13,1113
2018-06-14,1161
2018-06-15,1192
2018-06-16,1244
2018-06-17,1187
2018-06-18,1129
2018-06-19,1079
2018-06-20,1079
2018-06-21,1076
2018-06-22,1078
2018-06-23,1082
2018-06-24,1117
2018-06-25,1153
2018-06-26,1159
2018-06-27,1150
2018-06-28,1115
2018-06-29,1099
2018-06-30,1100
2018-07-01,1119
2018-07-02,1119
2018-07-03,1138
2018-07-04,1172
2018-07-05,1159
2018-07-06,1139
2018-07-07,1112
2018-07-08,1076
2018-07-09,1071
2018-07-10,1080
2018-07-11,1096
2018-07-12,1078
2018-07-13,1113
2018-07-14,1135
2018-07-15,1169
2018-07-16,1194
2018-07-17,1188
2018-07-18,1136
2018-07-19,1131
2018-07-20,1129
2018-07-21,1142
2018-07-22,1148
2018-07-23,1146
2018-07-24,1161
2018-07-25,1167
2018-07-26,1199
2018-07-27,1252
2018-07-28,1252
2018-07-29,1240
2018-07-30,1231
2018-07-31,1184
2018-08-01,1140
2018-08-02,1154
2018-08-03,1156
2018-08-04,1163
2018-08-05,1159
2018-08-06,1183
2018-08-07,1195
2018-08-08,1170
2018-08-09,1153
2018-08-10,1144
2018-08-11,1134
2018-08-12,1092
2018-08-14,1115
2018-08-16,1140
2018-08-17,1123
2018-08-18,1101
