date_obj,Nose%20peg price
2019-01-31,380
2019-02-01,380
2019-02-02,395
2019-02-03,394
2019-02-04,394
2019-02-05,392
2019-02-06,392
2019-02-07,395
2019-02-08,398
2019-02-09,394
2019-02-10,389
2019-02-11,389
2019-02-12,402
2019-02-13,404
2019-02-14,404
2019-02-15,410
2019-02-16,407
2019-02-17,397
2019-02-18,392
2019-02-19,381
2019-02-20,388
2019-02-21,390
2019-02-22,385
2019-02-23,381
2019-02-24,374
2019-02-25,376
2019-02-26,381
2019-02-27,381
2019-02-28,381
2019-03-01,379
2019-03-02,384
2019-03-03,385
2019-03-04,380
2019-03-05,365
2019-03-06,363
2019-03-07,365
2019-03-08,365
2019-03-09,377
2019-03-10,367
2019-03-11,377
2019-03-12,389
2019-03-13,389
2019-03-14,387
2019-03-15,387
2019-03-16,395
2019-03-17,394
2019-03-18,394
2019-03-19,400
2019-03-20,404
2019-03-21,399
2019-03-22,399
2019-03-23,406
2019-03-24,412
2019-03-25,412
2019-03-26,423
2019-03-27,423
2019-03-28,442
2019-03-29,458
2019-03-30,458
2019-03-31,473
2019-04-01,487
2019-04-02,478
2019-04-03,484
2019-04-04,485
2019-04-05,497
2019-04-06,497
2019-04-07,515
2019-04-08,531
2019-04-09,530
2019-04-10,539
2019-04-11,514
2019-04-12,488
2019-04-13,463
2019-04-14,446
2019-04-15,446
2019-04-16,437
2019-04-17,437
2019-04-18,436
2019-04-19,427
2019-04-20,405
2019-04-21,405
2019-04-22,403
2019-04-23,414
2019-04-24,421
2019-04-25,431
2019-04-26,438
2019-04-27,438
2019-04-28,443
2019-04-29,442
2019-04-30,446
2019-05-01,446
2019-05-02,450
2019-05-03,464
2019-05-04,458
2019-05-05,454
2019-05-06,454
2019-05-07,451
2019-05-08,451
2019-05-09,446
2019-05-10,447
2019-05-11,447
2019-05-12,424
2019-05-13,424
2019-05-14,437
2019-05-15,437
2019-05-16,448
2019-05-17,448
2019-05-18,442
2019-05-19,442
2019-05-20,444
2019-05-21,444
2019-05-22,460
2019-05-23,459
2019-05-24,459
2019-05-25,460
2019-05-26,460
2019-05-27,467
2019-05-28,458
2019-05-29,467
2019-05-30,467
2019-05-31,467
2019-06-01,467
2019-06-02,447
2019-06-03,441
2019-06-04,439
2019-06-05,436
2019-06-06,440
2019-06-07,439
2019-06-08,430
2019-06-09,425
2019-06-10,425
2019-06-11,416
2019-06-12,401
2019-06-13,403
2019-06-14,420
2019-06-15,420
2019-06-16,422
2019-06-17,417
2019-06-18,417
2019-06-19,409
2019-06-20,418
2019-06-21,418
2019-06-22,412
2019-06-23,411
2019-06-24,411
2019-06-25,405
2019-06-26,405
2019-06-27,384
2019-06-28,384
2019-06-29,364
2019-06-30,345
2019-07-01,345
2019-07-02,327
2019-07-03,310
2019-07-04,310
2019-07-05,294
2019-07-06,280
2019-07-07,266
2019-07-08,260
2019-07-09,267
2019-07-10,267
2019-07-11,267
2019-07-12,266
2019-07-13,266
2019-07-14,270
2019-07-15,270
2019-07-16,278
2019-07-17,288
2019-07-18,288
2019-07-19,287
2019-07-20,287
