date_obj,Menaphite%20purple%20kilt price
2017-07-16,4725
2017-07-17,4725
2017-07-18,4725
2017-07-19,4725
2017-07-20,4725
2017-07-21,4725
2017-07-22,4725
2017-07-23,4725
2017-07-24,4725
2017-07-25,4725
2017-07-26,4725
2017-07-27,4725
2017-07-28,4725
2017-07-29,4725
2017-07-30,4579
2017-07-31,4579
2017-08-01,4579
2017-08-02,4579
2017-08-03,4579
2017-08-04,4579
2017-08-05,4579
2017-08-06,4579
2017-08-09,4579
2017-08-10,4579
2017-08-11,4579
2017-08-12,4579
2017-08-13,4579
2017-08-14,4579
2017-08-15,4579
2017-08-16,4579
2017-08-17,4579
2017-08-18,4579
2017-08-19,4579
2017-08-20,4579
2017-08-21,4579
2017-08-22,4579
2017-08-23,4579
2017-08-24,4579
2017-08-25,4579
2017-08-26,4383
2017-08-27,4383
2017-08-28,4383
2017-08-29,4383
2017-08-30,4383
2017-08-31,4383
2017-09-01,4383
2017-09-02,4383
2017-09-03,4383
2017-09-04,4383
2017-09-05,4383
2017-09-06,4383
2017-09-07,4383
2017-09-08,4383
2017-09-09,4383
2017-09-10,4383
2017-09-11,4383
2017-09-12,4383
2017-09-13,4383
2017-09-14,4195
2017-09-15,4195
2017-09-16,4195
2017-09-17,4195
2017-09-19,4195
2017-09-20,4195
2017-09-21,4195
2017-09-22,4195
2017-09-23,4195
2017-09-24,4195
2017-09-25,4195
2017-09-26,4195
2017-09-27,4195
2017-09-28,4195
2017-09-29,4195
2017-09-30,3991
2017-10-01,3991
2017-10-02,3991
2017-10-03,3991
2017-10-04,3991
2017-10-05,3991
2017-10-06,3991
2017-10-07,3991
2017-10-08,3991
2017-10-09,3991
2017-10-10,3991
2017-10-11,3991
2017-10-12,3991
2017-10-13,3991
2017-10-14,3991
2017-10-15,3991
2017-10-16,3991
2017-10-17,3991
2017-10-18,3991
2017-10-19,3991
2017-10-20,3793
2017-10-21,3793
2017-10-22,3793
2017-10-23,3793
2017-10-24,3793
2017-10-25,3793
2017-10-26,3793
2017-10-27,3793
2017-10-28,3793
2017-10-29,3793
2017-10-30,3793
2017-10-31,3793
2017-11-02,3793
2017-11-03,3793
2017-11-04,3793
2017-11-05,3793
2017-11-06,3793
2017-11-07,3632
2017-11-08,3632
2017-11-09,3632
2017-11-10,3632
2017-11-11,3632
2017-11-12,3632
2017-11-13,3632
2017-11-14,3632
2017-11-15,3632
2017-11-16,3632
2017-11-17,3632
2017-11-18,3632
2017-11-19,3632
2017-11-20,3632
2017-11-21,3632
2017-11-22,3632
2017-11-23,3632
2017-11-24,3632
2017-11-25,3632
2017-11-26,3453
2017-11-27,3453
2017-11-28,3453
2017-11-29,3453
2017-11-30,3453
2017-12-01,3453
2017-12-02,3453
2017-12-03,3453
2017-12-04,3453
2017-12-05,3453
2017-12-06,3453
2017-12-07,3453
2017-12-08,3453
2017-12-09,3453
2017-12-10,3453
2017-12-11,3453
2017-12-12,3453
2017-12-14,3453
2017-12-15,3285
2017-12-17,3285
2017-12-18,3285
2017-12-19,3285
2017-12-20,3285
2017-12-21,3285
2017-12-22,3285
2017-12-23,3285
2017-12-24,3285
2017-12-25,3285
2017-12-26,3285
2017-12-27,3285
2017-12-28,3285
2017-12-29,3285
2017-12-30,3285
2017-12-31,3285
2018-01-01,3285
2018-01-02,3285
2018-01-03,3162
2018-01-04,3162
2018-01-05,3162
2018-01-06,3162
2018-01-07,3162
2018-01-08,3162
2018-01-09,3162
2018-01-10,3162
2018-01-11,3162
2018-01-12,3162
2018-01-13,3162
2018-01-14,3162
2018-01-15,3162
2018-01-16,3162
2018-01-17,3091
2018-01-18,3091
2018-01-19,3091
2018-01-20,3091
2018-01-21,3091
2018-01-22,3091
2018-01-23,3091
2018-01-25,3091
2018-01-26,2987
2018-01-27,2987
2018-01-28,2987
2018-01-29,2987
2018-01-31,2987
2018-02-01,2987
2018-02-02,2839
2018-02-03,2839
2018-02-04,2839
2018-02-05,2839
2018-02-06,2839
2018-02-07,2839
2018-02-08,2839
2018-02-09,2839
2018-02-10,2839
2018-02-11,2700
2018-02-12,2700
2018-02-13,2700
2018-02-14,2700
2018-02-15,2700
2018-02-16,2700
2018-02-17,2700
2018-02-18,2700
2018-02-19,2567
2018-02-20,2567
2018-02-21,2567
2018-02-22,2567
2018-02-23,2567
2018-02-24,2567
2018-02-25,2454
2018-02-26,2454
2018-02-27,2454
2018-03-01,2454
2018-03-02,2454
2018-03-03,2337
2018-03-04,2337
2018-03-05,2337
2018-03-06,2337
2018-03-07,2337
2018-03-08,2337
2018-03-09,2337
2018-03-10,2238
2018-03-11,2238
2018-03-12,2238
2018-03-13,2238
2018-03-14,2238
2018-03-15,2238
2018-03-16,2238
2018-03-17,2129
2018-03-18,2129
2018-03-19,2129
2018-03-20,2129
2018-03-21,2129
2018-03-23,2025
2018-03-24,2025
2018-03-26,2025
2018-03-27,2025
2018-03-28,2025
2018-03-29,2025
2018-03-30,1925
2018-03-31,1925
2018-04-01,1925
2018-04-02,1925
2018-04-03,1925
2018-04-04,1925
2018-04-05,1925
2018-04-06,1925
2018-04-07,1851
2018-04-08,1851
2018-04-09,1851
2018-04-10,1851
2018-04-11,1851
2018-04-12,1851
2018-04-13,1851
2018-04-14,1804
2018-04-15,1804
2018-04-16,1804
2018-04-17,1804
2018-04-18,1804
2018-04-19,1804
2018-04-20,1804
2018-04-21,1837
2018-04-22,1837
2018-04-23,1837
2018-04-24,1837
2018-04-25,1837
