date_obj,Raw%20shark price
2019-04-22,625
2019-04-23,631
2019-04-24,629
2019-04-25,636
2019-04-26,634
2019-04-27,615
2019-04-28,615
2019-04-29,624
2019-04-30,617
2019-05-01,615
2019-05-02,621
2019-05-03,620
2019-05-04,611
2019-05-05,614
2019-05-06,620
2019-05-07,613
2019-05-08,615
2019-05-09,616
2019-05-10,619
2019-05-11,624
2019-05-12,616
2019-05-13,620
2019-05-14,636
2019-05-15,651
2019-05-16,663
2019-05-17,675
2019-05-18,669
2019-05-19,659
2019-05-20,662
2019-05-21,673
2019-05-22,679
2019-05-23,692
2019-05-24,707
2019-05-25,689
2019-05-26,685
2019-05-27,695
2019-05-28,703
2019-05-29,727
2019-05-30,734
2019-05-31,735
2019-06-01,711
2019-06-02,703
2019-06-03,707
2019-06-04,727
2019-06-05,719
2019-06-06,711
2019-06-07,708
2019-06-08,687
2019-06-09,678
2019-06-10,692
2019-06-11,691
2019-06-12,688
2019-06-13,682
2019-06-14,677
2019-06-15,657
2019-06-16,645
2019-06-17,639
2019-06-18,640
2019-06-19,638
2019-06-20,647
2019-06-21,623
2019-06-22,622
2019-06-23,606
2019-06-24,599
2019-06-25,597
2019-06-26,603
2019-06-27,602
2019-06-28,608
2019-06-29,594
2019-06-30,584
2019-07-01,588
2019-07-02,589
2019-07-03,592
2019-07-04,604
2019-07-05,615
2019-07-06,611
2019-07-07,596
2019-07-08,609
2019-07-09,621
2019-07-10,639
2019-07-11,643
2019-07-12,654
2019-07-13,637
2019-07-14,626
2019-07-15,637
2019-07-16,652
2019-07-17,662
2019-07-18,662
2019-07-19,648
2019-07-20,640
2019-07-21,622
2019-07-22,625
2019-07-23,632
2019-07-24,635
2019-07-25,629
2019-07-26,623
2019-07-27,616
2019-07-28,604
2019-07-29,603
2019-07-30,608
2019-07-31,630
2019-08-01,625
2019-08-02,623
2019-08-03,617
2019-08-04,616
2019-08-05,644
2019-08-06,645
2019-08-07,656
2019-08-08,648
2019-08-09,668
2019-08-10,655
