date_obj,Bowl%20of%20water price
2017-12-18,51
2017-12-19,49
2017-12-20,48
2017-12-21,45
2017-12-22,45
2017-12-23,47
2017-12-24,50
2017-12-25,53
2017-12-26,56
2017-12-27,59
2017-12-28,57
2017-12-29,55
2017-12-30,57
2017-12-31,57
2018-01-01,58
2018-01-02,57
2018-01-03,56
2018-01-04,58
2018-01-05,60
2018-01-06,59
2018-01-07,58
2018-01-08,57
2018-01-09,57
2018-01-10,54
2018-01-11,51
2018-01-12,48
2018-01-13,45
2018-01-14,46
2018-01-15,47
2018-01-16,46
2018-01-17,46
2018-01-18,46
2018-01-19,46
2018-01-20,46
2018-01-21,47
2018-01-22,50
2018-01-23,52
2018-01-24,55
2018-01-25,57
2018-01-26,60
2018-01-27,62
2018-01-28,62
2018-01-29,62
2018-01-30,61
2018-01-31,64
2018-02-01,68
2018-02-02,67
2018-02-03,70
2018-02-04,72
2018-02-05,68
2018-02-06,65
2018-02-07,66
2018-02-08,65
2018-02-09,68
2018-02-10,70
2018-02-11,73
2018-02-12,75
2018-02-13,75
2018-02-14,74
2018-02-15,74
2018-02-16,72
2018-02-17,69
2018-02-18,68
2018-02-19,64
2018-02-20,60
2018-02-21,58
2018-02-22,55
2018-02-23,53
2018-02-24,51
2018-02-25,53
2018-02-26,51
2018-02-27,51
2018-02-28,53
2018-03-01,54
2018-03-02,55
2018-03-03,56
2018-03-04,53
2018-03-05,54
2018-03-06,56
2018-03-07,59
2018-03-08,58
2018-03-09,57
2018-03-10,58
2018-03-11,58
2018-03-12,57
2018-03-13,58
2018-03-14,57
2018-03-15,54
2018-03-16,51
2018-03-17,48
2018-03-18,45
2018-03-19,42
2018-03-20,43
2018-03-21,46
2018-03-23,51
2018-03-24,51
2018-03-25,49
2018-03-26,48
2018-03-27,50
2018-03-28,51
2018-03-29,53
2018-03-30,50
2018-03-31,49
2018-04-01,51
2018-04-02,50
2018-04-03,51
2018-04-04,50
2018-04-05,47
2018-04-06,49
2018-04-07,49
2018-04-08,52
2018-04-09,55
2018-04-10,58
2018-04-11,61
2018-04-12,61
2018-04-13,62
2018-04-14,62
2018-04-15,59
2018-04-16,62
2018-04-17,65
2018-04-18,64
2018-04-19,65
2018-04-20,65
2018-04-21,64
2018-04-22,65
2018-04-23,65
2018-04-24,66
2018-04-25,67
2018-04-26,66
2018-04-27,67
2018-04-28,64
2018-04-29,64
2018-04-30,62
2018-05-01,60
2018-05-02,60
2018-05-03,58
2018-05-04,57
2018-05-05,56
2018-05-06,53
2018-05-07,52
2018-05-08,51
2018-05-09,51
2018-05-10,51
2018-05-11,52
2018-05-12,52
2018-05-13,51
2018-05-14,53
2018-05-15,53
2018-05-16,51
2018-05-17,52
2018-05-18,53
2018-05-19,55
2018-05-20,57
2018-05-21,59
2018-05-22,59
2018-05-23,58
2018-05-24,58
2018-05-25,58
2018-05-26,57
2018-05-27,56
2018-05-28,58
2018-05-29,58
2018-05-30,60
2018-05-31,60
2018-06-01,60
2018-06-02,59
2018-06-03,58
2018-06-04,56
2018-06-05,54
2018-06-06,53
2018-06-07,53
2018-06-08,52
2018-06-09,51
2018-06-10,51
2018-06-11,52
2018-06-12,51
2018-06-13,50
2018-06-14,52
2018-06-15,49
2018-06-16,46
2018-06-17,45
2018-06-18,45
2018-06-19,46
2018-06-20,47
2018-06-21,49
2018-06-22,46
2018-06-23,43
2018-06-24,41
2018-06-25,41
2018-06-26,41
2018-06-27,40
2018-06-28,39
2018-06-29,38
2018-06-30,36
2018-07-01,34
2018-07-02,32
2018-07-03,30
2018-07-04,30
2018-07-05,28
2018-07-06,26
2018-07-07,27
2018-07-08,27
2018-07-09,27
2018-07-10,27
2018-07-11,27
2018-07-12,28
2018-07-13,27
2018-07-14,28
2018-07-15,30
2018-07-16,32
2018-07-17,32
2018-07-18,31
2018-07-19,31
2018-07-20,31
2018-07-21,32
2018-07-22,32
2018-07-23,33
2018-07-24,33
2018-07-25,34
2018-07-26,33
2018-07-27,33
2018-07-28,34
2018-07-29,34
2018-07-30,35
2018-07-31,37
2018-08-01,38
2018-08-02,39
2018-08-03,41
2018-08-04,44
2018-08-05,47
2018-08-06,50
2018-08-07,52
2018-08-08,53
2018-08-09,53
2018-08-10,55
2018-08-11,57
2018-08-12,59
2018-08-14,62
2018-08-16,68
2018-08-17,72
2018-08-18,76
2018-08-19,75
2018-08-20,77
2018-08-21,79
2018-08-22,80
2018-08-23,81
2018-08-24,85
2018-08-25,90
2018-08-26,93
2018-08-27,97
2018-08-28,101
2018-08-29,104
2018-08-30,106
2018-08-31,109
2018-09-01,110
2018-09-02,116
2018-09-03,121
2018-09-04,118
2018-09-05,122
2018-09-06,121
2018-09-07,114
2018-09-08,108
2018-09-09,102
2018-09-10,96
2018-09-11,96
2018-09-12,95
2018-09-13,91
2018-09-14,87
2018-09-15,82
2018-09-16,77
2018-09-17,79
2018-09-18,80
2018-09-19,76
2018-09-20,73
2018-09-21,69
2018-09-22,67
2018-09-23,66
2018-09-24,67
2018-09-25,70
2018-09-26,74
2018-09-27,78
2018-09-28,80
2018-09-29,82
2018-09-30,83
2018-10-01,84
2018-10-02,86
2018-10-03,89
2018-10-04,93
2018-10-05,97
2018-10-06,98
2018-10-07,95
2018-10-08,92
2018-10-09,89
2018-10-10,86
2018-10-11,82
2018-10-12,78
2018-10-13,78
2018-10-14,76
2018-10-15,72
2018-10-16,68
2018-10-17,64
2018-10-18,60
2018-10-19,58
2018-10-20,57
2018-10-21,55
2018-10-22,54
2018-10-23,54
2018-10-24,54
2018-10-25,51
2018-10-26,50
2018-10-27,47
2018-10-28,47
2018-10-29,48
2018-10-30,49
2018-10-31,48
2018-11-01,47
2018-11-03,45
2018-11-04,46
2018-11-05,49
2018-11-06,50
2018-11-07,49
2018-11-08,48
2018-11-09,46
2018-11-10,43
2018-11-11,40
2018-11-12,38
2018-11-13,37
2018-11-15,36
2018-11-16,35
2018-11-17,33
2018-11-18,33
2018-11-19,34
2018-11-20,35
2018-11-21,37
2018-11-22,39
2018-11-23,40
2018-11-24,39
2018-11-25,37
2018-11-26,36
2018-11-27,36
2018-11-28,38
2018-11-29,40
2018-12-01,42
2018-12-02,44
2018-12-03,47
2018-12-04,48
2018-12-05,48
2018-12-07,47
2018-12-09,45
2018-12-10,43
2018-12-11,42
2018-12-12,41
2018-12-13,41
2018-12-14,40
2018-12-15,40
2018-12-16,41
2018-12-17,40
2018-12-18,42
2018-12-19,42
2018-12-20,45
2018-12-21,44
2018-12-22,43
2018-12-23,41
2018-12-24,41
2018-12-25,41
2018-12-26,42
2018-12-27,40
2018-12-28,39
2018-12-29,39
2018-12-30,40
2018-12-31,41
2019-01-01,42
2019-01-02,43
2019-01-03,45
2019-01-04,48
2019-01-05,47
2019-01-06,47
2019-01-08,42
2019-01-10,41
2019-01-11,42
2019-01-12,42
2019-01-13,44
