date_obj,Black%20shield%20(h5) price
2016-08-05,938
2016-08-06,938
2016-08-07,938
2016-08-08,938
2016-08-09,913
2016-08-10,913
2016-08-11,913
2016-08-12,913
2016-08-13,913
2016-08-14,913
2016-08-15,879
2016-08-16,879
2016-08-17,879
2016-08-18,879
2016-08-19,879
2016-08-20,879
2016-08-21,861
2016-08-22,861
2016-08-23,861
2016-08-24,861
2016-08-25,861
2016-08-26,861
2016-08-28,870
2016-08-31,870
2016-09-01,870
2016-09-02,870
2016-09-03,839
2016-09-04,839
2016-09-05,839
2016-09-06,839
2016-09-07,839
2016-09-08,839
2016-09-09,801
2016-09-10,801
2016-09-11,801
2016-09-12,801
2016-09-13,801
2016-09-14,801
2016-09-15,800
2016-09-16,800
2016-09-17,800
2016-09-18,800
2016-09-19,800
2016-09-20,800
2016-09-21,800
2016-09-22,828
2016-09-23,828
2016-09-24,828
2016-09-25,828
2016-09-26,828
2016-09-27,828
2016-09-28,828
2016-09-29,828
2016-09-30,849
2016-10-01,849
2016-10-02,849
2016-10-03,849
2016-10-04,849
2016-10-05,849
2016-10-06,849
2016-10-07,837
2016-10-08,837
2016-10-09,837
2016-10-10,837
2016-10-11,837
2016-10-12,837
2016-10-13,817
2016-10-14,817
2016-10-15,817
2016-10-16,817
2016-10-17,817
2016-10-18,817
2016-10-19,817
2016-10-20,828
2016-10-21,828
2016-10-22,828
2016-10-23,828
2016-10-24,828
2016-10-25,828
2016-10-26,844
2016-10-27,844
2016-10-28,844
2016-10-29,844
2016-10-30,844
2016-10-31,844
2016-11-01,844
2016-11-02,884
2016-11-03,884
2016-11-04,884
2016-11-05,884
2016-11-06,884
2016-11-07,884
2016-11-08,884
2016-11-09,925
2016-11-10,925
2016-11-11,925
2016-11-12,925
2016-11-13,925
2016-11-14,925
2016-11-15,925
2016-12-07,1033
2016-12-08,1033
2016-12-09,1033
2016-12-10,1030
2016-12-11,1030
2016-12-12,1030
2016-12-13,1030
2016-12-14,1030
2016-12-15,1030
2016-12-16,1028
2016-12-17,1028
2016-12-18,1028
2016-12-19,1028
2016-12-20,1028
2016-12-21,996
2016-12-22,996
2016-12-23,996
2016-12-24,996
2016-12-25,996
2016-12-26,996
2016-12-27,996
2016-12-28,1000
2016-12-29,1000
2016-12-30,1000
2016-12-31,1000
2017-01-01,1000
2017-01-02,1000
2017-01-03,995
2017-01-04,995
2017-01-05,995
2017-01-06,995
2017-01-07,995
2017-01-08,995
2017-01-09,1015
2017-01-10,1015
2017-01-11,1015
2017-01-12,1015
