date_obj,Desert%20legs price
2016-05-18,769
2016-05-19,787
2016-05-22,787
2016-05-23,787
2016-05-24,787
2016-05-25,749
2016-05-26,749
2016-05-27,749
2016-05-28,749
2016-05-29,749
2016-05-30,749
2016-05-31,749
2016-06-01,757
2016-06-02,757
2016-06-03,757
2016-06-04,757
2016-06-05,757
2016-06-06,757
2016-06-07,757
2016-06-08,784
2016-06-09,784
2016-06-10,784
2016-06-11,784
2016-06-12,784
2016-06-13,784
2016-06-14,814
2016-06-15,814
2016-06-16,814
2016-06-17,814
2016-06-18,814
2016-06-19,835
2016-06-20,835
2016-06-21,835
2016-06-22,835
2016-06-23,835
2016-06-24,835
2016-06-25,831
2016-06-26,831
2016-06-27,831
2016-06-28,831
2016-06-29,831
2016-06-30,831
2016-07-01,789
2016-07-02,789
2016-07-03,789
2016-07-04,789
2016-07-05,789
2016-07-06,789
2016-07-07,750
2016-07-08,750
2016-07-09,750
2016-07-10,750
2016-07-11,750
2016-07-12,774
2016-07-13,774
2016-07-14,774
2016-07-15,774
2016-07-16,774
2016-07-17,774
2016-07-18,751
2016-07-23,751
2016-07-24,751
2016-07-25,714
2016-07-26,714
2016-07-27,714
2016-07-28,714
2016-07-29,714
2016-07-30,714
2016-07-31,714
2016-08-01,709
2016-08-02,709
2016-08-03,709
2016-08-04,709
2016-08-05,709
2016-08-06,709
2016-08-07,709
2016-08-08,741
2016-08-09,741
2016-08-10,741
2016-08-11,741
2016-08-12,741
2016-08-13,741
2016-08-14,741
2016-08-15,741
2016-08-16,766
2016-08-17,766
2016-08-18,766
2016-08-19,766
2016-08-20,766
2016-08-21,766
2016-08-22,766
2016-08-23,766
2016-08-24,791
2016-08-25,791
2016-08-26,791
2016-08-28,791
2016-08-31,791
2016-09-01,817
2016-09-02,817
2016-09-03,817
2016-09-04,817
2016-09-05,817
2016-09-06,817
2016-09-07,817
2016-09-08,817
2016-09-09,817
2016-09-10,818
2016-09-11,818
2016-09-12,818
2016-09-13,818
2016-09-14,818
2016-09-15,818
2016-09-16,818
2016-09-17,818
2016-09-18,818
2016-09-19,819
2016-09-20,819
2016-09-21,819
2016-09-22,819
2016-09-23,819
2016-09-24,819
2016-09-25,819
2016-09-26,819
2016-09-27,819
2016-09-28,843
2016-09-29,843
2016-09-30,843
2016-10-01,843
2016-10-02,843
2016-10-03,843
2016-10-04,843
2016-10-05,843
2016-10-06,843
2016-10-07,843
2016-10-08,837
2016-10-09,837
2016-10-10,837
2016-10-11,837
2016-10-12,837
2016-10-13,837
2016-10-14,837
2016-10-15,837
2016-10-16,837
2016-10-17,868
2016-10-18,868
2016-10-19,868
2016-10-20,868
2016-10-21,868
2016-10-22,868
2016-10-23,868
2016-10-24,868
2016-10-25,868
2016-10-26,869
2016-10-27,869
2016-10-28,869
2016-10-29,869
2016-10-30,869
2016-10-31,869
2016-11-01,869
2016-11-02,869
2016-11-03,869
2016-11-04,878
2016-11-05,878
2016-11-06,878
2016-11-07,878
2016-11-08,878
2016-11-09,878
2016-11-10,878
2016-11-11,878
2016-11-12,878
2016-11-13,898
2016-11-14,898
2016-11-15,898
2016-12-07,781
2016-12-08,781
2016-12-09,781
2016-12-10,781
2016-12-11,743
2016-12-12,743
2016-12-13,743
2016-12-14,743
2016-12-15,743
2016-12-16,743
2016-12-17,743
2016-12-18,743
2016-12-19,743
2016-12-20,705
2016-12-21,705
2016-12-22,705
2016-12-23,705
2016-12-24,705
2016-12-25,705
2016-12-26,705
2016-12-27,670
2016-12-28,670
2016-12-29,670
2016-12-30,670
2016-12-31,670
2017-01-01,670
2017-01-02,636
2017-01-03,636
2017-01-04,636
2017-01-05,636
2017-01-06,636
2017-01-07,636
2017-01-08,604
2017-01-09,604
2017-01-10,604
2017-01-11,604
2017-01-12,604
2017-01-13,604
2017-01-14,573
2017-01-15,573
2017-01-16,573
2017-01-17,573
2017-01-18,573
2017-01-19,547
2017-01-20,547
2017-01-21,547
2017-01-22,547
2017-01-23,547
2017-01-27,520
2017-01-28,520
2017-01-29,494
2017-01-30,494
2017-01-31,494
2017-02-01,494
2017-02-02,494
2017-02-03,494
2017-02-04,469
2017-02-05,469
2017-02-06,469
2017-02-07,469
2017-02-08,469
2017-02-09,469
2017-02-10,445
2017-02-11,445
2017-02-12,445
2017-02-13,445
2017-02-14,445
2017-02-15,445
2017-02-16,422
2017-02-18,422
2017-02-19,422
2017-02-20,422
2017-02-21,400
2017-02-22,400
2017-02-23,400
2017-02-24,400
2017-02-25,400
2017-02-26,400
2017-02-27,380
2017-02-28,380
2017-03-01,380
2017-03-02,380
2017-03-03,380
2017-03-04,368
2017-03-05,368
2017-03-06,368
2017-03-07,368
2017-03-08,368
2017-03-09,368
2017-03-10,359
2017-03-11,359
2017-03-12,359
2017-03-13,359
2017-03-14,359
2017-03-15,341
2017-03-16,341
2017-03-17,341
2017-03-18,341
2017-03-19,341
2017-03-20,341
2017-03-21,323
2017-03-22,323
2017-03-23,323
2017-03-24,323
2017-03-25,323
2017-03-26,323
2017-03-27,337
2017-03-28,337
2017-03-29,337
2017-03-30,337
2017-03-31,337
2017-04-01,337
2017-04-02,339
2017-04-03,339
2017-04-04,339
2017-04-12,354
2017-04-13,354
2017-04-14,354
2017-04-15,365
2017-04-16,365
2017-04-17,365
2017-04-18,365
2017-04-19,365
2017-04-20,365
2017-04-21,382
2017-04-22,382
2017-04-23,382
2017-04-24,382
2017-04-25,382
2017-04-26,382
2017-04-27,382
2017-04-28,386
2017-04-29,386
2017-04-30,386
2017-05-01,386
2017-05-02,386
2017-05-03,370
2017-05-04,370
2017-05-05,370
2017-05-06,370
2017-05-07,370
2017-05-08,370
2017-05-09,382
2017-05-10,382
2017-05-11,382
2017-05-12,382
2017-05-13,382
2017-05-14,382
2017-05-15,382
2017-05-16,377
2017-05-17,377
2017-05-18,377
2017-05-19,377
2017-05-20,377
2017-05-21,377
2017-05-22,377
2017-05-23,374
2017-05-24,374
2017-05-25,374
2017-05-26,374
2017-05-27,374
2017-05-28,374
2017-05-29,373
2017-05-30,373
2017-05-31,373
2017-06-01,373
2017-06-02,373
2017-06-03,373
2017-06-04,373
2017-06-05,388
2017-06-06,388
2017-06-07,388
2017-06-08,388
2017-06-09,388
2017-06-10,401
2017-06-11,401
2017-06-12,401
2017-06-13,401
2017-06-14,401
2017-06-15,401
2017-06-16,401
2017-06-17,419
2017-06-18,419
2017-06-19,419
2017-06-20,419
2017-06-21,419
2017-06-22,419
2017-06-23,419
2017-06-24,431
2017-06-25,431
2017-06-26,431
2017-06-27,431
2017-06-28,431
2017-06-29,431
2017-06-30,431
2017-07-01,445
2017-07-02,445
2017-07-03,445
2017-07-04,445
2017-07-05,445
2017-07-06,445
2017-07-07,445
2017-07-08,445
2017-07-13,456
2017-07-14,456
2017-07-15,456
2017-07-16,450
2017-07-17,450
2017-07-18,450
2017-07-19,450
2017-07-20,450
2017-07-21,450
2017-07-22,450
2017-07-23,472
2017-07-24,472
2017-07-25,472
2017-07-26,472
2017-07-27,472
2017-07-28,472
2017-07-29,472
2017-07-30,495
2017-07-31,495
2017-08-01,495
2017-08-02,495
2017-08-03,495
2017-08-04,495
2017-08-05,508
2017-08-06,508
2017-08-09,508
2017-08-10,508
2017-08-11,504
2017-08-12,504
2017-08-13,504
2017-08-14,504
2017-08-15,504
2017-08-16,504
2017-08-17,508
2017-08-18,508
2017-08-19,508
2017-08-20,508
2017-08-21,508
2017-08-22,508
2017-08-23,508
2017-08-24,526
2017-08-25,526
2017-08-26,526
2017-08-27,526
2017-08-28,526
2017-08-29,526
2017-08-30,526
2017-08-31,542
2017-09-01,542
2017-09-03,542
2017-09-04,542
2017-09-05,542
2017-09-06,542
2017-09-07,563
2017-09-08,563
2017-09-09,563
2017-09-10,563
2017-09-11,563
2017-09-12,563
2017-09-13,563
2017-09-14,587
2017-09-15,587
2017-09-16,587
2017-09-17,587
2017-09-18,587
2017-09-19,587
2017-09-20,606
2017-09-21,606
2017-09-22,606
2017-09-23,606
2017-09-24,606
2017-09-25,606
2017-09-26,606
2017-09-27,606
2017-09-28,625
2017-09-29,625
2017-09-30,625
2017-10-01,625
2017-10-02,625
2017-10-03,625
2017-10-04,625
2017-10-05,651
2017-10-06,651
2017-10-07,651
2017-10-08,651
2017-10-09,651
2017-10-10,651
2017-10-11,651
2017-10-12,660
2017-10-13,660
2017-10-14,660
2017-10-15,660
2017-10-16,660
2017-10-17,660
2017-10-18,660
2017-10-19,667
2017-10-20,667
2017-10-21,667
2017-10-22,667
2017-10-23,667
2017-10-24,667
2017-10-25,667
2017-10-26,667
2017-10-27,657
2017-10-28,657
2017-10-29,657
2017-10-30,657
2017-10-31,657
2017-11-01,657
2017-11-02,657
2017-11-03,657
2017-11-04,658
2017-11-05,658
2017-11-06,658
2017-11-07,658
2017-11-08,658
2017-11-09,658
2017-11-10,658
2017-11-11,667
2017-11-12,667
2017-11-13,667
2017-11-14,667
2017-11-15,667
2017-11-16,667
2017-11-17,667
2017-11-18,667
2017-11-19,681
2017-11-20,681
2017-11-21,681
2017-11-22,681
2017-11-23,681
2017-11-24,681
2017-11-25,681
2017-11-26,695
2017-11-27,695
2017-11-28,695
2017-11-29,695
2017-11-30,695
