date_obj,Ancestral%20robe%20bottom price
2019-02-17,63639300
2019-02-18,63175916
2019-02-19,63222099
2019-02-20,63426203
2019-02-21,64518590
2019-02-22,64966183
2019-02-23,64620161
2019-02-24,64649656
2019-02-25,64601417
2019-02-26,64292627
2019-02-27,65046710
2019-02-28,65037521
2019-03-01,65081060
2019-03-02,65656039
2019-03-03,65781090
2019-03-04,66370276
2019-03-05,67557915
2019-03-06,68236055
2019-03-07,68202190
2019-03-08,67803216
2019-03-09,67234748
2019-03-10,66616011
2019-03-11,65593160
2019-03-12,65162488
2019-03-13,64868296
2019-03-14,65703250
2019-03-15,66460876
2019-03-16,66126765
2019-03-17,66569821
2019-03-18,66653732
2019-03-19,66472008
2019-03-20,65918407
2019-03-21,65632401
2019-03-22,65750266
2019-03-23,65763781
2019-03-24,65518901
2019-03-25,65150172
2019-03-26,64598159
2019-03-27,63615109
2019-03-28,62970499
2019-03-29,63191883
2019-03-30,63714757
2019-03-31,63453361
2019-04-01,63927748
2019-04-02,64921830
2019-04-03,65285017
2019-04-04,65046664
2019-04-05,64884215
2019-04-06,65090191
2019-04-07,65031349
2019-04-08,65356194
2019-04-09,65374394
2019-04-10,65383611
2019-04-11,65279868
2019-04-12,65696256
2019-04-13,65757223
2019-04-14,65257196
2019-04-15,64580596
2019-04-16,62023031
2019-04-17,62074090
2019-04-18,61062156
2019-04-19,61172638
2019-04-20,62826063
2019-04-21,62353828
2019-04-22,61920044
2019-04-23,61773228
2019-04-24,61546688
2019-04-25,61105981
2019-04-26,60853728
2019-04-27,61034839
2019-04-28,61024425
2019-04-29,60864204
2019-04-30,61035567
2019-05-01,61866240
2019-05-02,61615817
2019-05-03,61633167
2019-05-04,62137214
2019-05-05,63522667
2019-05-06,63667921
2019-05-07,63827107
2019-05-08,63834833
2019-05-09,63422725
2019-05-10,62820224
2019-05-11,62894177
2019-05-12,62658699
2019-05-13,62298288
2019-05-14,62018970
2019-05-15,62191287
2019-05-16,62012639
2019-05-17,61943072
2019-05-18,61151471
2019-05-19,60684490
2019-05-20,60484766
2019-05-21,59771514
2019-05-22,59679886
2019-05-23,58795418
2019-05-24,57172093
2019-05-25,56379356
2019-05-26,56602582
2019-05-27,56189854
2019-05-28,55761865
2019-05-29,55723489
2019-05-30,56364710
2019-05-31,57238352
2019-06-01,58507935
2019-06-02,60749599
2019-06-03,60307067
2019-06-04,59451003
2019-06-05,57233358
2019-06-06,55274753
2019-06-07,54870905
2019-06-08,54364224
2019-06-09,55522109
2019-06-10,56460632
2019-06-11,56040038
2019-06-12,55768836
2019-06-13,55842796
2019-06-14,56071805
2019-06-15,57273098
2019-06-16,56522136
2019-06-17,56074613
2019-06-18,55425726
2019-06-19,55202724
2019-06-20,52620262
2019-06-21,50929275
2019-06-22,49808215
2019-06-23,48078906
2019-06-24,49233225
2019-06-25,51454637
2019-06-26,53960274
2019-06-27,56657071
2019-06-28,56711812
2019-06-29,58784383
2019-06-30,59200795
2019-07-01,58597109
2019-07-02,58090495
2019-07-03,57413814
2019-07-04,56288358
2019-07-05,55978882
2019-07-06,56507866
2019-07-07,57537178
2019-07-08,59011091
2019-07-09,58598137
2019-07-10,57907969
2019-07-11,57116105
2019-07-12,57417319
2019-07-13,58062828
2019-07-14,59625180
2019-07-15,61142938
2019-07-16,60726941
2019-07-17,60340201
2019-07-18,59659826
2019-07-19,59485043
2019-07-20,59526456
2019-07-21,59781751
2019-07-22,59762190
2019-07-23,59634174
2019-07-24,59722611
2019-07-25,59899116
2019-07-26,61869300
2019-07-27,61729897
2019-07-28,63928233
2019-07-29,63838080
2019-07-30,64279821
2019-07-31,65037934
2019-08-01,66173444
2019-08-02,65402215
2019-08-03,64961658
2019-08-04,64923207
2019-08-05,64792885
2019-08-06,64265772
2019-08-07,63768149
2019-08-08,63410094
2019-08-09,63162425
2019-08-10,62797504
2019-08-11,62527414
2019-08-12,62856977
2019-08-13,62929910
2019-08-14,63182722
2019-08-15,63117291
2019-08-16,63241579
2019-08-17,63626052
2019-08-18,63480399
2019-08-19,62976700
2019-08-20,62396829
2019-08-21,62186093
2019-08-22,61848393
2019-08-23,61733772
2019-08-24,61867608
2019-08-24,61867608
2019-08-25,62523016
2019-08-25,62523016
2019-08-26,61737610
2019-08-27,61205377
2019-08-27,61205377
2019-08-28,60741075
2019-08-29,60895293
2019-08-30,61087451
2019-08-31,61490896
2019-09-01,61689793
2019-09-02,61720728
2019-09-03,61577877
2019-09-04,61781127
2019-09-05,62079091
2019-09-06,61824634
2019-09-07,61720650
2019-09-08,61495384
2019-09-09,61293687
2019-09-10,61053083
2019-09-11,60514006
2019-09-12,60343622
2019-09-13,60076824
2019-09-14,60281160
2019-09-15,60403625
2019-09-16,60257272
2019-09-17,60185581
2019-09-18,59960365
2019-09-19,59641787
2019-09-20,59332181
2019-09-21,58724753
2019-09-22,57919933
2019-09-23,56299864
2019-09-24,55682237
2019-09-25,55918282
2019-09-26,57237561
2019-09-27,58005312
2019-09-28,58192282
2019-09-29,58238833
2019-09-30,58145955
2019-10-01,57598873
2019-10-02,57538559
2019-10-03,57322823
2019-10-04,57778557
2019-10-05,58383315
2019-10-06,59090714
2019-10-07,58844724
2019-10-08,59135696
2019-10-09,59535906
2019-10-10,59732086
2019-10-11,60405299
2019-10-12,60691649
2019-10-13,60141561
2019-10-14,59793030
2019-10-15,59576272
2019-10-16,59420277
2019-10-17,59226134
2019-10-18,59383747
2019-10-19,59284536
2019-10-20,59134124
2019-10-21,59243702
2019-10-22,59297549
2019-10-23,58877793
2019-10-24,58938509
2019-10-25,58845763
2019-10-26,58868724
2019-10-27,58796471
2019-10-28,58786630
2019-10-29,58743474
2019-10-30,58614773
2019-10-31,58436450
2019-11-01,59167057
2019-11-02,59213471
2019-11-03,59960289
2019-11-04,59614951
2019-11-05,59847917
2019-11-06,61090157
2019-11-07,61207623
2019-11-08,60973378
2019-11-09,61798685
2019-11-10,61646054
2019-11-11,60908313
2019-11-12,60409093
2019-11-13,60210793
2019-11-14,60405545
2019-11-15,60433586
2019-11-16,60621043
2019-11-17,60453391
2019-11-18,60037734
2019-11-19,59683460
2019-11-20,59534338
2019-11-21,59390689
2019-11-22,59314099
2019-11-23,59441210
2019-11-24,59500415
2019-11-25,59607198
2019-11-26,59820018
2019-11-27,60550144
2019-11-28,60610207
2019-11-29,61463517
2019-11-30,61510647
2019-12-01,61752982
2019-12-02,61829527
2019-12-03,61294318
2019-12-04,61191237
2019-12-05,61202369
2019-12-06,60990655
2019-12-07,61029596
2019-12-08,61590129
2019-12-09,61309434
2019-12-10,61183689
2019-12-11,61100685
2019-12-12,61355877
2019-12-13,61087603
2019-12-14,61620137
2019-12-15,63514051
2019-12-16,63662511
2019-12-17,63681533
2019-12-18,63496881
2019-12-19,63397305
2019-12-20,63206357
2019-12-21,62709766
2019-12-22,62522201
2019-12-23,62286873
2019-12-24,61996358
2019-12-25,62177477
2019-12-26,62174705
2019-12-27,62224163
2019-12-28,62769477
2019-12-29,62557777
2019-12-30,62654889
2019-12-31,62498036
2020-01-01,62950612
2020-01-02,62794503
2020-01-03,62848420
2020-01-04,62763373
2020-01-05,62624243
2020-01-06,62502134
2020-01-07,62489196
2020-01-08,62480230
2020-01-09,62529840
2020-01-10,62911325
2020-01-11,62891242
2020-01-12,62725093
2020-01-13,62658413
2020-01-14,62751825
2020-01-15,62564978
2020-01-16,62359632
2020-01-17,62240860
2020-01-18,62211035
2020-01-19,62198505
2020-01-20,62140533
2020-01-21,62203599
2020-01-22,62094340
2020-01-23,61926426
2020-01-24,61835809
2020-01-25,61956160
2020-01-26,61878764
2020-01-27,61854384
2020-01-28,62103591
2020-01-29,62193301
2020-01-30,62226338
2020-01-31,62248824
2020-02-01,62522206
2020-02-02,62469367
2020-02-03,62528766
2020-02-04,62632748
2020-02-05,62746718
2020-02-06,60113794
2020-02-07,58528730
2020-02-08,57864266
2020-02-09,58217287
2020-02-10,58482243
2020-02-11,58352140
2020-02-12,58524340
2020-02-13,58689435
2020-02-14,59445721
2020-02-15,60605761
2020-02-16,60980863
2020-02-17,60937845
2020-02-18,60568038
2020-02-19,60175141
2020-02-20,59924586
2020-02-21,59983278
2020-02-22,59892157
2020-02-23,59801288
2020-02-24,59650489
2020-02-25,59586580
2020-02-26,59605987
2020-02-27,59542865
2020-02-28,59475902
2020-02-29,59518425
2020-03-01,59664565
2020-03-02,59724451
2020-03-03,59926588
2020-03-04,59920228
2020-03-05,59840723
2020-03-06,59640395
2020-03-07,59534957
2020-03-08,59660820
2020-03-09,59683622
2020-03-10,60470419
2020-03-11,60538857
2020-03-12,60498437
2020-03-13,60601051
2020-03-14,60971813
2020-03-15,61121628
2020-03-16,61468579
2020-03-17,61539608
2020-03-18,62166776
2020-03-19,62141418
2020-03-20,62741886
2020-03-21,63808345
2020-03-22,64055982
2020-03-23,64369992
2020-03-24,64485430
2020-03-25,64764832
2020-03-26,64987087
2020-03-27,64742671
2020-03-28,64470146
2020-03-29,62896135
2020-03-30,62991767
2020-03-31,64223385
2020-04-01,64036690
2020-04-02,64356884
2020-04-03,64061322
2020-04-04,64219410
2020-04-05,64516706
2020-04-06,64246365
2020-04-07,64978612
2020-04-08,64932476
2020-04-09,65178187
2020-04-10,65484510
2020-04-11,66325908
2020-04-12,66661085
2020-04-13,66707831
2020-04-14,66812682
2020-04-15,69175474
2020-04-16,69250228
2020-04-17,69498725
2020-04-18,69603382
2020-04-19,69041663
2020-04-20,68163152
2020-04-21,67294449
2020-04-22,64980356
2020-04-23,63081311
2020-04-24,64296852
2020-04-25,65175750
2020-04-26,65766097
2020-04-27,66207645
2020-04-28,66674879
2020-04-29,66879978
2020-04-30,67005406
2020-05-01,67286258
2020-05-02,67402006
2020-05-03,67554927
2020-05-04,68905277
2020-05-05,68738955
2020-05-06,68697437
2020-05-07,68701081
2020-05-08,68731802
2020-05-09,69138905
2020-05-10,69469927
2020-05-11,70084238
2020-05-12,70981139
2020-05-13,71482407
