date_obj,Black%20d'hide%20chaps%20(g) price
2017-08-25,1539398
2017-08-26,1521641
2017-08-27,1546507
2017-08-28,1553817
2017-08-29,1551691
2017-08-30,1549337
2017-08-31,1578187
2017-09-01,1576903
2017-09-02,1591450
2017-09-03,1623917
2017-09-04,1625491
2017-09-05,1633171
2017-09-06,1646421
2017-09-07,1661373
2017-09-08,1676290
2017-09-09,1652448
2017-09-10,1647332
2017-09-11,1609580
2017-09-12,1587696
2017-09-13,1568620
2017-09-14,1551894
2017-09-15,1561483
2017-09-16,1571968
2017-09-17,1551532
2017-09-18,1550084
2017-09-19,1555421
2017-09-20,1563324
2017-09-22,1600008
2017-09-23,1593643
2017-09-24,1606939
2017-09-25,1596519
2017-09-26,1643736
2017-09-27,1658446
2017-09-28,1665212
2017-09-29,1728270
2017-09-30,1811675
2017-10-01,1876883
2017-10-02,1876117
2017-10-03,1855314
2017-10-04,1866936
2017-10-05,1892191
2017-10-06,1938156
2017-10-07,1997517
2017-10-08,2003865
2017-10-09,1988956
2017-10-10,1922131
2017-10-11,1878170
2017-10-12,1863026
2017-10-13,1861337
2017-10-14,1857423
2017-10-15,1861866
2017-10-16,1852314
2017-10-17,1837339
2017-10-18,1835530
2017-10-19,1844260
2017-10-20,1819651
2017-10-21,1764650
2017-10-22,1746763
2017-10-23,1748583
2017-10-24,1740897
2017-10-25,1762856
2017-10-26,1786350
2017-10-27,1794367
2017-10-28,1794367
2017-10-29,1776854
2017-10-30,1774553
2017-10-31,1799272
2017-11-01,1768434
2017-11-02,1752118
2017-11-03,1744082
2017-11-04,1682763
2017-11-05,1644423
2017-11-06,1630744
2017-11-07,1618592
2017-11-08,1612666
2017-11-09,1570434
2017-11-10,1512595
2017-11-11,1476921
2017-11-12,1463266
2017-11-13,1450102
2017-11-14,1394730
2017-11-15,1346875
2017-11-16,1323530
2017-11-17,1350090
2017-11-18,1355992
2017-11-19,1339633
2017-11-20,1343437
2017-11-21,1326729
2017-11-22,1309855
2017-11-23,1272913
2017-11-24,1262345
2017-11-25,1254208
2017-11-26,1284477
2017-11-27,1252282
2017-11-28,1280493
2017-11-29,1318462
2017-11-30,1318369
2017-12-01,1311241
2017-12-02,1315569
2017-12-03,1309072
2017-12-04,1292210
2017-12-05,1275983
2017-12-06,1263582
2017-12-07,1266566
2017-12-08,1253501
2017-12-09,1262081
2017-12-10,1311041
2017-12-11,1312881
2017-12-12,1291013
2017-12-13,1285760
2017-12-14,1277663
2017-12-15,1289558
2017-12-16,1334139
2017-12-17,1384650
2017-12-18,1414310
2017-12-19,1394799
2017-12-20,1393343
2017-12-21,1362123
2017-12-22,1353896
2017-12-23,1401330
2017-12-24,1431293
2017-12-25,1486915
2017-12-26,1532902
2017-12-27,1518898
2017-12-28,1522015
2017-12-29,1485448
2017-12-30,1444787
2017-12-31,1480091
2018-01-01,1440762
2018-01-02,1403397
2018-01-03,1360738
2018-01-04,1330300
2018-01-05,1283377
2018-01-06,1235208
2018-01-07,1174914
2018-01-08,1159130
2018-01-09,1185937
2018-01-10,1154953
2018-01-11,1117633
2018-01-12,1101922
2018-01-13,1091527
2018-01-14,1130734
2018-01-15,1156786
2018-01-16,1119721
2018-01-17,1110132
2018-01-18,1114802
2018-01-19,1126144
2018-01-20,1115530
2018-01-21,1101911
2018-01-22,1073625
2018-01-23,1034592
2018-01-24,1011587
2018-01-25,991131
2018-01-26,992440
2018-01-27,1001505
2018-01-28,1027057
2018-01-29,1042373
2018-01-30,1063843
2018-01-31,1077279
2018-02-01,1107696
2018-02-02,1161498
2018-02-03,1210899
2018-02-04,1216751
2018-02-05,1205109
2018-02-06,1175419
2018-02-07,1129199
2018-02-08,1101740
2018-02-09,1060413
2018-02-10,1050421
2018-02-11,1063451
2018-02-12,1066425
2018-02-13,1055579
2018-02-14,1031007
2018-02-15,1001459
2018-02-16,1002821
2018-02-17,991867
2018-02-18,978001
2018-02-19,964680
2018-02-20,971113
2018-02-21,959271
2018-02-22,985868
2018-02-23,1033298
2018-02-24,1084817
2018-02-25,1122536
2018-02-26,1107654
2018-02-27,1147811
2018-02-28,1148326
2018-03-01,1135692
2018-03-02,1116356
2018-03-03,1144434
2018-03-04,1149833
2018-03-05,1159099
2018-03-06,1199262
2018-03-07,1199971
2018-03-08,1168437
2018-03-09,1144325
2018-03-10,1135089
2018-03-11,1157171
2018-03-12,1158635
2018-03-13,1157588
2018-03-14,1155619
2018-03-15,1146382
2018-03-16,1138762
2018-03-17,1139690
2018-03-18,1145956
2018-03-20,1144978
2018-03-21,1141496
2018-03-22,1136662
2018-03-23,1144170
2018-03-24,1176744
2018-03-25,1150899
2018-03-26,1148782
2018-03-27,1145581
2018-03-28,1146734
2018-03-29,1144298
2018-03-30,1147156
2018-03-31,1150513
2018-04-01,1160127
2018-04-02,1163709
2018-04-03,1160790
2018-04-04,1160688
2018-04-05,1155909
2018-04-06,1191772
2018-04-07,1203849
2018-04-08,1190122
2018-04-09,1173824
2018-04-10,1158853
2018-04-11,1153578
2018-04-12,1147629
2018-04-13,1161524
2018-04-14,1187346
2018-04-15,1233317
2018-04-16,1236814
2018-04-17,1237830
2018-04-18,1239648
2018-04-19,1261312
2018-04-20,1249562
2018-04-21,1240322
2018-04-22,1240573
2018-04-23,1227794
2018-04-24,1227236
2018-04-25,1223609
2018-04-26,1217101
2018-04-27,1219013
2018-04-28,1216387
2018-04-29,1210757
2018-04-30,1203121
2018-05-01,1207165
2018-05-02,1244056
2018-05-03,1254594
2018-05-04,1256056
2018-05-05,1289746
2018-05-06,1288006
2018-05-07,1309007
2018-05-08,1304779
2018-05-09,1298607
2018-05-10,1317887
2018-05-11,1280366
2018-05-12,1268632
2018-05-13,1265735
2018-05-14,1271246
2018-05-15,1260630
2018-05-16,1264316
2018-05-17,1271454
2018-05-18,1302851
2018-05-19,1348400
2018-05-20,1400756
2018-05-21,1448654
2018-05-22,1496266
2018-05-23,1507190
2018-05-24,1482671
2018-05-25,1486344
2018-05-26,1489072
2018-05-27,1523999
2018-05-28,1529762
2018-05-29,1524889
2018-05-30,1489831
2018-05-31,1448560
2018-06-01,1467048
2018-06-02,1532854
2018-06-03,1568253
2018-06-04,1593956
2018-06-05,1569779
2018-06-06,1513056
2018-06-07,1446034
2018-06-08,1374443
2018-06-09,1305720
2018-06-10,1241413
2018-06-11,1179698
2018-06-12,1126636
2018-06-13,1097771
2018-06-14,1067908
2018-06-15,1060609
2018-06-16,1054282
2018-06-17,1071617
2018-06-18,1091455
2018-06-19,1101001
2018-06-20,1096916
2018-06-21,1093381
2018-06-22,1072606
2018-06-23,1066402
2018-06-24,1043971
2018-06-25,1013716
2018-06-26,995680
2018-06-27,993722
2018-06-28,1006775
2018-06-29,1012289
2018-06-30,999080
2018-07-01,973778
2018-07-02,958965
2018-07-03,961063
2018-07-04,957919
2018-07-05,960525
2018-07-06,963637
2018-07-07,988656
2018-07-08,983563
2018-07-09,985566
2018-07-10,1000698
2018-07-11,1011691
2018-07-12,1009348
2018-07-13,1026773
2018-07-14,1056300
2018-07-15,1076207
2018-07-16,1115408
2018-07-17,1148695
2018-07-18,1143468
2018-07-19,1159841
2018-07-20,1173237
2018-07-21,1171031
2018-07-22,1220243
2018-07-23,1239502
2018-07-24,1247992
2018-07-25,1233911
2018-07-26,1213121
2018-07-27,1169899
2018-07-28,1153157
2018-07-29,1150536
2018-07-30,1151231
2018-07-31,1178209
2018-08-01,1182529
2018-08-02,1194323
2018-08-03,1215022
2018-08-04,1240507
2018-08-05,1241127
2018-08-06,1226030
2018-08-07,1236405
2018-08-08,1272388
2018-08-09,1262146
2018-08-10,1239810
2018-08-11,1210169
2018-08-12,1211963
2018-08-14,1171161
2018-08-16,1132018
2018-08-17,1083820
2018-08-18,1069495
2018-08-19,1092093
2018-08-20,1101464
2018-08-21,1085858
2018-08-22,1105815
2018-08-23,1114432
2018-08-24,1139443
2018-08-25,1129794
2018-08-26,1162537
2018-08-27,1161867
2018-08-28,1149834
2018-08-29,1153238
2018-08-30,1161101
2018-08-31,1197867
2018-09-01,1244870
2018-09-02,1274617
2018-09-03,1293710
2018-09-04,1320444
2018-09-05,1385227
2018-09-06,1419346
2018-09-07,1431667
2018-09-08,1409086
2018-09-09,1370091
2018-09-10,1328388
2018-09-11,1302878
2018-09-12,1295748
2018-09-13,1284347
2018-09-14,1275803
2018-09-15,1268684
2018-09-16,1257021
2018-09-17,1245923
2018-09-18,1215225
2018-09-19,1204817
2018-09-20,1191252
2018-09-21,1172252
2018-09-22,1150697
2018-09-23,1148526
2018-09-24,1131400
2018-09-25,1103941
2018-09-26,1078821
2018-09-27,1070965
2018-09-28,1073011
2018-09-29,1073004
2018-09-30,1068239
2018-10-01,1072010
2018-10-02,1073135
2018-10-03,1068997
2018-10-04,1066844
2018-10-05,1069115
2018-10-06,1052182
2018-10-07,1039534
2018-10-08,1037298
2018-10-09,1039351
2018-10-10,1044224
2018-10-11,1056939
2018-10-12,1061670
2018-10-13,1052681
2018-10-14,1046903
2018-10-15,1042286
2018-10-16,1040498
2018-10-17,1046392
2018-10-18,1028182
2018-10-19,1016892
2018-10-20,1014335
2018-10-21,1048140
2018-10-22,1052957
2018-10-23,1057599
2018-10-24,1050882
2018-10-25,1081939
2018-10-26,1107279
2018-10-27,1107310
2018-10-28,1119389
2018-10-29,1125799
2018-10-30,1117261
2018-10-31,1143123
2018-11-01,1150553
2018-11-03,1169806
2018-11-04,1169736
2018-11-05,1173697
2018-11-06,1175533
2018-11-07,1190939
2018-11-08,1223899
2018-11-09,1232580
