date_obj,Fenkenstrain's%20castle%20teleport%20(tablet) price
2018-09-10,1666
2018-09-11,1666
2018-09-12,1665
2018-09-13,1665
2018-09-14,1669
2018-09-15,1712
2018-09-16,1712
2018-09-17,1650
2018-09-18,1610
2018-09-19,1610
2018-09-20,1631
2018-09-21,1634
2018-09-22,1640
2018-09-23,1604
2018-09-24,1645
2018-09-25,1645
2018-09-26,1681
2018-09-27,1681
2018-09-28,1670
2018-09-29,1714
2018-09-30,1734
2018-10-01,1767
2018-10-02,1765
2018-10-03,1703
2018-10-04,1703
2018-10-05,1658
2018-10-06,1642
2018-10-07,1642
2018-10-08,1563
2018-10-09,1533
2018-10-10,1578
2018-10-11,1640
2018-10-12,1640
2018-10-13,1717
2018-10-14,1779
2018-10-15,1735
2018-10-16,1735
2018-10-17,1764
2018-10-18,1841
2018-10-19,1833
2018-10-20,1833
2018-10-21,1904
2018-10-22,1944
2018-10-23,1944
2018-10-24,1887
2018-10-25,1887
2018-10-26,1891
2018-10-27,1854
2018-10-28,1919
2018-10-29,1919
2018-10-30,1989
2018-10-31,2008
2018-11-01,2026
2018-11-03,2014
2018-11-04,1976
2018-11-05,1919
2018-11-06,1941
2018-11-07,1941
2018-11-08,2012
2018-11-09,2111
2018-11-10,2217
2018-11-11,2323
2018-11-12,2440
2018-11-13,2453
2018-11-14,2532
2018-11-15,2595
2018-11-16,2721
2018-11-17,2721
2018-11-18,2811
2018-11-19,2825
2018-11-20,2915
2018-11-21,2824
2018-11-22,2691
2018-11-23,2560
2018-11-24,2448
2018-11-25,2325
2018-11-26,2325
2018-11-27,2225
2018-11-29,2231
2018-12-01,2229
2018-12-03,2279
2018-12-04,2384
2018-12-05,2447
2018-12-07,2464
2018-12-09,2447
2018-12-10,2359
2018-12-11,2253
2018-12-12,2151
2018-12-13,2086
2018-12-14,2026
2018-12-15,2002
2018-12-16,1959
2018-12-17,1980
2018-12-18,1994
2018-12-19,2063
2018-12-20,2116
2018-12-21,2169
2018-12-22,2218
2018-12-23,2175
2018-12-24,2167
2018-12-25,2238
2018-12-26,2341
2018-12-27,2318
2018-12-28,2230
2018-12-29,2243
2018-12-30,2279
2018-12-31,2384
2019-01-01,2504
2019-01-02,2604
2019-01-03,2619
2019-01-04,2558
2019-01-05,2482
2019-01-06,2410
2019-01-08,2392
2019-01-10,2202
2019-01-11,2103
2019-01-12,2056
2019-01-13,2082
2019-01-14,2067
2019-01-15,2060
2019-01-16,2060
2019-01-17,2042
2019-01-18,1999
2019-01-19,2020
2019-01-20,2020
2019-01-21,2087
2019-01-22,2168
2019-01-23,2149
2019-01-24,2166
2019-01-25,2114
2019-01-26,2090
2019-01-27,2082
2019-01-28,1980
2019-01-29,1884
2019-01-30,1799
2019-01-31,1760
2019-02-01,1712
2019-02-02,1644
2019-02-03,1593
2019-02-04,1641
2019-02-05,1681
2019-02-06,1766
2019-02-07,1757
2019-02-08,1803
2019-02-09,1842
2019-02-10,1880
2019-02-11,1903
2019-02-12,1832
2019-02-13,1851
2019-02-14,1851
2019-02-15,1848
2019-02-16,1793
2019-02-17,1805
2019-02-18,1752
2019-02-19,1681
2019-02-20,1602
2019-02-21,1608
2019-02-22,1686
2019-02-23,1755
2019-02-24,1802
2019-02-25,1791
2019-02-26,1765
2019-02-27,1710
2019-02-28,1696
2019-03-01,1703
2019-03-02,1644
2019-03-03,1674
2019-03-04,1674
2019-03-05,1705
2019-03-06,1784
2019-03-07,1775
2019-03-08,1775
2019-03-09,1816
2019-03-10,1875
2019-03-11,1966
2019-03-12,2022
2019-03-13,1933
2019-03-14,1874
2019-03-15,1781
2019-03-16,1727
2019-03-17,1791
2019-03-18,1791
2019-03-19,1881
2019-03-20,1971
2019-03-21,2044
2019-03-22,2035
2019-03-23,2059
2019-03-24,2135
2019-03-25,2135
2019-03-26,2225
2019-03-27,2225
2019-03-28,2337
2019-03-29,2450
2019-03-30,2450
2019-03-31,2487
2019-04-01,2430
2019-04-02,2312
2019-04-03,2222
2019-04-04,2169
2019-04-05,2275
2019-04-06,2385
2019-04-07,2481
2019-04-08,2569
2019-04-09,2615
2019-04-10,2700
2019-04-11,2737
2019-04-12,2779
2019-04-13,2775
2019-04-14,2675
2019-04-15,2541
2019-04-16,2413
2019-04-17,2314
2019-04-18,2291
2019-04-19,2265
2019-04-20,2204
2019-04-21,2185
2019-04-22,2107
2019-04-23,2002
2019-04-24,1907
2019-04-25,1905
2019-04-26,1872
2019-04-27,1873
2019-04-28,1880
2019-04-29,1808
2019-04-30,1758
2019-05-01,1731
2019-05-02,1731
2019-05-03,1744
2019-05-04,1762
2019-05-05,1820
2019-05-06,1801
2019-05-07,1805
2019-05-08,1879
2019-05-09,1961
2019-05-10,2059
2019-05-11,2076
2019-05-12,2093
2019-05-13,1998
2019-05-14,1901
2019-05-15,1805
2019-05-16,1730
2019-05-17,1683
2019-05-18,1710
2019-05-19,1678
2019-05-20,1636
2019-05-21,1593
2019-05-22,1589
2019-05-23,1658
2019-05-24,1726
2019-05-25,1784
2019-05-26,1851
2019-05-27,1841
2019-05-28,1859
2019-05-29,1942
2019-05-30,1999
2019-05-31,2027
2019-06-01,2019
2019-06-02,2067
2019-06-03,2166
2019-06-04,2159
2019-06-05,2071
2019-06-06,2077
2019-06-07,1984
2019-06-08,1903
2019-06-09,1913
2019-06-10,1913
2019-06-11,1948
2019-06-12,1866
2019-06-13,1779
2019-06-14,1750
2019-06-15,1804
2019-06-16,1831
2019-06-17,1862
2019-06-18,1867
2019-06-19,1904
2019-06-20,1905
2019-06-21,1907
2019-06-22,1968
2019-06-23,1977
2019-06-24,1970
2019-06-25,1916
2019-06-26,1849
2019-06-27,1763
2019-06-28,1677
2019-06-29,1614
2019-06-30,1568
2019-07-01,1554
2019-07-02,1605
2019-07-03,1679
2019-07-04,1673
2019-07-05,1655
2019-07-06,1738
2019-07-07,1821
2019-07-08,1854
2019-07-09,1809
2019-07-10,1815
2019-07-11,1768
2019-07-12,1701
2019-07-13,1638
2019-07-14,1556
2019-07-15,1507
2019-07-16,1445
2019-07-17,1392
2019-07-18,1364
2019-07-19,1363
2019-07-20,1420
2019-07-21,1471
2019-07-22,1517
2019-07-23,1593
2019-07-24,1673
2019-07-25,1754
2019-07-26,1840
2019-07-27,1910
2019-07-28,1977
2019-07-29,2022
2019-07-30,2117
2019-07-31,2187
2019-08-01,2235
2019-08-02,2237
2019-08-03,2278
2019-08-04,2197
2019-08-05,2089
2019-08-06,2063
2019-08-07,2131
2019-08-08,2119
2019-08-09,2163
2019-08-10,2143
2019-08-11,2085
2019-08-12,2168
2019-08-13,2157
2019-08-14,2149
2019-08-15,2126
2019-08-16,2025
2019-08-17,2025
2019-08-18,1929
2019-08-19,1917
2019-08-20,1984
2019-08-21,2056
2019-08-22,1987
2019-08-23,1928
2019-08-24,1846
2019-08-24,1846
2019-08-25,1778
2019-08-25,1778
2019-08-26,1802
2019-08-27,1890
2019-08-27,1890
2019-08-28,1953
2019-08-29,1960
2019-08-30,1973
2019-08-31,1973
2019-09-01,1964
2019-09-02,1964
2019-09-03,1908
2019-09-04,1903
2019-09-05,1813
2019-09-06,1813
2019-09-07,1793
2019-09-08,1776
2019-09-09,1840
2019-09-10,1873
2019-09-11,1935
2019-09-12,2029
2019-09-13,1959
2019-09-14,1878
2019-09-15,1818
2019-09-16,1898
2019-09-17,1966
2019-09-18,1885
2019-09-19,1881
2019-09-20,1881
2019-09-21,1876
2019-09-22,1880
2019-09-23,1893
2019-09-24,1893
2019-09-25,1903
2019-09-26,1890
2019-09-27,1890
2019-09-28,1901
2019-09-29,1853
2019-09-30,1858
2019-10-01,1844
2019-10-02,1844
2019-10-03,1908
2019-10-04,1931
2019-10-05,1985
2019-10-06,1928
2019-10-07,1984
2019-10-08,2062
2019-10-09,2062
2019-10-10,2066
2019-10-11,2020
2019-10-12,1998
2019-10-13,1942
2019-10-14,1906
2019-10-15,1876
2019-10-16,1932
2019-10-17,1932
2019-10-18,1985
2019-10-19,1993
2019-10-20,1978
2019-10-21,1965
2019-10-22,2020
2019-10-23,2121
2019-10-24,2179
2019-10-25,2165
2019-10-26,2214
2019-10-27,2325
2019-10-28,2442
2019-10-29,2442
2019-10-30,2415
2019-10-31,2333
2019-11-01,2216
2019-11-02,2108
2019-11-03,2002
2019-11-04,1946
2019-11-05,1946
2019-11-06,1997
2019-11-07,1997
2019-11-08,2034
2019-11-09,2047
2019-11-10,2079
2019-11-11,2166
2019-11-12,2218
2019-11-13,2198
2019-11-14,2204
2019-11-15,2273
2019-11-16,2316
2019-11-17,2316
2019-11-18,2310
2019-11-19,2424
2019-11-20,2490
2019-11-21,2490
2019-11-22,2443
2019-11-23,2361
2019-11-24,2410
2019-11-25,2518
2019-11-26,2530
2019-11-27,2530
2019-11-28,2422
2019-11-29,2442
2019-11-30,2482
2019-12-01,2487
2019-12-02,2401
2019-12-03,2313
2019-12-04,2245
2019-12-05,2245
2019-12-06,2260
2019-12-07,2339
2019-12-08,2278
2019-12-09,2164
2019-12-10,2055
2019-12-11,1954
2019-12-12,1954
2019-12-13,1960
2019-12-14,2028
2019-12-15,2086
2019-12-16,2141
2019-12-17,2100
2019-12-18,2056
2019-12-19,1993
2019-12-20,1972
2019-12-21,1903
2019-12-22,1945
2019-12-23,2043
2019-12-24,2105
2019-12-25,2147
2019-12-26,2147
2019-12-27,2160
2019-12-28,2137
2019-12-29,2187
2019-12-30,2295
2019-12-31,2266
2020-01-01,2370
2020-01-02,2457
2020-01-03,2420
2020-01-04,2518
2020-01-05,2555
2020-01-06,2680
2020-01-07,2777
2020-01-08,2777
2020-01-09,2786
2020-01-10,2729
2020-01-11,2677
2020-01-12,2625
2020-01-13,2625
2020-01-14,2558
2020-01-15,2463
2020-01-16,2394
2020-01-17,2319
2020-01-18,2240
2020-01-19,2134
2020-01-20,2112
2020-01-21,2103
2020-01-22,2135
2020-01-23,2173
2020-01-24,2212
2020-01-25,2151
2020-01-26,2087
2020-01-27,2099
2020-01-28,2119
2020-01-29,2169
2020-01-30,2270
2020-01-31,2374
2020-02-01,2385
2020-02-02,2345
2020-02-03,2251
2020-02-04,2264
2020-02-05,2262
2020-02-06,2372
2020-02-07,2477
2020-02-08,2508
2020-02-09,2429
2020-02-10,2307
2020-02-11,2191
2020-02-12,2087
2020-02-13,2110
2020-02-14,2042
2020-02-15,1987
2020-02-16,2034
2020-02-17,2014
2020-02-18,2078
2020-02-19,2158
2020-02-20,2172
2020-02-21,2172
2020-02-22,2064
2020-02-23,1960
2020-02-24,1882
2020-02-25,1901
2020-02-26,1886
2020-02-27,1886
2020-02-28,1863
2020-02-29,1863
2020-03-01,1841
2020-03-02,1883
2020-03-03,1930
2020-03-04,1990
2020-03-05,2048
2020-03-06,2053
2020-03-07,2075
2020-03-08,2066
2020-03-09,2067
2020-03-10,2021
2020-03-11,2003
2020-03-12,1976
2020-03-13,1974
2020-03-14,1994
2020-03-15,2064
2020-03-16,2167
2020-03-17,2233
2020-03-18,2260
2020-03-19,2316
2020-03-20,2386
2020-03-21,2458
2020-03-22,2547
2020-03-23,2557
2020-03-24,2446
2020-03-25,2397
2020-03-26,2302
2020-03-27,2282
2020-03-28,2380
2020-03-29,2492
2020-03-30,2609
2020-03-31,2643
2020-04-01,2600
2020-04-02,2549
2020-04-03,2515
2020-04-04,2527
2020-04-05,2538
2020-04-06,2583
2020-04-07,2713
2020-04-08,2782
2020-04-09,2770
2020-04-10,2679
2020-04-11,2654
2020-04-12,2570
2020-04-13,2448
2020-04-14,2410
2020-04-15,2346
2020-04-16,2246
2020-04-17,2312
2020-04-18,2318
2020-04-19,2320
2020-04-20,2269
2020-04-21,2203
2020-04-22,2150
2020-04-23,2081
2020-04-24,2106
