date_obj,Dragon%20platebody%20ornament%20kit price
2018-12-13,37807896
2018-12-14,37807896
2018-12-15,37807896
2018-12-16,39597887
2018-12-17,39597887
2018-12-18,39597887
2018-12-19,39597887
2018-12-20,39597887
2018-12-21,39597887
2018-12-22,41423684
2018-12-23,41423684
2018-12-24,41423684
2018-12-25,41423684
2018-12-26,41423684
2018-12-27,42992512
2018-12-28,42992512
2018-12-29,42992512
2018-12-30,42992512
2018-12-31,42992512
2019-01-01,42992512
2019-01-02,42992512
2019-01-03,40926015
2019-01-04,40926015
2019-01-05,40926015
2019-01-06,38913438
2019-01-08,38913438
2019-01-10,37066836
2019-01-11,37066836
2019-01-12,37066836
2019-01-13,37066836
2019-01-14,37066836
2019-01-15,37066836
2019-01-16,35213494
2019-01-17,35213494
2019-01-18,35213494
2019-01-19,35213494
2019-01-20,33571239
2019-01-21,33571239
2019-01-22,33571239
2019-01-23,33571239
2019-01-24,33571239
2019-01-25,31975414
2019-01-26,31975414
2019-01-27,31975414
2019-01-28,31975414
2019-01-29,30376643
2019-01-30,30376643
2019-01-31,30376643
2019-02-01,30376643
2019-02-02,30376643
2019-02-03,28857810
2019-02-04,28857810
2019-02-05,28857810
2019-02-06,28857810
2019-02-07,27414919
2019-02-08,27414919
2019-02-09,27414919
2019-02-10,27414919
2019-02-11,27414919
2019-02-12,27414919
2019-02-13,26457579
2019-02-14,26457579
2019-02-15,26457579
2019-02-16,26457579
2019-02-17,26457579
2019-02-18,26457579
2019-02-19,25756357
2019-02-20,25756357
2019-02-21,25756357
2019-02-22,25756357
2019-02-23,25756357
2019-02-24,25108714
2019-02-25,25108714
2019-02-26,25108714
2019-02-27,25108714
2019-02-28,25108714
2019-03-01,25108714
2019-03-02,25108714
2019-03-03,24270755
2019-03-04,24270755
2019-03-05,24270755
2019-03-06,24918708
2019-03-07,24918708
2019-03-08,24918708
2019-03-09,24918708
2019-03-10,24918708
2019-03-11,25086063
2019-03-12,25086063
2019-03-13,25086063
2019-03-14,25086063
2019-03-15,25086063
2019-03-16,25745251
2019-03-17,25745251
2019-03-18,25745251
2019-03-19,25745251
2019-03-20,25745251
2019-03-21,26363498
2019-03-22,26363498
2019-03-23,26363498
2019-03-24,26363498
2019-03-25,26363498
2019-03-26,25949389
2019-03-27,25949389
2019-03-28,25949389
2019-03-29,25949389
2019-03-30,25949389
