date_obj,Tan%20cavalier price
2017-07-27,3747
2017-07-28,3747
2017-07-29,3747
2017-07-30,3747
2017-07-31,3747
2017-08-01,3675
2017-08-02,3675
2017-08-03,3675
2017-08-04,3675
2017-08-05,3629
2017-08-06,3629
2017-08-09,3629
2017-08-10,3629
2017-08-11,3602
2017-08-12,3602
2017-08-13,3602
2017-08-14,3602
2017-08-15,3602
2017-08-16,3602
2017-08-17,3681
2017-08-18,3681
2017-08-19,3681
2017-08-20,3681
2017-08-21,3681
2017-08-22,3546
2017-08-23,3546
2017-08-24,3546
2017-08-25,3546
2017-08-26,3546
2017-08-27,3467
2017-08-28,3467
2017-08-29,3467
2017-08-30,3467
2017-08-31,3467
2017-09-01,3467
2017-09-02,3546
2017-09-03,3546
2017-09-04,3546
2017-09-05,3546
2017-09-06,3546
2017-09-07,3532
2017-09-08,3532
2017-09-09,3532
2017-09-10,3532
2017-09-11,3532
2017-09-12,3511
2017-09-13,3511
2017-09-14,3511
2017-09-15,3511
2017-09-16,3511
2017-09-17,3420
2017-09-19,3420
2017-09-20,3420
2017-09-21,3420
2017-09-22,3420
2017-09-23,3341
2017-09-24,3341
2017-09-25,3341
2017-09-26,3341
2017-09-27,3341
2017-09-28,3341
2017-09-29,3282
2017-09-30,3282
2017-10-01,3282
2017-10-02,3282
2017-10-03,3282
2017-10-04,3282
2017-10-05,3141
2017-10-06,3141
2017-10-07,3141
2017-10-08,3141
2017-10-09,3141
2017-10-10,2991
2017-10-11,2991
2017-10-12,2991
2017-10-13,2991
2017-10-14,2991
2017-10-15,2991
2017-10-16,2884
2017-10-17,2884
2017-10-18,2884
2017-10-19,2884
2017-10-20,2884
2017-10-21,2884
2017-10-22,2932
2017-10-23,2932
2017-10-24,2932
2017-10-25,2932
2017-10-26,2932
2017-10-27,3048
2017-10-28,3048
2017-10-29,3048
2017-10-30,3048
2017-10-31,3048
2017-11-01,3048
2017-11-02,2975
2017-11-03,2975
2017-11-04,2975
2017-11-05,2975
2017-11-06,2975
2017-11-07,2975
2017-11-08,2901
2017-11-09,2901
2017-11-10,2901
2017-11-11,2901
2017-11-12,2901
2017-11-13,2901
2017-11-14,2859
2017-11-15,2859
2017-11-16,2859
2017-11-17,2859
2017-11-18,2859
2017-11-19,2764
2017-11-20,2764
2017-11-21,2764
2017-11-22,2764
2017-11-23,2764
2017-11-24,2764
2017-11-25,2703
2017-11-26,2703
2017-11-27,2703
2017-11-28,2703
2017-11-29,2703
2017-11-30,2703
2017-12-01,2713
2017-12-02,2713
2017-12-03,2713
2017-12-04,2713
2017-12-05,2713
2017-12-06,2713
2017-12-07,2652
2017-12-08,2652
2017-12-09,2652
2017-12-10,2652
2017-12-11,2652
2017-12-12,2652
2017-12-13,2623
2017-12-14,2623
2017-12-15,2623
2017-12-16,2623
2017-12-17,2623
2017-12-18,2623
2017-12-19,2626
2017-12-20,2626
2017-12-21,2626
2017-12-22,2626
2017-12-23,2626
2017-12-24,2626
2017-12-25,2708
2017-12-26,2708
2017-12-27,2708
2017-12-28,2708
2017-12-29,2708
2017-12-30,2740
2017-12-31,2740
2018-01-01,2740
2018-01-02,2740
2018-01-03,2740
2018-01-04,2740
2018-01-05,2732
2018-01-06,2732
2018-01-07,2732
2018-01-08,2732
2018-01-09,2732
2018-01-10,2669
2018-01-11,2669
2018-01-12,2669
2018-01-13,2669
2018-01-14,2669
2018-01-15,2566
2018-01-16,2566
2018-01-17,2566
2018-01-18,2566
2018-01-19,2566
2018-01-20,2440
2018-01-21,2440
2018-01-22,2440
2018-01-23,2440
2018-01-24,2427
2018-01-25,2427
2018-01-26,2427
2018-01-27,2513
2018-01-28,2513
2018-01-29,2513
2018-01-30,2413
2018-02-01,2413
2018-02-02,2413
2018-02-03,2327
2018-02-04,2327
2018-02-05,2327
2018-02-06,2247
2018-02-07,2247
2018-02-08,2247
2018-02-09,2292
2018-02-10,2292
