date_obj,Ancient%20rune%20armour%20set%20(lg) price
2016-03-31,164728
2016-04-01,164728
2016-04-02,171828
2016-04-03,171828
2016-04-04,179487
2016-04-05,179487
2016-04-06,187318
2016-04-07,187318
2016-04-08,195984
2016-04-09,195984
2016-04-10,204509
2016-04-11,204509
2016-04-12,204509
2016-04-13,213476
2016-04-14,213476
2016-04-15,220230
2016-04-16,220230
2016-04-17,217573
2016-04-18,217573
2016-04-19,215558
2016-04-20,215558
2016-04-21,211664
2016-04-22,211664
2016-04-23,211092
2016-04-24,211092
2016-04-25,207544
2016-04-26,207544
2016-04-27,203744
2016-04-28,203744
2016-04-29,199572
2016-04-30,199572
2016-05-01,199835
2016-05-02,199835
2016-05-03,199114
2016-05-04,199114
2016-05-05,196460
2016-05-06,196460
2016-05-07,194184
2016-05-08,194184
2016-05-09,193551
2016-05-10,193551
2016-05-11,188834
2016-05-12,188834
2016-05-13,188798
2016-05-14,188798
2016-05-15,191434
2016-05-16,191434
2016-05-17,193887
2016-05-18,193887
2016-05-19,196921
2016-05-22,193080
2016-05-23,187705
2016-05-24,187705
2016-05-25,184578
2016-05-26,179871
2016-05-27,176224
2016-05-28,176224
2016-05-29,175715
2016-05-30,175715
2016-05-31,173435
2016-06-01,174558
2016-06-02,174558
2016-06-03,175484
2016-06-04,179403
2016-06-05,179403
2016-06-06,178435
2016-06-07,178435
2016-06-08,179068
2016-06-09,178395
2016-06-10,178660
2016-06-11,178660
2016-06-12,181545
2016-06-13,181545
2016-06-14,181459
2016-06-15,181459
2016-06-16,179011
2016-06-17,178682
2016-06-18,178682
2016-06-19,178522
2016-06-20,178522
2016-06-21,176723
2016-06-22,179601
2016-06-23,179601
2016-06-24,179035
2016-06-25,176135
2016-06-26,176135
2016-06-27,174295
2016-06-28,174295
2016-06-29,172138
2016-06-30,172138
2016-07-01,172506
2016-07-02,172506
2016-07-03,171195
2016-07-04,170301
2016-07-05,170301
2016-07-06,169566
2016-07-07,169566
2016-07-08,170098
2016-07-09,170098
2016-07-10,173430
2016-07-11,173430
2016-07-12,173078
2016-07-13,173078
2016-07-14,170857
2016-07-15,170857
2016-07-16,171857
2016-07-17,171857
2016-07-18,170243
2016-07-23,172624
2016-07-24,172624
2016-07-25,171466
2016-07-26,171466
2016-07-27,170982
2016-07-28,170982
2016-07-29,172172
2016-07-30,172172
2016-07-31,176135
2016-08-01,176135
2016-08-02,176057
2016-08-03,176057
2016-08-04,174763
2016-08-05,174763
2016-08-06,174844
2016-08-07,174844
2016-08-08,176480
2016-08-09,176480
2016-08-10,172709
2016-08-11,172709
2016-08-12,172709
2016-08-13,170607
2016-08-14,170607
2016-08-15,168142
2016-08-16,168142
2016-08-17,166746
2016-08-18,166746
2016-08-19,167595
2016-08-20,167595
2016-08-21,171373
2016-08-22,171373
2016-08-23,175018
2016-08-24,175018
2016-08-25,177099
2016-08-26,177099
2016-08-28,179289
2016-08-31,176058
2016-09-01,174239
2016-09-02,174239
2016-09-03,174239
2016-09-04,172399
2016-09-05,172399
2016-09-06,171980
2016-09-07,171980
2016-09-08,171980
2016-09-09,171417
2016-09-10,171417
2016-09-11,171278
2016-09-12,171278
2016-09-13,171394
2016-09-14,171394
2016-09-15,173101
2016-09-16,173101
2016-09-17,175753
2016-09-18,175753
2016-09-19,175708
2016-09-20,175708
2016-09-21,175708
2016-09-22,177451
2016-09-23,177451
2016-09-24,177451
2016-09-25,177510
2016-09-26,177510
2016-09-27,177510
2016-09-28,178373
2016-09-29,178373
2016-09-30,181244
2016-10-01,181244
2016-10-02,181232
2016-10-03,181232
2016-10-04,181232
2016-10-05,182497
2016-10-06,182497
2016-10-07,186706
2016-10-08,188617
2016-10-09,188617
2016-10-10,193338
2016-10-11,193338
2016-10-12,189364
2016-10-13,189364
2016-10-14,190489
2016-10-15,190489
2016-10-16,188949
2016-10-17,188949
2016-10-18,185893
2016-10-19,185893
2016-10-20,187008
2016-10-21,187008
2016-10-22,184439
2016-10-23,184439
2016-10-24,181239
2016-10-25,181239
2016-10-26,178215
2016-10-27,178215
2016-10-28,178215
2016-10-29,176485
2016-10-30,176485
2016-10-31,175892
2016-11-01,175892
2016-11-02,174363
2016-11-03,174363
2016-11-04,174160
2016-11-05,174160
2016-11-06,172018
2016-11-07,172018
2016-11-08,172236
2016-11-09,172236
2016-11-10,171211
2016-11-11,171211
2016-11-12,171032
2016-11-13,171032
2016-11-14,173257
2016-11-15,173257
2016-12-07,170418
2016-12-08,171580
2016-12-09,171580
2016-12-10,170666
2016-12-11,170666
2016-12-12,168721
2016-12-13,168721
2016-12-14,168373
2016-12-15,168373
2016-12-16,170392
2016-12-17,169209
2016-12-18,169209
2016-12-19,169187
2016-12-20,169689
