date_obj,Onyx%20bolt%20tips price
2017-11-04,8406
2017-11-05,8410
2017-11-06,8427
2017-11-07,8380
2017-11-08,8400
2017-11-09,8417
2017-11-10,8438
2017-11-11,8459
2017-11-12,8497
2017-11-13,8543
2017-11-14,8529
2017-11-15,8442
2017-11-16,8458
2017-11-17,8453
2017-11-18,8425
2017-11-19,8476
2017-11-20,8480
2017-11-21,8561
2017-11-22,8569
2017-11-23,8330
2017-11-24,8303
2017-11-25,8323
2017-11-26,8333
2017-11-27,8298
2017-11-28,8318
2017-11-29,8333
2017-11-30,8341
2017-12-01,8331
2017-12-02,8342
2017-12-03,8344
2017-12-04,8350
2017-12-05,8358
2017-12-06,8345
2017-12-07,8357
2017-12-08,8366
2017-12-09,8385
2017-12-10,8372
2017-12-11,8383
2017-12-12,8412
2017-12-14,8438
2017-12-15,8446
2017-12-16,8465
2017-12-17,8462
2017-12-18,8426
2017-12-19,8431
2017-12-20,8452
2017-12-21,8462
2017-12-22,8461
2017-12-23,8484
2017-12-24,8418
2017-12-25,8422
2017-12-26,8435
2017-12-27,8461
2017-12-28,8440
2017-12-29,8446
2017-12-30,8524
2017-12-31,8527
2018-01-01,8549
2018-01-02,8507
2018-01-03,8385
2018-01-04,8309
2018-01-05,8227
2018-01-06,8351
2018-01-07,8367
2018-01-08,8368
2018-01-09,8447
2018-01-10,8474
2018-01-11,8446
2018-01-12,8391
2018-01-13,8429
2018-01-14,8454
2018-01-15,8477
2018-01-16,8476
2018-01-17,8475
2018-01-18,8477
2018-01-19,8416
2018-01-20,8423
2018-01-21,8496
2018-01-22,8506
2018-01-23,8480
2018-01-24,8492
2018-01-25,8513
2018-01-26,8500
2018-01-27,8496
2018-01-28,8481
2018-01-29,8509
2018-01-31,8485
2018-02-01,8527
2018-02-02,8532
2018-02-03,8504
2018-02-04,8493
2018-02-05,8462
2018-02-06,8415
2018-02-07,8410
2018-02-08,8135
2018-02-09,7999
2018-02-10,8026
2018-02-11,8033
2018-02-12,8088
2018-02-13,8055
2018-02-14,7987
2018-02-15,7919
2018-02-16,7922
2018-02-17,7938
2018-02-18,8011
2018-02-19,8006
2018-02-20,7984
2018-02-21,8066
2018-02-22,8155
2018-02-23,8203
2018-02-24,8249
2018-02-25,8303
2018-02-26,8370
2018-02-27,8362
2018-03-01,8272
2018-03-02,8314
2018-03-03,8332
2018-03-04,8359
2018-03-05,8356
2018-03-06,8357
2018-03-07,8360
2018-03-08,8361
2018-03-09,8365
2018-03-10,8338
2018-03-11,8348
2018-03-12,8392
2018-03-13,8383
2018-03-14,8373
2018-03-15,8422
2018-03-16,8411
2018-03-17,8407
2018-03-18,8427
2018-03-19,8408
2018-03-20,8420
2018-03-21,8404
2018-03-23,8392
2018-03-24,8400
2018-03-26,8404
2018-03-27,8409
2018-03-28,8412
2018-03-29,8411
2018-03-30,8437
2018-03-31,8431
2018-04-01,8376
2018-04-02,8374
2018-04-03,8387
2018-04-04,8365
2018-04-05,8379
2018-04-06,8360
2018-04-08,8420
2018-04-09,8407
2018-04-10,8357
2018-04-11,8355
2018-04-12,8379
2018-04-13,8410
2018-04-14,8423
2018-04-15,8411
2018-04-16,8385
2018-04-17,8392
2018-04-18,8386
2018-04-19,8394
2018-04-20,8423
2018-04-21,8402
2018-04-22,8410
2018-04-23,8473
2018-04-24,8394
2018-04-25,8375
2018-04-26,8383
2018-04-27,8348
2018-04-28,8371
2018-04-29,8383
2018-04-30,8414
2018-05-01,8411
2018-05-02,8430
2018-05-04,8421
2018-05-05,8425
2018-05-06,8429
2018-05-07,8420
2018-05-08,8415
2018-05-09,8370
2018-05-10,8343
2018-05-11,8363
2018-05-12,8351
2018-05-13,8364
2018-05-14,8351
2018-05-15,8356
2018-05-16,8383
2018-05-17,8392
2018-05-18,8406
2018-05-19,8403
2018-05-20,8361
2018-05-21,8340
2018-05-22,8359
2018-05-23,8374
2018-05-24,8368
2018-05-25,8357
2018-05-26,8362
2018-05-27,8367
2018-05-28,8372
2018-05-29,8399
2018-05-30,8360
2018-05-31,8354
2018-06-01,8363
2018-06-02,8372
2018-06-03,8376
2018-06-04,8377
2018-06-05,8354
2018-06-06,8351
2018-06-07,8328
2018-06-08,8323
2018-06-09,8314
2018-06-10,8308
2018-06-11,8325
2018-06-12,8340
2018-06-13,8306
2018-06-14,8298
2018-06-15,8324
2018-06-16,8350
2018-06-17,8369
2018-06-18,8383
2018-06-19,8395
2018-06-20,8417
2018-06-21,8420
2018-06-22,8441
2018-06-23,8436
2018-06-24,8393
2018-06-25,8349
2018-06-26,8348
2018-06-27,8382
2018-06-28,8391
2018-06-29,8394
2018-06-30,8377
2018-07-01,8238
2018-07-02,8225
2018-07-03,8313
2018-07-04,8328
2018-07-05,8346
2018-07-06,8360
2018-07-07,8363
2018-07-08,8371
2018-07-09,8378
2018-07-10,8400
2018-07-11,8389
2018-07-12,8383
2018-07-13,8377
2018-07-14,8377
2018-07-15,8390
2018-07-16,8339
2018-07-17,8332
2018-07-18,8369
2018-07-19,8401
2018-07-20,8349
2018-07-21,8373
2018-07-22,8390
2018-07-23,8397
2018-07-24,8405
2018-07-25,8413
2018-07-26,8358
2018-07-27,8331
2018-07-28,8333
2018-07-29,8344
2018-07-30,8350
2018-07-31,8364
2018-08-01,8365
2018-08-02,8379
2018-08-03,8409
2018-08-04,8316
2018-08-05,8310
2018-08-06,8296
2018-08-07,8287
2018-08-08,8222
2018-08-09,8260
2018-08-10,8284
2018-08-11,8297
2018-08-12,8291
2018-08-14,8237
2018-08-16,8225
2018-08-17,8240
2018-08-18,8261
2018-08-19,8282
2018-08-20,8290
2018-08-21,8295
2018-08-22,8287
2018-08-23,8299
2018-08-24,8185
2018-08-25,8206
2018-08-26,8232
2018-08-27,8259
2018-08-28,8271
2018-08-29,8255
2018-08-30,8242
2018-08-31,8253
2018-09-01,8263
2018-09-02,8217
2018-09-03,8228
2018-09-04,8261
2018-09-05,8279
2018-09-06,8279
2018-09-07,8267
2018-09-08,8209
2018-09-09,8235
2018-09-10,8237
2018-09-11,8244
2018-09-12,8240
2018-09-13,8251
2018-09-14,8253
2018-09-15,8257
2018-09-16,8304
2018-09-17,8286
2018-09-18,8309
2018-09-19,8299
2018-09-20,8314
2018-09-21,8284
2018-09-22,8284
2018-09-23,8312
2018-09-24,8291
2018-09-25,8278
2018-09-26,8285
2018-09-27,8262
2018-09-28,8287
2018-09-29,8344
2018-09-30,8366
2018-10-02,8408
2018-10-03,8380
2018-10-04,8300
2018-10-05,8162
2018-10-06,8123
2018-10-07,8190
2018-10-08,8215
2018-10-09,8234
2018-10-10,8251
2018-10-11,8270
2018-10-12,8274
2018-10-13,8282
2018-10-14,8271
2018-10-15,8271
2018-10-16,8245
2018-10-17,8227
2018-10-18,8220
2018-10-19,8205
2018-10-20,8201
2018-10-21,8219
2018-10-22,8253
2018-10-23,8288
2018-10-24,8284
2018-10-25,8261
2018-10-26,8272
2018-10-27,8289
2018-10-28,8349
2018-10-29,8322
2018-10-30,8326
2018-10-31,8340
2018-11-01,8309
2018-11-03,8291
2018-11-04,8331
2018-11-05,8305
2018-11-06,8285
2018-11-07,8262
2018-11-08,8244
2018-11-09,8251
2018-11-10,8209
2018-11-11,8227
2018-11-12,8205
2018-11-13,8149
2018-11-15,8158
2018-11-16,8151
2018-11-17,8154
2018-11-18,8164
2018-11-19,8188
2018-11-20,8212
2018-11-21,8208
2018-11-22,8195
2018-11-23,8193
2018-11-24,8223
2018-11-25,8259
2018-11-26,8252
2018-11-27,8282
2018-11-28,8243
2018-11-29,8235
2018-12-01,8231
2018-12-02,8232
2018-12-03,8242
2018-12-04,8229
2018-12-05,8198
2018-12-07,8218
2018-12-09,8313
2018-12-10,8292
2018-12-11,8293
2018-12-12,8294
2018-12-13,8282
2018-12-14,8225
2018-12-15,8225
2018-12-16,8218
2018-12-17,8192
2018-12-18,8216
2018-12-19,8218
2018-12-20,8238
2018-12-21,8248
2018-12-22,8279
2018-12-23,8302
2018-12-24,8210
2018-12-25,8180
2018-12-26,8234
2018-12-27,8294
2018-12-28,8271
2018-12-29,8228
2018-12-30,8194
2018-12-31,8222
2019-01-01,8256
2019-01-02,8306
2019-01-03,8352
2019-01-04,8385
2019-01-05,8239
2019-01-06,8263
2019-01-08,8395
2019-01-10,8249
2019-01-11,8283
2019-01-12,8349
2019-01-13,8401
2019-01-14,8351
2019-01-15,8346
2019-01-16,8405
2019-01-17,8514
2019-01-18,8476
2019-01-19,8460
2019-01-20,8491
2019-01-21,8530
2019-01-22,8587
2019-01-23,8519
2019-01-24,8447
2019-01-25,8377
2019-01-26,8395
2019-01-27,8421
2019-01-28,8424
2019-01-29,8423
2019-01-30,8429
2019-01-31,8404
2019-02-01,8382
2019-02-02,8371
2019-02-03,8388
2019-02-04,8401
2019-02-05,8335
2019-02-06,8330
2019-02-07,8314
2019-02-08,8302
2019-02-09,8314
2019-02-10,8331
2019-02-11,8399
2019-02-12,8400
2019-02-13,8377
2019-02-14,8374
2019-02-15,8374
2019-02-16,8372
2019-02-17,8388
2019-02-18,8433
2019-02-19,8450
2019-02-20,8500
2019-02-21,8607
2019-02-22,8651
2019-02-23,8638
2019-02-24,8336
2019-02-25,8330
2019-02-26,8339
2019-02-27,8356
2019-02-28,8342
2019-03-01,8340
2019-03-02,8325
2019-03-03,8421
2019-03-04,8431
2019-03-05,8451
2019-03-06,8413
2019-03-07,8368
2019-03-08,8366
2019-03-09,8350
2019-03-10,8414
2019-03-11,8430
2019-03-12,8409
2019-03-13,8322
2019-03-14,8326
2019-03-15,8331
2019-03-16,8358
2019-03-17,8402
2019-03-18,8422
2019-03-19,8392
2019-03-20,8376
2019-03-21,8332
2019-03-22,8316
2019-03-23,8334
2019-03-24,8337
2019-03-25,8338
2019-03-26,8355
2019-03-27,8344
2019-03-28,8352
2019-03-29,8410
2019-03-30,8433
2019-03-31,8423
2019-04-01,8455
