date_obj,Shade%20robe%20top price
2018-05-25,1133
2018-05-26,1125
2018-05-27,1125
2018-05-28,1133
2018-05-29,1090
2018-05-30,1062
2018-05-31,1021
2018-06-01,1043
2018-06-02,1075
2018-06-03,1075
2018-06-04,1117
2018-06-05,1166
2018-06-06,1218
2018-06-07,1218
2018-06-08,1263
2018-06-09,1263
2018-06-10,1259
2018-06-11,1232
2018-06-12,1294
2018-06-13,1347
2018-06-14,1339
2018-06-15,1339
2018-06-16,1348
2018-06-17,1338
2018-06-18,1303
2018-06-19,1237
2018-06-20,1237
2018-06-21,1236
2018-06-22,1184
2018-06-23,1184
2018-06-24,1236
2018-06-25,1246
2018-06-26,1241
2018-06-27,1241
2018-06-28,1249
2018-06-29,1236
2018-06-30,1237
2018-07-01,1238
2018-07-02,1238
2018-07-03,1268
2018-07-04,1268
2018-07-05,1227
2018-07-06,1165
2018-07-07,1106
2018-07-08,1050
2018-07-09,1019
2018-07-10,994
2018-07-11,968
2018-07-12,949
2018-07-13,931
2018-07-14,893
2018-07-15,894
2018-07-16,866
2018-07-17,877
2018-07-18,899
2018-07-19,899
2018-07-20,915
2018-07-21,884
2018-07-22,884
2018-07-23,903
2018-07-24,873
2018-07-25,879
2018-07-26,903
2018-07-27,929
2018-07-28,969
2018-07-29,945
2018-07-30,963
2018-07-31,1002
2018-08-01,1002
2018-08-02,1008
2018-08-03,976
2018-08-04,990
2018-08-05,994
2018-08-06,966
2018-08-07,944
2018-08-08,913
2018-08-09,913
2018-08-10,877
2018-08-11,865
2018-08-12,858
2018-08-14,869
2018-08-16,903
2018-08-17,913
2018-08-18,925
2018-08-19,910
2018-08-20,882
2018-08-21,873
2018-08-22,851
2018-08-23,823
2018-08-24,801
2018-08-25,774
2018-08-26,797
2018-08-27,765
2018-08-28,753
2018-08-29,728
2018-08-30,724
2018-08-31,715
2018-09-01,695
2018-09-02,666
2018-09-03,653
2018-09-04,672
2018-09-05,703
2018-09-06,703
2018-09-07,712
