date_obj,Fish%20food price
2018-06-11,318
2018-06-12,318
2018-06-13,317
2018-06-14,317
2018-06-15,317
2018-06-16,317
2018-06-17,317
2018-06-18,317
2018-06-19,317
2018-06-20,317
2018-06-21,317
2018-06-22,312
2018-06-23,312
2018-06-24,312
2018-06-25,312
2018-06-26,312
2018-06-27,312
2018-06-28,312
2018-06-29,312
2018-06-30,312
2018-07-01,317
2018-07-02,317
2018-07-03,317
2018-07-04,317
2018-07-05,317
2018-07-06,317
2018-07-07,317
2018-07-08,317
2018-07-09,320
2018-07-10,320
2018-07-11,320
2018-07-12,320
2018-07-13,320
2018-07-14,320
2018-07-15,320
2018-07-16,320
2018-07-17,320
2018-07-18,320
2018-07-19,320
2018-07-20,320
2018-07-21,320
2018-07-22,320
2018-07-23,320
2018-07-24,323
2018-07-25,323
2018-07-26,323
2018-07-27,323
2018-07-28,323
2018-07-29,323
2018-07-30,321
2018-07-31,321
2018-08-01,321
2018-08-02,321
2018-08-03,321
2018-08-04,320
2018-08-05,320
2018-08-06,320
2018-08-07,320
2018-08-08,320
2018-08-09,323
2018-08-10,323
2018-08-11,323
2018-08-12,323
2018-08-14,306
2018-08-16,306
2018-08-17,306
2018-08-18,306
2018-08-19,307
2018-08-20,307
2018-08-21,307
2018-08-22,307
2018-08-23,307
2018-08-24,313
2018-08-25,313
2018-08-26,313
2018-08-27,313
2018-08-28,313
2018-08-29,317
2018-08-30,317
2018-08-31,317
2018-09-01,317
2018-09-02,317
2018-09-03,321
2018-09-04,321
2018-09-05,321
2018-09-06,321
2018-09-07,330
2018-09-08,330
2018-09-09,330
2018-09-10,330
2018-09-11,330
2018-09-12,335
2018-09-13,335
2018-09-14,335
2018-09-15,335
2018-09-16,345
2018-09-17,345
2018-09-18,345
2018-09-19,345
2018-09-20,350
2018-09-21,350
2018-09-22,350
2018-09-23,350
2018-09-24,358
2018-09-25,358
2018-09-26,358
2018-09-27,358
2018-09-28,358
2018-09-29,364
2018-09-30,364
2018-10-01,364
2018-10-02,364
2018-10-03,370
2018-10-04,370
2018-10-05,370
2018-10-06,370
2018-10-07,370
2018-10-08,381
2018-10-09,381
2018-10-10,381
2018-10-11,381
2018-10-12,381
2018-10-13,396
2018-10-14,396
2018-10-15,396
2018-10-16,396
2018-10-17,396
2018-10-18,396
2018-10-19,407
2018-10-20,407
2018-10-21,407
2018-10-22,407
2018-10-23,407
2018-10-24,407
2018-10-25,403
2018-10-26,403
2018-10-27,403
2018-10-28,403
2018-10-29,403
2018-10-30,403
2018-10-31,410
2018-11-01,410
2018-11-03,406
2018-11-04,406
2018-11-05,400
2018-11-06,400
2018-11-07,400
2018-11-08,398
2018-11-09,398
2018-11-10,388
2018-11-11,388
2018-11-12,380
2018-11-13,380
2018-11-14,380
2018-11-15,380
2018-11-16,380
2018-11-17,380
2018-11-18,378
2018-11-19,378
2018-11-20,369
2018-11-21,369
2018-11-22,369
2018-11-23,376
2018-11-24,376
2018-11-25,382
2018-11-26,382
2018-11-27,382
2018-11-28,386
2018-11-29,386
2018-12-01,385
2018-12-02,385
2018-12-03,385
2018-12-04,389
2018-12-05,389
2018-12-07,393
2018-12-09,393
2018-12-10,398
2018-12-11,398
2018-12-12,398
2018-12-13,395
2018-12-14,395
2018-12-15,395
2018-12-16,394
2018-12-17,394
2018-12-18,394
2018-12-19,394
2018-12-20,397
2018-12-21,397
2018-12-22,397
2018-12-23,395
2018-12-24,395
2018-12-25,395
2018-12-26,395
2018-12-27,398
2018-12-28,398
2018-12-29,398
2018-12-30,406
2018-12-31,406
2019-01-01,406
2019-01-02,410
2019-01-03,410
2019-01-04,410
2019-01-05,408
2019-01-06,408
2019-01-08,407
2019-01-10,407
2019-01-11,390
2019-01-12,390
2019-01-13,390
2019-01-14,391
2019-01-15,391
2019-01-16,391
2019-01-17,399
2019-01-18,399
2019-01-19,399
2019-01-20,399
2019-01-21,399
2019-01-22,399
2019-01-23,392
2019-01-24,392
2019-01-25,392
2019-01-26,384
2019-01-27,384
2019-01-28,384
2019-01-29,387
2019-01-30,387
2019-01-31,387
2019-02-01,390
2019-02-02,390
2019-02-03,390
2019-02-04,390
2019-02-05,391
2019-02-06,391
2019-02-07,391
2019-02-08,391
2019-02-09,399
2019-02-10,399
2019-02-11,399
2019-02-12,399
2019-02-13,410
2019-02-14,410
2019-02-15,410
2019-02-16,410
2019-02-17,406
2019-02-18,406
2019-02-19,406
2019-02-20,406
2019-02-21,412
2019-02-22,412
2019-02-23,412
2019-02-24,412
2019-02-25,414
2019-02-26,414
2019-02-27,414
2019-02-28,414
2019-03-01,414
2019-03-02,414
2019-03-03,415
2019-03-04,415
2019-03-05,415
2019-03-06,401
2019-03-07,401
2019-03-08,401
2019-03-09,401
2019-03-10,401
2019-03-11,401
2019-03-12,395
2019-03-13,395
2019-03-14,395
2019-03-15,395
2019-03-16,385
2019-03-17,385
2019-03-18,385
2019-03-19,385
