date_obj,Katana price
2016-06-21,982024
2016-06-22,1025083
2016-06-23,1076338
2016-06-24,1126552
2016-06-25,1098108
2016-06-26,1043202
2016-06-27,994462
2016-06-28,958863
2016-06-29,976053
2016-06-30,1014116
2016-07-01,1041565
2016-07-02,1091077
2016-07-03,1121709
2016-07-04,1093486
2016-07-05,1093486
2016-07-06,1051584
2016-07-07,999073
2016-07-08,952514
2016-07-09,904888
2016-07-10,859643
2016-07-11,816660
2016-07-12,775827
2016-07-13,737035
2016-07-14,700183
2016-07-15,667110
2016-07-16,633754
2016-07-17,604340
2016-07-18,574123
2016-07-23,491245
2016-07-24,473999
2016-07-25,455131
2016-07-26,442146
2016-07-27,447079
2016-07-28,462205
2016-07-29,481691
2016-07-30,505450
2016-07-31,505450
2016-08-01,530723
2016-08-02,555298
2016-08-03,558380
2016-08-04,554330
2016-08-05,554330
2016-08-06,576241
2016-08-07,601283
2016-08-08,601283
2016-08-09,614544
2016-08-10,614544
2016-08-11,632635
2016-08-12,632635
2016-08-13,663733
2016-08-14,663733
2016-08-15,696920
2016-08-16,726230
2016-08-17,726230
2016-08-18,762542
2016-08-19,800670
2016-08-20,838346
2016-08-21,838346
2016-08-22,861189
2016-08-23,885271
2016-08-24,864989
2016-08-25,826298
2016-08-26,826298
2016-08-28,867005
2016-08-31,950933
2016-09-01,993543
2016-09-02,993543
2016-09-03,1043221
2016-09-04,1092192
2016-09-05,1092192
2016-09-06,1129737
2016-09-07,1129737
2016-09-08,1095858
2016-09-09,1095858
2016-09-10,1048398
2016-09-11,1048398
2016-09-12,1000683
2016-09-13,954564
2016-09-14,954564
2016-09-15,906835
2016-09-16,906835
2016-09-17,861493
2016-09-18,861493
2016-09-19,818418
2016-09-20,818418
2016-09-21,777497
2016-09-22,752158
2016-09-23,752158
2016-09-24,758881
2016-09-25,763172
2016-09-26,763172
2016-09-27,756147
2016-09-28,756147
2016-09-29,724937
2016-09-30,703056
2016-10-01,687654
2016-10-02,687654
2016-10-03,679756
2016-10-04,679756
2016-10-05,692076
2016-10-06,692076
2016-10-07,717203
2016-10-08,733609
2016-10-09,733609
2016-10-10,736116
2016-10-11,736116
2016-10-12,732091
2016-10-13,738702
2016-10-14,738702
2016-10-15,733849
2016-10-16,733849
2016-10-17,711934
2016-10-18,711934
2016-10-19,696288
2016-10-20,696288
2016-10-21,665687
2016-10-22,665687
2016-10-23,668039
2016-10-24,699819
2016-10-25,699819
