date_obj,Amulet%20of%20torture price
2018-03-11,13749113
2018-03-12,13806511
2018-03-13,13864827
2018-03-14,13850576
2018-03-15,13935275
2018-03-16,13922174
2018-03-17,14029356
2018-03-18,14161182
2018-03-19,14316843
2018-03-20,14168490
2018-03-21,14276596
2018-03-22,14388977
2018-03-23,14571212
2018-03-24,14680114
2018-03-25,14755211
2018-03-26,14734449
2018-03-27,14606893
2018-03-28,14443181
2018-03-29,14338422
2018-03-30,14302309
2018-03-31,14366186
2018-04-01,14377421
2018-04-02,14389945
2018-04-03,14413820
2018-04-04,14411796
2018-04-05,14410211
2018-04-06,14496359
2018-04-07,14572343
2018-04-08,14556714
2018-04-09,14639870
2018-04-10,14652471
2018-04-11,14658518
2018-04-12,14697648
2018-04-13,14835162
2018-04-14,14962134
2018-04-15,15040438
2018-04-16,15006392
2018-04-17,15090627
2018-04-18,15072380
2018-04-19,15060307
2018-04-20,15188742
2018-04-21,15243227
2018-04-22,15242794
2018-04-23,15241331
2018-04-24,15326036
2018-04-25,15345667
2018-04-26,15481316
2018-04-27,15466143
2018-04-28,15664443
2018-04-29,16042380
2018-04-30,16182848
2018-05-01,16204032
2018-05-02,16109599
2018-05-03,16037532
2018-05-04,16008828
2018-05-05,15996212
2018-05-06,15874505
2018-05-07,15755297
2018-05-08,15479837
2018-05-09,14975375
2018-05-10,14285253
2018-05-11,14126403
2018-05-12,14765930
2018-05-13,14719571
2018-05-14,14894725
2018-05-15,15106277
2018-05-16,15095880
2018-05-17,15023622
2018-05-18,15052227
2018-05-19,15117145
2018-05-20,15268708
2018-05-21,15235643
2018-05-22,15179825
2018-05-23,15171028
2018-05-24,15167693
2018-05-25,15169486
2018-05-26,15164207
2018-05-27,15197931
2018-05-28,15193944
2018-05-29,15176524
2018-05-30,15156388
2018-05-31,15040163
2018-06-01,15050489
2018-06-02,15123832
2018-06-03,15113830
2018-06-04,15072871
2018-06-05,14947704
2018-06-06,14366445
2018-06-07,13987387
2018-06-08,13923478
2018-06-09,13960659
2018-06-10,13946958
2018-06-11,13839827
2018-06-12,13732902
2018-06-13,13636108
2018-06-14,13824716
2018-06-15,14197710
2018-06-16,14469062
2018-06-17,14513366
2018-06-18,14438608
2018-06-19,14375984
2018-06-20,14347301
2018-06-21,14368523
2018-06-22,14406697
2018-06-23,14437086
2018-06-24,14434564
2018-06-25,14367471
2018-06-26,14308136
2018-06-27,14273738
2018-06-28,14073435
2018-06-29,14156493
2018-06-30,14298960
2018-07-01,14413034
2018-07-02,14427067
2018-07-03,14479892
2018-07-04,14518281
2018-07-05,14647254
2018-07-06,14906773
2018-07-07,15185681
2018-07-08,15396876
2018-07-09,15386775
2018-07-10,15460843
2018-07-11,15552856
2018-07-12,15730901
2018-07-13,16139708
2018-07-14,16576769
2018-07-15,16657856
2018-07-16,16689012
2018-07-17,16716470
2018-07-18,16649424
2018-07-19,16624487
2018-07-20,16626407
2018-07-21,16780691
2018-07-22,17089452
2018-07-23,17247774
2018-07-24,17175799
2018-07-25,17065804
2018-07-26,16572966
2018-07-27,15848691
2018-07-28,15899864
2018-07-29,15929549
2018-07-30,15909037
2018-07-31,15878785
2018-08-01,15930747
2018-08-02,15923159
2018-08-03,15905359
2018-08-04,15910417
2018-08-05,15918924
2018-08-06,15825758
2018-08-07,15684940
2018-08-08,15185285
2018-08-09,14994354
2018-08-10,14820768
2018-08-11,14792383
2018-08-12,14815227
2018-08-14,14772234
2018-08-16,14440061
2018-08-17,14366647
2018-08-18,14698740
2018-08-19,15051393
2018-08-20,15534434
2018-08-21,15584536
2018-08-22,15630776
2018-08-23,15710261
2018-08-24,15879074
2018-08-25,15992888
2018-08-26,15971009
2018-08-27,15933999
2018-08-28,15870820
2018-08-29,15865414
2018-08-30,15812941
2018-08-31,15895554
2018-09-01,15986340
2018-09-02,16089526
2018-09-03,16111942
2018-09-04,16049068
2018-09-05,16003244
2018-09-06,16006248
2018-09-07,16035264
2018-09-08,16017270
2018-09-09,15985534
2018-09-10,15845067
2018-09-11,15651995
2018-09-12,15380582
2018-09-13,15416717
2018-09-14,15461667
2018-09-15,15682342
2018-09-16,15713155
2018-09-17,15689792
2018-09-18,15629490
2018-09-19,15525482
2018-09-20,15528513
2018-09-21,15479416
2018-09-22,15527839
2018-09-23,15722022
2018-09-24,15667880
2018-09-25,15697028
2018-09-26,15643585
2018-09-27,15684402
2018-09-28,15856144
2018-09-29,15975037
2018-09-30,15945733
2018-10-01,15920545
2018-10-02,15878571
2018-10-03,15843861
2018-10-04,15863445
2018-10-05,15859245
2018-10-06,15869450
2018-10-07,15883570
2018-10-08,15832608
2018-10-09,15803017
2018-10-10,15873218
2018-10-11,15863442
2018-10-12,15839733
2018-10-13,15852521
2018-10-14,15964634
2018-10-15,15907308
2018-10-16,15887300
2018-10-17,15858183
2018-10-18,15840997
2018-10-19,15808407
2018-10-20,15816065
2018-10-21,15857436
2018-10-22,15824492
2018-10-23,15798783
2018-10-24,15722967
2018-10-25,15687973
2018-10-26,15640332
2018-10-27,15574179
2018-10-28,15579171
2018-10-29,15493047
2018-10-30,15483470
2018-10-31,15406177
2018-11-01,15367569
2018-11-03,15252916
2018-11-04,15315678
2018-11-05,15264392
2018-11-06,15192878
2018-11-07,15126216
2018-11-08,15046307
2018-11-09,14984665
2018-11-10,14896412
2018-11-11,14895203
2018-11-12,14769150
2018-11-13,14685318
2018-11-14,14517819
2018-11-15,14137337
2018-11-16,13934967
2018-11-17,13868084
2018-11-18,13952335
2018-11-19,13937692
2018-11-20,13825948
2018-11-21,13742559
2018-11-22,13424850
2018-11-23,12991829
2018-11-24,12875129
2018-11-25,13202620
2018-11-26,13325623
2018-11-27,13610858
2018-11-28,13893063
2018-11-29,14293513
2018-12-01,14352630
2018-12-02,14268139
2018-12-03,14167262
2018-12-04,13975005
2018-12-05,13931979
2018-12-07,13824285
2018-12-09,13903945
2018-12-10,13967791
2018-12-11,14007459
2018-12-12,14073757
2018-12-13,14082297
2018-12-14,14262603
2018-12-15,14241837
2018-12-16,14210162
2018-12-17,14213367
2018-12-18,14181879
2018-12-19,14184705
2018-12-20,14176634
2018-12-21,14194740
2018-12-22,14200676
2018-12-23,14184795
2018-12-24,14202310
2018-12-25,14287856
2018-12-26,14376941
2018-12-27,14482460
2018-12-28,14560739
2018-12-29,14666869
2018-12-30,14658102
2018-12-31,14479810
2019-01-01,14403756
2019-01-02,14302232
2019-01-03,14315106
2019-01-04,14295823
2019-01-05,14452210
2019-01-06,14568806
2019-01-08,14692078
2019-01-10,14291957
2019-01-11,14513729
2019-01-12,14959505
2019-01-13,15513002
2019-01-14,15832545
2019-01-15,15749759
2019-01-16,15483893
2019-01-17,15427450
2019-01-18,15544553
2019-01-19,15883226
2019-01-20,15870809
2019-01-21,15962450
2019-01-22,16062243
2019-01-23,16154112
2019-01-24,16270568
2019-01-25,16596174
2019-01-26,16618919
2019-01-27,16881144
2019-01-28,16817834
2019-01-29,16741146
2019-01-30,16683668
2019-01-31,16710097
2019-02-01,16919670
2019-02-02,17177919
2019-02-03,17301336
2019-02-04,17301677
2019-02-05,17286342
2019-02-06,17173888
2019-02-07,17056126
2019-02-08,17007043
2019-02-09,16968497
2019-02-10,16956123
2019-02-11,16800375
2019-02-12,16639681
2019-02-13,16253163
2019-02-14,15783129
2019-02-15,15761136
2019-02-16,16003369
2019-02-17,16251047
2019-02-18,16385925
2019-02-19,16439007
2019-02-20,16557178
2019-02-21,16765565
2019-02-22,16741921
2019-02-23,16800992
2019-02-24,16908444
2019-02-25,16898845
2019-02-26,16844346
2019-02-27,16821517
2019-02-28,16741875
2019-03-01,16763760
2019-03-02,16862522
2019-03-03,16852943
2019-03-04,16936767
2019-03-05,16815631
2019-03-06,16821971
2019-03-07,16901370
2019-03-08,16923969
2019-03-09,17003630
2019-03-10,17028043
2019-03-11,16932728
2019-03-12,16884644
2019-03-13,16880401
2019-03-14,16847475
2019-03-15,16781340
2019-03-16,16784412
2019-03-17,16788674
2019-03-18,16675644
2019-03-19,16552726
2019-03-20,16264259
2019-03-21,16213154
2019-03-22,16199497
2019-03-23,16236601
2019-03-24,16423748
2019-03-25,16384354
2019-03-26,16415739
2019-03-27,16406249
2019-03-28,16328626
2019-03-29,16317337
2019-03-30,16408516
2019-03-31,16405693
