date_obj,Iron%20set%20(lg) price
2019-06-24,449
2019-06-25,453
2019-06-26,453
2019-06-27,445
2019-06-28,440
2019-06-29,442
2019-06-30,435
2019-07-01,428
2019-07-02,430
2019-07-03,445
2019-07-04,428
2019-07-05,433
2019-07-06,443
2019-07-07,444
2019-07-08,452
2019-07-09,471
2019-07-10,489
2019-07-11,503
2019-07-12,511
2019-07-13,511
2019-07-14,521
2019-07-15,512
2019-07-16,523
2019-07-17,525
2019-07-18,505
2019-07-19,502
2019-07-20,507
2019-07-21,516
2019-07-22,520
2019-07-23,504
2019-07-24,489
2019-07-25,474
2019-07-26,453
2019-07-27,448
2019-07-28,438
