date_obj,Dragon%20spear price
2017-12-22,41032
2017-12-23,42006
2017-12-24,42838
2017-12-25,42550
2017-12-26,43205
2017-12-27,44312
2017-12-28,44078
2017-12-29,44658
2017-12-30,43627
2017-12-31,41708
2018-01-01,41546
2018-01-02,40531
2018-01-03,40176
2018-01-04,39754
2018-01-05,38853
2018-01-06,38768
2018-01-07,38327
2018-01-08,38346
2018-01-09,38240
2018-01-10,38834
2018-01-11,38727
2018-01-12,39019
2018-01-13,38710
2018-01-14,38999
2018-01-15,37877
2018-01-16,37908
2018-01-17,38365
2018-01-18,37867
2018-01-19,38247
2018-01-20,38456
2018-01-21,39616
2018-01-22,39482
2018-01-23,39511
2018-01-25,38434
2018-01-26,38743
2018-01-27,38870
2018-01-28,39171
2018-01-29,39004
2018-01-30,39132
2018-01-31,38731
2018-02-01,39190
2018-02-02,39115
2018-02-03,38756
2018-02-04,38725
2018-02-05,37754
2018-02-06,37706
2018-02-07,37578
2018-02-08,37958
2018-02-09,37796
2018-02-10,37583
2018-02-11,37470
2018-02-12,37696
2018-02-13,37157
2018-02-14,37345
2018-02-15,37553
2018-02-16,37143
2018-02-17,37134
2018-02-18,37202
2018-02-19,37675
2018-02-20,39473
2018-02-21,40441
2018-02-22,42428
2018-02-23,43815
2018-02-24,43351
2018-02-25,43028
2018-02-26,41488
2018-02-27,39945
2018-02-28,38925
2018-03-01,39393
2018-03-02,38696
2018-03-03,38184
2018-03-04,37716
2018-03-05,37460
2018-03-06,37654
2018-03-07,37580
2018-03-09,37263
2018-03-10,38076
2018-03-11,38939
2018-03-12,39169
2018-03-13,40712
2018-03-14,42748
2018-03-15,43974
2018-03-16,44533
2018-03-17,43938
2018-03-18,42254
2018-03-20,39691
2018-03-21,39504
2018-03-23,39426
2018-03-24,39197
2018-03-25,38000
2018-03-26,37173
2018-03-27,37592
2018-03-28,37906
2018-03-29,38052
2018-03-30,38251
2018-03-31,38047
2018-04-01,38239
2018-04-02,38297
2018-04-03,37734
2018-04-04,38302
2018-04-05,38576
2018-04-06,38336
2018-04-07,38076
2018-04-08,38650
2018-04-09,39269
2018-04-10,38367
2018-04-11,37759
2018-04-12,38173
2018-04-13,38215
2018-04-14,38033
2018-04-15,38260
2018-04-16,38053
2018-04-17,38334
2018-04-18,38568
2018-04-19,37898
2018-04-20,38116
2018-04-21,38256
2018-04-22,38691
2018-04-23,38249
2018-04-24,38017
2018-04-25,37965
2018-04-26,37883
2018-04-27,37881
2018-04-28,37607
2018-04-29,37454
2018-04-30,37189
2018-05-01,37390
2018-05-03,37342
2018-05-04,37283
2018-05-05,37293
2018-05-07,37086
2018-05-08,37081
2018-05-09,36665
2018-05-10,37068
2018-05-11,37141
2018-05-12,36947
2018-05-13,36989
2018-05-14,36998
2018-05-15,37043
2018-05-16,36923
2018-05-17,37368
2018-05-18,37622
2018-05-19,37141
2018-05-20,37317
2018-05-21,37253
2018-05-22,36802
2018-05-23,37524
2018-05-24,37490
2018-05-25,37541
2018-05-26,37640
2018-05-27,37558
2018-05-28,37469
2018-05-29,37548
2018-05-30,37565
2018-05-31,37771
2018-06-01,37404
2018-06-02,37247
2018-06-03,37295
2018-06-04,37196
2018-06-05,37415
2018-06-06,36826
2018-06-07,36953
2018-06-08,37124
2018-06-09,37088
2018-06-10,36899
2018-06-11,36763
2018-06-12,36968
2018-06-13,36956
2018-06-14,36993
2018-06-15,37063
2018-06-16,37078
2018-06-17,37781
2018-06-18,38504
2018-06-19,38011
2018-06-20,38324
2018-06-21,38138
2018-06-22,38061
2018-06-23,37525
2018-06-24,38079
2018-06-25,37228
2018-06-26,37182
2018-06-27,37139
2018-06-28,37148
2018-06-29,37539
2018-06-30,37222
2018-07-01,37607
2018-07-02,37347
2018-07-03,37315
2018-07-04,37628
2018-07-05,37397
2018-07-06,37296
2018-07-07,37318
2018-07-08,37267
2018-07-09,37498
2018-07-10,37160
2018-07-11,37166
2018-07-12,37165
