date_obj,Dark%20tuxedo%20jacket price
2018-01-17,3132886
2018-01-18,3132886
2018-01-19,3132886
2018-01-20,3132886
2018-01-21,3132886
2018-01-22,3132886
2018-01-23,3132886
2018-01-24,2976241
2018-01-25,2976241
2018-01-26,2976241
2018-01-27,2976241
2018-01-28,2976241
2018-01-29,2976241
2018-01-30,2976241
2018-01-31,2976241
2018-02-01,2828324
2018-02-02,2828324
2018-02-03,2828324
2018-02-04,2828324
2018-02-05,2828324
2018-02-06,2828324
2018-02-07,2828324
2018-02-08,2828324
2018-02-09,2731810
2018-02-10,2731810
2018-02-11,2731810
2018-02-12,2731810
2018-02-13,2731810
2018-02-14,2731810
2018-02-15,2731810
2018-02-16,2731810
2018-02-17,2615059
2018-02-18,2615059
2018-02-19,2615059
2018-02-20,2615059
2018-02-21,2615059
2018-02-22,2615059
2018-02-23,2615059
2018-02-24,2615059
2018-02-25,2529653
2018-02-26,2529653
2018-02-27,2529653
2018-02-28,2529653
2018-03-01,2529653
2018-03-02,2529653
2018-03-03,2529653
2018-03-04,2529653
2018-03-05,2529653
2018-03-06,2449049
2018-03-07,2449049
2018-03-08,2449049
2018-03-09,2449049
2018-03-10,2449049
2018-03-11,2449049
2018-03-12,2449049
2018-03-13,2449049
2018-03-14,2449049
2018-03-15,2427959
2018-03-16,2427959
2018-03-17,2427959
2018-03-18,2427959
2018-03-19,2427959
2018-03-20,2427959
2018-03-21,2427959
2018-03-23,2427959
2018-03-24,2427959
2018-03-25,2473155
2018-03-26,2473155
2018-03-27,2473155
2018-03-28,2473155
2018-03-29,2473155
2018-03-30,2473155
2018-03-31,2473155
2018-04-01,2473155
2018-04-02,2473155
2018-04-03,2478862
2018-04-04,2478862
2018-04-05,2478862
2018-04-06,2478862
2018-04-07,2478862
2018-04-08,2478862
2018-04-09,2478862
2018-04-10,2478862
2018-04-11,2540802
2018-04-12,2540802
2018-04-13,2540802
2018-04-14,2540802
2018-04-15,2540802
2018-04-16,2540802
2018-04-17,2540802
2018-04-18,2540802
2018-04-19,2640519
2018-04-20,2640519
2018-04-21,2640519
2018-04-22,2640519
2018-04-23,2640519
2018-04-24,2640519
2018-04-25,2640519
2018-04-26,2640519
2018-04-27,2712936
2018-04-28,2712936
2018-04-29,2712936
2018-04-30,2712936
2018-05-01,2712936
2018-05-03,2712936
2018-05-04,2712936
2018-05-05,2649371
2018-05-07,2649371
2018-05-08,2649371
2018-05-09,2649371
2018-05-10,2649371
2018-05-11,2649371
2018-05-12,2649371
2018-05-13,2649371
2018-05-14,2536824
2018-05-15,2536824
2018-05-16,2536824
2018-05-17,2536824
2018-05-18,2536824
2018-05-19,2536824
2018-05-20,2536824
2018-05-21,2536824
2018-05-22,2487982
2018-05-23,2487982
2018-05-24,2487982
2018-05-25,2487982
2018-05-26,2487982
2018-05-27,2487982
2018-05-28,2487982
2018-05-29,2487982
2018-05-30,2562972
2018-05-31,2562972
2018-06-01,2562972
2018-06-02,2562972
2018-06-03,2562972
2018-06-04,2562972
2018-06-05,2562972
2018-06-06,2579131
2018-06-07,2579131
2018-06-08,2579131
2018-06-09,2579131
2018-06-10,2579131
2018-06-11,2579131
2018-06-12,2579131
2018-06-13,2579131
2018-06-14,2499076
