date_obj,Dragon%20chainbody%20ornament%20kit price
2017-02-24,208276
2017-02-25,207370
2017-02-26,205379
2017-02-27,204811
2017-02-28,206042
2017-03-01,206246
2017-03-02,204245
2017-03-03,200356
2017-03-04,198902
2017-03-05,195675
2017-03-06,197071
2017-03-07,199051
2017-03-08,199051
2017-03-09,200022
2017-03-10,199108
2017-03-11,199412
2017-03-12,197589
2017-03-13,198457
2017-03-14,198619
2017-03-15,196506
2017-03-16,194409
2017-03-17,198062
2017-03-18,199419
2017-03-19,200861
2017-03-20,200660
2017-03-21,198666
2017-03-22,196852
2017-03-23,200952
2017-03-24,203622
2017-03-25,203622
2017-03-26,204751
2017-03-27,199571
2017-03-28,194666
2017-03-29,188239
2017-03-30,187107
2017-03-31,186855
2017-04-01,182765
2017-04-02,181334
2017-04-03,176212
2017-04-04,169548
2017-04-12,157355
2017-04-13,154885
2017-04-14,153740
2017-04-15,152875
2017-04-16,146983
2017-04-17,143343
2017-04-18,138581
2017-04-19,133925
2017-04-20,129349
2017-04-21,123018
2017-04-22,117620
2017-04-23,111739
2017-04-24,106152
2017-04-25,101138
2017-04-26,97606
2017-04-27,93801
2017-04-28,90142
2017-04-29,88746
2017-04-30,87187
2017-05-01,86716
2017-05-02,83305
2017-05-03,82240
2017-05-04,83686
2017-05-05,84737
2017-05-06,84907
2017-05-07,83597
2017-05-08,80799
2017-05-09,79972
2017-05-10,80574
2017-05-11,79150
2017-05-12,80405
2017-05-13,83578
2017-05-14,87559
2017-05-15,91613
2017-05-16,96194
2017-05-17,101004
2017-05-18,105972
2017-05-19,105972
2017-05-20,111271
2017-05-21,111271
2017-05-22,116835
2017-05-23,122677
2017-05-24,128811
2017-05-25,134688
2017-05-26,141231
2017-05-27,148293
2017-05-28,155708
2017-05-29,161885
2017-05-30,164772
2017-05-31,166715
2017-06-01,162269
2017-06-02,157137
2017-06-03,157137
2017-06-04,156238
2017-06-05,156842
2017-06-06,155850
2017-06-07,156294
2017-06-08,156294
2017-06-09,157713
2017-06-10,157306
2017-06-11,154168
