date_obj,Rock-shell%20helm price
2016-02-08,290780
2016-02-09,290780
2016-02-10,277168
2016-02-11,277168
2016-02-12,277168
2016-02-13,277168
2016-02-14,277168
2016-02-15,277168
2016-02-16,277168
2016-02-17,277168
2016-02-18,277168
2016-02-19,277168
2016-02-20,277168
2016-02-21,277168
2016-02-22,277168
2016-02-23,277168
2016-02-24,277168
2016-02-25,277168
2016-02-26,277168
2016-02-27,277168
2016-02-28,277168
2016-02-29,277168
2016-03-01,277168
2016-03-02,277168
2016-03-03,277168
2016-03-04,277168
2016-03-05,277168
2016-03-06,277168
2016-03-07,277168
2016-03-08,277168
2016-03-09,277168
2016-03-10,277168
2016-03-11,277168
2016-03-12,277168
2016-03-13,277168
2016-03-14,277168
2016-03-15,277168
2016-03-16,277168
2016-03-17,277168
2016-03-18,277168
2016-03-19,277168
2016-03-20,277168
2016-03-21,277168
2016-03-22,277168
2016-03-23,277168
2016-03-24,277168
2016-03-25,277168
2016-03-26,277168
2016-03-27,277168
2016-03-28,277168
2016-03-29,277168
2016-03-30,277168
2016-03-31,277168
2016-04-01,277168
2016-04-02,277168
2016-04-03,277168
2016-04-04,277168
2016-04-05,277168
2016-04-06,277168
2016-04-07,277168
2016-04-08,277168
2016-04-09,277168
2016-04-10,277168
2016-04-11,277168
2016-04-12,277168
2016-04-13,264959
2016-04-14,264959
2016-04-15,264959
2016-04-16,264959
2016-04-17,264959
2016-04-18,264959
2016-04-19,264959
2016-04-20,264959
2016-04-21,264959
2016-04-22,264959
2016-04-23,264959
2016-04-24,264959
2016-04-25,264959
2016-04-26,264959
2016-04-27,264959
2016-04-28,264959
2016-04-29,264959
2016-04-30,264959
2016-05-01,264959
2016-05-02,264959
2016-05-03,264959
2016-05-04,264959
2016-05-05,264959
2016-05-06,264959
2016-05-07,264959
2016-05-08,264959
2016-05-09,264959
2016-05-10,264959
2016-05-11,264959
2016-05-12,264959
2016-05-13,264959
2016-05-14,264959
2016-05-15,264959
2016-05-16,264959
2016-05-17,264959
2016-05-18,264959
2016-05-19,264959
2016-05-22,264959
2016-05-23,264959
2016-05-24,264959
2016-05-25,264959
2016-05-26,264959
2016-05-27,264959
2016-05-28,264959
2016-05-29,264959
2016-05-30,264959
2016-05-31,264959
2016-06-01,264959
2016-06-02,264959
2016-06-03,264959
2016-06-04,264959
2016-06-05,264959
2016-06-06,264959
2016-06-07,264959
2016-06-08,264959
2016-06-09,252427
2016-06-10,252427
2016-06-11,252427
2016-06-12,252427
2016-06-13,252427
2016-06-14,252427
2016-06-15,252427
2016-06-16,252427
2016-06-17,239938
2016-06-18,239938
2016-06-19,239938
2016-06-20,239938
2016-06-21,239938
2016-06-22,239938
2016-06-23,239938
2016-06-24,239938
2016-06-25,228033
2016-06-26,228033
2016-06-27,228033
2016-06-28,228033
2016-06-29,228033
2016-06-30,216806
2016-07-01,216806
2016-07-02,216806
2016-07-03,216806
2016-07-04,216806
2016-07-05,206323
2016-07-06,206323
2016-07-07,206323
2016-07-08,206323
2016-07-09,206323
2016-07-10,206323
2016-07-11,206323
