date_obj,Yew%20shortbow price
2017-12-07,354
2017-12-08,354
2017-12-09,349
2017-12-10,356
2017-12-11,367
2017-12-12,362
2017-12-13,363
2017-12-14,354
2017-12-15,347
2017-12-16,351
2017-12-17,348
2017-12-18,350
2017-12-19,357
2017-12-20,359
2017-12-21,361
2017-12-22,360
2017-12-23,351
2017-12-24,355
2017-12-25,351
2017-12-26,348
2017-12-27,345
2017-12-28,347
2017-12-29,346
2017-12-30,347
2017-12-31,361
2018-01-01,365
2018-01-02,367
2018-01-03,359
2018-01-04,348
2018-01-05,340
2018-01-06,343
2018-01-07,349
2018-01-08,350
2018-01-09,340
2018-01-10,355
2018-01-11,347
2018-01-12,337
2018-01-13,336
2018-01-14,343
2018-01-15,340
2018-01-16,345
2018-01-17,340
2018-01-18,334
2018-01-19,334
2018-01-20,338
2018-01-21,337
2018-01-22,341
2018-01-23,344
2018-01-24,356
2018-01-25,359
2018-01-26,362
2018-01-27,365
2018-01-28,365
2018-01-29,371
2018-01-30,376
2018-02-01,378
2018-02-02,383
2018-02-03,382
2018-02-04,373
2018-02-05,365
2018-02-06,354
2018-02-07,357
2018-02-08,357
2018-02-09,366
2018-02-10,374
2018-02-11,377
2018-02-12,366
2018-02-13,356
2018-02-14,350
2018-02-15,342
2018-02-16,344
2018-02-17,346
2018-02-18,337
2018-02-19,344
2018-02-20,346
2018-02-21,342
2018-02-22,353
2018-02-23,356
2018-02-24,350
2018-02-25,342
2018-02-26,345
2018-02-27,341
2018-02-28,344
2018-03-01,344
2018-03-02,342
2018-03-03,347
2018-03-04,347
2018-03-05,349
2018-03-06,353
2018-03-07,360
2018-03-08,347
2018-03-09,346
2018-03-10,343
2018-03-11,345
2018-03-12,345
2018-03-13,349
2018-03-14,337
2018-03-15,333
2018-03-16,335
2018-03-17,339
2018-03-18,340
2018-03-20,341
2018-03-21,339
2018-03-23,339
2018-03-24,343
2018-03-26,334
2018-03-27,340
2018-03-28,342
2018-03-29,341
2018-03-30,344
2018-03-31,352
2018-04-01,356
2018-04-02,354
2018-04-03,358
2018-04-04,357
2018-04-05,354
2018-04-06,356
2018-04-08,350
2018-04-09,349
2018-04-10,352
2018-04-11,349
2018-04-12,346
2018-04-13,353
2018-04-14,345
2018-04-16,347
2018-04-17,343
2018-04-18,349
2018-04-19,351
2018-04-20,349
2018-04-21,351
2018-04-22,343
2018-04-23,354
2018-04-24,357
2018-04-25,361
2018-04-26,357
2018-04-27,352
2018-04-28,345
2018-04-29,347
2018-04-30,349
2018-05-02,356
2018-05-03,351
2018-05-04,355
2018-05-05,354
2018-05-06,350
2018-05-07,345
2018-05-08,350
2018-05-09,349
2018-05-10,353
2018-05-11,348
2018-05-12,345
2018-05-13,351
2018-05-14,352
2018-05-15,349
2018-05-16,356
2018-05-17,361
2018-05-18,359
2018-05-19,355
2018-05-20,349
2018-05-21,347
2018-05-22,350
2018-05-23,352
2018-05-24,352
2018-05-25,363
2018-05-26,357
2018-05-27,350
2018-05-28,344
2018-05-29,345
2018-05-30,349
2018-05-31,357
2018-06-01,359
2018-06-02,356
2018-06-03,356
2018-06-04,354
2018-06-05,355
2018-06-06,351
2018-06-07,350
2018-06-08,348
2018-06-09,351
2018-06-10,362
2018-06-11,378
2018-06-12,376
2018-06-13,370
2018-06-14,368
2018-06-15,363
2018-06-16,377
2018-06-17,377
2018-06-18,360
2018-06-19,350
2018-06-20,356
2018-06-21,356
2018-06-22,357
2018-06-23,362
2018-06-24,360
2018-06-25,355
2018-06-26,340
2018-06-27,344
2018-06-28,347
2018-06-29,350
2018-06-30,344
2018-07-01,348
2018-07-02,351
2018-07-03,353
2018-07-04,349
2018-07-05,356
2018-07-06,357
2018-07-07,345
2018-07-08,344
2018-07-09,347
2018-07-10,348
2018-07-11,351
2018-07-12,343
2018-07-13,350
2018-07-14,352
2018-07-15,363
2018-07-16,355
2018-07-17,351
2018-07-18,355
2018-07-19,350
2018-07-20,346
2018-07-21,352
2018-07-22,360
2018-07-23,356
2018-07-24,352
2018-07-25,358
2018-07-26,359
2018-07-27,350
2018-07-28,349
2018-07-29,342
2018-07-30,346
2018-07-31,351
2018-08-01,351
2018-08-02,349
2018-08-03,348
2018-08-04,353
2018-08-05,342
2018-08-06,340
2018-08-07,345
2018-08-08,338
2018-08-09,333
2018-08-10,327
2018-08-11,316
2018-08-12,318
2018-08-14,324
2018-08-16,330
2018-08-17,334
2018-08-18,335
2018-08-19,333
2018-08-20,331
2018-08-21,327
2018-08-22,329
2018-08-23,330
2018-08-24,332
2018-08-25,332
2018-08-26,329
2018-08-27,328
2018-08-28,338
2018-08-29,339
2018-08-30,340
2018-08-31,345
2018-09-01,343
2018-09-02,348
2018-09-03,348
2018-09-04,348
2018-09-05,350
2018-09-06,360
2018-09-07,367
2018-09-08,360
2018-09-09,352
2018-09-10,344
2018-09-11,345
2018-09-12,350
2018-09-13,355
2018-09-14,352
2018-09-15,343
2018-09-16,341
2018-09-17,345
2018-09-18,341
2018-09-19,341
2018-09-20,345
2018-09-21,357
2018-09-22,349
2018-09-23,351
2018-09-24,350
2018-09-25,354
2018-09-26,367
2018-09-27,378
2018-09-28,372
2018-09-29,360
2018-09-30,351
2018-10-02,344
2018-10-03,341
2018-10-04,334
2018-10-05,339
2018-10-06,344
2018-10-07,353
2018-10-08,357
2018-10-09,350
2018-10-10,345
2018-10-11,347
2018-10-12,347
2018-10-13,338
