date_obj,Top%20hat price
2017-08-19,156487
2017-08-20,155655
2017-08-21,155655
2017-08-22,152275
2017-08-23,152275
2017-08-24,152275
2017-08-25,152275
2017-08-26,151925
2017-08-27,151925
2017-08-28,151925
2017-08-29,153084
2017-08-30,153084
2017-08-31,153749
2017-09-01,153749
2017-09-02,153749
2017-09-03,153699
2017-09-04,153699
2017-09-05,153610
2017-09-06,153610
2017-09-07,154429
2017-09-08,154429
2017-09-09,152158
2017-09-10,152158
2017-09-11,151460
2017-09-12,151460
2017-09-13,152950
2017-09-14,152950
2017-09-15,152950
2017-09-16,153147
2017-09-17,153147
2017-09-19,152683
2017-09-20,152683
2017-09-21,154452
2017-09-22,154452
2017-09-23,154452
2017-09-24,156414
2017-09-25,156414
2017-09-26,158879
2017-09-27,158879
2017-09-28,158879
2017-09-29,162766
2017-09-30,162766
2017-10-01,162766
2017-10-02,166031
2017-10-03,166031
2017-10-04,166031
2017-10-05,169194
2017-10-06,169194
2017-10-07,173564
2017-10-08,173564
2017-10-09,173564
2017-10-10,175951
2017-10-11,175951
2017-10-12,175951
2017-10-13,176546
2017-10-14,176546
2017-10-15,176546
2017-10-16,175847
2017-10-17,175847
2017-10-18,175847
2017-10-19,172545
2017-10-20,172545
2017-10-21,172545
2017-10-22,172276
2017-10-23,172276
2017-10-24,172276
2017-10-25,171424
2017-10-26,171424
2017-10-27,171424
2017-10-28,171424
2017-10-29,172523
2017-10-30,172523
2017-10-31,172523
2017-11-01,169875
2017-11-02,169875
2017-11-03,162542
2017-11-04,162542
2017-11-05,163978
2017-11-06,163978
2017-11-07,163978
2017-11-08,166925
2017-11-09,166925
2017-11-10,166925
2017-11-11,164995
2017-11-12,164995
2017-11-13,160151
2017-11-14,160151
2017-11-15,160151
2017-11-16,158632
2017-11-17,158632
2017-11-18,158632
2017-11-19,153320
2017-11-20,153320
2017-11-21,147977
2017-11-22,147977
2017-11-23,147977
2017-11-24,141563
2017-11-25,141563
2017-11-26,136157
2017-11-27,136157
2017-11-28,135296
2017-11-29,135296
2017-11-30,135296
2017-12-01,136899
2017-12-02,136899
2017-12-03,136899
2017-12-04,137325
2017-12-05,137325
2017-12-06,143190
2017-12-07,143190
2017-12-08,143190
2017-12-09,148518
2017-12-10,148518
2017-12-11,154890
2017-12-12,154890
2017-12-13,154890
2017-12-14,160383
2017-12-15,160383
2017-12-16,160383
2017-12-17,161461
2017-12-18,161461
2017-12-19,160131
2017-12-20,160131
2017-12-21,160131
2017-12-22,159166
2017-12-23,159166
2017-12-24,162860
2017-12-25,162860
2017-12-26,162860
2017-12-27,165034
2017-12-28,165034
2017-12-29,165034
2017-12-30,163853
2017-12-31,163853
2018-01-01,159344
2018-01-02,159344
2018-01-03,151376
2018-01-04,151376
2018-01-05,144094
2018-01-06,144094
2018-01-07,137605
2018-01-08,137605
2018-01-09,137605
2018-01-10,132142
2018-01-11,132142
2018-01-12,128596
2018-01-13,128596
2018-01-14,123864
2018-01-15,123864
2018-01-16,120751
2018-01-17,120751
2018-01-18,118277
2018-01-19,118277
2018-01-20,118649
2018-01-21,118649
2018-01-22,116931
2018-01-23,116931
2018-01-24,116671
2018-01-25,116671
2018-01-26,116671
2018-01-27,119320
2018-01-28,119320
2018-01-29,122538
2018-01-30,122538
2018-02-01,124462
2018-02-02,124462
2018-02-03,123920
2018-02-04,123920
2018-02-05,123920
2018-02-06,125598
2018-02-07,125598
2018-02-08,125598
2018-02-09,125576
2018-02-10,125576
2018-02-11,123388
2018-02-12,123388
2018-02-13,123388
2018-02-14,119638
2018-02-15,119638
2018-02-16,118932
2018-02-17,118932
2018-02-18,120307
2018-02-19,120307
2018-02-20,120053
2018-02-21,120053
2018-02-22,119358
2018-02-23,119358
2018-02-24,119358
2018-02-25,119691
2018-02-26,119691
2018-02-27,118170
2018-02-28,118170
2018-03-01,118170
2018-03-02,116140
2018-03-03,116140
2018-03-04,116140
2018-03-05,113316
2018-03-06,113316
2018-03-07,114129
2018-03-08,114129
2018-03-09,114129
2018-03-10,113314
2018-03-11,113314
2018-03-12,114774
2018-03-13,114774
2018-03-14,113006
2018-03-15,113006
2018-03-16,113006
2018-03-17,109555
2018-03-18,109555
2018-03-19,109555
2018-03-20,108588
2018-03-21,108588
2018-03-23,110428
2018-03-24,110428
2018-03-26,113393
2018-03-27,113393
2018-03-28,113535
2018-03-29,113535
2018-03-30,110631
2018-03-31,110631
2018-04-01,106846
2018-04-02,106846
2018-04-03,105121
2018-04-04,105121
2018-04-05,105121
2018-04-06,102913
2018-04-08,102913
2018-04-09,99833
2018-04-10,99833
2018-04-11,99833
2018-04-12,99724
2018-04-13,99724
2018-04-14,99724
2018-04-16,102957
2018-04-17,102957
2018-04-18,107285
2018-04-19,107285
2018-04-20,107285
2018-04-21,111808
2018-04-22,111808
2018-04-23,111808
2018-04-24,116738
2018-04-25,116738
2018-04-26,116738
2018-04-27,118687
2018-04-28,118687
2018-04-29,119036
2018-04-30,119036
2018-05-02,120045
2018-05-03,120045
2018-05-04,122706
2018-05-05,122706
2018-05-06,122706
2018-05-08,124641
2018-05-09,124087
2018-05-10,124087
2018-05-11,124087
2018-05-12,127307
2018-05-13,127307
2018-05-14,127307
2018-05-15,126018
2018-05-16,126018
2018-05-17,126018
2018-05-18,123171
2018-05-19,123171
2018-05-20,120306
2018-05-21,120306
2018-05-22,120306
2018-05-23,120047
2018-05-24,120047
2018-05-25,120047
2018-05-26,119706
2018-05-27,119706
2018-05-28,119706
2018-05-29,117571
2018-05-30,117571
2018-05-31,117571
2018-06-01,118588
2018-06-02,118588
2018-06-03,118859
2018-06-04,118859
2018-06-05,116024
2018-06-06,116024
2018-06-07,116024
2018-06-08,111513
2018-06-09,111513
2018-06-10,111513
2018-06-11,106098
2018-06-12,106098
2018-06-13,101147
2018-06-14,101147
2018-06-15,101147
2018-06-16,100765
2018-06-17,100765
2018-06-18,99599
2018-06-19,99599
2018-06-20,99599
2018-06-21,103311
2018-06-22,103311
2018-06-23,107141
2018-06-24,107141
2018-06-25,109155
2018-06-26,109155
2018-06-27,112485
2018-06-28,112485
2018-06-29,117737
2018-06-30,117737
2018-07-01,122700
2018-07-02,122700
2018-07-03,122700
2018-07-04,127225
2018-07-05,127225
2018-07-06,127225
2018-07-07,127964
2018-07-08,127964
2018-07-09,132283
2018-07-10,132283
2018-07-11,132283
2018-07-12,132283
2018-07-13,132283
2018-07-14,135687
2018-07-15,135687
2018-07-16,135687
2018-07-17,138178
2018-07-18,138178
2018-07-19,138178
2018-07-20,140600
2018-07-21,140600
2018-07-22,146221
2018-07-23,146221
2018-07-24,145585
2018-07-25,145585
2018-07-26,145585
2018-07-27,142996
2018-07-28,142996
2018-07-29,142996
2018-07-30,147979
2018-07-31,147979
2018-08-01,149631
2018-08-02,149631
2018-08-03,148670
2018-08-04,148670
2018-08-05,154658
2018-08-06,154658
2018-08-07,154658
2018-08-08,158338
2018-08-09,158338
2018-08-10,158338
2018-08-11,162162
2018-08-12,162162
2018-08-14,167715
2018-08-16,172118
2018-08-17,172118
2018-08-18,172118
2018-08-19,172118
2018-08-20,168287
2018-08-21,168287
2018-08-22,169600
2018-08-23,169600
2018-08-24,169600
2018-08-25,169661
2018-08-26,169661
2018-08-27,169661
2018-08-28,165467
2018-08-29,165467
2018-08-30,165467
2018-08-31,162578
2018-09-01,162578
2018-09-02,155923
2018-09-03,155923
2018-09-04,150207
2018-09-05,150207
2018-09-06,150207
2018-09-07,145126
2018-09-08,145126
2018-09-09,139433
2018-09-10,139433
2018-09-11,134435
2018-09-12,134435
2018-09-13,133747
2018-09-14,133747
2018-09-15,133932
2018-09-16,133932
2018-09-17,136985
2018-09-18,136985
2018-09-19,142284
2018-09-20,142284
2018-09-21,145426
2018-09-22,145426
2018-09-23,142230
2018-09-24,142230
2018-09-25,142230
2018-09-26,146937
2018-09-27,146937
2018-09-28,146937
2018-09-29,153648
2018-09-30,153648
2018-10-02,158644
2018-10-03,159390
2018-10-04,159390
2018-10-05,159390
2018-10-06,164124
2018-10-07,164124
2018-10-08,166134
2018-10-09,166134
2018-10-10,164176
2018-10-11,164176
2018-10-12,156162
2018-10-13,156162
2018-10-14,152629
2018-10-15,152629
2018-10-16,147497
2018-10-17,147497
2018-10-18,146781
2018-10-19,146781
2018-10-20,146781
2018-10-21,144479
2018-10-22,144479
2018-10-23,145323
2018-10-24,145323
2018-10-25,148390
2018-10-26,148390
2018-10-27,151100
2018-10-28,151100
2018-10-29,148568
2018-10-30,148568
2018-10-31,143671
2018-11-01,143671
2018-11-03,148430
2018-11-04,148430
2018-11-05,151519
2018-11-06,151519
2018-11-07,154310
2018-11-08,154310
2018-11-09,155521
2018-11-10,161371
2018-11-11,161371
2018-11-12,165156
2018-11-13,165156
2018-11-14,172587
2018-11-15,172587
2018-11-16,175482
2018-11-17,175482
2018-11-18,175250
2018-11-19,175250
2018-11-20,179199
2018-11-21,179199
2018-11-22,185598
2018-11-23,185598
2018-11-24,192388
2018-11-25,193509
2018-11-26,193509
2018-11-27,194652
2018-11-28,194652
2018-12-01,195970
2018-12-02,195970
2018-12-03,199694
2018-12-04,203119
2018-12-05,203119
2018-12-07,209071
2018-12-09,211704
2018-12-10,208865
2018-12-11,208865
2018-12-12,209480
2018-12-13,209480
2018-12-14,205309
2018-12-15,205309
2018-12-16,198200
2018-12-17,198200
2018-12-18,198204
2018-12-19,198204
2018-12-20,203149
2018-12-21,203149
2018-12-22,203855
2018-12-23,203855
2018-12-24,204037
2018-12-25,204037
2018-12-26,204037
2018-12-27,201397
2018-12-28,201397
2018-12-29,196247
2018-12-30,196247
2018-12-31,189807
2019-01-01,189807
2019-01-02,183296
2019-01-03,183296
2019-01-04,183884
2019-01-05,183884
2019-01-06,179284
2019-01-08,170845
2019-01-10,162410
2019-01-11,162410
2019-01-12,154645
2019-01-13,154645
2019-01-14,147286
2019-01-15,141922
2019-01-16,141922
2019-01-17,138953
2019-01-18,138953
2019-01-19,134130
2019-01-20,134130
2019-01-21,128704
2019-01-22,128704
2019-01-23,126375
2019-01-24,126375
2019-01-25,122714
2019-01-26,122714
2019-01-27,118492
2019-01-28,118492
2019-01-29,117021
2019-01-30,117021
2019-01-31,113192
2019-02-01,110843
2019-02-02,110843
2019-02-03,108626
2019-02-04,108626
2019-02-05,107503
2019-02-06,107503
2019-02-07,109504
2019-02-08,109504
2019-02-09,107116
2019-02-10,107116
2019-02-11,105892
2019-02-12,105892
2019-02-13,104568
2019-02-14,104568
2019-02-15,103702
2019-02-16,103702
2019-02-17,102638
2019-02-18,102638
2019-02-19,102904
2019-02-20,102904
2019-02-21,103941
2019-02-22,103941
2019-02-23,107705
2019-02-24,110591
2019-02-25,115487
2019-02-26,115487
2019-02-27,118129
2019-02-28,118129
2019-03-01,117998
2019-03-02,117998
2019-03-03,119469
2019-03-04,119469
2019-03-05,122348
2019-03-06,124744
2019-03-07,124744
2019-03-08,126203
2019-03-09,126203
2019-03-10,129726
2019-03-11,129726
2019-03-12,134671
2019-03-13,134671
2019-03-14,135089
2019-03-15,135089
2019-03-16,138297
2019-03-17,140175
2019-03-18,140175
2019-03-19,142181
2019-03-20,142181
2019-03-21,147001
2019-03-22,147001
