date_obj,Mage's%20book price
2017-06-15,5158389
2017-06-16,5351032
2017-06-17,5467149
2017-06-18,5552174
2017-06-19,5631142
2017-06-20,5902487
2017-06-21,5799727
2017-06-22,5768088
2017-06-23,5767696
2017-06-24,5791496
2017-06-25,5820261
2017-06-26,5756536
2017-06-27,5740600
2017-06-28,5905033
2017-06-29,6100134
2017-06-30,6214200
2017-07-01,6228832
2017-07-02,6179566
2017-07-03,5995258
2017-07-04,5814277
2017-07-05,5769149
2017-07-06,5700470
2017-07-07,5725551
2017-07-08,5786853
2017-07-13,6027013
2017-07-14,5946391
2017-07-15,5831795
2017-07-16,5758110
2017-07-17,5786561
2017-07-18,5774488
2017-07-19,5948648
2017-07-20,6084938
2017-07-21,6284090
2017-07-22,6227707
2017-07-23,6126872
2017-07-24,6053050
2017-07-25,5954987
2017-07-26,5756841
2017-07-27,5727775
2017-07-28,5654066
2017-07-29,5706242
2017-07-30,5716725
2017-07-31,5718376
2017-08-01,5775009
2017-08-02,5709189
2017-08-03,5777921
2017-08-04,5831533
2017-08-05,5671211
2017-08-06,5450144
2017-08-09,5379940
2017-08-10,5395501
2017-08-11,5502682
2017-08-12,5448244
2017-08-13,5384547
2017-08-14,5293467
2017-08-15,5289200
2017-08-16,5283926
2017-08-17,5357631
2017-08-18,5410603
2017-08-19,5596712
2017-08-20,5536189
2017-08-21,5601457
2017-08-22,5571037
2017-08-23,5569415
2017-08-24,5445384
2017-08-25,5358731
2017-08-26,5317944
2017-08-27,5512827
2017-08-28,5525491
2017-08-29,5592891
2017-08-30,5544966
2017-08-31,5594497
2017-09-01,5581605
2017-09-02,5516055
2017-09-03,5312765
2017-09-04,5248149
2017-09-05,5156788
2017-09-06,5081339
2017-09-07,5123536
2017-09-08,5047780
2017-09-09,5079538
2017-09-10,5050499
2017-09-11,5079912
2017-09-12,5074591
2017-09-13,5080691
2017-09-14,5092222
2017-09-15,5077038
2017-09-16,5068236
2017-09-17,5047412
2017-09-19,5000463
2017-09-20,4989875
2017-09-21,5006532
2017-09-22,5148921
2017-09-23,5156802
2017-09-24,5153088
2017-09-25,5165820
2017-09-26,5212406
2017-09-27,5249006
2017-09-28,5210260
2017-09-29,5451743
2017-09-30,5379751
2017-10-01,5292388
2017-10-02,5200994
2017-10-03,5141638
2017-10-04,5099188
2017-10-05,5062829
2017-10-06,5060059
2017-10-07,5012112
2017-10-08,5030753
2017-10-09,5081942
2017-10-10,5152779
2017-10-11,5139594
2017-10-12,5139866
2017-10-13,5329398
2017-10-14,5578738
2017-10-15,5527155
2017-10-16,5489286
2017-10-17,5480894
2017-10-18,5520230
2017-10-19,5553185
2017-10-20,5542317
2017-10-21,5520805
2017-10-22,5508481
2017-10-23,5505118
2017-10-24,5709498
2017-10-25,5686134
2017-10-26,5557826
2017-10-27,5515507
2017-10-28,5577348
2017-10-29,5604473
2017-10-30,5606526
2017-10-31,5632479
2017-11-01,5639570
2017-11-02,5660826
2017-11-03,5714111
2017-11-04,5822460
2017-11-05,5948599
2017-11-06,5775692
2017-11-07,5735092
2017-11-08,5805695
2017-11-09,5846721
2017-11-10,5878153
2017-11-11,5905248
2017-11-12,5967582
2017-11-13,6049902
2017-11-14,6043539
2017-11-15,5985700
2017-11-16,5928105
2017-11-17,5920134
2017-11-18,5865662
2017-11-19,5809899
2017-11-20,5772779
2017-11-21,5709705
2017-11-22,5660961
2017-11-23,5605592
2017-11-24,5657412
2017-11-25,5681845
2017-11-26,5660336
2017-11-27,5683833
2017-11-28,5623679
2017-11-29,5589477
2017-11-30,5571264
2017-12-01,5635398
2017-12-02,5690785
2017-12-03,5692017
2017-12-04,5890536
2017-12-05,6123050
2017-12-06,5992393
2017-12-07,5852715
2017-12-08,5835780
2017-12-09,5791967
2017-12-10,5805631
2017-12-11,5884977
2017-12-12,5920393
2017-12-14,5788594
2017-12-15,5616228
2017-12-16,5665695
2017-12-17,5846398
2017-12-18,5805710
2017-12-19,5864563
2017-12-20,5835497
2017-12-21,5838330
2017-12-22,5871598
2017-12-23,5891414
2017-12-24,5877759
2017-12-25,5994378
2017-12-26,5916381
2017-12-27,5711737
2017-12-28,5635201
2017-12-29,5571982
2017-12-30,5451962
2017-12-31,5403145
2018-01-01,5308664
2018-01-02,5351733
2018-01-03,5307921
2018-01-04,5160095
2018-01-05,5088543
2018-01-06,5027686
2018-01-07,4854743
2018-01-08,4617686
2018-01-09,4438101
2018-01-10,4539518
2018-01-11,4705331
2018-01-12,4688180
2018-01-13,4717677
2018-01-14,4647654
2018-01-15,4561844
2018-01-16,4546092
2018-01-17,4502525
2018-01-18,4456725
2018-01-19,4556656
2018-01-20,4578169
2018-01-21,4612390
2018-01-22,4672379
2018-01-23,4797191
2018-01-25,5012225
2018-01-26,4979518
2018-01-27,5124702
2018-01-28,5169230
2018-01-29,5158355
2018-01-31,5365416
2018-02-01,5353621
2018-02-02,5373713
2018-02-03,5263749
2018-02-04,5208340
2018-02-05,5176306
2018-02-06,5120504
2018-02-07,5255802
2018-02-08,5308234
2018-02-09,5375597
2018-02-10,5279423
2018-02-11,5180922
2018-02-12,4999009
2018-02-13,4768851
2018-02-14,4588069
2018-02-15,4753054
2018-02-16,4937452
2018-02-17,4910344
2018-02-18,5122546
2018-02-19,5203735
2018-02-20,5393853
2018-02-21,5598996
2018-02-22,5545648
2018-02-23,5660438
2018-02-24,5801947
2018-02-25,5779677
2018-02-26,5920596
2018-02-27,6030190
2018-02-28,6312289
2018-03-01,6185788
2018-03-02,6169468
2018-03-03,6131783
2018-03-04,6172025
2018-03-05,6338277
2018-03-06,6405184
2018-03-07,6382689
2018-03-08,6459065
2018-03-09,6574606
2018-03-10,6803476
2018-03-11,6724368
2018-03-12,6771009
2018-03-13,6830097
2018-03-14,6820563
2018-03-15,6950205
2018-03-16,7006461
2018-03-17,7107223
2018-03-18,6818801
2018-03-19,6891612
2018-03-20,6849893
2018-03-21,6812941
2018-03-23,6905909
2018-03-24,7049616
2018-03-26,6987891
2018-03-27,6966695
2018-03-28,6893449
2018-03-29,6815227
2018-03-30,6798445
2018-03-31,6936441
2018-04-01,7251351
2018-04-02,7351850
2018-04-03,7388173
2018-04-04,7308952
2018-04-05,7211448
2018-04-06,7159293
2018-04-07,7161358
2018-04-08,7148383
2018-04-09,7045457
2018-04-10,6999944
2018-04-11,6947066
2018-04-12,7095377
2018-04-13,7222023
2018-04-14,7207641
2018-04-15,7283082
2018-04-16,7288849
2018-04-17,7267279
2018-04-18,7358689
2018-04-19,7623510
2018-04-20,7889646
2018-04-21,7826266
2018-04-22,7629403
2018-04-23,7507466
2018-04-24,7529646
2018-04-25,7500560
2018-04-26,7425885
2018-04-27,7375780
2018-04-28,7583893
2018-04-29,7754397
2018-04-30,7672656
2018-05-01,7615890
2018-05-04,7653065
2018-05-05,7622549
2018-05-06,7575758
2018-05-07,7628453
2018-05-08,7662856
2018-05-09,7603309
2018-05-10,7435566
2018-05-11,7075579
2018-05-12,7095559
2018-05-13,7053232
2018-05-14,6996333
2018-05-15,7004437
2018-05-16,6991249
2018-05-17,7198324
2018-05-18,7286537
2018-05-19,7564459
2018-05-20,7758562
2018-05-21,7790793
2018-05-22,7763277
2018-05-23,7719908
2018-05-24,7670737
2018-05-25,7708443
2018-05-26,7685278
2018-05-27,7648798
2018-05-28,7616527
2018-05-29,7582209
2018-05-30,7685569
2018-05-31,7996265
2018-06-01,7919852
2018-06-02,7851035
2018-06-03,7852839
2018-06-04,7816255
2018-06-05,7888074
2018-06-06,7836875
2018-06-07,7446082
2018-06-08,7106469
2018-06-09,6760958
2018-06-10,6725947
2018-06-11,6501036
2018-06-12,6444858
2018-06-13,6169829
2018-06-14,6289158
2018-06-15,6268624
2018-06-16,6239580
2018-06-17,6198080
2018-06-18,6306476
2018-06-19,6330549
2018-06-20,6503293
2018-06-21,6734725
2018-06-22,6861306
2018-06-23,6845913
2018-06-24,6908204
2018-06-25,6862334
2018-06-26,6844756
2018-06-27,6825994
2018-06-28,6971213
2018-06-29,7109735
2018-06-30,7373728
2018-07-01,7478473
2018-07-02,7358956
2018-07-03,7318975
2018-07-04,7277509
