date_obj,Skirt%20(lilac) price
2017-04-25,1877
2017-04-26,1877
2017-04-27,1877
2017-04-28,1877
2017-04-29,1833
2017-04-30,1833
2017-05-01,1833
2017-05-02,1833
2017-05-03,1833
2017-05-04,1833
2017-05-05,1833
2017-05-06,1833
2017-05-07,1833
2017-05-08,1833
2017-05-09,1833
2017-05-10,1833
2017-05-11,1833
2017-05-12,1833
2017-05-13,1833
2017-05-14,1833
2017-05-15,1833
2017-05-16,1833
2017-05-17,1833
2017-05-18,1833
2017-05-19,1833
2017-05-20,1833
2017-05-21,1833
2017-05-22,1833
2017-05-23,1833
2017-05-24,1833
2017-05-25,1833
2017-05-26,1801
2017-05-27,1801
2017-05-28,1801
2017-05-29,1801
2017-05-30,1801
2017-05-31,1801
2017-06-01,1801
2017-06-02,1801
2017-06-03,1801
2017-06-04,1801
2017-06-05,1801
2017-06-06,1801
2017-06-07,1801
2017-06-08,1801
2017-06-09,1801
2017-06-10,1806
2017-06-11,1806
2017-06-12,1806
2017-06-13,1806
2017-06-14,1806
2017-06-15,1806
2017-06-16,1806
2017-06-17,1806
2017-06-18,1806
2017-06-19,1806
2017-06-20,1806
2017-06-21,1806
2017-06-22,1806
2017-06-23,1806
2017-06-24,1806
2017-06-25,1806
2017-06-26,1806
2017-06-27,1806
2017-06-28,1806
2017-06-29,1806
2017-06-30,1806
2017-07-01,1806
2017-07-02,1806
2017-07-03,1806
2017-07-04,1806
2017-07-05,1777
2017-07-06,1777
2017-07-07,1777
2017-07-08,1777
2017-07-09,1777
2017-07-10,1777
2017-07-11,1777
2017-07-12,1777
2017-07-13,1777
2017-07-14,1777
2017-07-15,1777
2017-07-16,1777
2017-07-17,1777
2017-07-18,1777
2017-07-19,1777
2017-07-20,1777
2017-07-21,1777
2017-07-22,1777
2017-07-23,1777
2017-07-24,1777
2017-07-25,1777
2017-07-26,1777
2017-07-27,1777
2017-07-28,1777
2017-07-29,1777
2017-07-30,1777
2017-07-31,1777
2017-08-01,1750
2017-08-02,1750
2017-08-03,1750
2017-08-04,1750
2017-08-05,1750
2017-08-06,1750
2017-08-07,1750
2017-08-08,1750
2017-08-09,1750
2017-08-10,1750
2017-08-11,1750
2017-08-12,1750
2017-08-13,1750
2017-08-14,1750
2017-08-15,1750
2017-08-16,1750
2017-08-17,1750
2017-08-18,1750
2017-08-19,1750
2017-08-20,1750
2017-08-21,1750
2017-08-22,1750
2017-08-23,1750
2017-08-24,1750
2017-08-25,1750
2017-08-26,1750
2017-08-27,1750
2017-08-28,1750
2017-08-29,1750
2017-08-30,1750
2017-08-31,1756
2017-09-01,1756
2017-09-02,1756
2017-09-03,1756
2017-09-04,1756
2017-09-05,1756
2017-09-06,1756
2017-09-07,1756
2017-09-08,1756
2017-09-09,1756
2017-09-10,1756
2017-09-11,1756
2017-09-12,1756
2017-09-13,1756
2017-09-14,1756
2017-09-15,1756
2017-09-16,1756
2017-09-17,1756
2017-09-18,1756
2017-09-19,1756
2017-09-20,1756
2017-09-21,1756
2017-09-22,1756
2017-09-23,1756
2017-09-24,1756
2017-09-25,1756
2017-09-26,1756
2017-09-27,1756
2017-09-28,1756
2017-09-29,1696
2017-09-30,1696
2017-10-01,1696
2017-10-02,1696
2017-10-03,1696
2017-10-04,1696
2017-10-05,1696
2017-10-06,1696
2017-10-07,1696
2017-10-08,1696
2017-10-09,1696
2017-10-10,1696
2017-10-11,1696
2017-10-12,1696
2017-10-13,1696
2017-10-14,1696
2017-10-15,1696
2017-10-16,1696
2017-10-17,1696
2017-10-18,1696
2017-10-19,1696
2017-10-20,1696
2017-10-21,1696
2017-10-22,1696
2017-10-23,1696
2017-10-24,1696
2017-10-25,1714
2017-10-26,1714
2017-10-27,1714
2017-10-28,1714
2017-10-29,1714
2017-10-30,1714
2017-10-31,1714
2017-11-01,1714
2017-11-02,1714
2017-11-03,1714
2017-11-04,1714
2017-11-05,1714
2017-11-06,1714
2017-11-07,1714
2017-11-08,1714
2017-11-09,1714
2017-11-10,1714
2017-11-11,1714
2017-11-12,1714
2017-11-13,1714
2017-11-14,1714
2017-11-15,1714
2017-11-16,1714
2017-11-17,1714
2017-11-18,1714
2017-11-19,1714
2017-11-20,1714
2017-11-21,1714
2017-11-22,1726
2017-11-23,1726
2017-11-24,1726
2017-11-25,1726
2017-11-26,1726
2017-11-27,1726
2017-11-28,1726
2017-11-29,1726
2017-11-30,1726
2017-12-01,1726
2017-12-02,1726
2017-12-03,1726
2017-12-04,1726
2017-12-05,1726
2017-12-06,1726
2017-12-07,1726
2017-12-08,1726
2017-12-09,1726
2017-12-10,1726
2017-12-11,1726
2017-12-12,1726
2017-12-13,1726
2017-12-14,1726
2017-12-15,1726
2017-12-16,1726
2017-12-17,1726
2017-12-18,1726
2017-12-19,1726
2017-12-20,1726
2017-12-21,1699
2017-12-22,1699
2017-12-23,1699
2017-12-24,1699
2017-12-25,1699
2017-12-26,1699
2017-12-27,1699
2017-12-28,1699
2017-12-29,1699
2017-12-30,1699
2017-12-31,1699
2018-01-01,1699
2018-01-02,1699
2018-01-03,1699
2018-01-04,1699
2018-01-05,1699
2018-01-06,1699
2018-01-07,1699
2018-01-08,1699
2018-01-09,1699
2018-01-10,1699
2018-01-11,1699
2018-01-12,1699
2018-01-13,1699
2018-01-14,1699
2018-01-15,1658
2018-01-16,1658
2018-01-17,1658
2018-01-18,1658
2018-01-19,1658
2018-01-20,1658
2018-01-21,1658
2018-01-22,1658
2018-01-23,1658
2018-01-24,1658
2018-01-25,1658
2018-01-26,1658
2018-01-27,1658
2018-01-28,1658
2018-01-29,1658
2018-01-30,1614
2018-01-31,1614
2018-02-01,1614
2018-02-02,1614
2018-02-03,1614
2018-02-04,1614
2018-02-05,1614
2018-02-06,1614
2018-02-07,1614
2018-02-08,1614
2018-02-09,1614
2018-02-10,1614
2018-02-11,1614
2018-02-12,1614
2018-02-13,1614
2018-02-14,1614
2018-02-15,1614
2018-02-16,1628
2018-02-17,1628
2018-02-18,1628
2018-02-19,1628
2018-02-20,1628
2018-02-21,1628
2018-02-22,1628
2018-02-23,1628
2018-02-24,1628
2018-02-25,1628
2018-02-26,1628
2018-02-27,1628
2018-02-28,1628
2018-03-01,1628
2018-03-02,1628
2018-03-03,1610
2018-03-04,1610
2018-03-05,1610
2018-03-06,1610
2018-03-07,1610
2018-03-08,1610
2018-03-09,1610
2018-03-10,1610
2018-03-11,1610
2018-03-12,1610
2018-03-13,1610
2018-03-14,1610
2018-03-15,1610
2018-03-16,1610
2018-03-17,1571
2018-03-18,1571
2018-03-19,1571
2018-03-20,1571
2018-03-21,1571
2018-03-23,1571
2018-03-24,1571
2018-03-26,1571
2018-03-27,1571
2018-03-28,1571
2018-03-29,1571
2018-03-30,1571
2018-03-31,1571
2018-04-01,1528
2018-04-02,1528
2018-04-03,1528
2018-04-04,1528
2018-04-05,1528
2018-04-06,1528
2018-04-08,1528
2018-04-09,1528
2018-04-10,1528
2018-04-11,1528
2018-04-12,1528
2018-04-13,1528
2018-04-14,1528
2018-04-16,1528
2018-04-17,1528
2018-04-18,1546
2018-04-19,1546
2018-04-20,1546
2018-04-21,1546
2018-04-22,1546
2018-04-23,1546
2018-04-24,1546
2018-04-25,1546
2018-04-26,1546
2018-04-27,1546
2018-04-28,1546
2018-04-29,1546
2018-04-30,1546
2018-05-01,1546
2018-05-02,1546
2018-05-03,1546
2018-05-04,1546
2018-05-05,1546
2018-05-06,1546
2018-05-07,1550
2018-05-08,1550
2018-05-09,1550
2018-05-10,1550
2018-05-11,1550
2018-05-12,1550
2018-05-13,1550
2018-05-14,1550
2018-05-15,1550
2018-05-16,1550
2018-05-17,1550
2018-05-18,1550
2018-05-19,1550
2018-05-20,1550
2018-05-21,1550
2018-05-22,1542
2018-05-23,1542
2018-05-24,1542
2018-05-25,1542
2018-05-26,1542
2018-05-27,1542
2018-05-28,1542
2018-05-29,1542
2018-05-30,1542
2018-05-31,1542
2018-06-01,1542
2018-06-02,1542
2018-06-03,1542
2018-06-04,1542
2018-06-05,1501
2018-06-06,1501
2018-06-07,1501
2018-06-08,1501
2018-06-09,1501
2018-06-10,1501
2018-06-11,1501
2018-06-12,1501
2018-06-13,1501
2018-06-14,1501
