date_obj,Dinh's%20bulwark price
2020-04-19,5759610
2020-04-20,5471629
2020-04-21,5208546
2020-04-22,5139186
2020-04-23,5005972
2020-04-24,5053860
2020-04-25,5127559
2020-04-26,5021218
2020-04-27,4958790
2020-04-28,5143601
2020-04-29,5365372
2020-04-30,5567359
2020-05-01,5517536
2020-05-02,5505850
2020-05-03,5632322
2020-05-04,5643421
2020-05-05,5635328
2020-05-06,5657212
2020-05-07,5787763
2020-05-08,5812320
2020-05-09,5822689
2020-05-10,5718474
2020-05-11,5713353
2020-05-12,5712724
2020-05-13,5650443
