date_obj,Anti-dragon%20shield price
2019-01-24,74
2019-01-25,75
2019-01-26,74
2019-01-27,74
2019-01-28,73
2019-01-29,74
2019-01-30,75
2019-01-31,74
2019-02-01,74
2019-02-02,73
2019-02-03,74
2019-02-04,73
2019-02-05,74
2019-02-06,72
2019-02-07,69
2019-02-08,68
2019-02-09,70
2019-02-10,72
2019-02-11,74
2019-02-12,75
2019-02-13,75
2019-02-14,75
2019-02-15,75
2019-02-16,71
2019-02-17,70
2019-02-18,72
2019-02-19,74
2019-02-20,75
2019-02-21,77
2019-02-22,79
2019-02-23,79
2019-02-24,77
2019-02-25,76
2019-02-26,78
2019-02-27,78
2019-02-28,75
2019-03-01,75
2019-03-02,74
2019-03-03,72
2019-03-04,73
2019-03-05,74
2019-03-06,73
2019-03-07,75
2019-03-08,74
2019-03-09,72
2019-03-10,74
2019-03-11,78
2019-03-12,80
2019-03-13,81
2019-03-14,85
2019-03-15,84
2019-03-16,83
2019-03-17,82
2019-03-18,83
2019-03-19,82
2019-03-20,84
2019-03-21,82
2019-03-22,79
2019-03-23,77
2019-03-24,77
2019-03-25,78
2019-03-26,79
2019-03-27,81
2019-03-28,83
2019-03-29,85
2019-03-30,83
2019-03-31,83
2019-04-01,84
2019-04-02,86
2019-04-03,88
2019-04-04,89
2019-04-05,89
2019-04-06,85
2019-04-07,80
2019-04-08,77
2019-04-09,77
2019-04-10,76
2019-04-11,78
2019-04-12,78
2019-04-13,79
2019-04-14,76
2019-04-15,77
2019-04-16,76
2019-04-17,75
2019-04-18,76
2019-04-19,77
2019-04-20,77
2019-04-21,74
2019-04-22,72
2019-04-23,72
2019-04-24,71
2019-04-25,74
2019-04-26,75
2019-04-27,78
2019-04-28,80
2019-04-29,81
2019-04-30,82
2019-05-01,80
2019-05-02,78
2019-05-03,76
2019-05-04,77
2019-05-05,78
2019-05-06,78
2019-05-07,78
2019-05-08,78
2019-05-09,77
2019-05-10,77
2019-05-11,77
2019-05-12,78
2019-05-13,80
2019-05-14,76
2019-05-15,73
2019-05-16,70
2019-05-17,71
2019-05-18,72
2019-05-19,72
2019-05-20,71
2019-05-21,71
2019-05-22,71
2019-05-23,73
2019-05-24,75
2019-05-25,73
2019-05-26,71
2019-05-27,73
2019-05-28,75
2019-05-29,76
2019-05-30,78
2019-05-31,79
2019-06-01,78
2019-06-02,76
2019-06-03,75
2019-06-04,74
2019-06-05,73
2019-06-06,73
2019-06-07,72
2019-06-08,72
2019-06-09,73
2019-06-10,73
2019-06-11,74
2019-06-12,73
2019-06-13,71
2019-06-14,71
2019-06-15,71
2019-06-16,73
2019-06-17,73
2019-06-18,76
2019-06-19,75
2019-06-20,75
2019-06-21,74
2019-06-22,73
2019-06-23,71
2019-06-24,70
2019-06-25,69
2019-06-26,69
2019-06-27,67
2019-06-28,66
2019-06-29,68
2019-06-30,69
2019-07-01,69
2019-07-02,67
2019-07-03,68
2019-07-04,65
2019-07-05,64
2019-07-06,65
2019-07-07,66
2019-07-08,68
2019-07-09,69
2019-07-10,72
2019-07-11,71
2019-07-12,73
2019-07-13,75
2019-07-14,77
2019-07-15,78
2019-07-16,79
2019-07-17,79
2019-07-18,79
2019-07-19,78
2019-07-20,77
2019-07-21,78
2019-07-22,79
2019-07-23,81
2019-07-24,81
2019-07-25,80
2019-07-26,81
2019-07-27,81
2019-07-28,78
2019-07-29,77
2019-07-30,78
2019-07-31,76
2019-08-01,77
2019-08-02,75
2019-08-03,76
2019-08-04,76
2019-08-05,76
2019-08-06,75
2019-08-07,75
2019-08-08,74
2019-08-09,73
2019-08-10,73
2019-08-11,75
2019-08-12,77
2019-08-13,77
2019-08-14,78
2019-08-15,79
2019-08-16,81
2019-08-17,80
