date_obj,Nature%20impling%20jar price
2018-05-04,2989
2018-05-05,3059
2018-05-06,3059
2018-05-07,3015
2018-05-08,3027
2018-05-09,3030
2018-05-10,3107
2018-05-11,3107
2018-05-12,3205
2018-05-13,3205
2018-05-14,3281
2018-05-15,3281
2018-05-16,3221
2018-05-17,3221
2018-05-18,3252
2018-05-19,3376
2018-05-20,3376
2018-05-21,3434
2018-05-22,3434
2018-05-23,3425
2018-05-24,3425
2018-05-25,3335
2018-05-26,3265
2018-05-27,3265
2018-05-28,3294
2018-05-29,3265
2018-05-30,3291
2018-05-31,3274
2018-06-01,3231
2018-06-02,3313
2018-06-03,3313
2018-06-04,3469
2018-06-05,3550
2018-06-06,3678
2018-06-07,3678
2018-06-08,3765
2018-06-09,3765
2018-06-10,3781
2018-06-11,3654
2018-06-12,3487
2018-06-13,3344
2018-06-14,3216
2018-06-15,3109
2018-06-16,2970
2018-06-17,2931
2018-06-18,2960
2018-06-19,3108
2018-06-20,3108
2018-06-21,3170
2018-06-22,3200
2018-06-23,3200
2018-06-24,3182
2018-06-25,3302
2018-06-26,3362
2018-06-27,3286
2018-06-28,3221
2018-06-29,3169
2018-06-30,3131
2018-07-01,3044
2018-07-02,3044
2018-07-03,3008
2018-07-04,2903
2018-07-05,2903
2018-07-06,2805
2018-07-07,2724
2018-07-08,2781
2018-07-09,2859
2018-07-10,2925
2018-07-11,2889
2018-07-12,2889
2018-07-13,2839
2018-07-14,2820
2018-07-15,2820
2018-07-16,2775
2018-07-17,2725
2018-07-18,2725
2018-07-19,2711
2018-07-20,2711
2018-07-21,2742
2018-07-22,2758
2018-07-23,2741
2018-07-24,2741
2018-07-25,2857
2018-07-26,2857
2018-07-27,2989
2018-07-28,2989
2018-07-29,3105
2018-07-30,3105
2018-07-31,3087
2018-08-01,3087
2018-08-02,3221
2018-08-03,3221
2018-08-04,3234
2018-08-05,3234
2018-08-06,3377
2018-08-07,3377
2018-08-08,3333
2018-08-09,3333
2018-08-10,3258
2018-08-11,3254
2018-08-12,3195
2018-08-14,3228
2018-08-16,3230
2018-08-17,3291
2018-08-18,3291
2018-08-19,3365
2018-08-20,3376
2018-08-21,3376
2018-08-22,3435
2018-08-23,3391
2018-08-24,3291
2018-08-25,3223
2018-08-26,3145
2018-08-27,3086
2018-08-28,3021
2018-08-29,3021
2018-08-30,3000
2018-08-31,3128
2018-09-01,3129
2018-09-02,3129
2018-09-03,3252
2018-09-04,3272
2018-09-05,3230
2018-09-06,3230
2018-09-07,3224
2018-09-08,3151
2018-09-09,3151
2018-09-10,3269
2018-09-11,3269
2018-09-12,3433
2018-09-13,3605
2018-09-14,3686
2018-09-15,3841
2018-09-16,3841
2018-09-17,3836
2018-09-18,3686
2018-09-19,3577
2018-09-20,3478
2018-09-21,3493
2018-09-22,3552
2018-09-23,3421
2018-09-24,3432
2018-09-25,3432
2018-09-26,3339
2018-09-27,3376
2018-09-28,3406
2018-09-29,3382
2018-09-30,3370
2018-10-02,3438
2018-10-03,3535
2018-10-04,3535
2018-10-05,3599
2018-10-06,3704
2018-10-07,3704
2018-10-08,3764
2018-10-09,3844
2018-10-10,3857
2018-10-11,3805
2018-10-12,3805
2018-10-13,3774
2018-10-14,3755
2018-10-15,3664
2018-10-16,3750
2018-10-17,3729
2018-10-18,3607
2018-10-19,3690
2018-10-20,3690
2018-10-21,3669
2018-10-22,3556
2018-10-23,3542
2018-10-24,3608
2018-10-25,3720
2018-10-26,3852
2018-10-27,3796
2018-10-28,3795
2018-10-29,3727
2018-10-30,3718
2018-10-31,3707
2018-11-01,3643
2018-11-03,3915
2018-11-04,4052
2018-11-05,4019
2018-11-06,3861
2018-11-07,3701
2018-11-08,3575
2018-11-09,3482
2018-11-10,3591
2018-11-11,3742
2018-11-12,3880
2018-11-13,3846
2018-11-15,3830
2018-11-16,3822
2018-11-17,3781
2018-11-18,3758
2018-11-19,3684
2018-11-20,3603
2018-11-21,3625
2018-11-22,3608
2018-11-23,3559
2018-11-24,3533
2018-11-25,3582
2018-11-26,3580
2018-11-27,3528
2018-11-28,3568
2018-11-29,3609
2018-12-01,3695
2018-12-02,3667
2018-12-03,3624
2018-12-04,3624
2018-12-05,3594
2018-12-07,3510
2018-12-09,3660
2018-12-10,3699
2018-12-11,3772
2018-12-12,3718
2018-12-13,3662
2018-12-14,3698
2018-12-15,3612
2018-12-16,3570
2018-12-17,3532
2018-12-18,3538
2018-12-19,3465
2018-12-20,3461
2018-12-21,3391
2018-12-22,3422
2018-12-23,3429
2018-12-24,3435
2018-12-25,3456
2018-12-26,3363
2018-12-27,3453
2018-12-28,3519
2018-12-29,3406
2018-12-30,3374
2018-12-31,3418
2019-01-01,3416
2019-01-02,3311
2019-01-03,3340
2019-01-04,3327
2019-01-05,3440
2019-01-06,3475
2019-01-08,3479
2019-01-10,3604
2019-01-11,3463
2019-01-12,3397
2019-01-13,3483
2019-01-14,3538
2019-01-15,3454
2019-01-16,3282
2019-01-17,3227
2019-01-18,3247
2019-01-19,3217
2019-01-20,3241
2019-01-21,3276
2019-01-22,3343
2019-01-23,3311
2019-01-24,3198
2019-01-25,3107
2019-01-26,3065
2019-01-27,3067
2019-01-28,2988
2019-01-29,3027
2019-01-30,3052
2019-01-31,3088
2019-02-01,3092
2019-02-02,3138
2019-02-03,3162
2019-02-04,3124
2019-02-05,3124
2019-02-06,3216
2019-02-07,3228
2019-02-08,3271
2019-02-09,3195
2019-02-10,3204
2019-02-11,3203
2019-02-12,3122
2019-02-13,3048
2019-02-14,3004
2019-02-15,3047
2019-02-16,3109
2019-02-17,3147
2019-02-18,3119
2019-02-19,3109
2019-02-20,3133
2019-02-21,3143
2019-02-22,3153
2019-02-23,3148
2019-02-24,3208
2019-02-25,3156
2019-02-26,3075
2019-02-27,3036
2019-02-28,3047
2019-03-01,3105
2019-03-02,3140
2019-03-03,3189
2019-03-04,3266
2019-03-05,3346
2019-03-06,3458
2019-03-07,3458
2019-03-08,3373
2019-03-09,3373
2019-03-10,3490
2019-03-11,3606
2019-03-12,3653
2019-03-13,3535
2019-03-14,3377
2019-03-15,3399
2019-03-16,3563
2019-03-17,3573
2019-03-18,3423
2019-03-19,3430
2019-03-20,3410
2019-03-21,3519
2019-03-22,3671
2019-03-23,3764
2019-03-24,3704
2019-03-25,3713
2019-03-26,3771
2019-03-27,3771
2019-03-28,3814
2019-03-29,3626
2019-03-30,3626
2019-03-31,3754
2019-04-01,3774
2019-04-02,3795
