date_obj,Grimy%20toadflax price
2017-09-21,2370
2017-09-22,2396
2017-09-23,2396
2017-09-24,2387
2017-09-25,2421
2017-09-26,2421
2017-09-27,2428
2017-09-28,2444
2017-09-29,2448
2017-09-30,2448
2017-10-01,2438
2017-10-02,2420
2017-10-03,2420
2017-10-04,2397
2017-10-05,2411
2017-10-06,2420
2017-10-07,2389
2017-10-08,2389
2017-10-09,2327
2017-10-10,2306
2017-10-11,2306
2017-10-12,2291
2017-10-13,2257
2017-10-14,2177
2017-10-15,2177
2017-10-16,2218
2017-10-17,2218
2017-10-18,2292
2017-10-19,2292
2017-10-20,2207
2017-10-21,2207
2017-10-22,2165
2017-10-23,2165
2017-10-24,2151
2017-10-25,2145
2017-10-26,2145
2017-10-27,2112
2017-10-28,2112
2017-10-29,2085
2017-10-30,2047
2017-10-31,2056
2017-11-01,2056
2017-11-02,2059
2017-11-03,2059
2017-11-04,2132
2017-11-05,2132
2017-11-06,2142
2017-11-07,2142
2017-11-08,2130
2017-11-09,2113
2017-11-10,2113
2017-11-11,2122
2017-11-12,2146
2017-11-13,2146
2017-11-14,2189
2017-11-15,2189
2017-11-16,2239
2017-11-17,2205
2017-11-18,2205
2017-11-19,2156
2017-11-20,2131
2017-11-21,2122
2017-11-22,2122
2017-11-23,2094
2017-11-24,2094
2017-11-25,2077
2017-11-26,2081
2017-11-27,2081
2017-11-28,2094
2017-11-29,2094
2017-11-30,2062
2017-12-01,2043
2017-12-02,2043
2017-12-03,2102
2017-12-04,2102
2017-12-05,2114
2017-12-06,2119
2017-12-07,2118
2017-12-08,2118
2017-12-09,2094
2017-12-10,2077
2017-12-11,2078
2017-12-12,2078
2017-12-13,2123
2017-12-14,2123
2017-12-15,2156
2017-12-16,2156
2017-12-17,2176
2017-12-18,2255
2017-12-19,2255
2017-12-20,2289
2017-12-21,2230
2017-12-22,2193
2017-12-23,2186
2017-12-24,2186
2017-12-25,2205
2017-12-26,2175
2017-12-27,2182
2017-12-28,2182
2017-12-29,2210
2017-12-30,2205
2017-12-31,2205
2018-01-01,2190
2018-01-02,2211
2018-01-03,2246
2018-01-04,2246
2018-01-05,2201
2018-01-06,2225
2018-01-07,2234
2018-01-08,2243
2018-01-09,2280
2018-01-10,2280
2018-01-11,2343
2018-01-12,2351
2018-01-13,2407
2018-01-14,2448
2018-01-15,2545
2018-01-16,2603
2018-01-17,2663
2018-01-18,2599
2018-01-19,2599
2018-01-20,2657
2018-01-21,2776
2018-01-22,2904
2018-01-23,3035
2018-01-25,2878
2018-01-26,2795
2018-01-27,2730
2018-01-28,2751
2018-01-29,2820
2018-01-30,2908
2018-01-31,2964
2018-02-01,3049
2018-02-02,3091
2018-02-03,3169
2018-02-04,3147
2018-02-05,3039
2018-02-06,2962
2018-02-07,2909
2018-02-08,2909
2018-02-09,2946
2018-02-10,2946
2018-02-11,2973
2018-02-12,2949
2018-02-13,2928
2018-02-14,2925
2018-02-15,2913
2018-02-16,2901
2018-02-17,2872
2018-02-18,2840
2018-02-19,2885
2018-02-20,2883
2018-02-21,2875
2018-02-22,2838
2018-02-23,2829
2018-02-24,2804
2018-02-25,2766
2018-02-26,2820
2018-02-27,2864
2018-02-28,2904
2018-03-01,2926
2018-03-02,2945
2018-03-03,2938
2018-03-04,2938
2018-03-05,2913
2018-03-06,2914
2018-03-07,3056
2018-03-08,3102
2018-03-09,3057
2018-03-10,2981
2018-03-11,2996
2018-03-12,2979
2018-03-13,2951
2018-03-14,2929
2018-03-15,2906
2018-03-16,2854
2018-03-17,2876
2018-03-18,2913
2018-03-19,2913
2018-03-20,2915
2018-03-21,2954
2018-03-23,2915
2018-03-24,2915
2018-03-25,2919
2018-03-26,2887
2018-03-27,2869
2018-03-28,2856
2018-03-29,2832
2018-03-30,2775
2018-03-31,2761
2018-04-01,2739
2018-04-02,2745
2018-04-03,2785
2018-04-04,2794
2018-04-05,2794
2018-04-06,2809
2018-04-07,2774
2018-04-08,2747
2018-04-09,2734
2018-04-10,2719
2018-04-11,2725
2018-04-12,2766
2018-04-13,2757
2018-04-14,2756
2018-04-15,2746
2018-04-16,2753
2018-04-17,2766
2018-04-18,2741
2018-04-19,2728
2018-04-20,2687
2018-04-21,2650
2018-04-22,2669
2018-04-23,2684
2018-04-24,2689
2018-04-25,2700
2018-04-26,2700
2018-04-27,2697
2018-04-28,2682
2018-04-29,2698
2018-04-30,2719
2018-05-01,2726
2018-05-03,2699
2018-05-04,2694
2018-05-05,2785
2018-05-06,2785
2018-05-07,2875
2018-05-08,2930
2018-05-09,3024
2018-05-10,3049
2018-05-11,2934
2018-05-12,2955
2018-05-13,2955
2018-05-14,2897
2018-05-15,2878
2018-05-16,2912
2018-05-17,3025
2018-05-18,3125
2018-05-19,3079
2018-05-20,3096
2018-05-21,3198
2018-05-22,3228
2018-05-23,3131
2018-05-24,3006
2018-05-25,2876
2018-05-26,2861
2018-05-27,2902
2018-05-28,2934
2018-05-29,2956
2018-05-30,2954
2018-05-31,2974
2018-06-01,2960
2018-06-02,2900
2018-06-03,2941
2018-06-04,2962
2018-06-05,2936
2018-06-06,2841
2018-06-07,2715
2018-06-08,2689
2018-06-09,2646
2018-06-10,2638
2018-06-11,2638
2018-06-12,2646
2018-06-13,2647
2018-06-14,2676
2018-06-15,2719
2018-06-16,2703
2018-06-17,2753
2018-06-18,2752
2018-06-19,2800
2018-06-20,2800
2018-06-21,2793
2018-06-22,2772
2018-06-23,2778
2018-06-24,2783
2018-06-25,2770
2018-06-26,2714
2018-06-27,2667
2018-06-28,2673
2018-06-29,2618
2018-06-30,2531
2018-07-01,2489
2018-07-02,2417
2018-07-03,2420
2018-07-04,2370
2018-07-05,2346
2018-07-06,2402
2018-07-07,2448
2018-07-08,2478
2018-07-09,2516
2018-07-10,2533
2018-07-11,2528
2018-07-12,2415
2018-07-13,2453
2018-07-14,2426
2018-07-15,2415
2018-07-16,2462
2018-07-17,2473
2018-07-18,2480
2018-07-19,2529
2018-07-20,2569
2018-07-21,2644
2018-07-22,2644
2018-07-23,2588
2018-07-24,2598
2018-07-25,2601
2018-07-26,2615
2018-07-27,2602
2018-07-28,2604
2018-07-29,2671
2018-07-30,2730
2018-07-31,2812
2018-08-01,2788
2018-08-02,2771
2018-08-03,2744
2018-08-04,2736
2018-08-05,2733
2018-08-06,2759
2018-08-07,2770
2018-08-08,2785
2018-08-09,2768
2018-08-10,2790
2018-08-11,2771
2018-08-12,2795
2018-08-14,2767
2018-08-16,2797
2018-08-17,2800
2018-08-18,2800
2018-08-19,2749
2018-08-20,2697
2018-08-21,2684
2018-08-22,2681
2018-08-23,2665
2018-08-24,2672
2018-08-25,2665
2018-08-26,2669
2018-08-27,2681
2018-08-28,2704
2018-08-29,2739
2018-08-30,2725
2018-08-31,2722
2018-09-01,2700
2018-09-02,2674
2018-09-03,2624
2018-09-04,2637
2018-09-05,2685
2018-09-06,2685
2018-09-07,2707
2018-09-08,2738
2018-09-09,2749
2018-09-10,2732
2018-09-11,2739
2018-09-12,2721
2018-09-13,2718
2018-09-14,2708
2018-09-15,2691
2018-09-16,2595
2018-09-17,2578
2018-09-18,2547
2018-09-19,2490
2018-09-20,2437
2018-09-21,2356
2018-09-22,2388
2018-09-23,2490
2018-09-24,2511
2018-09-25,2577
2018-09-26,2584
2018-09-27,2612
2018-09-28,2634
2018-09-29,2636
2018-09-30,2615
2018-10-01,2616
2018-10-02,2650
2018-10-03,2668
2018-10-04,2679
2018-10-05,2659
2018-10-06,2618
2018-10-07,2551
2018-10-08,2543
2018-10-09,2459
2018-10-10,2395
2018-10-11,2418
2018-10-12,2430
2018-10-13,2432
2018-10-14,2466
