date_obj,Black%20set%20(lg) price
2017-06-20,7485
2017-06-21,7441
2017-06-22,7475
2017-06-23,7384
2017-06-24,7430
2017-06-25,7595
2017-06-26,7663
2017-06-27,7812
2017-06-28,7872
2017-06-29,7897
2017-06-30,7803
2017-07-01,7803
2017-07-02,7733
2017-07-03,7480
2017-07-04,7259
2017-07-05,7259
2017-07-06,7159
2017-07-07,7159
2017-07-08,7021
2017-07-13,6915
2017-07-14,7099
2017-07-15,7139
2017-07-16,7344
2017-07-17,7324
2017-07-18,7560
2017-07-19,7665
2017-07-20,7687
2017-07-21,7754
2017-07-22,7744
2017-07-23,7813
2017-07-24,7922
2017-07-25,8030
2017-07-26,8037
2017-07-27,8082
2017-07-28,8122
2017-07-29,8081
2017-07-30,7889
2017-07-31,7528
2017-08-01,7575
2017-08-02,7653
2017-08-03,7585
2017-08-04,7638
2017-08-05,7562
2017-08-06,7482
2017-08-07,7284
2017-08-08,7412
2017-08-09,7534
2017-08-10,7525
2017-08-11,7591
2017-08-12,7502
2017-08-13,7463
2017-08-14,7470
2017-08-15,7340
2017-08-16,7352
2017-08-17,7429
2017-08-18,7429
2017-08-19,7461
2017-08-20,7554
2017-08-21,7395
2017-08-22,7432
2017-08-23,7431
2017-08-24,7484
2017-08-25,7662
2017-08-26,7705
2017-08-27,7613
2017-08-28,7496
2017-08-29,7464
2017-08-30,7270
2017-08-31,6974
2017-09-01,7068
2017-09-02,7004
2017-09-03,7032
2017-09-04,7069
2017-09-05,6947
2017-09-06,6871
2017-09-07,6808
2017-09-08,6680
2017-09-09,6605
2017-09-10,6762
2017-09-11,6860
2017-09-12,7119
2017-09-13,7256
2017-09-14,7430
2017-09-15,7430
2017-09-16,7190
2017-09-17,7341
2017-09-18,7602
2017-09-19,7859
2017-09-20,7469
2017-09-22,7232
2017-09-23,7179
2017-09-24,7093
2017-09-25,7037
2017-09-26,6962
2017-09-27,6922
2017-09-28,6822
2017-09-29,6863
2017-09-30,7043
2017-10-01,7222
2017-10-02,7506
2017-10-03,7827
2017-10-04,8140
2017-10-05,8525
2017-10-06,8749
2017-10-07,8862
2017-10-08,8687
2017-10-09,8642
2017-10-10,8637
2017-10-11,8637
2017-10-12,8494
2017-10-13,8244
2017-10-14,8060
2017-10-15,8060
2017-10-16,8085
2017-10-17,8085
2017-10-18,8156
2017-10-19,8096
2017-10-20,8069
2017-10-21,8019
2017-10-22,8040
2017-10-23,7970
2017-10-24,7865
2017-10-25,7769
2017-10-26,7805
2017-10-27,7992
2017-10-28,7992
2017-10-29,8147
2017-10-30,8057
2017-10-31,8017
2017-11-01,8017
2017-11-02,8063
2017-11-03,7915
2017-11-04,8079
2017-11-05,8172
2017-11-06,8352
2017-11-07,8604
2017-11-08,8519
2017-11-09,8123
2017-11-10,8047
2017-11-11,8253
2017-11-12,8332
2017-11-13,8389
2017-11-14,8245
2017-11-15,8199
2017-11-16,8090
2017-11-17,8025
2017-11-18,7978
2017-11-19,7981
2017-11-20,7884
2017-11-21,7793
2017-11-22,7804
2017-11-23,7939
2017-11-24,7743
2017-11-25,7824
2017-11-26,7997
2017-11-27,7997
2017-11-28,8099
2017-11-29,8240
2017-11-30,8349
2017-12-01,8628
2017-12-02,8569
2017-12-03,8575
2017-12-04,8574
2017-12-05,8662
2017-12-06,8974
2017-12-07,9303
2017-12-08,9531
2017-12-09,9795
2017-12-10,9808
2017-12-11,9670
2017-12-12,9651
2017-12-13,9467
2017-12-14,9378
2017-12-15,9294
2017-12-16,9525
2017-12-17,9804
2017-12-18,10186
2017-12-19,10634
2017-12-20,10678
2017-12-21,10187
2017-12-22,10212
2017-12-23,10416
2017-12-24,10647
2017-12-25,10633
2017-12-26,10290
2017-12-27,10028
2017-12-28,9718
2017-12-29,9355
2017-12-30,9055
2017-12-31,9163
2018-01-01,8857
2018-01-02,8732
2018-01-03,8484
2018-01-04,8365
2018-01-05,8163
2018-01-06,8152
2018-01-07,7996
2018-01-08,8052
2018-01-09,8231
2018-01-10,8107
2018-01-11,7789
2018-01-12,7602
2018-01-13,7564
2018-01-14,7829
2018-01-15,7872
2018-01-16,7982
2018-01-17,7875
2018-01-18,7696
2018-01-19,7696
2018-01-20,7654
2018-01-21,7542
2018-01-22,7481
2018-01-23,7422
2018-01-24,7428
2018-01-25,7609
2018-01-26,7887
2018-01-27,8216
2018-01-28,8079
2018-01-29,8156
2018-01-30,8378
2018-01-31,8544
2018-02-01,8704
2018-02-02,8607
2018-02-03,8633
2018-02-04,8883
2018-02-05,8818
2018-02-06,8544
2018-02-07,8424
2018-02-08,8330
2018-02-09,8319
2018-02-10,8310
2018-02-11,8377
2018-02-12,8437
2018-02-13,8825
2018-02-14,9140
2018-02-15,9243
2018-02-16,9480
2018-02-17,9107
2018-02-18,8802
2018-02-19,8703
2018-02-20,8634
2018-02-21,8733
2018-02-22,8688
2018-02-23,8688
2018-02-24,8888
2018-02-25,8557
2018-02-26,8451
2018-02-27,8171
2018-02-28,7941
2018-03-01,7872
2018-03-02,7873
2018-03-03,7788
2018-03-04,7760
2018-03-05,7687
2018-03-06,7640
2018-03-07,7754
2018-03-08,7904
2018-03-09,7925
2018-03-10,7804
2018-03-11,7794
2018-03-12,7995
2018-03-13,8236
2018-03-14,8542
2018-03-15,8621
2018-03-16,8458
2018-03-17,8397
2018-03-18,8402
2018-03-20,8253
2018-03-21,8100
2018-03-22,8108
2018-03-23,8218
2018-03-24,8522
2018-03-25,8461
2018-03-26,8322
2018-03-27,8426
2018-03-28,8585
2018-03-29,8530
2018-03-30,8380
2018-03-31,8363
2018-04-01,8270
2018-04-02,8215
2018-04-03,8166
2018-04-04,8218
2018-04-05,8113
2018-04-06,8041
2018-04-07,8286
2018-04-08,8612
2018-04-09,8763
2018-04-10,8541
2018-04-11,8615
2018-04-12,8892
2018-04-13,8873
2018-04-14,9160
2018-04-15,9300
2018-04-16,9107
2018-04-17,9029
2018-04-18,9025
2018-04-19,8927
2018-04-20,8828
2018-04-21,8850
2018-04-22,8789
2018-04-23,8698
2018-04-24,8628
2018-04-25,8584
2018-04-26,8527
2018-04-27,8553
2018-04-28,8401
2018-04-29,8291
2018-04-30,8420
2018-05-01,8618
2018-05-02,8915
2018-05-03,9009
2018-05-04,8832
2018-05-05,8857
2018-05-06,8755
2018-05-07,8743
2018-05-08,8771
2018-05-09,8648
2018-05-10,8866
2018-05-11,8931
2018-05-12,8827
2018-05-13,8975
2018-05-14,8642
2018-05-15,8706
2018-05-16,8602
2018-05-17,8554
2018-05-18,8552
2018-05-19,8468
2018-05-20,8347
2018-05-21,8146
2018-05-22,7945
2018-05-23,7693
2018-05-24,7764
2018-05-25,7720
2018-05-26,7744
2018-05-27,7641
2018-05-28,7603
2018-05-29,7481
2018-05-30,7440
2018-05-31,7320
2018-06-01,7260
2018-06-02,7187
2018-06-03,7324
2018-06-04,7397
2018-06-05,7242
2018-06-06,7212
2018-06-07,7353
2018-06-08,7674
2018-06-09,8013
2018-06-10,8259
2018-06-11,8643
2018-06-12,8582
2018-06-13,8728
2018-06-14,8740
2018-06-15,8799
2018-06-16,9119
2018-06-17,9038
2018-06-18,9215
2018-06-19,9418
2018-06-20,9106
2018-06-21,9012
2018-06-22,8842
2018-06-23,8847
2018-06-24,8956
2018-06-25,9308
2018-06-26,9481
2018-06-27,9717
2018-06-28,9879
2018-06-29,9777
2018-06-30,9692
2018-07-01,9785
2018-07-02,9616
2018-07-03,9454
2018-07-04,9294
2018-07-05,9192
2018-07-06,9034
2018-07-07,8989
2018-07-08,9163
2018-07-09,9210
2018-07-10,9252
2018-07-11,9479
2018-07-12,9722
2018-07-13,9420
2018-07-14,9169
2018-07-15,9118
2018-07-16,9095
2018-07-17,9045
2018-07-18,9124
2018-07-19,9024
2018-07-20,9034
2018-07-21,9045
2018-07-22,8951
2018-07-23,8890
2018-07-24,8901
2018-07-25,9016
2018-07-26,9036
2018-07-27,9156
2018-07-28,9513
2018-07-29,9527
2018-07-30,9807
2018-07-31,10195
2018-08-01,10251
2018-08-02,10296
2018-08-03,10274
2018-08-04,10520
2018-08-05,10387
2018-08-06,10238
2018-08-07,10274
2018-08-08,10412
2018-08-09,10271
2018-08-10,9948
2018-08-11,9844
2018-08-12,9733
2018-08-14,9923
2018-08-16,10192
2018-08-17,10298
2018-08-18,10307
2018-08-19,10217
2018-08-20,10071
2018-08-21,10019
2018-08-22,10178
2018-08-23,9883
2018-08-24,9605
2018-08-25,9556
2018-08-26,9436
2018-08-27,9492
2018-08-28,9429
2018-08-29,9525
2018-08-30,9634
2018-08-31,9661
2018-09-01,9762
2018-09-02,9739
2018-09-03,9867
2018-09-04,10016
2018-09-05,10134
2018-09-06,10025
2018-09-07,9814
2018-09-08,9930
2018-09-09,10132
2018-09-10,10001
2018-09-11,9970
2018-09-12,10039
2018-09-13,10024
2018-09-14,9998
2018-09-15,9920
2018-09-16,9929
2018-09-17,9850
2018-09-18,9756
2018-09-19,9804
2018-09-20,9799
2018-09-21,9826
2018-09-22,9913
2018-09-23,9914
2018-09-24,9788
2018-09-25,9406
2018-09-26,9380
2018-09-27,9450
2018-09-28,9403
2018-09-29,9391
2018-09-30,9478
2018-10-01,9395
2018-10-02,9272
2018-10-03,9198
2018-10-04,9118
2018-10-05,9043
2018-10-06,9038
2018-10-07,9104
2018-10-08,9192
2018-10-09,9191
2018-10-10,9487
2018-10-11,9685
2018-10-12,9978
2018-10-13,10155
2018-10-14,9908
2018-10-15,9851
2018-10-16,9788
2018-10-17,9699
2018-10-18,9544
2018-10-19,9512
2018-10-20,9549
2018-10-21,9487
2018-10-22,9385
2018-10-23,9235
2018-10-24,9067
2018-10-25,8978
2018-10-26,8873
2018-10-27,8970
2018-10-28,9238
2018-10-29,9291
2018-10-30,9486
2018-10-31,9954
2018-11-01,10365
2018-11-03,10920
2018-11-04,11433
2018-11-05,12004
2018-11-06,12572
2018-11-07,13149
2018-11-08,13733
2018-11-09,14069
2018-11-10,14200
2018-11-11,14389
2018-11-12,14631
2018-11-13,14515
2018-11-15,13992
2018-11-16,13744
2018-11-17,13533
2018-11-18,13282
2018-11-19,12742
2018-11-20,12330
2018-11-21,11787
2018-11-22,11246
2018-11-23,10981
2018-11-24,10509
2018-11-25,10243
2018-11-26,10006
2018-11-27,9807
2018-11-28,9639
2018-11-29,9510
2018-12-01,9276
2018-12-02,9111
2018-12-03,9028
2018-12-04,8833
2018-12-05,9070
2018-12-07,8844
2018-12-09,8652
2018-12-10,8498
2018-12-11,8395
2018-12-12,8415
2018-12-13,8366
2018-12-14,8284
2018-12-15,8147
2018-12-16,8181
2018-12-17,8324
2018-12-18,8342
2018-12-19,8209
2018-12-20,8110
2018-12-21,8093
2018-12-22,8055
2018-12-23,8096
2018-12-24,7943
2018-12-25,7962
2018-12-26,7915
2018-12-27,8030
2018-12-28,8227
2018-12-29,8282
2018-12-30,8366
2018-12-31,8584
2019-01-01,8790
2019-01-02,8833
2019-01-03,8704
2019-01-04,8576
2019-01-05,8458
2019-01-06,8427
2019-01-08,8150
2019-01-10,8094
2019-01-11,8270
2019-01-12,8396
2019-01-13,8192
2019-01-14,8072
2019-01-15,8000
2019-01-16,7882
2019-01-17,7791
2019-01-18,7652
2019-01-19,7842
2019-01-20,7955
2019-01-21,7918
2019-01-22,7664
2019-01-23,7502
2019-01-24,7737
2019-01-25,7591
2019-01-26,7445
2019-01-27,7429
2019-01-28,7436
2019-01-29,7369
2019-01-30,7125
2019-01-31,6947
2019-02-01,6933
2019-02-02,6969
2019-02-03,7116
2019-02-04,7057
2019-02-05,7026
2019-02-06,7015
2019-02-07,7040
2019-02-08,7025
2019-02-09,7116
2019-02-10,6926
2019-02-11,6689
2019-02-12,6584
2019-02-13,6521
2019-02-14,6557
2019-02-15,6685
2019-02-16,6823
2019-02-17,6783
2019-02-18,6736
2019-02-19,6861
2019-02-20,6884
2019-02-21,6790
2019-02-22,6769
2019-02-23,6834
2019-02-24,6854
2019-02-25,7012
2019-02-26,7016
2019-02-27,6961
2019-02-28,6746
2019-03-01,6693
2019-03-02,6902
2019-03-03,7003
2019-03-04,7046
2019-03-05,7125
2019-03-06,7129
2019-03-07,7061
2019-03-08,7075
2019-03-09,7205
2019-03-10,7239
2019-03-11,7102
2019-03-12,7291
2019-03-13,7570
2019-03-14,7837
2019-03-15,7781
2019-03-16,7477
2019-03-17,7363
2019-03-18,7256
2019-03-19,7098
