date_obj,Purple%20hat price
2016-04-04,1236
2016-04-05,1236
2016-04-06,1180
2016-04-07,1180
2016-04-08,1180
2016-04-09,1180
2016-04-10,1180
2016-04-11,1180
2016-04-12,1180
2016-04-13,1122
2016-04-14,1122
2016-04-15,1122
2016-04-16,1122
2016-04-17,1122
2016-04-18,1122
2016-04-19,1066
2016-04-20,1066
2016-04-21,1066
2016-04-22,1066
2016-04-23,1066
2016-04-24,1066
2016-04-25,1015
2016-04-26,1015
2016-04-27,1015
2016-04-28,1015
2016-04-29,1015
2016-04-30,1015
2016-05-01,965
2016-05-02,965
2016-05-03,965
2016-05-04,965
2016-05-05,965
2016-05-06,965
2016-05-07,920
2016-05-08,920
2016-05-09,920
2016-05-10,920
2016-05-11,920
2016-05-12,875
2016-05-13,875
2016-05-14,875
2016-05-15,875
2016-05-16,904
2016-05-17,904
2016-05-18,904
2016-05-19,904
2016-05-22,941
2016-05-23,941
2016-05-24,941
2016-05-25,941
2016-05-26,989
2016-05-27,989
2016-05-28,989
2016-05-29,989
2016-05-30,989
2016-05-31,1027
2016-06-01,1027
2016-06-02,1027
2016-06-03,1027
2016-06-04,1027
2016-06-05,1027
2016-06-06,1029
2016-06-07,1029
2016-06-08,1029
2016-06-09,1029
2016-06-10,1029
2016-06-11,1029
2016-06-12,1070
2016-06-13,1070
2016-06-14,1070
2016-06-15,1070
2016-06-16,1070
2016-06-17,1051
2016-06-18,1051
2016-06-19,1051
2016-06-20,1051
2016-06-21,1051
2016-06-22,1073
2016-06-23,1073
2016-06-24,1073
2016-06-25,1073
2016-06-26,1073
2016-06-27,1073
2016-06-28,1081
2016-06-29,1081
2016-06-30,1081
2016-07-01,1081
2016-07-02,1081
2016-07-03,1105
2016-07-04,1105
2016-07-05,1105
2016-07-06,1105
2016-07-07,1105
2016-07-08,1125
2016-07-09,1125
2016-07-10,1125
2016-07-11,1125
2016-07-12,1125
2016-07-13,1113
2016-07-14,1113
2016-07-15,1113
2016-07-16,1113
2016-07-17,1113
2016-07-18,1113
2016-07-23,1144
2016-07-24,1144
2016-07-25,1168
2016-07-26,1168
2016-07-27,1168
2016-07-28,1168
2016-07-29,1168
2016-07-30,1168
2016-07-31,1198
2016-08-01,1198
2016-08-02,1198
2016-08-03,1198
2016-08-04,1198
2016-08-05,1198
2016-08-06,1225
2016-08-07,1225
2016-08-08,1225
2016-08-09,1225
2016-08-10,1225
2016-08-11,1225
2016-08-12,1205
2016-08-13,1205
2016-08-14,1205
2016-08-15,1205
2016-08-16,1205
2016-08-17,1205
2016-08-18,1239
2016-08-19,1239
2016-08-20,1239
2016-08-21,1239
2016-08-22,1239
2016-08-23,1239
2016-08-24,1244
2016-08-25,1244
2016-08-26,1244
2016-08-28,1244
2016-08-31,1232
2016-09-01,1232
2016-09-02,1232
2016-09-03,1232
2016-09-04,1232
2016-09-05,1232
2016-09-06,1243
2016-09-07,1243
2016-09-08,1243
2016-09-09,1243
2016-09-10,1243
2016-09-11,1243
2016-09-12,1243
2016-09-13,1243
2016-09-14,1243
2016-09-15,1284
2016-09-16,1284
2016-09-17,1284
2016-09-18,1284
2016-09-19,1284
2016-09-20,1284
2016-09-21,1284
2016-09-22,1284
2016-09-23,1306
2016-09-24,1306
2016-09-25,1306
2016-09-26,1306
2016-09-27,1306
2016-09-28,1306
2016-09-29,1306
2016-09-30,1306
2016-10-01,1333
2016-10-02,1333
2016-10-03,1333
2016-10-04,1333
2016-10-05,1333
2016-10-06,1333
2016-10-07,1333
2016-10-08,1333
2016-10-09,1333
2016-10-10,1304
2016-10-11,1304
2016-10-12,1304
2016-10-13,1304
2016-10-14,1304
2016-10-15,1304
2016-10-16,1304
2016-10-17,1318
2016-10-18,1318
2016-10-19,1318
2016-10-20,1318
2016-10-21,1318
2016-10-22,1318
2016-10-23,1318
2016-10-24,1282
2016-10-25,1282
2016-10-26,1282
2016-10-27,1282
2016-10-28,1282
2016-10-29,1282
2016-10-30,1282
2016-10-31,1282
2016-11-01,1282
2016-11-02,1242
2016-11-03,1242
2016-11-04,1242
2016-11-05,1242
2016-11-06,1242
2016-11-07,1242
2016-11-08,1242
2016-11-09,1264
2016-11-10,1264
2016-11-11,1264
2016-11-12,1264
2016-11-13,1264
2016-11-14,1264
2016-12-08,1301
2016-12-09,1327
2016-12-10,1327
2016-12-11,1327
2016-12-12,1327
2016-12-13,1327
2016-12-14,1327
2016-12-15,1327
2016-12-16,1331
2016-12-17,1331
2016-12-18,1331
2016-12-19,1331
2016-12-20,1331
2016-12-21,1331
2016-12-22,1331
2016-12-23,1328
2016-12-24,1328
2016-12-25,1328
2016-12-26,1328
2016-12-27,1328
2016-12-28,1328
2016-12-29,1328
2016-12-30,1370
2016-12-31,1370
2017-01-01,1370
2017-01-02,1370
2017-01-03,1370
2017-01-04,1370
2017-01-05,1370
2017-01-06,1390
2017-01-07,1390
2017-01-08,1390
2017-01-09,1390
2017-01-10,1390
2017-01-11,1428
2017-01-12,1428
2017-01-13,1428
2017-01-14,1428
2017-01-15,1428
2017-01-16,1390
2017-01-17,1390
2017-01-18,1390
2017-01-19,1390
2017-01-20,1390
2017-01-21,1412
2017-01-22,1412
2017-01-27,1377
2017-01-28,1377
2017-01-29,1377
2017-01-30,1377
2017-01-31,1377
2017-02-01,1388
2017-02-02,1388
2017-02-03,1388
2017-02-04,1388
2017-02-05,1388
2017-02-06,1388
2017-02-07,1360
2017-02-08,1360
2017-02-09,1360
2017-02-10,1360
2017-02-11,1360
2017-02-12,1325
2017-02-13,1325
2017-02-14,1325
2017-02-15,1325
2017-02-16,1325
2017-02-18,1344
2017-02-19,1344
2017-02-20,1344
2017-02-21,1344
2017-02-22,1344
2017-02-23,1344
2017-02-24,1302
2017-02-25,1302
2017-02-26,1302
2017-02-27,1302
2017-02-28,1302
2017-03-01,1302
2017-03-02,1279
2017-03-03,1279
2017-03-04,1279
2017-03-05,1279
2017-03-06,1279
2017-03-07,1268
2017-03-08,1268
2017-03-09,1268
2017-03-10,1268
2017-03-11,1268
2017-03-12,1205
2017-03-13,1205
2017-03-14,1205
2017-03-15,1205
2017-03-16,1148
2017-03-17,1148
2017-03-18,1148
2017-03-19,1148
2017-03-20,1148
2017-03-21,1092
2017-03-22,1092
2017-03-23,1092
2017-03-24,1092
2017-03-25,1092
2017-03-26,1092
2017-03-27,1041
2017-03-28,1041
2017-03-29,1041
2017-03-30,1041
2017-03-31,1041
2017-04-01,1041
2017-04-02,1003
2017-04-03,1003
2017-04-04,1003
2017-04-12,964
2017-04-13,964
2017-04-14,964
2017-04-15,962
2017-04-16,962
2017-04-17,962
2017-04-18,962
2017-04-19,962
2017-04-20,962
2017-04-21,979
2017-04-22,979
2017-04-23,979
2017-04-24,979
2017-04-25,979
2017-04-26,979
2017-04-27,969
2017-04-28,969
2017-04-29,969
2017-04-30,969
2017-05-01,969
2017-05-02,967
2017-05-03,967
2017-05-04,967
2017-05-05,967
2017-05-06,967
2017-05-07,967
2017-05-08,972
2017-05-09,972
2017-05-10,972
2017-05-11,972
2017-05-12,972
2017-05-13,972
2017-05-14,989
2017-05-15,989
2017-05-16,989
2017-05-17,989
2017-05-18,989
2017-05-19,989
2017-05-20,1013
2017-05-21,1013
2017-05-22,1013
2017-05-23,1013
2017-05-24,1013
2017-05-25,1013
2017-05-26,1013
2017-05-27,1024
2017-05-28,1024
2017-05-29,1024
2017-05-30,1024
2017-05-31,1024
2017-06-01,1024
2017-06-02,1024
2017-06-03,1024
2017-06-06,1049
2017-06-07,1049
2017-06-08,1049
2017-06-09,1049
2017-06-10,1028
2017-06-11,1028
2017-06-12,1028
2017-06-13,1028
2017-06-14,1028
2017-06-15,1028
2017-06-16,1036
2017-06-17,1036
2017-06-18,1036
2017-06-19,1036
2017-06-20,1036
2017-06-21,1036
2017-06-22,1036
2017-06-23,1075
2017-06-24,1075
2017-06-25,1075
2017-06-26,1075
2017-06-27,1075
2017-06-28,1075
2017-06-29,1093
2017-06-30,1093
2017-07-01,1093
2017-07-02,1093
2017-07-03,1093
2017-07-04,1093
2017-07-05,1093
2017-07-06,1093
2017-07-07,1119
2017-07-08,1119
2017-07-13,1119
2017-07-14,1154
2017-07-15,1154
2017-07-16,1154
2017-07-17,1154
2017-07-18,1154
2017-07-19,1154
2017-07-20,1154
2017-07-21,1179
2017-07-22,1179
2017-07-23,1179
2017-07-24,1179
2017-07-25,1179
2017-07-26,1179
2017-07-27,1179
2017-07-28,1198
2017-07-29,1198
2017-07-30,1198
2017-07-31,1198
2017-08-01,1198
2017-08-02,1198
2017-08-03,1198
2017-08-04,1213
2017-08-05,1213
2017-08-06,1213
2017-08-09,1213
2017-08-10,1214
2017-08-11,1214
2017-08-12,1214
2017-08-13,1214
2017-08-14,1214
2017-08-15,1214
2017-08-16,1214
2017-08-17,1244
2017-08-18,1244
2017-08-19,1244
2017-08-20,1244
2017-08-22,1244
2017-08-23,1212
2017-08-24,1212
2017-08-25,1212
2017-08-26,1212
2017-08-27,1212
2017-08-28,1212
2017-08-29,1212
2017-08-30,1157
2017-08-31,1157
2017-09-01,1157
2017-09-02,1157
2017-09-03,1157
2017-09-04,1157
2017-09-05,1157
2017-09-06,1115
2017-09-07,1115
2017-09-08,1115
2017-09-09,1115
2017-09-10,1115
2017-09-11,1115
2017-09-12,1136
2017-09-13,1136
2017-09-14,1136
2017-09-15,1136
2017-09-16,1136
2017-09-17,1136
2017-09-19,1146
2017-09-20,1146
2017-09-21,1146
2017-09-22,1146
2017-09-23,1146
2017-09-24,1146
2017-09-25,1132
2017-09-26,1132
2017-09-27,1132
2017-09-28,1132
2017-09-29,1132
2017-09-30,1132
2017-10-01,1132
2017-10-02,1167
2017-10-03,1167
2017-10-04,1167
2017-10-05,1167
2017-10-06,1167
2017-10-07,1167
2017-10-08,1167
2017-10-09,1167
2017-10-10,1188
2017-10-11,1188
2017-10-12,1188
2017-10-13,1188
2017-10-14,1188
2017-10-15,1188
2017-10-16,1188
2017-10-17,1211
2017-10-18,1211
2017-10-19,1211
2017-10-20,1211
2017-10-21,1211
2017-10-22,1211
2017-10-23,1216
2017-10-24,1216
2017-10-25,1216
2017-10-26,1216
2017-10-27,1216
2017-10-28,1216
2017-10-29,1167
2017-10-30,1167
2017-10-31,1167
2017-11-01,1167
2017-11-02,1167
2017-11-03,1167
2017-11-04,1161
2017-11-05,1161
2017-11-06,1161
2017-11-07,1161
2017-11-08,1161
2017-11-09,1161
2017-11-10,1125
2017-11-11,1125
2017-11-12,1125
2017-11-13,1125
2017-11-14,1125
2017-11-15,1125
2017-11-16,1125
2017-11-17,1110
2017-11-18,1110
2017-11-19,1110
2017-11-20,1110
