date_obj,Staff%20of%20fire price
2019-06-03,1521
2019-06-04,1471
2019-06-05,1441
2019-06-06,1461
2019-06-07,1468
2019-06-08,1491
2019-06-09,1505
2019-06-10,1505
2019-06-11,1541
2019-06-12,1499
2019-06-13,1532
2019-06-14,1579
2019-06-15,1625
2019-06-16,1650
2019-06-17,1637
2019-06-18,1621
2019-06-19,1644
2019-06-20,1646
2019-06-21,1592
2019-06-22,1514
2019-06-23,1508
2019-06-24,1513
2019-06-25,1543
2019-06-26,1549
2019-06-27,1561
2019-06-28,1608
2019-06-29,1621
2019-06-30,1610
2019-07-01,1606
2019-07-02,1603
2019-07-03,1599
2019-07-04,1577
2019-07-05,1575
2019-07-06,1598
2019-07-07,1619
2019-07-08,1625
2019-07-09,1616
2019-07-10,1596
2019-07-11,1618
2019-07-12,1591
2019-07-13,1580
2019-07-14,1577
2019-07-15,1567
2019-07-16,1569
2019-07-17,1529
2019-07-18,1512
2019-07-19,1488
2019-07-20,1479
2019-07-21,1475
2019-07-22,1468
2019-07-23,1446
2019-07-24,1440
2019-07-25,1506
2019-07-26,1557
2019-07-27,1577
2019-07-28,1587
2019-07-29,1605
2019-07-30,1574
2019-07-31,1584
2019-08-01,1585
2019-08-02,1606
2019-08-03,1599
2019-08-04,1588
2019-08-05,1587
2019-08-06,1644
2019-08-07,1675
2019-08-08,1708
2019-08-09,1761
2019-08-10,1769
2019-08-11,1738
2019-08-12,1744
2019-08-13,1717
2019-08-14,1676
2019-08-15,1658
2019-08-16,1653
2019-08-17,1641
2019-08-18,1616
2019-08-19,1628
2019-08-20,1629
2019-08-21,1643
2019-08-22,1617
2019-08-23,1607
2019-08-24,1596
2019-08-24,1596
2019-08-25,1600
2019-08-25,1600
2019-08-26,1586
2019-08-26,1586
2019-08-27,1604
2019-08-27,1604
2019-08-28,1611
2019-08-29,1600
2019-08-30,1599
2019-08-31,1609
2019-09-01,1594
2019-09-02,1572
2019-09-03,1572
2019-09-04,1552
2019-09-05,1533
2019-09-06,1516
2019-09-07,1493
2019-09-08,1513
2019-09-09,1473
2019-09-10,1445
2019-09-11,1443
2019-09-12,1421
2019-09-13,1434
2019-09-14,1419
2019-09-15,1412
2019-09-16,1385
2019-09-17,1398
2019-09-18,1397
2019-09-19,1406
2019-09-20,1384
2019-09-21,1345
2019-09-22,1345
2019-09-23,1316
2019-09-24,1328
2019-09-25,1353
2019-09-26,1360
2019-09-27,1369
2019-09-28,1399
2019-09-29,1371
2019-09-30,1409
2019-10-01,1442
2019-10-02,1405
2019-10-03,1427
2019-10-04,1458
2019-10-05,1488
2019-10-06,1534
2019-10-07,1554
2019-10-08,1543
2019-10-09,1517
2019-10-10,1505
2019-10-11,1444
2019-10-12,1475
2019-10-13,1460
2019-10-14,1415
2019-10-15,1408
2019-10-16,1428
2019-10-17,1411
2019-10-18,1414
2019-10-19,1420
2019-10-20,1426
2019-10-21,1424
2019-10-22,1433
2019-10-23,1407
2019-10-24,1381
2019-10-25,1392
2019-10-26,1403
2019-10-27,1402
2019-10-28,1393
2019-10-29,1371
2019-10-30,1389
2019-10-31,1410
2019-11-01,1384
2019-11-02,1401
2019-11-03,1408
2019-11-04,1381
2019-11-05,1376
2019-11-06,1311
2019-11-07,1312
2019-11-08,1316
2019-11-09,1295
2019-11-10,1261
2019-11-11,1231
2019-11-12,1220
2019-11-13,1214
2019-11-14,1193
2019-11-15,1182
2019-11-16,1204
2019-11-17,1235
2019-11-18,1265
2019-11-19,1280
2019-11-20,1290
2019-11-21,1309
2019-11-22,1300
2019-11-23,1311
2019-11-24,1318
2019-11-25,1333
2019-11-26,1334
2019-11-27,1321
2019-11-28,1312
2019-11-29,1288
2019-11-30,1301
2019-12-01,1311
2019-12-02,1319
2019-12-03,1337
2019-12-04,1343
2019-12-05,1303
2019-12-06,1288
2019-12-07,1308
2019-12-08,1304
2019-12-09,1295
2019-12-10,1285
2019-12-11,1270
2019-12-12,1250
2019-12-13,1263
2019-12-14,1275
2019-12-15,1259
2019-12-16,1220
2019-12-17,1197
2019-12-18,1200
2019-12-19,1196
2019-12-20,1189
2019-12-21,1181
2019-12-22,1184
2019-12-23,1201
2019-12-24,1209
2019-12-25,1201
2019-12-26,1192
2019-12-27,1184
2019-12-28,1174
2019-12-29,1189
2019-12-30,1183
2019-12-31,1181
2020-01-01,1200
2020-01-02,1233
2020-01-03,1256
2020-01-04,1268
2020-01-05,1296
2020-01-06,1302
2020-01-07,1310
2020-01-08,1309
2020-01-09,1299
2020-01-10,1302
2020-01-11,1313
2020-01-12,1313
2020-01-13,1338
2020-01-14,1370
2020-01-15,1357
2020-01-16,1368
2020-01-17,1374
2020-01-18,1401
2020-01-19,1415
2020-01-20,1417
2020-01-21,1426
2020-01-22,1423
2020-01-23,1442
2020-01-24,1447
2020-01-25,1428
2020-01-26,1399
2020-01-27,1379
2020-01-28,1317
2020-01-29,1322
2020-01-30,1277
2020-01-31,1298
2020-02-01,1243
2020-02-02,1219
2020-02-03,1184
2020-02-04,1200
2020-02-05,1201
2020-02-06,1222
2020-02-07,1242
2020-02-08,1257
2020-02-09,1217
2020-02-10,1221
2020-02-11,1218
2020-02-12,1180
2020-02-13,1192
2020-02-14,1203
2020-02-15,1207
2020-02-16,1164
2020-02-17,1181
2020-02-18,1193
2020-02-19,1183
2020-02-20,1168
2020-02-21,1156
2020-02-22,1156
2020-02-23,1125
2020-02-24,1151
2020-02-25,1163
2020-02-26,1174
2020-02-27,1169
2020-02-28,1150
2020-02-29,1129
2020-03-01,1116
2020-03-02,1131
2020-03-03,1136
2020-03-04,1140
2020-03-05,1138
2020-03-06,1138
2020-03-07,1151
2020-03-08,1147
2020-03-09,1148
2020-03-10,1155
2020-03-11,1168
2020-03-12,1205
2020-03-13,1259
2020-03-14,1281
2020-03-15,1297
2020-03-16,1322
2020-03-17,1364
2020-03-18,1389
2020-03-19,1421
2020-03-20,1443
2020-03-21,1426
2020-03-22,1391
2020-03-23,1353
2020-03-24,1330
2020-03-25,1311
2020-03-26,1306
2020-03-27,1330
2020-03-28,1349
2020-03-29,1367
2020-03-30,1340
2020-03-31,1329
2020-04-01,1342
2020-04-02,1333
2020-04-03,1327
2020-04-04,1316
2020-04-05,1295
2020-04-06,1292
2020-04-07,1273
2020-04-08,1300
2020-04-09,1308
2020-04-10,1328
2020-04-11,1344
2020-04-12,1376
2020-04-13,1417
2020-04-14,1385
2020-04-15,1364
2020-04-16,1360
2020-04-17,1377
2020-04-18,1405
2020-04-19,1392
2020-04-20,1345
2020-04-21,1302
2020-04-22,1324
2020-04-23,1308
2020-04-24,1282
2020-04-25,1256
2020-04-26,1241
2020-04-27,1244
2020-04-28,1263
2020-04-29,1304
2020-04-30,1342
2020-05-01,1356
2020-05-02,1349
2020-05-03,1373
2020-05-04,1397
2020-05-05,1427
2020-05-06,1390
2020-05-07,1362
2020-05-08,1354
2020-05-09,1350
2020-05-10,1319
2020-05-11,1320
2020-05-12,1301
2020-05-13,1297
