date_obj,Linen price
2018-03-01,925
2018-03-02,949
2018-03-03,949
2018-03-04,978
2018-03-05,978
2018-03-06,990
2018-03-07,990
2018-03-08,986
2018-03-09,986
2018-03-10,984
2018-03-11,984
2018-03-12,984
2018-03-13,979
2018-03-14,979
2018-03-15,979
2018-03-16,980
2018-03-17,980
2018-03-18,972
2018-03-19,972
2018-03-20,958
2018-03-21,958
2018-03-23,985
2018-03-24,985
2018-03-25,1001
2018-03-26,1001
2018-03-27,1032
2018-03-28,1032
2018-03-29,1032
2018-03-30,1044
2018-03-31,1044
2018-04-01,1083
2018-04-02,1083
2018-04-03,1092
2018-04-04,1092
2018-04-05,1092
2018-04-06,1052
2018-04-07,1052
2018-04-08,1052
2018-04-09,1000
2018-04-10,1000
2018-04-11,993
2018-04-12,993
2018-04-13,955
2018-04-14,955
2018-04-15,907
2018-04-16,907
2018-04-17,861
2018-04-18,861
2018-04-19,861
2018-04-20,817
2018-04-21,817
2018-04-22,817
2018-04-23,784
2018-04-24,784
2018-04-25,784
2018-04-26,763
2018-04-27,763
2018-04-28,724
2018-04-29,724
2018-04-30,708
2018-05-01,708
2018-05-04,682
2018-05-05,647
2018-05-06,647
2018-05-07,647
2018-05-08,614
2018-05-09,614
2018-05-10,631
2018-05-11,631
2018-05-12,633
2018-05-13,633
2018-05-14,633
2018-05-15,642
2018-05-16,642
2018-05-17,642
2018-05-18,669
2018-05-19,669
2018-05-20,693
2018-05-21,693
2018-05-22,693
2018-05-23,698
2018-05-24,698
2018-05-25,698
2018-05-26,722
2018-05-27,722
2018-05-28,717
2018-05-29,717
2018-05-30,703
2018-05-31,703
2018-06-01,688
2018-06-02,688
2018-06-03,661
2018-06-04,661
2018-06-05,666
2018-06-06,666
2018-06-07,655
2018-06-08,655
2018-06-09,659
2018-06-10,659
2018-06-11,688
2018-06-12,688
2018-06-13,704
2018-06-14,704
2018-06-15,698
2018-06-16,698
2018-06-17,709
2018-06-18,709
2018-06-19,737
2018-06-20,737
2018-06-21,772
2018-06-22,772
2018-06-23,772
2018-06-24,796
2018-06-25,796
2018-06-26,796
2018-06-27,829
2018-06-28,829
2018-06-29,823
2018-06-30,823
2018-07-01,793
2018-07-02,793
2018-07-03,793
2018-07-04,793
2018-07-05,793
2018-07-06,793
2018-07-07,768
2018-07-08,768
2018-07-09,799
2018-07-10,799
2018-07-11,828
2018-07-12,828
2018-07-13,832
2018-07-14,832
2018-07-15,850
2018-07-16,850
2018-07-17,865
2018-07-18,865
2018-07-19,865
2018-07-20,885
2018-07-21,885
2018-07-22,898
2018-07-23,898
2018-07-24,933
2018-07-25,933
2018-07-26,941
2018-07-27,941
2018-07-28,919
2018-07-29,919
2018-07-30,924
2018-07-31,879
2018-08-01,879
2018-08-02,835
2018-08-03,835
2018-08-04,852
2018-08-05,852
2018-08-06,865
2018-08-07,865
2018-08-08,853
2018-08-09,853
2018-08-10,849
2018-08-11,849
2018-08-12,836
2018-08-14,864
2018-08-16,888
2018-08-17,888
2018-08-18,895
2018-08-19,895
2018-08-20,913
2018-08-21,913
2018-08-22,943
2018-08-23,943
2018-08-24,972
2018-08-25,972
2018-08-26,981
2018-08-27,981
2018-08-28,994
2018-08-29,994
2018-08-30,994
2018-08-31,1016
2018-09-01,1016
2018-09-02,1015
2018-09-03,1015
2018-09-04,969
2018-09-05,969
2018-09-06,969
2018-09-07,920
2018-09-08,920
2018-09-09,877
2018-09-10,877
2018-09-11,833
2018-09-12,833
2018-09-13,791
2018-09-14,791
2018-09-15,792
2018-09-16,792
2018-09-17,817
2018-09-18,817
2018-09-19,845
2018-09-20,845
2018-09-21,878
2018-09-22,918
2018-09-23,918
2018-09-24,951
2018-09-25,951
2018-09-26,981
2018-09-27,981
2018-09-28,1002
2018-09-29,1002
2018-09-30,1036
2018-10-02,1049
2018-10-03,1049
2018-10-04,1048
2018-10-05,1048
2018-10-06,1042
2018-10-07,1042
2018-10-08,1021
2018-10-09,1021
2018-10-10,1012
2018-10-11,1012
2018-10-12,1019
2018-10-13,1019
2018-10-14,996
2018-10-15,996
2018-10-16,1019
2018-10-17,1019
2018-10-18,985
2018-10-19,985
2018-10-20,935
2018-10-21,935
2018-10-22,897
2018-10-23,897
2018-10-24,870
2018-10-25,870
2018-10-26,874
2018-10-27,874
2018-10-28,888
2018-10-29,888
2018-10-30,888
2018-10-31,885
2018-11-01,885
2018-11-03,893
2018-11-04,895
2018-11-05,922
2018-11-06,922
2018-11-07,904
2018-11-08,904
2018-11-09,867
2018-11-10,823
2018-11-11,823
2018-11-12,781
2018-11-13,752
2018-11-14,752
2018-11-15,771
2018-11-16,784
2018-11-17,784
2018-11-18,814
2018-11-19,825
2018-11-20,849
2018-11-21,849
2018-11-22,868
2018-11-23,853
2018-11-24,823
2018-11-25,825
2018-11-26,825
2018-11-27,819
2018-11-28,818
2018-11-29,854
2018-12-01,872
2018-12-02,842
2018-12-03,842
2018-12-04,820
2018-12-05,779
2018-12-07,740
2018-12-09,673
2018-12-10,660
2018-12-11,660
2018-12-12,649
2018-12-13,656
2018-12-14,671
2018-12-15,671
2018-12-16,647
2018-12-17,647
2018-12-18,648
2018-12-19,657
2018-12-20,662
2018-12-21,641
2018-12-22,628
2018-12-23,623
2018-12-24,644
2018-12-25,644
2018-12-26,659
2018-12-27,638
2018-12-28,638
2018-12-29,621
2018-12-30,605
2018-12-31,603
2019-01-01,603
2019-01-02,605
2019-01-03,602
2019-01-04,598
2019-01-05,604
2019-01-06,581
2019-01-08,572
2019-01-10,611
2019-01-11,633
2019-01-12,659
2019-01-13,663
2019-01-14,656
2019-01-15,625
2019-01-16,593
2019-01-17,563
2019-01-18,560
2019-01-19,585
2019-01-20,613
2019-01-21,613
2019-01-22,631
2019-01-23,600
2019-01-24,607
2019-01-25,624
2019-01-26,646
2019-01-27,673
2019-01-28,698
2019-01-29,702
2019-01-30,697
2019-01-31,697
2019-02-01,696
2019-02-02,696
2019-02-03,716
2019-02-04,716
2019-02-05,743
2019-02-06,743
2019-02-07,765
2019-02-08,796
2019-02-09,834
2019-02-10,858
2019-02-11,846
2019-02-12,846
2019-02-13,878
2019-02-14,878
2019-02-15,905
2019-02-16,942
2019-02-17,975
2019-02-18,933
2019-02-19,933
2019-02-20,893
2019-02-21,913
2019-02-22,913
2019-02-23,940
2019-02-24,939
2019-02-25,934
2019-02-26,905
2019-02-27,905
2019-02-28,905
2019-03-01,881
2019-03-02,869
2019-03-03,878
2019-03-04,864
2019-03-05,847
2019-03-06,831
2019-03-07,865
2019-03-08,865
2019-03-09,869
2019-03-10,868
2019-03-11,874
2019-03-12,866
2019-03-13,866
2019-03-14,863
2019-03-15,863
2019-03-16,889
2019-03-17,914
2019-03-18,914
2019-03-19,914
2019-03-20,868
2019-03-21,824
2019-03-22,824
2019-03-23,782
2019-03-24,742
2019-03-25,742
2019-03-26,704
2019-03-27,704
2019-03-28,668
2019-03-29,634
2019-03-30,634
2019-03-31,602
2019-04-01,571
2019-04-02,571
2019-04-03,542
2019-04-04,515
2019-04-05,502
2019-04-06,502
2019-04-07,505
