date_obj,Verac's%20armour%20set price
2017-07-03,1853783
2017-07-04,1849795
2017-07-05,1849795
2017-07-06,1796617
2017-07-07,1836063
2017-07-08,1852230
2017-07-13,1779106
2017-07-14,1777683
2017-07-15,1777079
2017-07-16,1791327
2017-07-17,1838718
2017-07-18,1780366
2017-07-19,1738260
2017-07-20,1745719
2017-07-21,1741488
2017-07-22,1776232
2017-07-23,1810156
2017-07-24,1861887
2017-07-25,1840578
2017-07-26,1828158
2017-07-27,1815128
2017-07-28,1813222
2017-07-29,1825825
2017-07-30,1833354
2017-07-31,1833354
2017-08-01,1820231
2017-08-02,1797024
2017-08-03,1773345
2017-08-04,1765323
2017-08-05,1774218
2017-08-06,1814865
2017-08-09,1815417
2017-08-10,1839534
2017-08-11,1859512
2017-08-12,1869595
2017-08-13,1858381
2017-08-14,1824082
2017-08-15,1805071
2017-08-16,1816599
2017-08-17,1814657
2017-08-18,1796720
2017-08-19,1811973
2017-08-20,1810449
2017-08-21,1791282
2017-08-22,1772611
2017-08-23,1774462
2017-08-24,1729383
2017-08-25,1704849
2017-08-26,1708646
2017-08-27,1727771
2017-08-28,1744799
2017-08-29,1733172
2017-08-30,1763855
2017-08-31,1803227
2017-09-01,1879613
2017-09-02,1943754
2017-09-03,2006279
2017-09-04,2059570
2017-09-05,2061388
2017-09-06,2155498
2017-09-07,2144105
2017-09-08,2106573
2017-09-09,2129680
2017-09-10,2154699
2017-09-11,2119822
2017-09-12,2061386
2017-09-13,2007722
2017-09-14,1995129
2017-09-15,1995129
2017-09-16,1929238
2017-09-17,1867837
2017-09-18,1832248
2017-09-19,1781666
2017-09-20,1743672
2017-09-21,1744208
2017-09-22,1731530
2017-09-23,1754069
2017-09-24,1734789
2017-09-25,1746937
2017-09-26,1735767
2017-09-27,1732079
2017-09-28,1710878
2017-09-29,1712229
2017-09-30,1706047
2017-10-01,1681292
2017-10-02,1651720
2017-10-03,1625895
2017-10-04,1617094
2017-10-05,1619116
2017-10-06,1655528
2017-10-07,1651477
2017-10-08,1650952
2017-10-09,1640636
2017-10-10,1635190
2017-10-11,1635190
2017-10-12,1669554
2017-10-13,1701783
2017-10-14,1784835
2017-10-15,1801543
2017-10-16,1770741
2017-10-17,1770741
2017-10-18,1737327
2017-10-19,1704431
2017-10-20,1709773
2017-10-21,1771672
2017-10-22,1788938
2017-10-23,1773331
2017-10-24,1756173
2017-10-25,1728616
2017-10-26,1724129
2017-10-27,1743201
2017-10-28,1743201
2017-10-29,1813792
2017-10-30,1844851
2017-10-31,1803653
2017-11-01,1803653
2017-11-02,1767622
2017-11-03,1752825
2017-11-04,1821893
2017-11-05,1843455
2017-11-06,1793776
2017-11-07,1796392
2017-11-08,1744603
2017-11-09,1732954
2017-11-10,1732136
2017-11-11,1729588
2017-11-12,1734712
2017-11-13,1747500
2017-11-14,1715189
2017-11-15,1704788
2017-11-16,1699255
2017-11-17,1701093
2017-11-18,1712764
2017-11-19,1721978
2017-11-20,1680626
2017-11-21,1649998
2017-11-22,1633476
2017-11-23,1611547
2017-11-24,1581215
2017-11-25,1534496
2017-11-26,1486470
2017-11-27,1486470
2017-11-28,1437178
2017-11-29,1427879
2017-11-30,1425371
2017-12-01,1421795
2017-12-02,1451727
2017-12-03,1510722
2017-12-04,1510830
2017-12-05,1479811
2017-12-06,1499653
2017-12-07,1507928
2017-12-08,1492686
2017-12-09,1500590
2017-12-10,1483850
2017-12-11,1509414
2017-12-12,1491037
2017-12-13,1507212
2017-12-14,1501099
2017-12-15,1508026
2017-12-16,1489485
2017-12-17,1512207
2017-12-18,1519498
2017-12-19,1519337
2017-12-20,1515848
2017-12-21,1558237
2017-12-22,1562658
2017-12-23,1590784
2017-12-24,1594436
2017-12-25,1612380
2017-12-26,1653069
2017-12-27,1649553
2017-12-28,1632744
2017-12-29,1680394
2017-12-30,1683313
2017-12-31,1682497
2018-01-01,1693912
2018-01-02,1720280
2018-01-03,1744901
2018-01-04,1687068
2018-01-05,1604077
2018-01-06,1604120
2018-01-07,1606954
2018-01-08,1588509
2018-01-09,1600301
2018-01-10,1605350
2018-01-11,1594301
2018-01-12,1619345
2018-01-13,1608846
2018-01-14,1602897
2018-01-15,1580749
2018-01-16,1566493
2018-01-17,1543403
2018-01-18,1563700
2018-01-19,1563700
2018-01-20,1614482
2018-01-21,1648475
2018-01-22,1647504
2018-01-23,1716782
2018-01-24,1708431
2018-01-25,1673823
2018-01-26,1649178
2018-01-27,1636449
