date_obj,Adamant%20crossbow price
2017-05-03,3335
2017-05-04,3446
2017-05-05,3517
2017-05-06,3517
2017-05-07,3588
2017-05-08,3588
2017-05-09,3662
2017-05-10,3662
2017-05-11,3688
2017-05-12,3726
2017-05-13,3771
2017-05-14,3771
2017-05-15,3764
2017-05-16,3862
2017-05-17,3862
2017-05-18,4014
2017-05-19,4014
2017-05-20,4200
2017-05-21,4200
2017-05-22,4362
2017-05-23,4362
2017-05-24,4298
2017-05-25,4298
2017-05-26,4092
2017-05-27,3887
2017-05-28,3887
2017-05-29,3699
2017-05-30,3560
2017-05-31,3382
2017-06-01,3276
2017-06-02,3211
2017-06-03,3211
2017-06-04,3078
2017-06-05,3034
2017-06-06,3102
2017-06-07,3087
2017-06-08,3087
2017-06-09,3086
2017-06-10,2959
2017-06-11,2879
2017-06-12,2879
2017-06-13,2924
2017-06-14,2883
2017-06-15,2883
2017-06-16,2854
2017-06-17,2854
2017-06-18,2786
2017-06-19,2786
2017-06-20,2651
2017-06-21,2647
2017-06-22,2647
2017-06-23,2624
2017-06-24,2652
2017-06-25,2652
2017-06-26,2659
2017-06-27,2639
2017-06-28,2639
2017-06-29,2733
2017-06-30,2808
2017-07-01,2808
2017-07-02,2733
2017-07-03,2715
2017-07-04,2712
2017-07-05,2712
2017-07-06,2738
2017-07-07,2738
2017-07-08,2872
2017-07-09,2961
2017-07-13,3191
2017-07-14,3102
2017-07-15,3102
2017-07-16,2947
2017-07-17,2799
2017-07-18,2729
2017-07-19,2629
2017-07-20,2582
2017-07-21,2590
2017-07-22,2576
2017-07-23,2569
2017-07-24,2569
2017-07-25,2634
2017-07-26,2748
2017-07-27,2854
2017-07-28,2854
2017-07-29,2976
2017-07-30,3087
2017-07-31,3087
2017-08-01,3204
2017-08-02,3361
2017-08-03,3512
2017-08-04,3512
2017-08-05,3503
2017-08-06,3503
2017-08-07,3327
2017-08-08,3178
2017-08-09,3019
2017-08-10,2876
2017-08-11,2771
2017-08-12,2720
2017-08-13,2626
2017-08-14,2650
2017-08-15,2746
2017-08-16,2884
2017-08-17,3029
2017-08-18,3029
2017-08-19,3171
2017-08-20,3019
2017-08-21,2894
2017-08-22,2807
2017-08-23,2700
2017-08-24,2700
2017-08-25,2587
2017-08-26,2528
2017-08-27,2540
2017-08-28,2594
