date_obj,Ham%20hood price
2017-05-03,320
2017-05-04,318
2017-05-05,308
2017-05-06,308
2017-05-07,304
2017-05-08,304
2017-05-09,309
2017-05-10,309
2017-05-11,319
2017-05-12,327
2017-05-13,330
2017-05-14,330
2017-05-15,330
2017-05-16,333
2017-05-17,333
2017-05-18,335
2017-05-19,335
2017-05-20,342
2017-05-21,342
2017-05-22,349
2017-05-23,349
2017-05-24,358
2017-05-25,358
2017-05-26,372
2017-05-27,382
2017-05-28,382
2017-05-29,387
2017-05-30,387
2017-05-31,392
2017-06-01,392
2017-06-02,390
2017-06-03,390
2017-06-04,394
2017-06-06,391
2017-06-07,386
2017-06-08,386
2017-06-09,383
2017-06-10,372
2017-06-11,372
2017-06-12,372
2017-06-13,380
2017-06-14,385
2017-06-15,385
2017-06-16,389
2017-06-17,389
2017-06-18,395
2017-06-19,395
2017-06-20,391
2017-06-21,391
2017-06-22,395
2017-06-23,395
2017-06-24,395
2017-06-25,395
2017-06-26,399
2017-06-27,404
2017-06-28,404
2017-06-29,404
2017-06-30,404
2017-07-01,399
2017-07-02,399
2017-07-03,404
2017-07-04,400
2017-07-05,400
2017-07-06,397
2017-07-07,397
2017-07-08,402
2017-07-13,398
2017-07-14,394
2017-07-15,394
2017-07-16,392
2017-07-17,380
2017-07-18,380
2017-07-19,383
2017-07-20,374
2017-07-21,372
2017-07-22,372
2017-07-23,375
2017-07-24,375
2017-07-25,374
2017-07-26,374
2017-07-27,376
2017-07-28,376
2017-07-29,372
2017-07-30,373
2017-07-31,373
2017-08-01,374
2017-08-02,371
2017-08-03,371
2017-08-04,369
2017-08-05,367
2017-08-06,367
2017-08-09,347
2017-08-10,345
2017-08-11,345
2017-08-12,344
2017-08-13,344
2017-08-14,341
2017-08-15,334
2017-08-16,334
2017-08-17,325
2017-08-18,325
2017-08-19,323
2017-08-20,311
2017-08-21,311
2017-08-22,308
2017-08-23,308
2017-08-24,304
2017-08-25,304
2017-08-26,303
2017-08-27,303
2017-08-28,300
2017-08-29,300
2017-08-30,300
2017-08-31,300
2017-09-01,300
2017-09-02,299
2017-09-03,299
2017-09-04,292
2017-09-05,294
2017-09-06,294
2017-09-07,297
2017-09-08,297
2017-09-09,293
2017-09-10,288
2017-09-11,288
2017-09-12,284
2017-09-13,281
2017-09-14,285
2017-09-15,285
2017-09-16,280
2017-09-17,280
2017-09-18,280
2017-09-19,284
2017-09-20,283
2017-09-21,283
2017-09-22,278
2017-09-23,278
2017-09-24,279
2017-09-25,279
2017-09-26,278
2017-09-27,278
2017-09-28,281
2017-09-29,286
2017-09-30,286
2017-10-01,285
2017-10-02,283
2017-10-03,283
2017-10-04,284
2017-10-05,284
2017-10-06,287
2017-10-07,283
2017-10-08,283
2017-10-09,275
2017-10-10,274
2017-10-11,274
2017-10-12,271
2017-10-13,271
2017-10-14,267
2017-10-15,267
2017-10-16,269
2017-10-17,269
2017-10-18,271
2017-10-19,271
2017-10-20,274
2017-10-21,274
2017-10-22,278
2017-10-23,278
2017-10-24,277
2017-10-25,274
2017-10-26,274
2017-10-27,276
2017-10-28,276
