date_obj,Red%20elegant%20blouse price
2017-04-22,6849
2017-04-23,6849
2017-04-24,6849
2017-04-25,6849
2017-04-26,7114
2017-04-27,7114
2017-04-28,7114
2017-04-29,7114
2017-04-30,7217
2017-05-01,7217
2017-05-02,7217
2017-05-03,7217
2017-05-04,7217
2017-05-05,7533
2017-05-06,7533
2017-05-07,7533
2017-05-08,7533
2017-05-09,7907
2017-05-10,7907
2017-05-11,7907
2017-05-12,7907
2017-05-13,7907
2017-05-14,7907
2017-05-15,7899
2017-05-16,7899
2017-05-17,7899
2017-05-18,7899
2017-05-19,7781
2017-05-20,7781
2017-05-21,7781
2017-05-22,7781
2017-05-23,7781
2017-05-24,7816
2017-05-25,7816
2017-05-26,7816
2017-05-27,7816
2017-05-28,7816
2017-05-29,7816
2017-05-30,7659
2017-05-31,7659
2017-06-01,7659
2017-06-02,7659
2017-06-03,7659
2017-06-06,7569
2017-06-07,7569
2017-06-08,7740
2017-06-09,7740
2017-06-10,7740
2017-06-11,7805
2017-06-12,7805
2017-06-13,7805
2017-06-14,7805
2017-06-15,7805
2017-06-16,7650
2017-06-17,7650
2017-06-18,7650
2017-06-19,7650
2017-06-20,7650
2017-06-21,7768
2017-06-22,7768
2017-06-23,7768
2017-06-24,7768
2017-06-25,7768
2017-06-26,7967
2017-06-27,7967
2017-06-28,7967
2017-06-29,7967
2017-06-30,7967
2017-07-01,7967
2017-07-02,7931
2017-07-03,7931
2017-07-04,7931
2017-07-05,7931
2017-07-06,7931
2017-07-07,7918
2017-07-08,7918
2017-07-13,8067
2017-07-14,8067
2017-07-15,8067
2017-07-16,8067
2017-07-17,8067
2017-07-18,7857
2017-07-19,7857
2017-07-20,7857
2017-07-21,7857
2017-07-22,7857
2017-07-23,7901
2017-07-24,7901
2017-07-25,7901
2017-07-26,7901
2017-07-27,7876
2017-07-28,7876
2017-07-29,7876
2017-07-30,7876
2017-07-31,7876
2017-08-01,7668
2017-08-02,7668
2017-08-03,7668
2017-08-04,7668
2017-08-05,7668
2017-08-06,7586
2017-08-09,7586
2017-08-10,7594
2017-08-11,7594
2017-08-12,7594
2017-08-13,7594
2017-08-14,7594
2017-08-15,7762
2017-08-16,7762
2017-08-17,7762
2017-08-18,7762
2017-08-19,7762
2017-08-20,7512
2017-08-22,7512
2017-08-23,7512
2017-08-24,7512
2017-08-25,7512
2017-08-26,7266
2017-08-27,7266
2017-08-28,7266
2017-08-29,7266
2017-08-30,7290
2017-08-31,7290
2017-09-01,7290
2017-09-02,7290
2017-09-03,7290
2017-09-04,7290
