date_obj,Green%20dragonhide%20set price
2017-06-11,8031
2017-06-12,8031
2017-06-13,8057
2017-06-14,8195
2017-06-15,8195
2017-06-16,8237
2017-06-17,8237
2017-06-18,8144
2017-06-19,8144
2017-06-20,8128
2017-06-21,8128
2017-06-22,8067
2017-06-23,8067
2017-06-24,8055
2017-06-25,8055
2017-06-26,8081
2017-06-27,7952
2017-06-28,7952
2017-06-29,7947
2017-06-30,7947
2017-07-01,8067
2017-07-02,8067
2017-07-03,8118
2017-07-04,8100
2017-07-05,8100
2017-07-06,8223
2017-07-07,8223
2017-07-08,8203
2017-07-13,8034
2017-07-14,8127
2017-07-15,8127
2017-07-16,8130
2017-07-17,8131
2017-07-18,8131
2017-07-19,8368
2017-07-20,8583
2017-07-21,8608
2017-07-22,8539
2017-07-23,8409
2017-07-24,8409
2017-07-25,8440
2017-07-26,8476
2017-07-27,8643
2017-07-28,8643
2017-07-29,8428
2017-07-30,8281
2017-07-31,8281
2017-08-01,8120
2017-08-02,8123
2017-08-03,8123
2017-08-04,8097
2017-08-05,8092
2017-08-06,8092
2017-08-09,8165
2017-08-10,8145
2017-08-11,8145
2017-08-12,8153
2017-08-13,8153
2017-08-14,8242
2017-08-15,7977
2017-08-16,7977
2017-08-17,7999
2017-08-18,7999
2017-08-19,8386
2017-08-20,8356
2017-08-21,8356
2017-08-22,8319
2017-08-23,8319
2017-08-24,8171
2017-08-25,8171
2017-08-26,8317
2017-08-27,8262
2017-08-28,8262
2017-08-29,8265
2017-08-30,8038
2017-08-31,8038
2017-09-01,8138
2017-09-02,8149
2017-09-03,8149
2017-09-04,8112
2017-09-05,8058
2017-09-06,8058
2017-09-07,8124
2017-09-08,8124
2017-09-09,8157
2017-09-10,8221
2017-09-11,8221
2017-09-12,8380
2017-09-13,8253
2017-09-14,8217
2017-09-15,8217
2017-09-16,8277
2017-09-17,8177
2017-09-18,8177
2017-09-19,8186
2017-09-20,8114
2017-09-21,8114
2017-09-22,8153
2017-09-23,8153
2017-09-24,8077
2017-09-25,8077
2017-09-26,8040
2017-09-27,8040
2017-09-28,8042
2017-09-29,8124
2017-09-30,8124
2017-10-01,8259
2017-10-02,8244
2017-10-03,8244
2017-10-04,8242
2017-10-05,8242
2017-10-06,8255
2017-10-07,8211
2017-10-08,8211
2017-10-09,8083
2017-10-10,8083
2017-10-11,7938
2017-10-12,8073
2017-10-13,8055
2017-10-14,8055
2017-10-15,8134
2017-10-16,8157
2017-10-17,8157
2017-10-18,8185
2017-10-19,8185
2017-10-20,8246
2017-10-21,8246
2017-10-22,8191
2017-10-23,8191
2017-10-24,8128
2017-10-25,8072
2017-10-26,8072
2017-10-27,8048
2017-10-28,8048
2017-10-29,7944
2017-10-30,7923
2017-10-31,7923
2017-11-01,8216
2017-11-02,8216
2017-11-03,8139
2017-11-04,8143
2017-11-05,8143
2017-11-06,8238
2017-11-07,8238
2017-11-08,8124
2017-11-09,8022
2017-11-10,8022
2017-11-11,8008
2017-11-12,8006
2017-11-13,8006
2017-11-14,8038
2017-11-15,8038
2017-11-16,8008
2017-11-17,8008
2017-11-18,8118
2017-11-19,8118
2017-11-20,8083
2017-11-21,8083
2017-11-22,7959
2017-11-23,8059
2017-11-24,8059
2017-11-25,8070
2017-11-26,8070
2017-11-27,7984
2017-11-28,7923
2017-11-29,7923
2017-11-30,7877
2017-12-01,7923
2017-12-02,7923
2017-12-03,7942
2017-12-04,7942
2017-12-05,7939
2017-12-06,7939
2017-12-07,7915
2017-12-08,7915
2017-12-09,7764
2017-12-10,8035
2017-12-11,7989
2017-12-12,7989
2017-12-13,8041
2017-12-14,8041
2017-12-15,7974
2017-12-16,7974
2017-12-17,7913
2017-12-18,7969
2017-12-19,7969
2017-12-20,8067
2017-12-21,8176
2017-12-22,8176
2017-12-23,8181
2017-12-24,8181
2017-12-25,8079
2017-12-26,8191
2017-12-27,8121
2017-12-28,8121
2017-12-29,7914
2017-12-30,7988
2017-12-31,7988
2018-01-01,7999
2018-01-02,7835
2018-01-03,7867
2018-01-04,7867
2018-01-05,7878
2018-01-06,7799
2018-01-07,7837
2018-01-08,7837
2018-01-09,7942
2018-01-10,7942
2018-01-11,7972
2018-01-12,7925
2018-01-13,8049
2018-01-14,8194
2018-01-15,8163
2018-01-16,8007
2018-01-17,7975
2018-01-18,7950
2018-01-19,7950
2018-01-20,7964
2018-01-21,7964
2018-01-22,8076
2018-01-23,8020
2018-01-25,7988
2018-01-26,7939
2018-01-27,8013
2018-01-28,8254
2018-01-29,8268
2018-01-30,8087
2018-01-31,7969
2018-02-01,7984
2018-02-02,7943
2018-02-03,7985
2018-02-04,7991
2018-02-05,8035
2018-02-06,8084
2018-02-07,8145
2018-02-08,8145
2018-02-09,8078
2018-02-10,8238
2018-02-11,8187
2018-02-12,8095
2018-02-13,8132
2018-02-14,8236
2018-02-15,8169
2018-02-16,8126
2018-02-17,8137
2018-02-18,8265
2018-02-19,8186
2018-02-20,8248
