date_obj,Grey%20toy%20horsey price
2017-08-04,189
2017-08-05,189
2017-08-06,189
2017-08-09,189
2017-08-10,182
2017-08-11,182
2017-08-12,182
2017-08-13,182
2017-08-14,182
2017-08-15,182
2017-08-16,182
2017-08-17,182
2017-08-18,182
2017-08-19,182
2017-08-20,182
2017-08-21,182
2017-08-22,182
2017-08-23,182
2017-08-24,182
2017-08-25,182
2017-08-26,182
2017-08-27,182
2017-08-28,182
2017-08-29,182
2017-08-30,182
2017-08-31,182
2017-09-01,182
2017-09-02,182
2017-09-03,182
2017-09-04,182
2017-09-05,182
2017-09-06,182
2017-09-07,182
2017-09-08,182
2017-09-09,182
2017-09-10,182
2017-09-11,182
2017-09-12,182
2017-09-13,182
2017-09-14,182
2017-09-15,182
2017-09-16,182
2017-09-17,182
2017-09-18,182
2017-09-19,182
2017-09-20,182
2017-09-21,182
2017-09-22,182
2017-09-23,182
2017-09-24,173
2017-09-25,173
2017-09-26,173
2017-09-27,173
2017-09-28,173
2017-09-29,173
2017-09-30,173
2017-10-01,173
2017-10-02,173
2017-10-03,173
2017-10-04,173
2017-10-05,173
2017-10-06,173
2017-10-07,173
2017-10-08,173
2017-10-09,173
2017-10-10,173
2017-10-11,173
2017-10-12,173
2017-10-13,173
2017-10-14,173
2017-10-15,173
2017-10-16,173
2017-10-17,173
2017-10-18,173
2017-10-19,173
2017-10-20,173
2017-10-21,173
2017-10-22,173
2017-10-23,173
2017-10-24,173
2017-10-25,173
2017-10-26,173
2017-10-27,173
2017-10-28,173
2017-10-29,173
2017-10-30,173
2017-10-31,173
2017-11-01,173
2017-11-02,173
2017-11-03,173
2017-11-04,173
2017-11-05,173
2017-11-06,173
2017-11-07,173
2017-11-08,173
2017-11-09,173
2017-11-10,173
2017-11-11,173
2017-11-12,169
2017-11-13,169
2017-11-14,169
2017-11-15,169
2017-11-16,169
2017-11-17,169
2017-11-18,169
2017-11-19,169
2017-11-20,169
2017-11-21,169
2017-11-22,169
2017-11-23,169
2017-11-24,169
2017-11-25,169
2017-11-26,169
2017-11-27,169
2017-11-28,169
2017-11-29,169
2017-11-30,169
2017-12-01,169
2017-12-02,169
2017-12-03,169
2017-12-04,169
2017-12-05,169
2017-12-06,169
2017-12-07,169
2017-12-08,169
2017-12-09,169
2017-12-10,169
2017-12-11,169
2017-12-12,169
2017-12-13,169
2017-12-14,169
2017-12-15,169
2017-12-16,169
2017-12-17,169
2017-12-18,169
2017-12-19,169
2017-12-20,169
2017-12-21,169
2017-12-22,169
2017-12-23,169
2017-12-24,169
2017-12-25,169
2017-12-26,163
2017-12-27,163
2017-12-28,163
2017-12-29,163
2017-12-30,163
2017-12-31,163
2018-01-01,163
2018-01-02,163
2018-01-03,163
2018-01-04,163
2018-01-05,163
2018-01-06,163
2018-01-07,163
2018-01-08,163
2018-01-09,163
2018-01-10,163
2018-01-11,163
2018-01-12,163
2018-01-13,163
2018-01-14,163
2018-01-15,163
2018-01-16,163
2018-01-17,163
2018-01-18,163
2018-01-19,163
2018-01-20,163
2018-01-21,163
2018-01-22,163
2018-01-23,163
2018-01-25,163
2018-01-26,163
2018-01-27,163
2018-01-28,164
2018-01-29,164
2018-01-30,164
2018-01-31,164
2018-02-01,164
2018-02-02,164
2018-02-03,164
2018-02-04,164
2018-02-05,164
2018-02-06,164
2018-02-07,164
2018-02-08,164
2018-02-09,164
2018-02-10,164
2018-02-11,164
2018-02-12,164
2018-02-13,164
2018-02-14,164
2018-02-15,164
2018-02-16,164
2018-02-17,164
2018-02-18,164
2018-02-19,164
2018-02-20,164
2018-02-21,164
2018-02-22,164
2018-02-23,164
2018-02-24,164
2018-02-25,164
2018-02-26,164
2018-02-27,164
2018-02-28,164
2018-03-01,164
2018-03-02,164
2018-03-03,164
2018-03-04,166
2018-03-05,166
2018-03-06,166
2018-03-07,166
2018-03-08,166
2018-03-09,166
2018-03-10,166
2018-03-11,166
2018-03-12,166
2018-03-13,166
2018-03-14,166
2018-03-15,166
2018-03-16,166
2018-03-17,166
2018-03-18,166
2018-03-19,166
2018-03-20,166
2018-03-21,166
2018-03-23,166
2018-03-24,166
2018-03-25,166
2018-03-26,166
2018-03-27,166
2018-03-28,166
2018-03-29,166
2018-03-30,166
2018-03-31,166
2018-04-01,166
2018-04-02,166
2018-04-03,166
2018-04-04,166
2018-04-05,166
2018-04-06,166
2018-04-07,166
2018-04-08,166
2018-04-09,166
2018-04-10,166
2018-04-11,173
2018-04-12,173
2018-04-13,173
2018-04-14,173
2018-04-15,173
2018-04-16,173
2018-04-17,173
2018-04-18,173
2018-04-19,173
2018-04-20,173
2018-04-21,173
2018-04-22,173
2018-04-23,173
2018-04-24,173
2018-04-25,173
2018-04-26,173
2018-04-27,173
2018-04-28,173
2018-04-29,173
2018-04-30,173
2018-05-01,173
2018-05-03,173
2018-05-04,173
2018-05-05,173
2018-05-06,173
2018-05-07,173
2018-05-08,173
2018-05-09,173
2018-05-10,173
2018-05-11,173
2018-05-12,173
2018-05-13,173
2018-05-14,173
2018-05-15,173
2018-05-16,173
2018-05-17,173
2018-05-18,173
2018-05-19,173
2018-05-20,173
2018-05-21,173
2018-05-22,173
2018-05-23,173
2018-05-24,180
2018-05-25,180
2018-05-26,180
2018-05-27,180
2018-05-28,180
2018-05-29,180
2018-05-30,180
2018-05-31,180
2018-06-01,180
2018-06-02,180
2018-06-03,180
2018-06-04,180
2018-06-05,180
2018-06-06,180
2018-06-07,180
2018-06-08,180
2018-06-09,180
2018-06-10,180
2018-06-11,180
2018-06-12,180
2018-06-13,180
2018-06-14,180
2018-06-15,180
2018-06-16,180
