date_obj,Cemetery%20teleport%20(tablet) price
2018-04-30,1639
2018-05-01,1643
2018-05-02,1643
2018-05-03,1643
2018-05-04,1643
2018-05-05,1643
2018-05-07,1618
2018-05-08,1618
2018-05-09,1618
2018-05-10,1618
2018-05-11,1618
2018-05-12,1620
2018-05-13,1620
2018-05-14,1620
2018-05-15,1620
2018-05-16,1620
2018-05-17,1620
2018-05-18,1598
2018-05-19,1598
2018-05-20,1598
2018-05-21,1598
2018-05-22,1598
2018-05-23,1590
2018-05-24,1590
2018-05-25,1590
2018-05-26,1590
2018-05-27,1563
2018-05-28,1563
2018-05-29,1563
2018-05-30,1563
2018-05-31,1486
2018-06-01,1486
2018-06-02,1486
2018-06-03,1486
2018-06-04,1550
2018-06-05,1550
2018-06-06,1550
2018-06-07,1550
2018-06-08,1574
2018-06-09,1574
2018-06-10,1574
2018-06-11,1574
2018-06-12,1629
2018-06-13,1629
2018-06-14,1629
2018-06-15,1629
2018-06-16,1632
2018-06-17,1632
2018-06-18,1632
2018-06-19,1663
2018-06-20,1663
2018-06-21,1663
2018-06-22,1663
2018-06-23,1663
2018-06-24,1680
2018-06-25,1680
2018-06-26,1680
2018-06-27,1680
2018-06-28,1680
2018-06-29,1633
2018-06-30,1633
2018-07-01,1633
2018-07-02,1633
2018-07-03,1576
2018-07-04,1576
2018-07-05,1576
2018-07-06,1576
2018-07-07,1532
2018-07-08,1532
2018-07-09,1532
2018-07-10,1532
2018-07-11,1561
2018-07-12,1561
2018-07-13,1561
2018-07-14,1589
2018-07-15,1589
2018-07-16,1589
2018-07-17,1556
2018-07-18,1556
2018-07-19,1556
2018-07-20,1556
2018-07-21,1558
2018-07-22,1558
2018-07-23,1558
2018-07-24,1509
2018-07-25,1509
2018-07-26,1509
2018-07-27,1517
2018-07-28,1517
2018-07-29,1517
2018-07-30,1517
2018-07-31,1559
2018-08-01,1559
2018-08-02,1559
2018-08-03,1559
2018-08-04,1541
2018-08-05,1541
2018-08-06,1541
2018-08-07,1541
2018-08-08,1579
2018-08-09,1579
2018-08-10,1579
2018-08-11,1579
2018-08-12,1621
2018-08-14,1621
2018-08-16,1644
2018-08-17,1644
2018-08-18,1644
2018-08-19,1698
2018-08-20,1698
2018-08-21,1698
2018-08-22,1708
2018-08-23,1708
2018-08-24,1708
2018-08-25,1720
2018-08-26,1720
2018-08-27,1720
2018-08-28,1720
2018-08-29,1734
2018-08-30,1734
2018-08-31,1734
2018-09-01,1733
2018-09-02,1733
2018-09-03,1733
2018-09-04,1762
2018-09-05,1762
2018-09-06,1762
2018-09-07,1762
2018-09-08,1697
2018-09-09,1697
2018-09-10,1697
2018-09-11,1697
2018-09-12,1718
2018-09-13,1718
2018-09-14,1718
2018-09-15,1752
2018-09-16,1752
2018-09-17,1752
2018-09-18,1752
2018-09-19,1777
2018-09-20,1777
2018-09-21,1777
2018-09-22,1732
2018-09-23,1732
2018-09-24,1732
2018-09-25,1732
2018-09-26,1658
2018-09-27,1658
2018-09-28,1658
2018-09-29,1658
2018-09-30,1586
2018-10-01,1586
2018-10-02,1586
2018-10-03,1601
2018-10-04,1601
2018-10-05,1601
2018-10-06,1569
2018-10-07,1569
2018-10-08,1569
2018-10-09,1569
2018-10-10,1535
2018-10-11,1535
2018-10-12,1535
2018-10-13,1551
2018-10-14,1551
2018-10-15,1551
2018-10-16,1551
2018-10-17,1551
2018-10-18,1551
2018-10-19,1551
2018-10-20,1551
2018-10-21,1570
2018-10-22,1570
2018-10-23,1570
2018-10-24,1624
2018-10-25,1624
2018-10-26,1624
2018-10-27,1624
2018-10-28,1705
2018-10-29,1705
2018-10-30,1705
2018-10-31,1705
2018-11-01,1788
2018-11-03,1788
2018-11-04,1788
2018-11-05,1815
2018-11-06,1815
2018-11-07,1815
2018-11-08,1851
2018-11-09,1851
2018-11-10,1851
2018-11-11,1936
2018-11-12,1936
2018-11-13,2009
2018-11-14,2009
2018-11-15,2009
2018-11-16,2017
2018-11-17,2017
2018-11-18,2017
2018-11-19,2097
2018-11-20,2097
2018-11-21,2097
2018-11-22,2133
2018-11-23,2133
2018-11-24,2133
2018-11-25,2145
2018-11-26,2145
2018-11-27,2145
2018-11-28,2115
2018-11-29,2115
2018-12-01,2142
2018-12-02,2142
2018-12-03,2142
2018-12-04,2144
2018-12-05,2144
2018-12-07,2201
2018-12-09,2201
2018-12-10,2231
2018-12-11,2231
2018-12-12,2231
2018-12-13,2195
2018-12-14,2195
2018-12-15,2195
2018-12-16,2134
2018-12-17,2134
2018-12-18,2134
2018-12-19,2180
2018-12-20,2180
2018-12-21,2180
2018-12-22,2226
2018-12-23,2226
2018-12-24,2296
2018-12-25,2296
2018-12-26,2296
2018-12-27,2263
2018-12-28,2263
2018-12-29,2238
2018-12-30,2238
2018-12-31,2221
2019-01-01,2221
2019-01-02,2221
2019-01-03,2168
2019-01-04,2168
2019-01-05,2249
2019-01-06,2249
2019-01-08,2172
2019-01-10,2064
2019-01-11,1984
2019-01-12,1984
2019-01-13,1960
2019-01-14,1960
2019-01-15,1953
2019-01-16,1953
2019-01-17,2031
2019-01-18,2031
2019-01-19,2116
2019-01-20,2116
2019-01-21,2117
2019-01-22,2117
2019-01-23,2026
2019-01-24,2026
2019-01-25,1924
2019-01-26,1924
2019-01-27,1866
2019-01-28,1866
2019-01-29,1806
2019-01-30,1806
2019-01-31,1806
2019-02-01,1776
2019-02-02,1776
2019-02-03,1706
2019-02-04,1706
2019-02-05,1740
2019-02-06,1740
2019-02-07,1805
2019-02-08,1805
2019-02-09,1782
2019-02-10,1782
2019-02-11,1717
2019-02-12,1717
2019-02-13,1647
2019-02-14,1647
2019-02-15,1647
2019-02-16,1675
2019-02-17,1675
2019-02-18,1614
2019-02-19,1614
2019-02-20,1614
2019-02-21,1636
2019-02-22,1636
2019-02-23,1664
2019-02-24,1664
2019-02-25,1671
2019-02-26,1671
2019-02-27,1671
2019-02-28,1671
2019-03-01,1671
2019-03-02,1700
2019-03-03,1700
2019-03-04,1707
2019-03-05,1707
2019-03-06,1746
2019-03-07,1746
2019-03-08,1746
2019-03-09,1807
2019-03-10,1807
2019-03-11,1846
2019-03-12,1846
2019-03-13,1911
2019-03-14,1911
2019-03-15,1993
2019-03-16,1993
2019-03-17,2007
2019-03-18,2007
2019-03-19,2007
2019-03-20,2034
2019-03-21,2034
2019-03-22,2034
2019-03-23,2043
2019-03-24,2043
2019-03-25,2043
2019-03-26,2106
2019-03-27,2106
2019-03-28,2106
2019-03-29,2189
2019-03-30,2189
2019-03-31,2189
2019-04-01,2239
2019-04-02,2239
2019-04-03,2247
2019-04-04,2247
2019-04-05,2247
2019-04-06,2239
2019-04-07,2239
2019-04-08,2224
2019-04-09,2224
2019-04-10,2224
2019-04-11,2288
2019-04-12,2288
2019-04-13,2395
2019-04-14,2395
2019-04-15,2438
2019-04-16,2438
2019-04-17,2459
2019-04-18,2459
2019-04-19,2416
2019-04-20,2416
2019-04-21,2398
2019-04-22,2398
2019-04-23,2370
2019-04-24,2370
2019-04-25,2346
2019-04-26,2346
2019-04-27,2229
2019-04-28,2229
2019-04-29,2121
2019-04-30,2121
