date_obj,Crier%20coat price
2018-07-09,11881
2018-07-10,12047
2018-07-11,12291
2018-07-12,12291
2018-07-13,12460
2018-07-14,12503
2018-07-15,12503
2018-07-16,12559
2018-07-17,12223
2018-07-18,12401
2018-07-19,12401
2018-07-20,12826
2018-07-21,13205
2018-07-22,13411
2018-07-23,13867
2018-07-24,14299
2018-07-25,14631
2018-07-26,15283
2018-07-27,15455
2018-07-28,15455
2018-07-29,15376
2018-07-30,15325
2018-07-31,14937
2018-08-01,14937
2018-08-02,14774
2018-08-03,14646
2018-08-04,13913
2018-08-05,13217
2018-08-06,13072
2018-08-07,12989
2018-08-08,12787
2018-08-09,12589
2018-08-10,12328
2018-08-11,12500
2018-08-12,12226
2018-08-14,12395
2018-08-16,12241
2018-08-17,12132
2018-08-18,11968
2018-08-19,12354
2018-08-20,12771
2018-08-21,13351
2018-08-22,13996
2018-08-23,14696
2018-08-24,15431
2018-08-25,16162
2018-08-26,16929
2018-08-27,17136
2018-08-28,17894
2018-08-29,18592
2018-08-30,19399
2018-08-31,20218
2018-09-01,20823
2018-09-02,21375
2018-09-03,21909
2018-09-04,22457
2018-09-05,22867
2018-09-06,22867
2018-09-07,23483
2018-09-08,23284
2018-09-09,23010
2018-09-10,22385
2018-09-11,22385
2018-09-12,22794
2018-09-13,23006
2018-09-14,23662
2018-09-15,23694
2018-09-16,24100
2018-09-17,24014
2018-09-18,24155
2018-09-19,24846
2018-09-20,25193
2018-09-21,25094
2018-09-22,25477
2018-09-23,25478
2018-09-24,24631
2018-09-25,24631
2018-09-26,23815
2018-09-27,22922
2018-09-28,22418
2018-09-29,21761
2018-09-30,21172
2018-10-01,20843
2018-10-02,20582
2018-10-03,20279
2018-10-04,20279
2018-10-05,19910
2018-10-06,19078
2018-10-07,18639
2018-10-08,18563
2018-10-09,18530
2018-10-10,18531
2018-10-11,17925
2018-10-12,17477
2018-10-13,16738
2018-10-14,15975
2018-10-15,15959
2018-10-16,15842
2018-10-17,15353
2018-10-18,15058
2018-10-19,14614
2018-10-20,14614
2018-10-21,14347
2018-10-22,14611
2018-10-23,14611
2018-10-24,14344
2018-10-25,13919
2018-10-26,13676
2018-10-27,13901
2018-10-28,13745
2018-10-29,13745
2018-10-30,13572
2018-10-31,13646
2018-11-01,13474
2018-11-03,13075
2018-11-04,13118
2018-11-05,13338
2018-11-06,13130
2018-11-07,13573
2018-11-08,13759
2018-11-09,13980
2018-11-10,13861
2018-11-11,13414
2018-11-12,13330
2018-11-13,12931
2018-11-14,12608
2018-11-15,12439
2018-11-16,12299
2018-11-17,12581
2018-11-18,12514
2018-11-19,12393
2018-11-20,12792
2018-11-21,13375
2018-11-22,13633
2018-11-23,13830
2018-11-24,13250
2018-11-25,12654
2018-11-26,12777
2018-11-27,12804
2018-11-28,13267
2018-11-29,13580
2018-12-01,13984
2018-12-02,13961
2018-12-03,14023
2018-12-04,13999
2018-12-05,14270
2018-12-07,14242
