date_obj,Stretched%20hide price
2017-07-25,33077
2017-07-26,33077
2017-07-27,33077
2017-07-28,33077
2017-07-29,33077
2017-07-30,33077
2017-07-31,33077
2017-08-01,33077
2017-08-02,33077
2017-08-03,33077
2017-08-04,33077
2017-08-05,33077
2017-08-06,33077
2017-08-09,33077
2017-08-10,33077
2017-08-11,33077
2017-08-12,33077
2017-08-13,33077
2017-08-14,33077
2017-08-15,33077
2017-08-17,33077
2017-08-18,33077
2017-08-19,33077
2017-08-20,33077
2017-08-21,33077
2017-08-22,33077
2017-08-23,33077
2017-08-24,33077
2017-08-25,33077
2017-08-26,33077
2017-08-27,33077
2017-08-28,33077
2017-08-29,33077
2017-08-30,33077
2017-08-31,33077
2017-09-01,33077
2017-09-02,33077
2017-09-03,33077
2017-09-04,33077
2017-09-05,33077
2017-09-06,33077
2017-09-07,33077
2017-09-08,33077
2017-09-09,33077
2017-09-10,33077
2017-09-11,33077
2017-09-12,33077
2017-09-13,33077
2017-09-14,33077
2017-09-15,33077
2017-09-16,33077
2017-09-17,33077
2017-09-19,33077
2017-09-20,33077
2017-09-21,33077
2017-09-22,33077
2017-09-23,33077
2017-09-24,33077
2017-09-25,33077
2017-09-26,33077
2017-09-27,33077
2017-09-28,33077
2017-09-29,33077
2017-09-30,33077
2017-10-01,33077
2017-10-02,33077
2017-10-03,33077
2017-10-04,33077
2017-10-05,33077
2017-10-06,33077
2017-10-07,33077
2017-10-08,33077
2017-10-09,33077
2017-10-10,33077
2017-10-11,33077
2017-10-12,33077
2017-10-13,33077
2017-10-14,33077
2017-10-15,33077
2017-10-16,33077
2017-10-17,33077
2017-10-18,33077
2017-10-19,33077
2017-10-20,33077
2017-10-21,33077
2017-10-22,33077
2017-10-23,33077
2017-10-24,33077
2017-10-25,33077
2017-10-26,33077
2017-10-27,33077
2017-10-28,33077
2017-10-29,33077
2017-10-30,33077
2017-10-31,33077
2017-11-01,33077
2017-11-02,33077
2017-11-03,33077
2017-11-04,33077
2017-11-05,33077
2017-11-06,33077
2017-11-07,33077
2017-11-08,33077
2017-11-09,33077
2017-11-10,33077
2017-11-11,33077
2017-11-12,33077
2017-11-13,33077
2017-11-14,33077
2017-11-15,33077
2017-11-16,33077
2017-11-17,33077
2017-11-18,33077
2017-11-19,33077
2017-11-20,33077
2017-11-21,33077
2017-11-22,33077
2017-11-23,33077
2017-11-24,33077
2017-11-25,33077
2017-11-26,33077
2017-11-27,33077
2017-11-28,33077
2017-11-29,33077
2017-11-30,33077
2017-12-01,33077
2017-12-02,33077
2017-12-03,33077
2017-12-04,33077
2017-12-05,33077
2017-12-06,33077
2017-12-07,33077
2017-12-08,33077
2017-12-09,33077
2017-12-10,33077
2017-12-11,33077
2017-12-12,33077
2017-12-13,33077
2017-12-14,33077
2017-12-15,33077
2017-12-16,31494
2017-12-17,31494
2017-12-18,31494
2017-12-19,31494
2017-12-20,31494
2017-12-21,31494
2017-12-22,31494
2017-12-23,31494
2017-12-24,31494
2017-12-25,31494
2017-12-26,31494
2017-12-27,31494
2017-12-28,31494
2017-12-29,31494
2017-12-30,31494
2017-12-31,31494
2018-01-01,31494
2018-01-02,31494
2018-01-03,31494
2018-01-04,31494
2018-01-05,31494
2018-01-06,31494
2018-01-07,31494
2018-01-08,31494
2018-01-09,31494
2018-01-10,31494
2018-01-11,31494
2018-01-12,31494
2018-01-13,31494
2018-01-14,31494
2018-01-15,31494
2018-01-16,31494
2018-01-17,31494
2018-01-18,31494
2018-01-19,31494
2018-01-20,31494
2018-01-21,31494
2018-01-22,31494
2018-01-23,31494
2018-01-24,31494
2018-01-25,31494
2018-01-26,31494
2018-01-27,31494
2018-01-28,31494
2018-01-29,31494
2018-01-30,31494
2018-02-01,31494
2018-02-02,31494
2018-02-03,31494
2018-02-04,31494
2018-02-05,31494
2018-02-06,31494
2018-02-07,31494
2018-02-08,31494
2018-02-09,31494
2018-02-10,31494
2018-02-11,31494
2018-02-12,29942
2018-02-13,29942
2018-02-14,29942
2018-02-15,29942
2018-02-16,29942
2018-02-17,29942
2018-02-18,29942
2018-02-19,29942
2018-02-20,29942
2018-02-21,29942
2018-02-22,29942
2018-02-23,29942
2018-02-24,29942
2018-02-25,29942
2018-02-26,29942
2018-02-27,29942
2018-02-28,29942
2018-03-01,29942
2018-03-02,29942
2018-03-03,29942
2018-03-04,29942
2018-03-05,29942
2018-03-06,29942
2018-03-07,29942
2018-03-08,29942
2018-03-09,29942
2018-03-10,29942
2018-03-11,29942
2018-03-12,29942
2018-03-13,29942
2018-03-14,29942
2018-03-15,29942
2018-03-16,29942
2018-03-17,29942
2018-03-18,29942
2018-03-19,29942
2018-03-20,29942
2018-03-21,29942
2018-03-23,29942
2018-03-24,29942
2018-03-26,29942
2018-03-27,29942
2018-03-28,29942
2018-03-29,29942
2018-03-30,29942
2018-03-31,29942
2018-04-01,29942
2018-04-02,29942
2018-04-03,29942
2018-04-04,29942
2018-04-05,29942
2018-04-06,29942
2018-04-08,29942
2018-04-09,29942
2018-04-10,29942
2018-04-11,29942
2018-04-12,29942
2018-04-13,29942
2018-04-14,29942
2018-04-16,29942
2018-04-17,29942
2018-04-18,29942
2018-04-19,29942
2018-04-20,29942
2018-04-21,29942
2018-04-22,29942
2018-04-23,29942
2018-04-24,29942
2018-04-25,29942
2018-04-26,29942
2018-04-27,29942
2018-04-28,29942
2018-04-29,29942
2018-04-30,28483
2018-05-01,28483
2018-05-02,28483
2018-05-03,28483
2018-05-04,28483
2018-05-05,28483
2018-05-06,28483
2018-05-07,28483
2018-05-08,28483
2018-05-09,28483
2018-05-10,28483
2018-05-11,28483
2018-05-12,28483
2018-05-13,28483
2018-05-14,28483
2018-05-15,28483
2018-05-16,28483
2018-05-17,28483
2018-05-18,28483
2018-05-19,28483
2018-05-20,28483
2018-05-21,28483
2018-05-22,28483
2018-05-23,28483
2018-05-24,28483
2018-05-25,28483
2018-05-26,28483
2018-05-27,28483
2018-05-28,28483
2018-05-29,28483
2018-05-30,28483
2018-05-31,28483
2018-06-01,28483
2018-06-02,28483
2018-06-03,28483
2018-06-04,28483
2018-06-05,28483
2018-06-06,28483
2018-06-07,28483
2018-06-08,28483
2018-06-09,28483
2018-06-10,28483
2018-06-11,28483
2018-06-12,28483
2018-06-13,28483
2018-06-14,28483
2018-06-15,28483
2018-06-16,28483
2018-06-17,28483
2018-06-18,28483
2018-06-19,28483
2018-06-20,28483
2018-06-21,27073
2018-06-22,27073
2018-06-23,27073
2018-06-24,27073
2018-06-25,27073
2018-06-26,27073
2018-06-27,27073
2018-06-28,27073
2018-06-29,27073
2018-06-30,27073
2018-07-01,27073
2018-07-02,27073
2018-07-03,27073
2018-07-04,27073
2018-07-05,27073
2018-07-06,27073
2018-07-07,27073
2018-07-08,27073
2018-07-09,27073
2018-07-10,27073
2018-07-11,27073
2018-07-12,27073
2018-07-13,27073
2018-07-14,27073
2018-07-15,27073
2018-07-16,27073
2018-07-17,27073
2018-07-18,27073
2018-07-19,27073
2018-07-20,27073
2018-07-21,27073
2018-07-22,27073
2018-07-23,27073
2018-07-24,27073
2018-07-25,27073
2018-07-26,27073
2018-07-27,27073
2018-07-28,27073
2018-07-29,27073
2018-07-30,27073
2018-07-31,27073
2018-08-01,27073
2018-08-02,27073
2018-08-03,27073
2018-08-04,27073
2018-08-05,27073
2018-08-06,27073
2018-08-07,27073
2018-08-08,27073
2018-08-09,27073
2018-08-10,27073
2018-08-11,27073
2018-08-12,27073
2018-08-14,27073
2018-08-16,27073
2018-08-17,25780
2018-08-18,25780
2018-08-19,25780
2018-08-20,25780
2018-08-21,25780
2018-08-22,25780
2018-08-23,25780
2018-08-24,25780
2018-08-25,25780
2018-08-26,25780
2018-08-27,25780
2018-08-28,25780
