date_obj,Blue%20spiky%20vambraces price
2018-01-23,2831
2018-01-24,2831
2018-01-25,2831
2018-01-26,2831
2018-01-27,2972
2018-01-28,2972
2018-01-29,2972
2018-01-30,2978
2018-01-31,2978
2018-02-01,2978
2018-02-02,2978
2018-02-03,2912
2018-02-04,2912
2018-02-05,2912
2018-02-06,2922
2018-02-07,2922
2018-02-08,2922
2018-02-09,2896
2018-02-10,2896
2018-02-11,2896
2018-02-12,2841
2018-02-13,2841
2018-02-14,2841
2018-02-15,2796
2018-02-16,2796
2018-02-17,2796
2018-02-18,2775
2018-02-19,2775
2018-02-20,2775
2018-02-21,2749
2018-02-22,2749
2018-02-23,2749
2018-02-24,2749
2018-02-25,2681
2018-02-26,2681
2018-02-27,2681
2018-02-28,2603
2018-03-01,2603
2018-03-02,2603
2018-03-03,2516
2018-03-04,2516
2018-03-05,2516
2018-03-06,2481
2018-03-07,2481
2018-03-08,2481
2018-03-09,2356
2018-03-10,2356
2018-03-11,2356
2018-03-12,2239
2018-03-13,2239
2018-03-14,2239
2018-03-15,2239
2018-03-16,2137
2018-03-17,2137
2018-03-18,2037
2018-03-20,2037
2018-03-21,2021
2018-03-23,2021
2018-03-24,2021
2018-03-25,2027
2018-03-26,2027
2018-03-27,2027
2018-03-28,2027
2018-03-29,2124
2018-03-30,2124
2018-03-31,2124
2018-04-01,2124
2018-04-02,2165
2018-04-03,2165
2018-04-04,2165
2018-04-05,2165
2018-04-06,2190
2018-04-07,2190
2018-04-08,2190
2018-04-09,2190
2018-04-10,2215
2018-04-11,2215
2018-04-12,2215
2018-04-13,2215
2018-04-14,2258
2018-04-15,2258
2018-04-16,2258
2018-04-17,2258
2018-04-18,2275
2018-04-19,2275
2018-04-20,2275
2018-04-21,2275
2018-04-22,2292
2018-04-23,2292
2018-04-24,2292
2018-04-25,2292
2018-04-26,2330
2018-04-27,2330
2018-04-28,2330
2018-04-29,2429
2018-04-30,2429
2018-05-01,2429
2018-05-02,2429
2018-05-03,2429
2018-05-04,2504
2018-05-05,2504
2018-05-06,2504
2018-05-07,2473
2018-05-08,2473
2018-05-09,2473
2018-05-10,2473
2018-05-11,2504
2018-05-12,2504
2018-05-13,2504
2018-05-14,2615
2018-05-15,2615
2018-05-16,2615
2018-05-17,2615
2018-05-18,2584
2018-05-19,2584
2018-05-20,2584
2018-05-21,2643
2018-05-22,2643
2018-05-23,2643
2018-05-24,2643
2018-05-25,2600
2018-05-26,2600
2018-05-27,2600
2018-05-28,2662
2018-05-29,2662
2018-05-30,2662
2018-05-31,2662
2018-06-01,2700
2018-06-02,2700
2018-06-03,2700
2018-06-04,2733
2018-06-05,2733
2018-06-06,2823
2018-06-07,2823
2018-06-08,2823
2018-06-09,2823
2018-06-10,2777
2018-06-11,2777
2018-06-12,2777
2018-06-13,2677
2018-06-14,2677
2018-06-15,2677
2018-06-16,2677
2018-06-17,2545
2018-06-18,2545
2018-06-19,2545
2018-06-20,2545
2018-06-21,2471
2018-06-22,2471
2018-06-23,2471
2018-06-24,2471
2018-06-25,2466
2018-06-26,2466
2018-06-27,2466
2018-06-28,2466
2018-06-29,2424
2018-06-30,2424
2018-07-01,2424
2018-07-02,2424
2018-07-03,2444
2018-07-04,2444
2018-07-05,2444
2018-07-06,2444
2018-07-07,2518
2018-07-08,2518
2018-07-09,2518
2018-07-10,2518
2018-07-11,2552
2018-07-12,2552
2018-07-13,2552
2018-07-14,2556
2018-07-15,2556
2018-07-16,2556
2018-07-17,2558
2018-07-18,2558
2018-07-19,2558
2018-07-20,2558
2018-07-21,2543
2018-07-22,2543
2018-07-23,2493
2018-07-24,2493
2018-07-25,2493
2018-07-26,2552
2018-07-27,2552
2018-07-28,2552
2018-07-29,2597
2018-07-30,2597
2018-07-31,2600
2018-08-01,2600
2018-08-02,2600
2018-08-03,2562
2018-08-04,2562
2018-08-05,2449
2018-08-06,2449
2018-08-07,2449
2018-08-08,2408
2018-08-09,2408
2018-08-10,2408
2018-08-11,2388
2018-08-12,2388
2018-08-14,2358
2018-08-16,2355
2018-08-17,2355
2018-08-18,2355
2018-08-19,2237
2018-08-20,2157
2018-08-21,2157
2018-08-22,2157
2018-08-23,2141
2018-08-24,2141
2018-08-25,2113
2018-08-26,2113
2018-08-27,2113
2018-08-28,2144
2018-08-29,2144
2018-08-30,2144
2018-08-31,2187
2018-09-01,2187
2018-09-02,2187
2018-09-03,2206
2018-09-04,2206
2018-09-05,2254
2018-09-06,2254
2018-09-07,2254
2018-09-08,2236
2018-09-09,2236
2018-09-10,2236
2018-09-11,2242
2018-09-12,2242
2018-09-13,2242
2018-09-14,2241
2018-09-15,2241
2018-09-16,2241
2018-09-17,2271
2018-09-18,2271
2018-09-19,2271
2018-09-20,2305
2018-09-21,2305
2018-09-22,2328
2018-09-23,2328
2018-09-24,2328
2018-09-25,2418
2018-09-26,2418
2018-09-27,2418
2018-09-28,2409
2018-09-29,2409
2018-09-30,2409
2018-10-01,2489
2018-10-02,2489
2018-10-03,2481
2018-10-04,2481
2018-10-05,2481
2018-10-06,2554
2018-10-07,2554
2018-10-08,2554
2018-10-09,2553
2018-10-10,2553
2018-10-11,2593
2018-10-12,2593
2018-10-13,2593
2018-10-14,2664
2018-10-15,2664
2018-10-16,2664
2018-10-17,2639
2018-10-18,2639
2018-10-19,2639
2018-10-20,2600
2018-10-21,2600
2018-10-22,2600
2018-10-23,2525
2018-10-24,2525
2018-10-25,2525
2018-10-26,2499
2018-10-27,2499
2018-10-28,2436
2018-10-29,2436
2018-10-30,2436
2018-10-31,2315
2018-11-01,2315
2018-11-03,2235
2018-11-04,2294
2018-11-05,2384
2018-11-06,2384
2018-11-07,2461
2018-11-08,2461
2018-11-09,2402
2018-11-10,2455
2018-11-11,2455
2018-11-12,2509
2018-11-13,2509
2018-11-15,2536
2018-11-16,2577
2018-11-17,2577
2018-11-18,2593
2018-11-19,2593
2018-11-20,2611
2018-11-21,2611
2018-11-22,2680
2018-11-23,2786
2018-11-24,2824
2018-11-25,2735
2018-11-26,2735
2018-11-27,2749
2018-11-28,2724
2018-11-29,2769
2018-12-01,2811
2018-12-02,2833
2018-12-03,2833
2018-12-04,2854
2018-12-05,2916
2018-12-07,2935
2018-12-09,2954
2018-12-10,2980
2018-12-11,2980
2018-12-12,2897
2018-12-13,2897
2018-12-14,2808
2018-12-15,2808
2018-12-16,2699
2018-12-17,2699
2018-12-18,2631
2018-12-19,2631
2018-12-20,2588
2018-12-21,2588
2018-12-22,2640
2018-12-23,2755
2018-12-24,2795
2018-12-25,2795
2018-12-26,2831
2018-12-27,2858
2018-12-28,2858
2018-12-29,2753
2018-12-30,2753
2018-12-31,2711
2019-01-01,2711
2019-01-02,2644
2019-01-03,2644
2019-01-04,2617
2019-01-05,2688
2019-01-06,2812
2019-01-08,2946
2019-01-10,3009
2019-01-11,3009
2019-01-12,2946
2019-01-13,2946
