date_obj,Cocktail%20glass price
2018-08-12,160
2018-08-14,177
2018-08-16,196
2018-08-17,203
2018-08-18,214
2018-08-19,220
2018-08-20,224
2018-08-21,230
2018-08-22,231
2018-08-23,219
2018-08-24,209
2018-08-25,200
2018-08-26,190
2018-08-27,180
2018-08-28,184
2018-08-29,186
2018-08-30,192
2018-08-31,187
2018-09-01,185
2018-09-02,178
2018-09-03,175
2018-09-04,184
2018-09-05,182
2018-09-06,182
2018-09-07,190
2018-09-08,198
2018-09-09,203
2018-09-10,205
2018-09-11,211
2018-09-12,209
2018-09-13,219
2018-09-14,230
2018-09-15,224
2018-09-16,212
2018-09-17,201
2018-09-18,203
2018-09-19,195
2018-09-20,185
2018-09-21,191
2018-09-22,190
2018-09-23,189
2018-09-24,199
2018-09-25,199
2018-09-26,200
2018-09-27,201
2018-09-28,194
2018-09-29,201
2018-09-30,200
2018-10-01,197
2018-10-02,201
2018-10-03,198
2018-10-04,198
2018-10-05,195
2018-10-06,191
2018-10-07,182
2018-10-08,179
2018-10-09,188
2018-10-10,192
2018-10-11,198
2018-10-12,203
2018-10-13,212
2018-10-14,211
2018-10-15,216
2018-10-16,212
2018-10-17,215
2018-10-18,206
2018-10-19,217
2018-10-20,212
2018-10-21,216
2018-10-22,227
2018-10-23,239
2018-10-24,237
2018-10-25,228
2018-10-26,228
2018-10-27,231
2018-10-28,233
2018-10-29,233
2018-10-30,222
2018-10-31,216
2018-11-01,217
2018-11-03,221
2018-11-04,226
2018-11-05,214
2018-11-06,210
2018-11-07,219
2018-11-08,224
2018-11-09,226
2018-11-10,233
2018-11-11,245
2018-11-12,258
2018-11-13,261
2018-11-14,253
2018-11-15,246
2018-11-16,235
2018-11-17,239
2018-11-18,242
2018-11-19,233
2018-11-20,235
2018-11-21,236
2018-11-22,233
2018-11-23,221
2018-11-24,219
2018-11-25,220
2018-11-26,217
2018-11-27,222
2018-11-28,226
2018-11-29,222
2018-12-01,228
2018-12-02,233
2018-12-03,244
2018-12-04,255
2018-12-05,262
2018-12-07,266
2018-12-09,254
2018-12-10,260
2018-12-11,248
2018-12-12,242
2018-12-13,254
2018-12-14,267
2018-12-15,281
2018-12-16,282
2018-12-17,268
2018-12-18,260
2018-12-19,257
2018-12-20,266
2018-12-21,272
2018-12-22,264
2018-12-23,261
2018-12-24,248
2018-12-25,238
2018-12-26,236
2018-12-27,232
2018-12-28,239
2018-12-29,242
2018-12-30,234
2018-12-31,231
2019-01-01,221
2019-01-02,224
2019-01-03,219
2019-01-04,212
2019-01-05,201
2019-01-06,197
2019-01-08,197
2019-01-10,208
2019-01-11,207
2019-01-12,207
2019-01-13,201
2019-01-14,196
2019-01-15,204
2019-01-16,195
2019-01-17,195
2019-01-18,195
2019-01-19,193
2019-01-20,186
2019-01-21,183
2019-01-22,189
2019-01-23,191
2019-01-24,194
2019-01-25,199
2019-01-26,204
2019-01-27,206
2019-01-28,210
2019-01-29,210
2019-01-30,220
2019-01-31,230
2019-02-01,225
2019-02-02,223
2019-02-03,235
2019-02-04,241
2019-02-05,253
2019-02-06,263
2019-02-07,276
2019-02-08,266
2019-02-09,258
2019-02-10,251
2019-02-11,242
2019-02-12,231
2019-02-13,221
2019-02-14,209
2019-02-15,207
2019-02-16,196
2019-02-17,193
2019-02-18,199
2019-02-19,207
2019-02-20,202
2019-02-21,208
2019-02-22,212
2019-02-23,221
2019-02-24,232
2019-02-25,225
2019-02-26,236
2019-02-27,235
2019-02-28,227
2019-03-01,226
2019-03-02,236
2019-03-03,231
2019-03-04,237
2019-03-05,230
2019-03-06,220
2019-03-07,219
2019-03-08,210
2019-03-09,209
2019-03-10,219
2019-03-11,221
2019-03-12,223
2019-03-13,234
2019-03-14,222
2019-03-15,210
2019-03-16,200
2019-03-17,204
2019-03-18,209
2019-03-19,213
2019-03-20,202
2019-03-21,191
2019-03-22,186
2019-03-23,194
2019-03-24,204
2019-03-25,211
2019-03-26,219
2019-03-27,230
2019-03-28,242
2019-03-29,255
2019-03-30,255
2019-03-31,268
2019-04-01,282
2019-04-02,283
2019-04-03,285
2019-04-04,289
2019-04-05,286
2019-04-06,287
2019-04-07,294
2019-04-08,295
2019-04-09,298
2019-04-10,299
2019-04-11,310
2019-04-12,302
2019-04-13,300
2019-04-14,295
2019-04-15,286
2019-04-16,297
2019-04-17,298
2019-04-18,293
2019-04-19,278
2019-04-20,267
2019-04-21,253
2019-04-22,240
2019-04-23,228
2019-04-24,219
2019-04-25,208
2019-04-26,198
2019-04-27,190
2019-04-28,182
2019-04-29,172
2019-04-30,175
2019-05-01,178
2019-05-02,179
2019-05-03,172
2019-05-04,175
2019-05-05,171
2019-05-06,175
2019-05-07,169
2019-05-08,164
2019-05-09,160
2019-05-10,167
2019-05-11,176
2019-05-12,184
2019-05-13,182
2019-05-14,172
2019-05-15,163
2019-05-16,154
2019-05-17,155
2019-05-18,148
2019-05-19,154
2019-05-20,149
2019-05-21,150
2019-05-22,142
2019-05-23,143
2019-05-24,144
2019-05-25,149
2019-05-26,152
2019-05-27,148
2019-05-28,142
2019-05-29,139
2019-05-30,142
2019-05-31,145
2019-06-01,151
2019-06-02,158
2019-06-03,163
2019-06-04,170
2019-06-05,164
2019-06-06,173
2019-06-07,173
2019-06-08,165
2019-06-09,172
2019-06-10,172
2019-06-11,179
2019-06-12,178
2019-06-13,174
2019-06-14,173
2019-06-15,175
2019-06-16,183
2019-06-17,184
2019-06-18,183
2019-06-19,186
2019-06-20,190
