date_obj,Ale%20of%20the%20gods price
2020-02-12,857415
2020-02-13,868882
2020-02-14,869385
2020-02-15,843974
2020-02-16,834256
2020-02-17,832264
2020-02-18,835043
2020-02-19,855716
2020-02-20,896077
2020-02-21,896077
2020-02-22,940881
2020-02-23,987926
2020-02-24,1032123
2020-02-25,1009513
2020-02-26,977861
2020-02-27,942423
2020-02-28,934494
2020-02-29,927825
2020-03-01,941159
2020-03-02,947096
2020-03-03,970567
2020-03-04,981540
2020-03-05,1030208
2020-03-06,1029211
2020-03-07,1006600
2020-03-08,996679
2020-03-09,992087
2020-03-10,986919
2020-03-11,991233
2020-03-12,974418
2020-03-13,964512
2020-03-14,934429
2020-03-15,914309
2020-03-16,908568
2020-03-17,919733
2020-03-18,926925
2020-03-19,921032
2020-03-20,886359
2020-03-21,871719
2020-03-22,884824
2020-03-23,897805
2020-03-24,883306
2020-03-25,867498
2020-03-26,865994
2020-03-27,894356
2020-03-28,901093
2020-03-29,899846
2020-03-30,890743
2020-03-31,897813
2020-04-01,908696
2020-04-02,914960
2020-04-03,898095
2020-04-04,891198
2020-04-05,880566
2020-04-06,883786
2020-04-07,895295
2020-04-08,907080
2020-04-09,915022
2020-04-10,917130
2020-04-11,933422
2020-04-12,919189
2020-04-13,916435
2020-04-14,899981
2020-04-15,875751
2020-04-16,866770
2020-04-17,853077
2020-04-18,871849
2020-04-19,867620
2020-04-20,856390
2020-04-21,864815
2020-04-22,852005
2020-04-23,863936
2020-04-24,875310
2020-04-25,878075
2020-04-26,892368
2020-04-27,906961
2020-04-28,882961
2020-04-29,881958
2020-04-30,880626
2020-05-01,901198
2020-05-02,894614
2020-05-03,893085
2020-05-04,920097
2020-05-05,928199
2020-05-06,931780
2020-05-07,935418
2020-05-08,935161
2020-05-09,922809
2020-05-10,900815
2020-05-11,897975
2020-05-12,877460
2020-05-13,883813
