date_obj,Dwarf%20cannon%20set price
2018-07-21,757124
2018-07-22,757114
2018-07-23,756984
2018-07-24,757437
2018-07-25,759373
2018-07-26,760464
2018-07-27,761885
2018-07-28,763139
2018-07-29,764347
2018-07-30,760440
2018-07-31,761227
2018-08-01,759967
2018-08-02,761037
2018-08-03,763904
2018-08-04,762614
2018-08-05,761097
2018-08-06,761521
2018-08-07,758166
2018-08-08,755642
2018-08-09,757352
2018-08-10,757212
2018-08-11,760430
2018-08-12,759292
2018-08-14,758361
2018-08-16,756941
2018-08-17,756248
2018-08-18,755764
2018-08-19,755683
2018-08-20,759420
2018-08-21,766101
2018-08-22,761695
2018-08-23,758229
2018-08-24,757485
2018-08-25,757924
2018-08-26,758186
2018-08-27,757043
2018-08-28,755895
2018-08-29,754060
2018-08-30,754304
2018-08-31,755060
2018-09-01,755549
2018-09-02,755691
2018-09-03,756330
2018-09-04,754992
2018-09-05,754930
2018-09-06,754759
2018-09-07,755870
2018-09-08,755477
2018-09-09,755034
2018-09-10,754808
2018-09-11,755542
2018-09-12,755830
2018-09-13,756810
2018-09-14,763318
2018-09-15,758720
2018-09-16,757736
2018-09-17,757349
2018-09-18,758213
2018-09-19,759538
2018-09-20,757250
2018-09-21,757557
2018-09-22,756974
2018-09-23,756771
2018-09-24,756960
2018-09-25,756475
2018-09-26,760308
2018-09-27,758483
2018-09-28,758115
2018-09-29,758685
2018-09-30,757393
2018-10-01,754599
2018-10-02,755687
2018-10-03,756104
2018-10-04,756834
2018-10-05,757455
2018-10-06,758529
2018-10-07,759702
2018-10-08,759699
2018-10-09,758689
2018-10-10,757126
2018-10-11,756132
2018-10-12,755908
2018-10-13,756806
2018-10-14,757048
2018-10-15,756451
2018-10-16,755041
2018-10-17,751176
2018-10-18,751998
2018-10-19,752491
2018-10-20,755269
2018-10-21,755257
2018-10-22,756161
2018-10-23,755343
2018-10-24,757519
2018-10-25,761740
2018-10-26,759476
2018-10-27,757404
2018-10-28,758604
2018-10-29,761968
2018-10-30,761573
2018-10-31,758770
2018-11-01,758297
2018-11-03,764129
2018-11-04,760192
2018-11-05,760762
2018-11-06,759942
2018-11-07,758547
2018-11-08,758010
2018-11-09,759087
2018-11-10,766462
2018-11-11,766133
2018-11-12,764341
2018-11-13,761426
2018-11-14,761477
2018-11-15,758942
2018-11-16,760352
2018-11-17,759893
2018-11-18,759032
2018-11-19,757797
2018-11-20,756729
2018-11-21,755551
2018-11-22,754952
2018-11-23,754360
2018-11-24,755944
2018-11-25,755776
2018-11-26,756971
2018-11-27,755718
2018-11-28,755297
2018-11-29,755275
2018-12-01,754456
2018-12-02,754861
2018-12-03,752970
2018-12-04,749995
2018-12-05,753442
2018-12-07,755622
2018-12-09,759689
2018-12-10,755280
2018-12-11,755090
2018-12-12,754310
2018-12-13,754611
2018-12-14,755091
2018-12-15,757832
2018-12-16,754136
2018-12-17,753382
2018-12-18,751480
2018-12-19,750888
2018-12-20,752673
2018-12-21,754224
2018-12-22,755381
2018-12-23,755234
2018-12-24,753795
2018-12-25,754808
2018-12-26,754995
2018-12-27,755668
2018-12-28,757281
2018-12-29,756907
2018-12-30,760449
2018-12-31,760079
2019-01-01,761855
2019-01-02,760512
2019-01-03,757919
2019-01-04,756807
2019-01-05,757211
2019-01-06,760357
2019-01-08,757848
2019-01-10,758955
2019-01-11,759240
2019-01-12,758081
2019-01-13,756827
2019-01-14,757036
2019-01-15,756452
2019-01-16,754474
2019-01-17,753170
2019-01-18,754028
2019-01-19,754109
2019-01-20,751381
2019-01-21,752397
2019-01-22,753695
2019-01-23,754118
2019-01-24,753885
2019-01-25,753504
2019-01-26,753291
2019-01-27,751488
2019-01-28,751015
2019-01-29,751169
2019-01-30,752008
2019-01-31,752205
2019-02-01,751801
2019-02-02,751573
2019-02-03,751729
2019-02-04,751407
2019-02-05,751920
2019-02-06,751949
2019-02-07,752745
2019-02-08,754340
2019-02-09,759585
2019-02-10,753683
2019-02-11,754078
2019-02-12,753139
2019-02-13,753122
2019-02-14,753073
2019-02-15,753581
2019-02-16,754317
2019-02-17,754985
2019-02-18,755592
2019-02-19,754692
2019-02-20,754328
2019-02-21,757094
2019-02-22,756419
2019-02-23,754115
2019-02-24,752148
2019-02-25,753760
2019-02-26,755626
2019-02-27,755833
2019-02-28,754136
2019-03-01,753821
2019-03-02,752710
2019-03-03,752999
2019-03-04,753123
2019-03-05,752873
2019-03-06,753085
2019-03-07,753369
2019-03-08,753418
2019-03-09,754745
2019-03-10,760105
2019-03-11,757519
2019-03-12,756863
2019-03-13,755799
2019-03-14,754891
2019-03-15,754707
2019-03-16,754560
2019-03-17,754194
2019-03-18,754248
2019-03-19,754403
2019-03-20,754308
2019-03-21,754101
2019-03-22,753637
2019-03-23,753437
2019-03-24,753607
2019-03-25,753443
