date_obj,Steel%20platelegs price
2017-12-16,423
2017-12-17,420
2017-12-18,421
2017-12-19,423
2017-12-20,422
2017-12-21,415
2017-12-22,408
2017-12-23,403
2017-12-24,409
2017-12-25,417
2017-12-26,415
2017-12-27,405
2017-12-28,392
2017-12-29,388
2017-12-30,397
2017-12-31,401
2018-01-01,404
2018-01-02,409
2018-01-03,411
2018-01-04,407
2018-01-05,404
2018-01-06,405
2018-01-07,415
2018-01-08,419
2018-01-09,417
2018-01-10,423
2018-01-11,431
2018-01-12,422
2018-01-13,417
2018-01-14,411
2018-01-15,406
2018-01-16,403
2018-01-17,401
2018-01-18,394
2018-01-19,394
2018-01-20,395
2018-01-21,404
2018-01-22,403
2018-01-23,413
2018-01-24,418
2018-01-25,413
2018-01-26,416
2018-01-27,411
2018-01-28,407
2018-01-29,410
2018-01-30,408
2018-02-01,414
2018-02-02,423
2018-02-03,420
2018-02-04,415
2018-02-05,431
2018-02-06,432
2018-02-07,439
2018-02-08,439
2018-02-09,448
2018-02-10,443
2018-02-11,434
2018-02-12,435
2018-02-13,420
2018-02-14,406
2018-02-15,403
2018-02-16,406
2018-02-17,410
2018-02-18,408
2018-02-19,403
2018-02-20,404
2018-02-21,409
2018-02-22,411
2018-02-23,415
2018-02-24,423
2018-02-25,420
2018-02-26,422
2018-02-27,418
2018-02-28,429
2018-03-01,427
2018-03-02,414
2018-03-03,402
2018-03-04,413
2018-03-05,422
2018-03-06,424
2018-03-07,424
2018-03-08,436
2018-03-09,433
2018-03-10,425
2018-03-11,422
2018-03-12,415
2018-03-13,413
2018-03-14,410
2018-03-15,411
2018-03-16,415
2018-03-17,411
2018-03-18,412
2018-03-19,414
2018-03-20,414
2018-03-21,415
2018-03-23,414
2018-03-24,416
2018-03-26,421
2018-03-27,420
2018-03-28,421
2018-03-29,423
2018-03-30,416
2018-03-31,412
2018-04-01,413
2018-04-02,415
2018-04-03,418
2018-04-04,412
2018-04-05,401
2018-04-06,412
2018-04-08,418
2018-04-09,422
2018-04-10,421
2018-04-11,430
2018-04-12,433
2018-04-13,429
2018-04-14,424
2018-04-16,422
2018-04-17,421
2018-04-18,415
2018-04-19,419
2018-04-20,416
2018-04-21,424
2018-04-22,420
2018-04-23,417
2018-04-24,416
2018-04-25,407
2018-04-26,398
2018-04-27,403
2018-04-28,408
2018-04-29,409
2018-04-30,414
2018-05-01,411
2018-05-02,413
2018-05-03,412
2018-05-04,421
2018-05-05,418
2018-05-06,418
2018-05-07,420
2018-05-08,415
2018-05-09,408
2018-05-10,416
2018-05-11,416
2018-05-12,415
2018-05-13,416
2018-05-14,418
2018-05-15,417
2018-05-16,415
2018-05-17,411
2018-05-18,415
2018-05-19,414
2018-05-20,419
2018-05-21,417
2018-05-22,417
2018-05-23,423
2018-05-24,428
2018-05-25,422
2018-05-26,430
2018-05-27,419
2018-05-28,430
2018-05-29,421
2018-05-30,431
2018-05-31,423
2018-06-01,429
2018-06-02,422
2018-06-03,418
2018-06-04,413
2018-06-05,415
2018-06-06,423
2018-06-07,431
2018-06-08,430
2018-06-09,416
2018-06-10,419
2018-06-11,414
2018-06-12,417
2018-06-13,418
2018-06-14,421
2018-06-15,426
2018-06-16,422
2018-06-17,418
2018-06-18,416
2018-06-19,420
2018-06-20,406
2018-06-21,416
2018-06-22,419
2018-06-23,417
2018-06-24,420
2018-06-25,416
2018-06-26,414
2018-06-27,417
2018-06-28,414
2018-06-29,419
2018-06-30,422
2018-07-01,418
2018-07-02,424
2018-07-03,421
2018-07-04,411
2018-07-05,429
2018-07-06,437
2018-07-07,432
2018-07-08,423
2018-07-09,427
2018-07-10,423
2018-07-11,425
2018-07-12,421
2018-07-13,428
2018-07-14,427
2018-07-15,423
2018-07-16,426
2018-07-17,420
2018-07-18,417
2018-07-19,408
2018-07-20,403
2018-07-21,414
2018-07-22,420
2018-07-23,419
