date_obj,Dragon%20crossbow%20(u) price
2019-03-22,6737149
2019-03-23,6737149
2019-03-24,6737149
2019-03-25,6737149
2019-03-26,6737149
2019-03-27,6737149
2019-03-28,6737149
2019-03-29,6737149
2019-03-30,6737149
2019-03-31,6737149
2019-04-01,6737149
2019-04-02,6737149
2019-04-03,6737149
2019-04-04,6410563
2019-04-05,6410563
2019-04-06,6410563
2019-04-07,6410563
2019-04-08,6410563
2019-04-09,6410563
2019-04-10,6410563
2019-04-11,6410563
2019-04-12,6410563
2019-04-13,6410563
2019-04-14,6410563
2019-04-15,6410563
2019-04-16,6410563
2019-04-17,6410563
2019-04-18,6410563
2019-04-19,6410563
2019-04-20,6410563
2019-04-21,6410563
2019-04-22,6410563
2019-04-23,6410563
2019-04-24,6098544
2019-04-25,6098544
2019-04-26,6098544
2019-04-27,6098544
2019-04-28,6098544
2019-04-29,6098544
2019-04-30,6098544
2019-05-01,6098544
2019-05-02,6098544
2019-05-03,6098544
2019-05-04,6098544
2019-05-05,6098544
2019-05-06,6098544
2019-05-07,6098544
2019-05-08,6098544
2019-05-09,6098544
2019-05-10,6098544
2019-05-11,6098544
2019-05-12,5803770
2019-05-13,5803770
2019-05-14,5803770
2019-05-15,5803770
2019-05-16,5803770
2019-05-17,5803770
2019-05-18,5803770
2019-05-19,5803770
2019-05-20,5803770
2019-05-21,5803770
2019-05-22,5803770
2019-05-23,5803770
2019-05-24,5803770
2019-05-25,5803770
2019-05-26,5518358
2019-05-27,5518358
2019-05-28,5518358
2019-05-29,5518358
2019-05-30,5518358
2019-05-31,5518358
2019-06-01,5518358
2019-06-02,5518358
2019-06-03,5518358
2019-06-04,5518358
2019-06-05,5518358
2019-06-06,5518358
2019-06-07,5518358
2019-06-08,5518358
2019-06-09,5518358
2019-06-10,5248708
2019-06-11,5248708
2019-06-12,5248708
2019-06-13,5248708
2019-06-14,5248708
2019-06-15,5248708
2019-06-16,5248708
2019-06-17,5248708
2019-06-18,5248708
2019-06-19,5248708
2019-06-20,5248708
2019-06-21,5248708
2019-06-22,5248708
2019-06-23,4992599
2019-06-24,4992599
2019-06-25,4992599
2019-06-26,4992599
2019-06-27,4992599
2019-06-28,4992599
2019-06-29,4992599
2019-06-30,4992599
2019-07-01,4992599
2019-07-02,4992599
2019-07-03,4992599
2019-07-04,4992599
2019-07-05,4992599
2019-07-06,4992599
2019-07-07,4752204
2019-07-08,4752204
2019-07-09,4752204
2019-07-10,4752204
2019-07-11,4752204
2019-07-12,4752204
2019-07-13,4752204
2019-07-14,4752204
2019-07-15,4752204
2019-07-16,4752204
2019-07-17,4752204
2019-07-18,4752204
2019-07-19,4752204
2019-07-20,4520009
2019-07-21,4520009
2019-07-22,4520009
2019-07-23,4520009
2019-07-24,4520009
2019-07-25,4520009
2019-07-26,4520009
2019-07-27,4520009
2019-07-28,4520009
2019-07-29,4520009
2019-07-30,4520009
2019-07-31,4520009
2019-08-01,4520009
2019-08-02,4299408
2019-08-03,4299408
2019-08-04,4299408
2019-08-05,4299408
2019-08-06,4299408
2019-08-07,4299408
2019-08-08,4299408
2019-08-09,4299408
2019-08-10,4299408
2019-08-11,4299408
2019-08-12,4299408
2019-08-13,4299408
2019-08-14,4299408
2019-08-15,4299408
2019-08-16,4092985
2019-08-17,4092985
2019-08-18,4092985
2019-08-19,4092985
2019-08-20,4092985
2019-08-21,4092985
2019-08-22,4092985
2019-08-23,4092985
2019-08-24,4092985
2019-08-24,4092985
2019-08-25,4092985
2019-08-25,4092985
2019-08-26,4092985
2019-08-27,3901425
2019-08-27,3901425
2019-08-28,3901425
2019-08-29,3901425
2019-08-30,3901425
2019-08-31,3901425
2019-09-01,3901425
2019-09-02,3901425
2019-09-03,3901425
2019-09-04,3711022
2019-09-05,3711022
2019-09-06,3711022
2019-09-07,3711022
2019-09-08,3711022
2019-09-09,3711022
2019-09-10,3711022
2019-09-11,3711022
2019-09-12,3711022
2019-09-13,3711022
2019-09-14,3711022
2019-09-15,3534031
2019-09-16,3534031
2019-09-17,3534031
2019-09-18,3534031
2019-09-19,3534031
2019-09-20,3534031
2019-09-21,3534031
2019-09-22,3534031
2019-09-23,3369887
2019-09-24,3369887
2019-09-25,3369887
2019-09-26,3369887
2019-09-27,3369887
2019-09-28,3369887
2019-09-29,3369887
2019-09-30,3369887
2019-10-01,3369887
2019-10-02,3369887
2019-10-03,3369887
2019-10-04,3369887
2019-10-05,3209306
2019-10-06,3209306
2019-10-07,3209306
2019-10-08,3209306
2019-10-09,3209306
2019-10-10,3209306
2019-10-11,3209306
2019-10-12,3209306
2019-10-13,3209306
2019-10-14,3059408
2019-10-15,3059408
2019-10-16,3059408
2019-10-17,3059408
2019-10-18,3059408
2019-10-19,3059408
2019-10-20,3059408
2019-10-21,3059408
2019-10-22,3059408
2019-10-23,2956862
2019-10-24,2956862
2019-10-25,2956862
2019-10-26,2956862
2019-10-27,2956862
2019-10-28,2956862
2019-10-29,2956862
2019-10-30,2956862
2019-10-31,2956862
2019-11-01,2956862
2019-11-02,2868176
2019-11-03,2868176
2019-11-04,2868176
2019-11-05,2868176
2019-11-06,2868176
2019-11-07,2868176
2019-11-08,2868176
2019-11-09,2868176
2019-11-10,2868176
2019-11-11,2868176
2019-11-12,2868176
2019-11-13,2868176
2019-11-14,2816021
2019-11-15,2816021
2019-11-16,2816021
2019-11-17,2816021
2019-11-18,2816021
2019-11-19,2816021
2019-11-20,2816021
2019-11-21,2816021
2019-11-22,2816021
2019-11-23,2865629
2019-11-24,2865629
2019-11-25,2865629
2019-11-26,2865629
2019-11-27,2865629
2019-11-28,2865629
2019-11-29,2865629
2019-11-30,2865629
2019-12-01,2865629
2019-12-02,2865629
2019-12-03,2865629
2019-12-04,2865629
2019-12-05,2865629
2019-12-06,2866367
2019-12-07,2866367
2019-12-08,2866367
2019-12-09,2866367
2019-12-10,2866367
2019-12-11,2866367
2019-12-12,2866367
2019-12-13,2866367
2019-12-14,2866367
2019-12-15,2866367
2019-12-16,2866367
2019-12-17,2866367
2019-12-18,2866367
2019-12-19,2866367
2019-12-20,2859460
2019-12-21,2859460
2019-12-22,2859460
2019-12-23,2859460
2019-12-24,2859460
2019-12-25,2859460
2019-12-26,2859460
2019-12-27,2859460
2019-12-28,2905274
2019-12-29,2905274
2019-12-30,2905274
2019-12-31,2905274
2020-01-01,2905274
2020-01-02,2989944
2020-01-03,2989944
2020-01-04,2989944
2020-01-05,2989944
2020-01-06,2989944
2020-01-07,2989944
2020-01-08,2989944
2020-01-09,2989944
2020-01-10,2989944
2020-01-11,2989944
2020-01-12,2989944
2020-01-13,2959878
2020-01-14,2959878
2020-01-15,2959878
2020-01-16,2959878
2020-01-17,2959878
2020-01-18,2959878
2020-01-19,2959878
2020-01-20,2959878
2020-01-21,2959878
2020-01-22,2959878
2020-01-23,2959878
2020-01-24,2902400
2020-01-25,2902400
2020-01-26,2902400
2020-01-27,2902400
2020-01-28,2902400
2020-01-29,2902400
2020-01-30,2902400
2020-01-31,2902400
2020-02-01,2902400
2020-02-02,2902400
2020-02-03,2844016
2020-02-04,2844016
2020-02-05,2844016
2020-02-06,2844016
2020-02-07,2844016
2020-02-08,2844016
2020-02-09,2844016
2020-02-10,2844016
2020-02-11,2844016
2020-02-12,2749260
2020-02-13,2749260
2020-02-14,2749260
2020-02-15,2749260
2020-02-16,2749260
2020-02-17,2749260
2020-02-18,2749260
2020-02-19,2749260
2020-02-20,2645951
2020-02-21,2645951
2020-02-22,2645951
2020-02-23,2645951
2020-02-24,2645951
2020-02-25,2645951
2020-02-26,2680562
2020-02-27,2680562
2020-02-28,2680562
2020-02-29,2680562
2020-03-01,2680562
2020-03-02,2680562
2020-03-03,2756449
2020-03-04,2756449
2020-03-05,2756449
2020-03-06,2756449
2020-03-07,2756449
2020-03-08,2756449
2020-03-09,2756449
2020-03-10,2756449
2020-03-11,2756449
2020-03-12,2756449
2020-03-13,2756449
2020-03-14,2678277
2020-03-15,2678277
2020-03-16,2678277
2020-03-17,2678277
2020-03-18,2678277
2020-03-19,2678277
2020-03-20,2678277
2020-03-21,2678277
2020-03-22,2659143
2020-03-23,2659143
2020-03-24,2659143
2020-03-25,2731638
2020-03-26,2731638
2020-03-27,2731638
2020-03-28,2831186
2020-03-29,2831186
2020-03-30,2954435
2020-03-31,2954435
2020-04-01,2954435
2020-04-02,3017681
2020-04-03,3017681
2020-04-04,3017681
2020-04-05,3017681
2020-04-06,3114378
2020-04-07,3114378
2020-04-08,3114378
2020-04-09,3114378
2020-04-10,3196407
2020-04-11,3196407
2020-04-12,3196407
2020-04-13,3271429
2020-04-14,3271429
2020-04-15,3271429
2020-04-16,3358166
2020-04-17,3358166
2020-04-18,3358166
2020-04-19,3469931
2020-04-20,3469931
2020-04-21,3469931
2020-04-22,3584584
2020-04-23,3584584
2020-04-24,3584584
2020-04-25,3690055
2020-04-26,3690055
2020-04-27,3690055
2020-04-28,3690055
2020-04-29,3690055
2020-04-30,3622192
2020-05-01,3622192
2020-05-02,3622192
2020-05-03,3622192
2020-05-04,3622192
2020-05-05,3622192
2020-05-06,3450239
2020-05-07,3450239
2020-05-08,3450239
2020-05-09,3450239
2020-05-10,3450239
2020-05-11,3450239
2020-05-12,3450239
2020-05-13,3291949
