date_obj,Ultracompost price
2020-02-19,797
2020-02-20,782
2020-02-21,766
2020-02-22,776
2020-02-23,812
2020-02-24,849
2020-02-25,828
2020-02-26,842
2020-02-27,827
2020-02-28,813
2020-02-29,799
2020-03-01,819
2020-03-02,801
2020-03-03,824
2020-03-04,814
2020-03-05,801
2020-03-06,787
2020-03-07,776
2020-03-08,782
2020-03-09,795
2020-03-10,788
2020-03-11,772
2020-03-12,808
2020-03-13,847
2020-03-14,881
2020-03-15,877
2020-03-16,877
2020-03-17,904
2020-03-18,903
2020-03-19,903
2020-03-20,899
2020-03-21,882
2020-03-22,855
2020-03-23,881
2020-03-24,920
2020-03-25,954
2020-03-26,992
2020-03-27,976
2020-03-28,931
2020-03-29,899
2020-03-30,926
2020-03-31,938
2020-04-01,951
2020-04-02,933
2020-04-03,917
2020-04-04,874
2020-04-05,868
2020-04-06,894
2020-04-07,893
2020-04-08,894
2020-04-09,878
2020-04-10,845
2020-04-11,822
2020-04-12,849
2020-04-13,870
2020-04-14,882
2020-04-15,878
2020-04-16,855
2020-04-17,829
2020-04-18,812
2020-04-19,820
2020-04-20,833
2020-04-21,864
2020-04-22,880
2020-04-23,856
2020-04-24,830
2020-04-25,835
2020-04-26,832
2020-04-27,866
2020-04-28,893
2020-04-29,891
2020-04-30,897
2020-05-01,868
2020-05-02,829
2020-05-03,814
2020-05-04,848
2020-05-05,861
2020-05-06,871
2020-05-07,846
2020-05-08,825
2020-05-09,793
2020-05-10,794
2020-05-11,830
2020-05-12,826
2020-05-13,838
