date_obj,Pirate's%20hook price
2017-01-18,6622655
2017-01-19,6622655
2017-01-20,6622655
2017-01-21,6622655
2017-01-22,6622655
2017-01-27,6622655
2017-01-28,6622655
2017-01-29,6622655
2017-01-30,6622655
2017-01-31,6622655
2017-02-01,6622655
2017-02-02,6622655
2017-02-03,6733929
2017-02-04,6733929
2017-02-05,6733929
2017-02-06,6733929
2017-02-07,6733929
2017-02-08,6733929
2017-02-09,6733929
2017-02-10,6733929
2017-02-11,6733929
2017-02-12,6733929
2017-02-13,6733929
2017-02-14,6733929
2017-02-15,6733929
2017-02-16,6733929
2017-02-18,6733929
2017-02-19,6733929
2017-02-20,6733929
2017-02-21,6733929
2017-02-22,6733929
2017-02-23,6733929
2017-02-24,6733929
2017-02-25,6733929
2017-02-26,6733929
2017-02-27,6733929
2017-02-28,6733929
2017-03-01,6733929
2017-03-02,6733929
2017-03-03,6733929
2017-03-04,6733929
2017-03-05,6733929
2017-03-06,6733929
2017-03-07,6733929
2017-03-08,6733929
2017-03-09,6733929
2017-03-10,6733929
2017-03-11,6733929
2017-03-12,6733929
2017-03-13,6733929
2017-03-14,6733929
2017-03-15,6733929
2017-03-16,6733929
2017-03-17,6733929
2017-03-18,6733929
2017-03-19,6733929
2017-03-20,6733929
2017-03-21,6733929
2017-03-22,6733929
2017-03-23,6733929
2017-03-24,6733929
2017-03-25,6733929
2017-03-26,6733929
2017-03-27,6733929
2017-03-28,6733929
2017-03-29,6733929
2017-03-30,6733929
2017-03-31,6733929
2017-04-01,6733929
2017-04-02,6733929
2017-04-03,6733929
2017-04-04,6733929
2017-04-12,6733929
2017-04-13,6733929
2017-04-14,6733929
2017-04-15,6733929
2017-04-16,6733929
2017-04-17,6733929
2017-04-18,6733929
2017-04-19,6733929
2017-04-20,6733929
2017-04-21,6733929
2017-04-22,6733929
2017-04-23,6733929
2017-04-24,6733929
2017-04-25,6733929
2017-04-26,6733929
2017-04-27,6733929
2017-04-28,6733929
2017-04-29,6733929
2017-04-30,6733929
2017-05-01,6733929
2017-05-02,6733929
2017-05-03,6733929
2017-05-04,6733929
2017-05-05,6733929
2017-05-06,6733929
