date_obj,Graahk%20top price
2017-04-12,6050
2017-04-13,6050
2017-04-14,6050
2017-04-15,6050
2017-04-16,6050
2017-04-17,6050
2017-04-18,6050
2017-04-19,6050
2017-04-20,6050
2017-04-21,6050
2017-04-22,6050
2017-04-23,5758
2017-04-24,5758
2017-04-25,5758
2017-04-26,5758
2017-04-27,5758
2017-04-28,5758
2017-04-29,5758
2017-04-30,5758
2017-05-01,5758
2017-05-02,5758
2017-05-03,5758
2017-05-04,5758
2017-05-05,5758
2017-05-06,5552
2017-05-07,5552
2017-05-08,5552
2017-05-09,5552
2017-05-10,5552
2017-05-11,5552
2017-05-12,5552
2017-05-13,5552
2017-05-14,5552
2017-05-15,5552
2017-05-16,5552
2017-05-17,5552
2017-05-18,5552
2017-05-19,5552
2017-05-20,5280
2017-05-21,5280
2017-05-22,5280
2017-05-23,5280
2017-05-24,5280
2017-05-25,5280
2017-05-26,5280
2017-05-27,5280
2017-05-28,5280
2017-05-29,5280
2017-05-30,5280
2017-05-31,5280
2017-06-01,5280
2017-06-02,5280
2017-06-03,5023
2017-06-04,5023
2017-06-05,5023
2017-06-06,5023
2017-06-07,5023
2017-06-08,5023
2017-06-09,5023
2017-06-10,5023
2017-06-11,5023
2017-06-12,5023
2017-06-13,5023
2017-06-14,4819
2017-06-15,4819
2017-06-16,4819
2017-06-17,4819
2017-06-18,4819
2017-06-19,4819
2017-06-20,4819
2017-06-21,4819
2017-06-22,4819
2017-06-23,4819
2017-06-24,4819
2017-06-25,4819
2017-06-26,4586
2017-06-27,4586
2017-06-28,4586
2017-06-29,4586
2017-06-30,4586
2017-07-01,4586
2017-07-02,4586
2017-07-03,4586
2017-07-04,4586
2017-07-05,4586
2017-07-06,4586
2017-07-07,4586
2017-07-08,4586
2017-07-13,4360
2017-07-14,4360
2017-07-15,4360
2017-07-16,4360
2017-07-17,4360
2017-07-18,4360
2017-07-19,4360
2017-07-20,4360
2017-07-21,4360
2017-07-22,4158
2017-07-23,4158
2017-07-24,4158
2017-07-25,4158
2017-07-26,4158
2017-07-27,4158
2017-07-28,4158
2017-07-29,4158
2017-07-30,4158
2017-07-31,4158
2017-08-01,4158
2017-08-02,4158
2017-08-03,3978
2017-08-04,3978
2017-08-05,3978
2017-08-06,3978
2017-08-09,3978
2017-08-10,3978
2017-08-11,3978
2017-08-12,3978
2017-08-13,3978
2017-08-14,3978
2017-08-15,3978
2017-08-16,3786
2017-08-17,3786
2017-08-18,3786
2017-08-19,3786
2017-08-20,3786
2017-08-21,3786
2017-08-22,3786
2017-08-23,3786
2017-08-24,3786
2017-08-25,3786
2017-08-26,3786
2017-08-27,3786
2017-08-28,3610
2017-08-29,3610
2017-08-30,3610
2017-08-31,3610
2017-09-01,3610
2017-09-02,3610
2017-09-03,3610
2017-09-04,3610
2017-09-05,3610
2017-09-06,3610
2017-09-07,3610
2017-09-08,3610
2017-09-09,3610
2017-09-10,3610
2017-09-11,3476
2017-09-12,3476
2017-09-13,3476
2017-09-14,3476
2017-09-15,3476
2017-09-16,3476
2017-09-17,3476
2017-09-18,3476
2017-09-19,3476
2017-09-20,3476
2017-09-21,3476
2017-09-22,3476
2017-09-23,3476
2017-09-24,3476
2017-09-25,3476
2017-09-26,3476
2017-09-27,3373
2017-09-28,3373
2017-09-29,3373
2017-09-30,3373
2017-10-01,3373
2017-10-02,3373
2017-10-03,3373
2017-10-04,3373
2017-10-05,3373
2017-10-06,3373
2017-10-07,3373
2017-10-08,3373
2017-10-09,3373
2017-10-10,3373
2017-10-11,3222
2017-10-12,3222
2017-10-13,3222
2017-10-14,3222
2017-10-15,3222
2017-10-16,3222
2017-10-17,3222
2017-10-18,3222
2017-10-19,3222
2017-10-20,3222
2017-10-21,3222
2017-10-22,3222
2017-10-23,3222
2017-10-24,3064
2017-10-25,3064
2017-10-26,3064
2017-10-27,3064
2017-10-28,3064
2017-10-29,3064
2017-10-30,3064
2017-10-31,3064
2017-11-01,3064
2017-11-02,3064
2017-11-03,3064
2017-11-04,3064
2017-11-05,3064
2017-11-06,2941
