date_obj,Skull%20piece price
2017-07-30,39032
2017-07-31,39032
2017-08-01,39032
2017-08-02,39032
2017-08-03,39032
2017-08-04,39032
2017-08-05,39032
2017-08-06,39032
2017-08-09,39032
2017-08-10,39032
2017-08-11,39032
2017-08-12,39032
2017-08-13,39032
2017-08-14,39032
2017-08-15,39032
2017-08-17,39032
2017-08-18,39032
2017-08-19,39032
2017-08-20,39032
2017-08-21,39032
2017-08-22,39032
2017-08-23,39032
2017-08-24,39032
2017-08-25,39032
2017-08-26,39032
2017-08-27,39032
2017-08-28,39032
2017-08-29,39032
2017-08-30,39032
2017-08-31,39032
2017-09-01,39032
2017-09-02,39032
2017-09-03,39032
2017-09-04,39032
2017-09-05,39032
2017-09-06,39032
2017-09-07,39032
2017-09-08,39032
2017-09-09,39032
2017-09-10,39032
2017-09-11,39032
2017-09-12,39032
2017-09-13,39032
2017-09-14,39032
2017-09-15,39032
2017-09-16,39032
2017-09-17,39032
2017-09-19,39032
2017-09-20,39032
2017-09-21,39032
2017-09-22,39032
2017-09-23,39032
2017-09-24,39032
2017-09-25,39032
2017-09-26,39032
2017-09-27,39032
2017-09-28,39032
2017-09-29,39032
2017-09-30,39032
2017-10-01,39032
2017-10-02,39032
2017-10-03,39032
2017-10-04,39032
2017-10-05,39032
2017-10-06,39032
2017-10-07,39032
2017-10-08,39032
2017-10-09,39032
2017-10-10,39032
2017-10-11,39032
2017-10-12,39032
2017-10-13,39032
2017-10-14,39032
2017-10-15,39032
2017-10-16,39032
2017-10-17,39032
2017-10-18,39032
2017-10-19,39032
2017-10-20,39032
2017-10-21,39032
2017-10-22,39032
2017-10-23,39032
2017-10-24,39032
2017-10-25,39032
2017-10-26,39032
2017-10-27,39032
2017-10-28,39032
2017-10-29,39032
2017-10-30,39032
2017-10-31,39032
2017-11-01,39032
2017-11-02,39032
2017-11-03,39032
2017-11-04,39032
2017-11-05,39032
2017-11-06,39032
2017-11-07,39032
2017-11-08,39032
2017-11-09,39032
2017-11-10,39032
2017-11-11,38794
2017-11-12,38794
2017-11-13,38794
2017-11-14,38794
2017-11-15,38794
2017-11-16,38794
2017-11-17,38794
2017-11-18,38794
2017-11-19,38794
2017-11-20,38794
2017-11-21,38794
2017-11-22,38794
2017-11-23,38794
2017-11-24,38794
2017-11-25,38794
2017-11-26,38794
2017-11-27,38794
2017-11-28,38794
2017-11-29,38794
2017-11-30,38794
2017-12-01,38794
2017-12-02,38794
2017-12-03,38794
2017-12-04,38794
2017-12-05,38794
2017-12-06,38794
2017-12-07,38794
2017-12-08,38794
2017-12-09,38794
2017-12-10,38794
2017-12-11,38794
2017-12-12,38794
2017-12-13,38794
2017-12-14,38794
2017-12-15,38794
2017-12-16,38794
2017-12-17,38794
2017-12-18,38794
2017-12-19,38794
2017-12-20,38794
2017-12-21,38794
2017-12-22,38794
2017-12-23,38794
2017-12-24,38794
2017-12-25,38794
2017-12-26,38794
2017-12-27,38794
2017-12-28,38794
2017-12-29,38794
2017-12-30,38794
2017-12-31,38794
2018-01-01,38794
2018-01-02,38794
2018-01-03,38794
2018-01-04,38794
2018-01-05,38794
2018-01-06,38794
2018-01-07,38794
2018-01-08,38794
2018-01-09,38794
2018-01-10,38794
2018-01-11,38794
2018-01-12,38794
2018-01-13,38794
2018-01-14,38794
2018-01-15,38794
2018-01-16,38794
2018-01-17,38794
2018-01-18,38794
2018-01-19,38794
2018-01-20,38794
2018-01-21,38794
2018-01-22,38794
2018-01-23,38794
2018-01-24,38794
2018-01-25,38794
2018-01-26,38794
2018-01-27,38794
2018-01-28,38794
2018-01-29,38225
2018-01-30,38225
2018-01-31,38225
2018-02-01,38225
2018-02-02,38225
2018-02-03,38225
2018-02-04,38225
2018-02-05,38225
2018-02-06,38225
2018-02-07,38225
2018-02-08,38225
2018-02-09,38225
2018-02-10,38225
2018-02-11,38225
2018-02-12,38225
2018-02-13,38225
