date_obj,Piscatoris%20teleport price
2017-09-13,5894
2017-09-14,5808
2017-09-15,5808
2017-09-16,5989
2017-09-17,5960
2017-09-19,6525
2017-09-20,6833
2017-09-21,6902
2017-09-22,6954
2017-09-23,6954
2017-09-24,6890
2017-09-25,6851
2017-09-26,7052
2017-09-27,7052
2017-09-28,7009
2017-09-29,6908
2017-09-30,6884
2017-10-01,6981
2017-10-02,7176
2017-10-03,7176
2017-10-04,7504
2017-10-05,7880
2017-10-06,8274
2017-10-07,8414
2017-10-08,8149
2017-10-09,7770
2017-10-10,7659
2017-10-11,7659
2017-10-12,7763
2017-10-13,7776
2017-10-14,7888
2017-10-15,7888
2017-10-16,8265
2017-10-17,8265
2017-10-18,8285
2017-10-19,7966
2017-10-20,7927
2017-10-21,8104
2017-10-22,8318
2017-10-23,8390
2017-10-24,8421
2017-10-25,8414
2017-10-26,8282
2017-10-27,8225
2017-10-28,8225
2017-10-29,8103
2017-10-30,8105
2017-10-31,7854
2017-11-01,7854
2017-11-02,7610
2017-11-03,7531
2017-11-04,7208
2017-11-05,6938
2017-11-06,6979
2017-11-07,6956
2017-11-08,6987
2017-11-09,7337
2017-11-10,7704
2017-11-11,8090
2017-11-12,8383
2017-11-13,8413
2017-11-14,8610
2017-11-15,8801
2017-11-16,9129
2017-11-17,8912
2017-11-18,8650
2017-11-19,8456
2017-11-20,8579
2017-11-21,8520
2017-11-22,8421
2017-11-23,8525
2017-11-24,8845
2017-11-25,9056
2017-11-26,9038
2017-11-27,9038
2017-11-28,8684
2017-11-29,8700
2017-11-30,8303
2017-12-01,8007
2017-12-02,7911
2017-12-03,7677
2017-12-04,7301
2017-12-05,6935
2017-12-06,6676
2017-12-07,6384
2017-12-08,6384
2017-12-09,6207
2017-12-10,5975
2017-12-11,6162
2017-12-12,6317
2017-12-14,5886
2017-12-15,5717
2017-12-16,5525
2017-12-17,5499
2017-12-18,5524
2017-12-19,5579
2017-12-20,5813
2017-12-21,6007
2017-12-22,6237
2017-12-23,6286
2017-12-24,6298
2017-12-25,6478
2017-12-26,6378
2017-12-27,6530
2017-12-28,6830
2017-12-29,7165
2017-12-30,7386
2017-12-31,7557
2018-01-01,7275
2018-01-02,6911
2018-01-03,6615
2018-01-04,6300
2018-01-05,6059
2018-01-06,5788
2018-01-07,5557
2018-01-08,5375
2018-01-09,5118
2018-01-10,4960
2018-01-11,4797
2018-01-12,4599
2018-01-13,4433
2018-01-14,4445
2018-01-15,4665
2018-01-16,4899
2018-01-17,5144
2018-01-18,5402
2018-01-19,5402
2018-01-20,5673
2018-01-21,5940
2018-01-22,6109
2018-01-23,5842
2018-01-24,5554
2018-01-25,5276
2018-01-26,5012
2018-01-27,4793
2018-01-28,4693
2018-01-29,4539
2018-01-31,4752
2018-02-01,4990
2018-02-02,5240
2018-02-03,5502
2018-02-04,5738
2018-02-05,5887
2018-02-06,6039
2018-02-07,5969
2018-02-08,5945
2018-02-09,5728
2018-02-10,5445
2018-02-11,5244
2018-02-12,5141
2018-02-13,5399
2018-02-14,5669
2018-02-15,5660
2018-02-16,5644
2018-02-17,5654
2018-02-18,5737
2018-02-19,5807
2018-02-20,5836
2018-02-21,5659
2018-02-22,5905
2018-02-23,6173
2018-02-24,6482
2018-02-25,6807
2018-02-26,7142
2018-02-27,7500
2018-03-01,8156
2018-03-02,8201
2018-03-03,7967
2018-03-05,8198
2018-03-06,8599
2018-03-07,8796
2018-03-08,8472
2018-03-09,8062
2018-03-10,7658
2018-03-11,7302
2018-03-12,7193
2018-03-13,7306
2018-03-14,7534
2018-03-15,7758
2018-03-16,7671
2018-03-17,8052
2018-03-18,8311
2018-03-19,8582
2018-03-20,8593
2018-03-21,8661
2018-03-23,8714
2018-03-24,8760
2018-03-26,9325
2018-03-27,9788
2018-03-28,9597
2018-03-29,9117
2018-03-30,8853
2018-03-31,8934
2018-04-01,8793
2018-04-02,8667
2018-04-03,8630
2018-04-04,8637
2018-04-05,8546
2018-04-06,8483
2018-04-08,8530
2018-04-09,8476
2018-04-10,8146
2018-04-11,7883
2018-04-12,8014
2018-04-13,7831
2018-04-14,7788
2018-04-15,7709
2018-04-16,7700
2018-04-17,7615
2018-04-18,7466
2018-04-19,7370
2018-04-20,7457
2018-04-21,7506
2018-04-22,7585
2018-04-23,7534
2018-04-24,7474
2018-04-25,7487
2018-04-26,7574
2018-04-27,7429
2018-04-28,7374
2018-04-29,7665
2018-04-30,7848
2018-05-01,7825
2018-05-02,7801
2018-05-03,7784
2018-05-04,7916
2018-05-05,7975
2018-05-06,7983
2018-05-07,8256
2018-05-08,8297
2018-05-09,8279
2018-05-10,8261
2018-05-11,8089
2018-05-12,8371
2018-05-13,8475
2018-05-14,8446
2018-05-15,8109
2018-05-16,8157
2018-05-17,8175
2018-05-18,7996
2018-05-19,7728
2018-05-20,7486
2018-05-21,7297
2018-05-22,7179
2018-05-23,7208
2018-05-24,7169
2018-05-25,7376
2018-05-26,7460
2018-05-27,7723
2018-05-28,7795
2018-05-29,7985
2018-05-30,8152
2018-05-31,8200
2018-06-01,8118
2018-06-02,7812
2018-06-03,7784
2018-06-04,7693
2018-06-05,7508
2018-06-06,7605
2018-06-07,7590
2018-06-08,7577
2018-06-09,7693
2018-06-10,7696
2018-06-11,7727
2018-06-12,7821
2018-06-13,7578
2018-06-14,7495
2018-06-15,7472
2018-06-16,7494
2018-06-17,7325
2018-06-18,7369
2018-06-19,7380
2018-06-20,7524
2018-06-21,7583
2018-06-22,7515
2018-06-23,7348
2018-06-24,7180
2018-06-25,7143
2018-06-26,7129
2018-06-27,7486
2018-06-28,7676
2018-06-29,7517
2018-06-30,7443
2018-07-01,7444
2018-07-02,7425
2018-07-03,7297
2018-07-04,7349
2018-07-05,7340
2018-07-06,7385
2018-07-07,7742
2018-07-08,8130
2018-07-09,8411
2018-07-10,8541
2018-07-11,8496
2018-07-12,8434
2018-07-13,8256
2018-07-14,8115
2018-07-15,8054
2018-07-16,8053
2018-07-17,7927
2018-07-18,7866
2018-07-19,7808
2018-07-20,7853
2018-07-21,7856
2018-07-22,7791
2018-07-23,7872
2018-07-24,7883
2018-07-25,7850
2018-07-26,7581
2018-07-27,7419
2018-07-28,7594
2018-07-29,7481
2018-07-30,7495
2018-07-31,7443
2018-08-01,7471
