date_obj,Torag's%20armour%20set price
2017-05-23,790835
2017-05-24,790835
2017-05-25,790835
2017-05-26,790835
2017-05-27,773596
2017-05-28,773596
2017-05-29,773596
2017-05-30,773596
2017-05-31,772398
2017-06-01,772398
2017-06-02,772398
2017-06-03,772398
2017-06-06,755617
2017-06-07,731899
2017-06-08,731899
2017-06-09,731899
2017-06-10,731899
2017-06-11,707084
2017-06-12,707084
2017-06-13,707084
2017-06-14,707084
2017-06-15,674397
2017-06-16,674397
2017-06-17,674397
2017-06-18,657999
2017-06-19,657999
2017-06-20,657999
2017-06-21,657999
2017-06-22,667391
2017-06-23,667391
2017-06-24,667391
2017-06-25,667391
2017-06-26,682659
2017-06-27,682659
2017-06-28,682659
2017-06-29,689294
2017-06-30,689294
2017-07-01,689294
2017-07-02,689294
2017-07-03,676125
2017-07-04,676125
2017-07-05,676125
2017-07-06,685896
2017-07-07,685896
2017-07-08,685896
2017-07-13,746727
2017-07-14,746727
2017-07-15,746727
2017-07-16,774662
2017-07-17,774662
2017-07-18,774662
2017-07-19,787157
2017-07-20,787157
2017-07-21,787157
2017-07-22,775097
2017-07-23,775097
2017-07-24,775097
2017-07-25,775097
2017-07-26,756469
2017-07-27,756469
2017-07-28,756469
2017-07-29,756469
2017-07-30,777715
2017-07-31,777715
2017-08-01,777715
2017-08-02,777715
2017-08-03,786104
2017-08-04,786104
2017-08-05,786104
2017-08-06,773185
2017-08-09,773185
2017-08-10,761620
2017-08-11,761620
2017-08-12,761620
2017-08-13,761620
2017-08-14,730184
2017-08-15,730184
2017-08-16,730184
2017-08-17,715256
2017-08-18,715256
2017-08-19,715256
2017-08-20,715256
2017-08-21,700800
2017-08-22,700800
2017-08-23,700800
2017-08-24,700800
2017-08-25,690250
2017-08-26,690250
2017-08-27,690250
2017-08-28,694978
2017-08-29,694978
2017-08-30,694978
2017-08-31,694978
2017-09-01,702839
2017-09-02,702839
2017-09-03,702839
2017-09-04,708442
2017-09-05,708442
2017-09-06,708442
2017-09-07,703222
2017-09-08,703222
2017-09-09,703222
2017-09-10,728239
2017-09-11,728239
2017-09-12,728239
2017-09-13,728239
2017-09-14,736437
2017-09-15,736437
2017-09-16,736437
2017-09-17,736437
2017-09-19,737617
2017-09-20,737617
2017-09-21,737617
2017-09-22,734634
2017-09-23,734634
2017-09-24,734634
2017-09-25,734634
2017-09-26,724112
2017-09-27,724112
2017-09-28,724112
2017-09-29,724112
2017-09-30,713182
2017-10-01,713182
2017-10-02,713182
2017-10-03,713182
2017-10-04,699666
2017-10-05,699666
2017-10-06,699666
2017-10-07,728874
2017-10-08,728874
2017-10-09,728874
2017-10-10,728874
2017-10-11,747015
2017-10-12,747015
2017-10-13,747015
2017-10-14,762401
2017-10-15,762401
2017-10-16,762401
2017-10-17,762401
