date_obj,Black%20d'hide%20body%20(t) price
2018-07-26,13733
2018-07-27,13644
2018-07-28,13644
2018-07-29,13660
2018-07-30,13660
2018-07-31,13668
2018-08-01,13668
2018-08-02,13820
2018-08-03,13820
2018-08-04,13872
2018-08-05,13872
2018-08-06,13772
2018-08-07,13772
2018-08-08,13732
2018-08-09,13732
2018-08-10,13404
2018-08-11,13404
2018-08-12,13852
2018-08-14,14148
2018-08-16,14620
2018-08-17,14381
2018-08-18,14381
2018-08-19,14387
2018-08-20,14333
2018-08-21,14333
2018-08-22,14232
2018-08-23,14232
2018-08-24,13882
2018-08-25,13381
2018-08-26,13381
2018-08-27,12966
2018-08-28,12633
2018-08-29,12590
2018-08-30,12590
2018-08-31,12352
2018-09-01,12138
2018-09-02,12138
2018-09-03,12172
2018-09-04,12352
2018-09-05,12471
2018-09-06,12471
2018-09-07,12171
2018-09-08,11971
2018-09-09,11971
2018-09-10,11810
2018-09-11,11810
2018-09-12,11841
2018-09-13,11841
2018-09-14,11705
2018-09-15,11864
2018-09-16,11864
2018-09-17,12057
2018-09-18,12100
2018-09-19,12100
2018-09-20,12089
2018-09-21,12089
2018-09-22,11944
2018-09-23,12175
2018-09-24,12334
2018-09-25,12334
2018-09-26,12254
2018-09-27,12254
2018-09-28,12259
2018-09-29,12259
2018-09-30,12514
2018-10-01,12789
2018-10-02,12789
2018-10-03,12641
2018-10-04,12641
2018-10-05,12795
2018-10-06,12644
2018-10-07,12644
2018-10-08,12666
2018-10-09,12666
2018-10-10,12549
2018-10-11,12571
2018-10-12,12571
2018-10-13,12647
2018-10-14,12647
2018-10-15,13089
2018-10-16,13089
2018-10-17,13353
2018-10-18,13353
2018-10-19,13196
2018-10-20,13196
2018-10-21,13000
2018-10-22,13041
2018-10-23,13041
2018-10-24,13018
2018-10-25,13018
2018-10-26,12799
2018-10-27,12894
2018-10-28,12575
2018-10-29,12575
2018-10-30,12861
2018-10-31,13162
2018-11-01,13355
2018-11-03,13129
2018-11-04,13409
2018-11-05,13574
2018-11-06,13547
2018-11-07,13849
2018-11-08,14061
2018-11-09,14061
2018-11-10,14030
2018-11-11,14030
2018-11-12,14105
2018-11-13,14363
2018-11-15,14251
2018-11-16,14557
2018-11-17,14557
2018-11-18,14304
2018-11-19,14304
2018-11-20,14686
2018-11-21,14686
2018-11-22,15317
2018-11-23,15317
2018-11-24,15338
2018-11-25,15110
2018-11-26,15110
2018-11-27,14772
2018-11-28,14680
2018-11-29,14444
2018-12-01,14060
2018-12-02,14210
2018-12-03,14210
2018-12-04,14658
2018-12-05,15391
2018-12-07,16106
2018-12-09,17284
2018-12-10,17812
2018-12-11,17812
2018-12-12,18109
2018-12-13,17856
2018-12-14,18400
2018-12-15,19207
2018-12-16,19012
2018-12-17,19012
2018-12-18,19036
2018-12-19,19303
2018-12-20,19735
2018-12-21,19822
2018-12-22,19753
