date_obj,Rune%20longsword price
2016-10-20,20215
2016-10-21,20354
2016-10-22,20424
2016-10-23,20536
2016-10-24,20690
2016-10-25,20675
2016-10-26,20718
2016-10-27,20790
2016-10-28,20839
2016-10-29,20819
2016-10-30,20741
2016-10-31,20749
2016-11-01,20720
2016-11-02,20782
2016-11-03,20785
2016-11-04,20726
2016-11-05,20747
2016-11-06,20580
2016-11-07,20388
2016-11-08,20427
2016-11-09,20406
2016-11-10,20402
2016-11-11,20425
2016-11-12,20245
2016-11-13,20239
2016-11-14,20279
2016-12-08,20566
2016-12-09,20669
2016-12-10,20629
2016-12-11,20387
2016-12-12,20293
2016-12-13,20103
2016-12-14,20363
2016-12-15,20296
2016-12-16,20512
2016-12-17,20500
2016-12-18,20215
2016-12-19,19909
2016-12-20,20188
2016-12-21,20376
2016-12-22,20460
2016-12-23,20460
2016-12-24,20424
2016-12-25,20412
2016-12-26,20489
2016-12-27,20495
2016-12-28,20511
2016-12-29,20568
2016-12-30,20550
2016-12-31,20646
2017-01-01,20344
2017-01-02,20279
2017-01-03,20243
2017-01-04,20216
2017-01-05,19954
2017-01-06,20219
2017-01-07,20020
2017-01-08,20299
2017-01-09,20299
2017-01-10,20362
2017-01-11,20185
2017-01-12,20312
2017-01-13,20407
2017-01-14,20457
2017-01-15,20634
2017-01-16,20459
2017-01-17,20294
2017-01-18,20317
2017-01-19,20353
2017-01-20,20354
2017-01-21,20436
2017-01-22,20371
2017-01-27,20348
2017-01-28,20391
2017-01-29,20307
2017-01-30,20202
2017-01-31,20193
2017-02-01,20228
2017-02-02,20318
2017-02-03,20426
2017-02-04,20364
2017-02-05,20385
2017-02-06,20171
2017-02-07,20353
2017-02-08,20472
2017-02-09,20337
2017-02-10,20494
2017-02-11,20399
2017-02-12,20214
2017-02-13,20347
2017-02-14,20240
2017-02-15,19848
2017-02-16,20082
2017-02-18,20417
2017-02-19,20092
2017-02-20,20373
2017-02-21,20434
2017-02-22,20522
2017-02-23,20556
2017-02-24,20647
2017-02-25,20600
2017-02-26,20700
2017-02-27,20684
2017-02-28,20597
2017-03-01,20579
2017-03-02,20539
2017-03-03,20577
2017-03-04,20569
2017-03-05,20598
2017-03-06,20590
2017-03-07,20442
2017-03-08,20544
2017-03-09,20597
2017-03-10,20585
2017-03-11,20597
2017-03-12,20524
2017-03-13,20489
2017-03-14,20338
2017-03-15,20280
2017-03-16,20497
2017-03-17,20574
2017-03-18,20417
2017-03-19,20436
2017-03-20,20489
2017-03-21,20456
2017-03-22,20242
2017-03-23,20185
2017-03-24,20270
2017-03-25,20396
2017-03-26,20453
2017-03-27,20591
2017-03-28,20719
2017-03-29,20654
2017-03-30,20776
2017-03-31,20794
2017-04-01,20804
2017-04-02,20747
2017-04-03,20804
2017-04-04,20723
2017-04-12,20618
2017-04-13,20802
2017-04-14,20760
2017-04-15,20766
2017-04-16,20637
2017-04-17,20465
2017-04-18,20676
2017-04-19,20152
2017-04-20,19252
2017-04-21,18897
2017-04-22,18888
2017-04-23,18920
2017-04-24,18969
2017-04-25,18941
2017-04-26,18901
2017-04-27,19093
2017-04-28,19399
2017-04-29,19967
2017-04-30,19791
2017-05-01,19545
2017-05-02,19830
2017-05-03,19513
2017-05-04,19215
2017-05-05,19293
2017-05-06,19081
2017-05-07,19083
2017-05-08,19492
2017-05-09,19721
2017-05-10,19869
2017-05-11,19888
2017-05-12,19856
2017-05-13,19921
2017-05-14,19891
2017-05-15,19869
2017-05-16,19979
2017-05-17,20075
2017-05-18,20206
2017-05-19,19999
2017-05-20,20090
2017-05-21,20079
2017-05-22,20334
2017-05-23,20440
2017-05-24,20411
2017-05-25,19390
2017-05-26,18690
2017-05-27,18620
2017-05-28,18735
2017-05-29,18769
2017-05-30,18822
2017-05-31,18841
2017-06-01,18845
2017-06-02,18728
2017-06-03,18736
2017-06-06,18832
2017-06-07,18801
2017-06-08,18694
2017-06-09,18754
2017-06-10,18734
2017-06-11,18776
2017-06-12,18825
2017-06-13,18834
2017-06-14,18856
2017-06-15,18841
2017-06-16,18838
2017-06-17,18832
2017-06-18,18838
2017-06-19,18838
2017-06-20,18846
2017-06-21,18843
2017-06-22,18865
2017-06-23,18840
2017-06-24,18799
2017-06-25,18811
2017-06-26,18809
2017-06-27,18817
2017-06-28,18854
2017-06-29,18854
