date_obj,Blue%20d'hide%20chaps%20(t) price
2016-12-30,2693
2016-12-31,2675
2017-01-01,2724
2017-01-02,2701
2017-01-03,2701
2017-01-04,2759
2017-01-05,2759
2017-01-06,2770
2017-01-07,2774
2017-01-08,2749
2017-01-09,2815
2017-01-10,2955
2017-01-11,3081
2017-01-12,3163
2017-01-13,3163
2017-01-14,3093
2017-01-15,3034
2017-01-16,3117
2017-01-17,3071
2017-01-18,3103
2017-01-19,3040
2017-01-20,2908
2017-01-21,2857
2017-01-22,2717
2017-01-23,2678
2017-01-27,2793
2017-01-28,2781
2017-01-29,2819
2017-01-30,2819
2017-01-31,2848
2017-02-01,2856
2017-02-02,2864
2017-02-03,2781
2017-02-04,2781
2017-02-05,2774
2017-02-06,2725
2017-02-07,2653
2017-02-08,2564
2017-02-09,2564
2017-02-10,2614
2017-02-11,2584
2017-02-12,2584
2017-02-13,2542
2017-02-14,2601
2017-02-15,2601
2017-02-16,2586
2017-02-18,2559
2017-02-19,2521
2017-02-20,2485
2017-02-21,2486
2017-02-22,2486
2017-02-23,2449
2017-02-24,2449
2017-02-25,2468
2017-02-26,2442
2017-02-27,2421
2017-02-28,2440
2017-03-01,2440
2017-03-02,2398
2017-03-03,2369
2017-03-04,2349
2017-03-05,2375
2017-03-06,2418
2017-03-07,2478
2017-03-08,2478
2017-03-09,2534
2017-03-10,2563
2017-03-11,2499
2017-03-12,2490
2017-03-13,2513
2017-03-14,2520
2017-03-15,2516
2017-03-16,2505
2017-03-17,2505
2017-03-18,2439
2017-03-19,2465
2017-03-20,2478
2017-03-21,2423
2017-03-22,2521
2017-03-23,2490
2017-03-24,2443
2017-03-25,2443
2017-03-26,2428
2017-03-27,2382
2017-03-28,2376
2017-03-29,2355
2017-03-30,2392
2017-03-31,2359
2017-04-01,2359
2017-04-02,2342
2017-04-03,2352
2017-04-04,2387
2017-04-12,2459
2017-04-13,2490
2017-04-14,2490
2017-04-15,2489
2017-04-16,2438
2017-04-17,2465
2017-04-18,2565
2017-04-19,2614
2017-04-20,2614
2017-04-21,2593
2017-04-22,2593
2017-04-23,2612
2017-04-24,2642
2017-04-25,2589
2017-04-26,2589
2017-04-27,2504
2017-04-28,2406
2017-04-29,2467
2017-04-30,2483
2017-05-01,2483
2017-05-02,2499
2017-05-03,2515
2017-05-04,2588
2017-05-05,2643
2017-05-06,2643
2017-05-07,2671
2017-05-08,2743
2017-05-09,2691
2017-05-10,2691
2017-05-11,2604
2017-05-12,2533
2017-05-13,2452
2017-05-14,2452
2017-05-15,2455
2017-05-16,2457
2017-05-17,2461
2017-05-18,2435
2017-05-19,2435
2017-05-20,2437
2017-05-21,2437
2017-05-22,2473
2017-05-23,2455
2017-05-24,2451
2017-05-25,2450
2017-05-26,2532
2017-05-27,2551
2017-05-28,2489
2017-05-29,2421
2017-05-30,2421
2017-05-31,2381
2017-06-01,2356
2017-06-02,2377
2017-06-03,2377
2017-06-04,2391
2017-06-05,2351
2017-06-06,2309
2017-06-07,2290
2017-06-08,2290
2017-06-09,2315
2017-06-10,2403
2017-06-11,2354
2017-06-12,2354
2017-06-13,2447
2017-06-14,2462
2017-06-15,2462
2017-06-16,2497
2017-06-17,2601
2017-06-18,2687
2017-06-19,2687
2017-06-20,2691
2017-06-21,2716
2017-06-22,2716
2017-06-23,2677
2017-06-24,2591
2017-06-25,2582
2017-06-26,2623
2017-06-27,2715
2017-06-28,2715
2017-06-29,2756
2017-06-30,2713
2017-07-01,2713
2017-07-02,2714
2017-07-03,2605
2017-07-04,2565
2017-07-05,2565
2017-07-06,2484
2017-07-07,2484
2017-07-08,2442
2017-07-13,2374
2017-07-14,2373
2017-07-15,2373
2017-07-16,2355
2017-07-17,2320
2017-07-18,2320
2017-07-19,2303
2017-07-20,2294
2017-07-21,2291
2017-07-22,2339
2017-07-23,2308
2017-07-24,2308
2017-07-25,2277
2017-07-26,2249
2017-07-27,2261
2017-07-28,2286
2017-07-29,2286
2017-07-30,2374
2017-07-31,2374
2017-08-01,2436
2017-08-02,2389
2017-08-03,2389
2017-08-04,2352
2017-08-05,2352
2017-08-06,2352
2017-08-09,2597
2017-08-10,2599
2017-08-11,2599
2017-08-12,2632
2017-08-13,2632
2017-08-14,2620
2017-08-15,2701
2017-08-16,2710
2017-08-17,2724
2017-08-18,2724
2017-08-19,2774
2017-08-20,2800
2017-08-21,2790
2017-08-22,2827
2017-08-23,2827
2017-08-24,2775
2017-08-25,2676
2017-08-26,2739
2017-08-27,2752
2017-08-28,2752
2017-08-29,2752
2017-08-30,2792
2017-08-31,2792
2017-09-01,2827
2017-09-02,2784
2017-09-03,2784
2017-09-04,2856
2017-09-05,2844
2017-09-06,2844
2017-09-07,2920
2017-09-08,2920
2017-09-09,2960
2017-09-10,2919
2017-09-11,2919
2017-09-12,2993
2017-09-13,2966
2017-09-14,3012
2017-09-15,3012
2017-09-16,3050
2017-09-17,3023
2017-09-18,3023
2017-09-19,2961
2017-09-20,2948
2017-09-22,2908
2017-09-23,2908
2017-09-24,2892
2017-09-25,2876
2017-09-26,2888
2017-09-27,2888
2017-09-28,2877
2017-09-29,2871
2017-09-30,2832
2017-10-01,2818
2017-10-02,2877
