date_obj,Empty%20oil%20lantern price
2018-09-17,60
2018-09-18,60
2018-09-19,60
2018-09-20,60
2018-09-21,60
2018-09-22,60
2018-09-23,60
2018-09-24,60
2018-09-25,60
2018-09-26,60
2018-09-27,60
2018-09-28,58
2018-09-29,58
2018-09-30,58
2018-10-01,58
2018-10-02,58
2018-10-03,58
2018-10-04,58
2018-10-05,58
2018-10-06,58
2018-10-07,58
2018-10-08,58
2018-10-09,58
2018-10-10,58
2018-10-11,58
2018-10-12,58
2018-10-13,58
2018-10-14,58
2018-10-15,58
2018-10-16,58
2018-10-17,56
2018-10-18,56
2018-10-19,56
2018-10-20,56
2018-10-21,56
2018-10-22,56
2018-10-23,56
2018-10-24,56
2018-10-25,56
2018-10-26,56
2018-10-27,56
2018-10-28,56
2018-10-29,56
2018-10-30,56
2018-10-31,56
2018-11-01,53
2018-11-03,53
2018-11-04,53
2018-11-05,53
2018-11-06,53
2018-11-07,53
2018-11-08,53
2018-11-09,53
2018-11-10,53
2018-11-11,53
2018-11-12,53
2018-11-13,53
2018-11-14,53
2018-11-15,53
2018-11-16,53
2018-11-17,53
2018-11-18,53
2018-11-19,53
2018-11-20,53
2018-11-21,53
2018-11-22,53
2018-11-23,53
2018-11-24,54
2018-11-25,54
2018-11-26,54
2018-11-27,54
2018-11-28,54
2018-11-29,54
2018-12-01,54
2018-12-02,54
2018-12-03,54
2018-12-04,53
2018-12-05,53
2018-12-07,53
2018-12-09,53
2018-12-10,53
2018-12-11,53
2018-12-12,53
2018-12-13,53
2018-12-14,53
2018-12-15,53
2018-12-16,52
2018-12-17,52
2018-12-18,52
2018-12-19,52
2018-12-20,52
2018-12-21,52
2018-12-22,52
2018-12-23,52
2018-12-24,52
2018-12-25,52
2018-12-26,52
2018-12-27,49
2018-12-28,49
2018-12-29,49
2018-12-30,49
2018-12-31,49
2019-01-01,49
2019-01-02,49
2019-01-03,49
2019-01-04,49
2019-01-05,51
2019-01-06,51
2019-01-08,51
2019-01-10,51
2019-01-11,51
2019-01-12,51
2019-01-13,51
2019-01-14,52
2019-01-15,52
2019-01-16,52
2019-01-17,52
2019-01-18,52
2019-01-19,52
2019-01-20,52
2019-01-21,52
2019-01-22,52
2019-01-23,52
2019-01-24,52
2019-01-25,51
2019-01-26,51
2019-01-27,51
2019-01-28,51
2019-01-29,51
2019-01-30,51
2019-01-31,51
2019-02-01,51
2019-02-02,51
2019-02-03,51
2019-02-04,51
2019-02-05,51
2019-02-06,51
2019-02-07,51
2019-02-08,51
2019-02-09,51
2019-02-10,51
2019-02-11,51
2019-02-12,51
2019-02-13,51
2019-02-14,51
2019-02-15,50
2019-02-16,50
2019-02-17,50
2019-02-18,50
2019-02-19,50
2019-02-20,50
2019-02-21,50
2019-02-22,50
2019-02-23,50
2019-02-24,50
2019-02-25,50
2019-02-26,50
2019-02-27,50
2019-02-28,50
2019-03-01,50
2019-03-02,50
2019-03-03,50
