date_obj,Book%20of%20war%20page%20set price
2019-03-24,24364
2019-03-25,24364
2019-03-26,23887
2019-03-27,23887
2019-03-28,23745
2019-03-29,23323
2019-03-30,23323
2019-03-31,22977
2019-04-01,22925
2019-04-02,22925
2019-04-03,23060
2019-04-04,23475
2019-04-05,23475
2019-04-06,23706
2019-04-07,23542
2019-04-08,23542
2019-04-09,23336
2019-04-10,23336
2019-04-11,23133
2019-04-12,22673
2019-04-13,22513
2019-04-14,22354
2019-04-15,22354
2019-04-16,22306
2019-04-17,22306
2019-04-18,22633
2019-04-19,22633
2019-04-20,23003
2019-04-21,23003
2019-04-22,22778
2019-04-23,22778
2019-04-24,22519
2019-04-25,22519
2019-04-26,22989
2019-04-27,22989
2019-04-28,23717
2019-04-29,23717
2019-04-30,23880
2019-05-01,23880
2019-05-02,24422
2019-05-03,24306
2019-05-04,24266
2019-05-05,24266
2019-05-06,24303
2019-05-07,24303
2019-05-08,24531
2019-05-09,24531
2019-05-10,24157
2019-05-11,24157
2019-05-12,24097
2019-05-13,24097
2019-05-14,24329
2019-05-15,24329
2019-05-16,24304
2019-05-17,24304
2019-05-18,24208
2019-05-19,24208
2019-05-20,24036
2019-05-21,24036
2019-05-22,23729
2019-05-23,23729
2019-05-24,23261
2019-05-25,23375
2019-05-26,23375
2019-05-27,23201
2019-05-28,23201
2019-05-29,22860
2019-05-30,22860
2019-05-31,22284
2019-06-01,22284
2019-06-02,22685
2019-06-03,22685
2019-06-04,22903
2019-06-05,22336
2019-06-06,22336
2019-06-07,21412
2019-06-08,21412
2019-06-09,20591
2019-06-10,20591
2019-06-11,19763
2019-06-12,19763
2019-06-13,18842
2019-06-14,18000
2019-06-15,18000
2019-06-16,17243
2019-06-17,17243
2019-06-18,17070
2019-06-19,17070
2019-06-20,16528
2019-06-21,16528
2019-06-22,16619
2019-06-23,16000
2019-06-24,16000
2019-06-25,16283
2019-06-26,16283
2019-06-27,17013
2019-06-28,17013
2019-06-29,17800
2019-06-30,17800
2019-07-01,18579
2019-07-02,18579
2019-07-03,19124
2019-07-04,19124
2019-07-05,20051
2019-07-06,20051
2019-07-07,20737
2019-07-08,20737
2019-07-09,21353
2019-07-10,21353
2019-07-11,21610
2019-07-12,21610
2019-07-13,22413
2019-07-14,23494
2019-07-15,23494
2019-07-16,24630
2019-07-17,24591
2019-07-18,24591
2019-07-19,25707
2019-07-20,25707
2019-07-21,26623
2019-07-22,26623
2019-07-23,27899
2019-07-24,27899
2019-07-25,28855
2019-07-26,28855
2019-07-27,29699
2019-07-28,29699
2019-07-29,29187
2019-07-30,29187
2019-07-31,28598
2019-08-01,28598
2019-08-02,28598
2019-08-03,27317
2019-08-04,27317
2019-08-05,26380
2019-08-06,26380
2019-08-07,25190
2019-08-08,25190
2019-08-09,25190
2019-08-10,24580
2019-08-11,24580
2019-08-12,23461
2019-08-13,23461
2019-08-14,23461
2019-08-15,22333
2019-08-16,22333
2019-08-17,21401
2019-08-18,21401
2019-08-19,20330
2019-08-20,20330
2019-08-21,20330
2019-08-22,19748
2019-08-23,19748
2019-08-24,20568
2019-08-24,20568
2019-08-25,20568
2019-08-25,20568
2019-08-26,20568
2019-08-27,20810
2019-08-27,20810
2019-08-28,20810
2019-08-29,21057
2019-08-30,21057
2019-08-31,20937
2019-09-01,21570
2019-09-02,21570
2019-09-03,22215
2019-09-04,22215
2019-09-05,22814
2019-09-06,22814
2019-09-07,22825
2019-09-08,22825
2019-09-09,22494
2019-09-10,22494
2019-09-11,21789
2019-09-12,21789
2019-09-13,21622
2019-09-14,21622
2019-09-15,21740
2019-09-16,21740
2019-09-17,20838
2019-09-18,20838
2019-09-19,20452
2019-09-20,20452
2019-09-21,21397
2019-09-22,21397
2019-09-23,21203
2019-09-24,21203
2019-09-25,21203
2019-09-26,21227
2019-09-27,21227
2019-09-28,21227
2019-09-29,21836
2019-09-30,21836
2019-10-01,21500
2019-10-02,21500
2019-10-03,21500
2019-10-04,21499
2019-10-05,21499
2019-10-06,21625
2019-10-07,21625
2019-10-08,21515
2019-10-09,21515
2019-10-10,22288
2019-10-11,22288
2019-10-12,23064
2019-10-13,23064
2019-10-14,23372
2019-10-15,23372
2019-10-16,22203
2019-10-17,22203
2019-10-18,22203
2019-10-19,21372
2019-10-20,21372
2019-10-21,20991
2019-10-22,20991
2019-10-23,20155
2019-10-24,20155
2019-10-25,19293
2019-10-26,19293
2019-10-27,18354
2019-10-28,18354
2019-10-29,17511
2019-10-30,17511
2019-10-31,16669
2019-11-01,16669
2019-11-02,16519
2019-11-03,16519
2019-11-04,17006
2019-11-05,17006
2019-11-06,17006
2019-11-07,16915
2019-11-08,16915
2019-11-09,17113
2019-11-10,16293
2019-11-11,16293
2019-11-12,16293
2019-11-13,15804
2019-11-14,15804
2019-11-15,15186
2019-11-16,15186
2019-11-17,14458
2019-11-18,14458
2019-11-19,14323
2019-11-20,14323
2019-11-21,14803
2019-11-22,14803
2019-11-23,15446
2019-11-24,15446
2019-11-25,16156
2019-11-26,16156
2019-11-27,16156
2019-11-28,16466
2019-11-29,16466
2019-11-30,15866
2019-12-01,15866
2019-12-02,15866
2019-12-03,15549
2019-12-04,15549
2019-12-05,15549
2019-12-06,15047
2019-12-07,15047
2019-12-08,15045
2019-12-09,15045
2019-12-10,14873
2019-12-11,14873
2019-12-12,14873
2019-12-13,14582
2019-12-14,14582
2019-12-15,13918
2019-12-16,13918
2019-12-17,13222
2019-12-18,13222
2019-12-19,13222
2019-12-20,12789
2019-12-21,12789
2019-12-22,12673
2019-12-23,12673
2019-12-24,12971
2019-12-25,12971
2019-12-26,12862
2019-12-27,12862
2019-12-28,12527
2019-12-29,12527
2019-12-30,12657
2019-12-31,12657
2020-01-01,12636
2020-01-02,12636
2020-01-03,12739
2020-01-04,12739
2020-01-05,12803
2020-01-06,12803
2020-01-07,12662
2020-01-08,12662
2020-01-09,12662
2020-01-10,12667
2020-01-11,12684
2020-01-12,12684
2020-01-13,13092
2020-01-14,13092
2020-01-15,13480
2020-01-16,13480
2020-01-17,13693
2020-01-18,13693
2020-01-19,13896
2020-01-20,13896
2020-01-21,13896
2020-01-22,14283
2020-01-23,14283
2020-01-24,14935
2020-01-25,14935
2020-01-26,15252
2020-01-27,15252
2020-01-28,14985
2020-01-29,14985
2020-01-30,14919
2020-01-31,14919
2020-02-01,14438
2020-02-02,14363
2020-02-03,14363
2020-02-04,14679
2020-02-05,14679
2020-02-06,14033
2020-02-07,14033
2020-02-08,13331
2020-02-09,13331
2020-02-10,12664
2020-02-11,12664
2020-02-12,12030
2020-02-13,12030
2020-02-14,11428
2020-02-15,11428
2020-02-16,10856
2020-02-17,10856
2020-02-18,10313
2020-02-19,10313
2020-02-20,10011
2020-02-21,10011
2020-02-22,10475
2020-02-23,10475
2020-02-24,10879
2020-02-25,10879
2020-02-26,11332
2020-02-27,11332
2020-02-28,11899
2020-02-29,11899
2020-03-01,12483
2020-03-02,12483
2020-03-03,12626
2020-03-04,12626
2020-03-05,13188
2020-03-06,13188
2020-03-07,13821
2020-03-08,13821
2020-03-09,13843
2020-03-10,13270
2020-03-11,13270
2020-03-12,13473
2020-03-13,13473
2020-03-14,13589
2020-03-15,13589
2020-03-16,13980
2020-03-17,13980
2020-03-18,14312
2020-03-19,14312
2020-03-20,14961
2020-03-21,14961
2020-03-22,15383
2020-03-23,15383
2020-03-24,15576
2020-03-25,15574
2020-03-26,15051
2020-03-27,15051
2020-03-28,14979
2020-03-29,14690
2020-03-30,14832
2020-03-31,14670
2020-04-01,14619
2020-04-02,14755
2020-04-03,14755
2020-04-04,14655
2020-04-05,14655
2020-04-06,14752
2020-04-07,14741
2020-04-08,14538
2020-04-09,14184
2020-04-10,14184
2020-04-11,14192
2020-04-12,13771
2020-04-13,13719
2020-04-14,13332
2020-04-15,13257
2020-04-16,13257
2020-04-17,13087
2020-04-18,12451
2020-04-19,11866
2020-04-20,11747
2020-04-21,12010
2020-04-22,12373
2020-04-23,12624
2020-04-24,13115
2020-04-25,13356
2020-04-26,13723
2020-04-27,13956
2020-04-28,13409
2020-04-29,13409
2020-04-30,13060
2020-05-01,13060
2020-05-02,13200
2020-05-03,13601
2020-05-04,13812
2020-05-05,14156
2020-05-06,14836
2020-05-07,15550
2020-05-08,15550
2020-05-09,15938
2020-05-10,16437
2020-05-11,16437
2020-05-12,16571
2020-05-13,16932
