date_obj,Mystic%20robe%20bottom price
2017-05-02,54500
2017-05-03,54071
2017-05-04,53083
2017-05-05,53148
2017-05-06,53466
2017-05-07,52491
2017-05-08,52254
2017-05-09,52038
2017-05-10,53125
2017-05-11,53298
2017-05-12,52849
2017-05-13,53765
2017-05-14,53653
2017-05-15,53679
2017-05-16,53736
2017-05-17,53579
2017-05-18,53970
2017-05-19,53887
2017-05-20,53744
2017-05-21,52475
2017-05-22,54205
2017-05-23,54597
2017-05-24,55121
2017-05-25,52364
2017-05-26,49838
2017-05-27,47954
2017-05-28,48220
2017-05-29,47498
2017-05-30,47481
2017-05-31,47558
2017-06-01,47575
2017-06-02,47414
2017-06-03,47515
2017-06-06,47500
2017-06-07,47537
2017-06-08,47546
2017-06-09,47635
2017-06-10,47852
2017-06-11,47761
2017-06-12,47634
2017-06-13,47545
2017-06-14,47574
2017-06-15,47678
2017-06-16,47746
2017-06-17,47555
2017-06-18,47477
2017-06-19,47653
2017-06-20,47594
2017-06-21,47722
2017-06-22,47814
2017-06-23,47584
2017-06-24,47748
2017-06-25,47501
2017-06-26,47863
2017-06-27,47844
2017-06-28,47940
2017-06-29,48005
2017-06-30,47576
2017-07-01,47370
2017-07-02,47416
2017-07-03,47475
2017-07-04,47379
2017-07-05,46977
2017-07-06,47413
2017-07-07,47451
2017-07-08,47428
2017-07-13,47579
2017-07-14,47498
2017-07-15,47394
2017-07-16,47436
2017-07-17,47578
2017-07-18,47943
2017-07-19,47791
2017-07-20,47951
2017-07-21,47946
2017-07-22,47591
2017-07-23,47568
2017-07-24,47673
2017-07-25,47630
2017-07-26,47568
2017-07-27,47580
2017-07-28,47847
2017-07-29,47787
2017-07-30,47457
2017-07-31,47500
2017-08-01,47751
2017-08-02,47687
2017-08-03,47874
2017-08-04,47817
2017-08-05,47579
2017-08-06,47499
2017-08-09,47348
2017-08-10,47723
2017-08-11,48035
2017-08-12,47917
2017-08-13,47416
2017-08-14,47541
2017-08-15,47563
2017-08-16,47735
2017-08-17,47591
2017-08-18,47855
2017-08-19,47618
2017-08-20,47985
2017-08-22,47588
2017-08-23,47617
2017-08-24,48162
2017-08-25,48074
2017-08-26,47585
2017-08-27,47531
2017-08-28,47506
2017-08-29,47477
2017-08-30,47749
2017-08-31,48205
2017-09-01,47866
2017-09-02,47626
2017-09-03,47614
2017-09-04,47463
2017-09-05,47549
2017-09-06,47685
2017-09-07,47504
2017-09-08,47502
2017-09-09,47733
2017-09-10,47546
2017-09-11,47488
2017-09-12,47515
2017-09-13,47576
2017-09-14,47602
2017-09-15,47528
2017-09-16,47783
2017-09-17,47581
2017-09-19,47938
2017-09-20,47763
2017-09-21,48195
