date_obj,Adamant%20scimitar price
2017-11-30,1533
2017-12-01,1529
2017-12-02,1482
2017-12-03,1475
2017-12-04,1452
2017-12-05,1505
2017-12-06,1502
2017-12-07,1520
2017-12-08,1557
2017-12-09,1620
2017-12-10,1608
2017-12-11,1624
2017-12-12,1690
2017-12-13,1765
2017-12-14,1836
2017-12-15,1828
2017-12-16,1775
2017-12-17,1738
2017-12-18,1700
2017-12-19,1686
2017-12-20,1660
2017-12-21,1644
2017-12-22,1618
2017-12-23,1605
2017-12-24,1586
2017-12-25,1563
2017-12-26,1543
2017-12-27,1529
2017-12-28,1511
2017-12-29,1478
2017-12-30,1459
2017-12-31,1435
2018-01-01,1392
2018-01-02,1365
2018-01-03,1355
2018-01-04,1318
2018-01-05,1336
2018-01-06,1355
2018-01-07,1357
2018-01-08,1368
2018-01-09,1389
2018-01-10,1385
2018-01-11,1410
2018-01-12,1411
2018-01-13,1416
2018-01-14,1420
2018-01-15,1418
2018-01-16,1436
2018-01-17,1465
2018-01-18,1497
2018-01-19,1531
2018-01-20,1540
2018-01-21,1488
2018-01-22,1486
2018-01-23,1479
2018-01-24,1453
2018-01-25,1456
2018-01-26,1474
2018-01-27,1449
2018-01-28,1440
2018-01-29,1422
2018-01-30,1415
2018-01-31,1387
2018-02-01,1381
2018-02-02,1397
2018-02-03,1407
2018-02-04,1431
2018-02-05,1431
2018-02-06,1420
2018-02-07,1428
2018-02-08,1420
2018-02-09,1439
2018-02-10,1408
2018-02-11,1407
2018-02-12,1435
2018-02-13,1418
2018-02-14,1424
2018-02-15,1418
2018-02-16,1433
2018-02-17,1404
2018-02-18,1399
2018-02-19,1429
2018-02-20,1444
2018-02-21,1502
2018-02-22,1556
2018-02-23,1578
2018-02-24,1551
2018-02-25,1563
2018-02-26,1537
2018-02-27,1521
2018-02-28,1505
2018-03-01,1495
2018-03-02,1507
2018-03-03,1506
2018-03-04,1528
2018-03-05,1504
2018-03-06,1521
2018-03-07,1517
2018-03-08,1528
2018-03-09,1509
2018-03-10,1487
2018-03-11,1467
2018-03-12,1451
2018-03-13,1465
2018-03-14,1472
2018-03-15,1463
2018-03-16,1479
2018-03-17,1466
2018-03-18,1456
2018-03-19,1466
2018-03-20,1480
2018-03-21,1480
2018-03-22,1486
2018-03-23,1467
2018-03-24,1453
2018-03-25,1496
2018-03-26,1510
2018-03-27,1524
2018-03-28,1514
2018-03-29,1529
2018-03-30,1524
2018-03-31,1507
2018-04-01,1498
2018-04-02,1499
2018-04-03,1481
2018-04-04,1458
2018-04-05,1462
2018-04-06,1456
2018-04-07,1441
2018-04-08,1429
2018-04-09,1446
2018-04-10,1454
2018-04-11,1451
2018-04-12,1431
2018-04-13,1438
2018-04-14,1465
2018-04-15,1468
2018-04-16,1453
2018-04-17,1417
2018-04-18,1378
2018-04-19,1394
2018-04-20,1380
2018-04-21,1382
2018-04-22,1387
2018-04-23,1396
2018-04-24,1416
2018-04-25,1441
2018-04-26,1464
2018-04-27,1414
2018-04-28,1426
2018-04-29,1418
2018-04-30,1415
2018-05-01,1404
2018-05-02,1399
2018-05-03,1378
2018-05-04,1414
2018-05-05,1416
2018-05-06,1461
2018-05-07,1448
2018-05-08,1459
2018-05-09,1415
2018-05-10,1385
2018-05-11,1382
2018-05-12,1375
2018-05-13,1389
2018-05-14,1390
2018-05-15,1427
2018-05-16,1396
2018-05-17,1400
2018-05-18,1412
2018-05-19,1380
2018-05-20,1369
2018-05-21,1395
2018-05-22,1413
2018-05-23,1415
2018-05-24,1444
2018-05-25,1462
2018-05-26,1457
2018-05-27,1415
2018-05-28,1419
2018-05-29,1452
2018-05-30,1420
2018-05-31,1419
2018-06-01,1414
2018-06-02,1445
2018-06-03,1435
2018-06-04,1393
2018-06-05,1377
2018-06-06,1387
2018-06-07,1387
2018-06-08,1363
2018-06-09,1359
2018-06-10,1352
2018-06-11,1383
2018-06-12,1386
2018-06-13,1395
2018-06-14,1381
2018-06-15,1384
2018-06-16,1369
2018-06-17,1376
2018-06-18,1394
2018-06-19,1402
2018-06-20,1374
2018-06-21,1364
2018-06-22,1390
2018-06-23,1390
2018-06-24,1413
2018-06-25,1431
2018-06-26,1433
2018-06-27,1389
2018-06-28,1392
2018-06-29,1384
2018-06-30,1378
2018-07-01,1388
2018-07-02,1405
2018-07-03,1432
2018-07-04,1431
2018-07-05,1438
2018-07-06,1463
2018-07-07,1446
2018-07-08,1435
2018-07-09,1425
2018-07-10,1409
2018-07-11,1392
2018-07-12,1383
2018-07-13,1378
2018-07-14,1408
2018-07-15,1446
2018-07-16,1438
2018-07-17,1404
2018-07-18,1380
2018-07-19,1370
2018-07-20,1378
2018-07-21,1372
2018-07-22,1376
2018-07-23,1372
2018-07-24,1384
2018-07-25,1409
2018-07-26,1414
2018-07-27,1405
2018-07-28,1409
2018-07-29,1420
